Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius magnicrassus	Toweius callosus	Sphenolithus radians	Reticulofenestra pseudogammation	Reticulofenestra floridana	Neococcolithes dubius	Nannotetrina cristata	Ericsonia formosa	Discoaster sublodoensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster gemmifer	Discoaster cf. saipanensis	Discoaster barbadiensis	Coccolithus pelagicus	Chiphragmalithus calathus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster binodosus	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra samodurovii	Discoaster distinctus	Discoaster cf. septemradiatus	Discoaster sp.	Discoaster saipanensis	Chiasmolithus sp.	Nannotetrina fulgens	Discoaster cf. sublodoensis	Chiasmolithus modestus	Reticulofenestra hillae	Chiasmolithus titus	Pontosphaera duocava	Markalius inversus	Blackites tenuis	Discoaster multiradiatus	Cruciplacolithus delus	Chiasmolithus gigas	Chiasmolithus expansus	Neococcolithes sp.	Cyclicargolithus floridanus	Discoaster bifax	Reticulofenestra reticulata	Reticulofenestra bisecta	Rhabdosphaera sp.	Reticulofenestra spp.	Discoaster spp.	Reticulofenestra umbilica	Neococcolithes minutus	Isthmolithus recurvus	Isthmolithus recurvus s.s.	Dictyococcites spp.	Coccolithus eopelagicus	Reticulofenestra hampdenensis	Sphenolithus sp. cf. primus	Chiasmolithus medius	Discoaster tanii nodifer	Chiasmolithus oamaruensis	Reticulofenestra oamaruensis	Dictyococcites bisectus	Discoaster tanii	Isthmolithus recurvus triplus	Reticulofenestra minutula	Reticulofenestra perplexa	Pyrocyclus sp.	Discoaster deflandrei	Coronocyclus sp.	Reticulofenestra pseudoumbilica	Placolith (small)	Calcidiscus macintyrei	Reticulofenestra spp. (small)	Reticulofenestra gelida	Pseudoemiliania lacunosa	Discoaster brouweri	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa (small)	Calcidiscus leptoporus	Comment

  SR	                 	Miocene          	                  	              	145	 884	B	 69	X	 5	  18.00	    638.5800	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	R                      	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	C                          	                	                           	                        	                 	                     	               	                         	                      	                     	                          	R                  	                       	                             	                           	                    	                        	                         	                            	R                      	                	                             	A                        	C                        	R             	R                    	R               	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Oligocene        	                  	              	145	 884	B	 70	X	 1	  47.00	    642.4700	Olafsson 	Nannofossils                                 	F              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	R                      	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	R                          	                	                           	                        	                 	                     	R              	R                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	F                      	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Oligocene        	                  	              	145	 884	B	 71	X	CC	  11.00	    661.3700	Olafsson 	Nannofossils                                 	C              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	F                      	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	+                          	                	                           	                        	                 	                     	               	C                        	                      	                     	                          	                   	                       	C                            	                           	                    	                        	                         	                            	C                      	                	                             	C                        	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Oligocene        	                  	              	145	 884	B	 72	X	 6	  29.00	    669.0900	Olafsson 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	A                          	                	                           	                        	                 	                     	               	F                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	R                      	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 73	X	 1	 132.00	    672.3200	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	R               	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	F                	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	F                       	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 73	X	 2	 103.00	    673.5300	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	F                	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	C                       	                 	                     	               	C                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 73	X	 3	 129.00	    675.2900	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	C                       	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 73	X	 4	  75.00	    676.2500	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	R                         	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	cf              	                        	                      	                   	                      	                  	                           	                	                           	C                       	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 73	X	 5	  33.00	    677.3300	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	F                       	                 	                     	               	A                        	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Oligocene        	                  	              	145	 884	B	 73	X	CC	  43.00	    677.9900	Olafsson 	Nannofossils                                 	C              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	+                          	                	                           	                        	                 	                     	               	C                        	                      	                     	                          	                   	                       	F                            	                           	                    	                        	                         	                            	F                      	                	                             	C                        	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 74	X	 1	   0.00	    680.6000	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	F                       	                 	                     	               	A                        	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Oligocene        	                  	              	145	 884	B	 74	X	 1	  49.00	    681.0900	Olafsson 	Nannofossils                                 	A              	G                 	                       	                         	                    	                	                    	                                	                          	                     	                     	C                	                       	                    	R                  	                   	                          	R                      	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	F                	R                   	                           	                      	                       	                   	                    	R                 	                	                        	                      	                   	                      	R                 	C                          	                	                           	                        	                 	                     	               	F                        	                      	                     	                          	F                  	                       	R                            	                           	                    	                        	                         	                            	R                      	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 74	X	 7	  10.00	    689.7000	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	R                   	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	R                       	                         	                            	                       	R               	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Oligocene        	                  	              	145	 884	B	 74	X	CC	  26.00	    690.3900	Olafsson 	Nannofossils                                 	R              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	C                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Eocene           	                  	              	145	 884	B	 75	X	 2	 131.00	    693.0100	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	F                      	F                    	                         	                     	                     	                       	                         	                    	R                      	                    	                            	                     	                             	              	F                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	R                 	F                          	                	                           	                        	                 	                     	               	C                        	                      	                     	                          	F                  	                       	C                            	                           	                    	                        	                         	                            	                       	                	R                            	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 75	X	 3	 128.00	    694.4800	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	C                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	R                     	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	R                     	                     	                          	                   	                       	F                            	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 75	X	 3	 131.00	    694.5100	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	R                	                       	                    	                   	                   	                          	R                      	F                    	                         	                     	                     	                       	                         	                    	R                      	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	R                 	C                          	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	R                  	                       	C                            	                           	                    	                        	                         	R                           	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 75	X	 4	  75.00	    695.4500	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	F                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	R                     	                  	                           	cf              	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	F                      	                             	                           	                    	F                       	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 75	X	 5	 140.00	    697.6000	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	F                      	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	R               	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 75	X	 6	  84.00	    698.5400	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	F               	                           	F                       	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 75	X	 7	  12.00	    698.8200	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	C                         	R                    	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	F                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	C                            	                           	                    	                        	                         	                            	                       	F               	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 75	X	CC	   1.00	    699.7200	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	+                    	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	C                      	                             	                           	                    	                        	                         	+                           	+                      	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628
