Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Spiroloculina pusilla	Quinqueloculina oblonga	Pleurostomella acuta	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina soldanii	Fontbotia wuellerstorfi	Epistominella exigua	Eggerella bradyi	Cibicidoides cicatricosus	Sigmoilina schlumbergeri	Pyrgo spp.	Cibicidoides kullenbergi	Pullenia quinqueloba	Pullenia bulloides	Nodosaria holoserica	Gyroidina lamarckiana	Globocassidulina subglobosa	Agglutinated sp. 1	Pullenia salisburyi	Chilostomella argentae	Stilostomella sp.	Valvulineria sp.	Laticarinina pauperata	Agglutinated sp. 2	Triloculina tricarinata	Spirosigmoilinella sp.	Agglutinated sp. 3	Rosalina sp.	Ehrenbergina trigona	Cribrostomoides sp.	Quinqueloculina venusta	Bolivina sp.	Bulimina marginata	Bulimina alazanensis	Oridorsalis spp.	Siphonodosaria gracillima	Laryngosigma hyalascidia	Hoeglundina elegans	Fursenkoina spp.	Karreriella bradyi	Globobulimina auriculata	Sphaeroidina bulloides	Gyroidina zealandica	Silicosigmoilina sp.	Nodosariidae (taxa)	Stilostomella lepidula	Trifarina angulosa	Uvigerina proboscidea	Comment
  SR	                 	                 	                  	              	145	 883	B	 15	H	 4	  75.00	    136.6500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	14                     	                    	6                     	49                  	                  	               	3                 	12                     	4                   	5               	                         	                        	          	                        	2                   	                  	                    	                     	                           	                  	2                  	                      	1                	26              	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	3                 	4                       	                      	                    	                    	                   	                      	                  	                     	,Total count = 131; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 4	 111.00	    137.0100	Ishman   	Benthic Foraminifers                         	               	M                 	                   	1                    	34                     	2                   	3                     	30                  	1                 	1              	2                 	16                     	7                   	17              	                         	                        	3         	                        	1                   	1                 	                    	5                    	2                          	3                 	                   	3                     	                 	12              	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 143; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 5	   5.00	    137.4500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	4                      	5                   	8                     	29                  	                  	               	16                	11                     	3                   	6               	                         	                        	2         	                        	8                   	                  	                    	1                    	2                          	1                 	2                  	1                     	                 	2               	1                     	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	1                        	                        	2                  	1               	                  	                        	                      	                    	                    	                   	                      	                  	                     	1,Total count = 107; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 5	  46.00	    137.8600	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	3                      	11                  	5                     	34                  	1                 	1              	25                	14                     	                    	15              	                         	                        	6         	                        	10                  	1                 	                    	                     	1                          	                  	                   	                      	3                	10              	                      	                  	                       	                      	                  	            	2                   	                   	                       	            	                  	                    	                	1                        	1                       	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	1,Total count = 144; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 5	  86.00	    138.2600	Ishman   	Benthic Foraminifers                         	               	M                 	3                  	                     	13                     	1                   	7                     	19                  	                  	               	11                	13                     	                    	7               	                         	                        	2         	                        	2                   	1                 	                    	                     	2                          	                  	                   	                      	2                	6               	2                     	                  	                       	                      	                  	1           	3                   	                   	                       	            	                  	1                   	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 96; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 5	 126.00	    138.6600	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	2                    	19                     	10                  	10                    	16                  	1                 	1              	19                	11                     	                    	1               	                         	                        	2         	                        	6                   	                  	                    	                     	1                          	                  	                   	                      	                 	22              	1                     	                  	                       	                      	                  	2           	                    	                   	                       	            	                  	                    	1               	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	2,Total count = 127; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 6	  15.00	    139.0500	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	2                    	23                     	22                  	10                    	62                  	                  	               	                  	35                     	                    	28              	                         	                        	          	                        	10                  	                  	                    	                     	13                         	                  	                   	2                     	1                	15              	3                     	1                 	                       	                      	                  	1           	                    	                   	                       	            	                  	1                   	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 230; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 6	  50.00	    139.4000	Ishman   	Benthic Foraminifers                         	               	M                 	3                  	1                    	22                     	14                  	17                    	59                  	1                 	1              	2                 	35                     	                    	10              	                         	                        	2         	                        	                    	                  	                    	22                   	                           	3                 	                   	4                     	                 	3               	5                     	                  	2                      	                      	                  	16          	                    	                   	                       	            	                  	1                   	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 222; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 6	  91.00	    139.8100	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	24                     	22                  	8                     	69                  	                  	               	2                 	33                     	5                   	21              	                         	                        	          	                        	1                   	                  	                    	24                   	40                         	1                 	                   	2                     	2                	7               	2                     	                  	2                      	                      	1                 	3           	3                   	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 272; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 7	  66.00	    140.5600	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	21                     	8                   	11                    	30                  	                  	               	1                 	25                     	                    	17              	                         	                        	4         	                        	                    	                  	                    	                     	25                         	                  	                   	1                     	                 	5               	3                     	                  	                       	                      	1                 	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 152; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 1	   5.00	    140.9500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	1                    	12                     	10                  	4                     	15                  	                  	               	2                 	14                     	                    	7               	                         	                        	          	                        	3                   	                  	                    	5                    	17                         	                  	                   	2                     	2                	6               	1                     	                  	                       	                      	                  	3           	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 104; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 1	  45.00	    141.3500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	18                     	8                   	4                     	15                  	                  	               	                  	12                     	                    	7               	                         	                        	1         	                        	                    	                  	                    	8                    	7                          	                  	                   	                      	                 	                	                      	                  	                       	                      	                  	3           	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 83; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 1	  85.00	    141.7500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	2                    	18                     	15                  	7                     	57                  	1                 	1              	                  	33                     	                    	12              	                         	                        	          	                        	                    	                  	                    	3                    	28                         	7                 	                   	3                     	1                	3               	4                     	                  	                       	                      	2                 	            	                    	                   	                       	            	1                 	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 197; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 1	 125.00	    142.1500	Ishman   	Benthic Foraminifers                         	               	M                 	2                  	1                    	17                     	11                  	8                     	36                  	1                 	1              	1                 	26                     	1                   	11              	                         	                        	2         	                        	                    	                  	                    	                     	15                         	                  	                   	2                     	                 	2               	2                     	                  	                       	1                     	                  	3           	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 142; from Leg 145 SR; Ch 8; Table 3; pp 144-145

