Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Neocrepidolithus spiralis	Micula concava	Prediscosphaera cretacea	Microrhabdulus decoratus	Cribrosphaerella ehrenbergii	Ceratolithoides aculeus	Lithraphidites sp. cf. quatratus	Lithraphidites sp.	Arkhangelskiella cymbiformis	Toweius pertusus	Toweius eminens	Prinsius bisulcus	Neococcolithes bukryi	Neochiastozygus distentus	Fasciculithus tympaniformis	Ericsonia subpertusa	Discoaster nobilis	Discoaster mohleri	Coccolithus pelagicus	Toweius callosus	Ellipsolithus distichus	Discoaster multiradiatus	Discoaster drieveri	Cruciplacolithus californicus	Chiasmolithus bidens	Sphenolithus primus	Ericsonia universa	Chiasmolithus solitus	Chiasmolithus expansus	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Sphenolithus radians	Pontosphaera rimosa	Ericsonia formosa	Discoaster robustus	Discoaster pacificus	Discoaster barbadiensis	Chiasmolithus consuetus	Pontosphaera sp.	Ellipsolithus macellus	Discoaster kuepperi	Cruciplacolithus delus	Sphenolithus moriformis	Discoaster binodosus	Lophodolithus nascens	Discoaster lodoensis	Markalius inversus	Ericsonia cava	Cyclococcolithina protoannula	Clausicoccus fenestratus	Chiphragmalithus calathus	Chiasmolithus eograndis	Neococcolithes dubius	Lophodolithus mochlophorus	Chiasmolithus grandis	Discoaster cf. sublodoensis	Neococcolithes protenus	Reticulofenestra dictyoda	Toweius magnicrassus	Helicosphaera lophota	Toweius gammation	Helicosphaera sp.	Helicosphaera seminulum	Neococcolithes minutus	Tetralithus sp.	Neocrepidolithus sp.	Reticulofenestra pseudogammation	Lophodolithus rotundus	Nannotetrina cristata	Nannotetrina fulgens	Discoaster sp.	Discoaster sublodoensis	Reticulofenestra samodurovii	Discoaster saipanensis	Discoaster praebifax	Blackites spinosus	Discoaster distinctus	Reticulofenestra umbilica	Reticulofenestra hillae	Chiasmolithus gigas	Acanthoica sp.	Reticulofenestra floridana	Discoaster bifax	Sphenolithus furcatolithoides	Chiasmolithus sp.	Thoracosphaera sp.	Reticulofenestra sp. cf. reticulata	Reticulofenestra umbilica (>14 micron)	Reticulofenestra reticulata	Discoaster (unspecified taxon)	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus spp.	Reticulofenestra umbilica (<14 micron)	Discoaster spp.	Discoaster sp. (5-rayed)	Reticulofenestra hampdenensis	Ericsonia subdiscita/obruta	Reticulofenestra sp.	Pseudotriquetrorhabdulus inversus	Isthmolithus recurvus triplus	Dictyococcites sp.	Isthmolithus recurvus	Dictyococcites bisectus	Cyclicargolithus abisectus	Sphenolithus abies	Placolith (small)	Dictyococcites scrippsae	Coronocyclus nitescens	Pyrocyclus sp.	Reticulofenestra oamaruensis	Discoaster adamanteus	Pyrocyclus inversus	Discoaster deflandrei	Pyrocyclus orangensis	Reticulofenestra daviesii	Reticulofenestra minutula	Coccolithus sp. cf. pelagicus	Triquetrorhabdulus milowii	Discoaster calculosus	Reticulofenestra perplexa	Discoaster perplexus	Reticulofenestra gelida	Sphenolithus sp. cf. conicus	Reticulofenestra pseudoumbilica	Sphenolithus dissimilis	Sphenolithus belemnos	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus heteromorphus	Reticulofenestra small-sized	Helicosphaera carteri	Discoaster variabilis	Helicosphaera scissura	Discoaster exilis	Triquetrorhabdulus rugosus	Dictyococcites sp. (7 microns)(R. perplexa)	Discoaster sp. cf. intercalaris	Dictyococcites antarcticus	Discoaster quinqueramus	Discoaster surculus	Discoaster brouweri	Reticulofenestra spp. small	Braarudosphaera sp.	Pseudoemiliania lacunosa	Gephyrocapsa caribbeanica	Gephyrocapsa spp.	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Helicosphaera sellii	Emiliania huxleyi	Comment

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 1	  25.00	    809.1500	Beaufort 	Nannofossils                                 	F              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	R                    	                         	                           	                    	                  	                  	A                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	C                      	F                        	R                   	                   	C                	                   	                    	                       	                       	                	                      	F                  	                      	R                      	                    	                     	R                   	                  	              	R                            	                        	                         	                       	R                    	                          	R                    	R                          	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 1	  33.00	    809.2300	Beaufort 	Nannofossils                                 	F              	M                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	                	                       	                        	                   	                             	                    	                   	                  	                     	                      	                       	A                        	                    	                   	                 	                   	                    	                       	                       	                	                      	F                  	F                     	                       	                    	                     	C                   	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 1	  70.00	    809.6000	Beaufort 	Nannofossils                                 	A              	M                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	                	                       	                        	                   	R                            	                    	                   	                  	                     	R                     	C                      	R                        	F                   	                   	C                	                   	                    	                       	R                      	                	                      	F                  	                      	                       	                    	R                    	F                   	                  	              	F                            	                        	R                        	                       	R                    	                          	R                    	                           	R                      	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 1	  90.00	    809.8000	Beaufort 	Nannofossils                                 	A              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	                	                       	                        	                   	                             	                    	                   	                  	F                    	F                     	C                      	R                        	F                   	                   	C                	                   	                    	                       	                       	                	                      	F                  	F                     	F                      	                    	                     	F                   	                  	              	                             	                        	R                        	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 1	 110.00	    810.0000	Beaufort 	Nannofossils                                 	A              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	R               	                       	                        	                   	                             	                    	                   	                  	F                    	F                     	C                      	R                        	R                   	                   	C                	                   	                    	                       	                       	                	                      	F                  	                      	                       	                    	R                    	R                   	                  	              	R                            	                        	R                        	                       	R                    	                          	R                    	R                          	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	D. cf. sublodoensis is designated  ?;  from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 2	  20.00	    810.6000	Beaufort 	Nannofossils                                 	A              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	R               	                       	                        	                   	                             	                    	                   	                  	F                    	                      	C                      	C                        	F                   	                   	A                	                   	                    	                       	                       	                	                      	R                  	                      	                       	                    	                     	C                   	                  	              	                             	                        	                         	                       	R                    	                          	R                    	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 2	  60.00	    811.0000	Beaufort 	Nannofossils                                 	A              	M                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	                	                       	                        	                   	                             	                    	                   	                  	                     	R                     	C                      	R                        	F                   	                   	A                	                   	                    	                       	                       	                	                      	R                  	                      	F                      	                    	R                    	C                   	                  	              	                             	                        	R                        	                       	R                    	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 2	  80.00	    811.2000	Beaufort 	Nannofossils                                 	A              	M                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	C                    	R               	                       	                        	                   	                             	                    	                   	                  	R                    	R                     	C                      	R                        	R                   	                   	A                	                   	                    	                       	                       	                	                      	R                  	F                     	                       	                    	R                    	R                   	R                 	              	R                            	R                       	R                        	                       	R                    	R                         	R                    	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 2	 100.00	    811.4000	Beaufort 	Nannofossils                                 	A              	M                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	R               	                       	                        	                   	                             	                    	                   	                  	                     	F                     	C                      	R                        	F                   	                   	C                	                   	                    	R                      	                       	                	                      	R                  	                      	                       	                    	                     	R                   	R                 	              	R                            	                        	R                        	R                      	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP12              	NP13          	145	 883	B	 85	X	 2	 120.00	    811.6000	Beaufort 	Nannofossils                                 	A              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	R               	                       	                        	                   	                             	                    	                   	                  	R                    	                      	R                      	C                        	                    	                   	C                	                   	                    	                       	                       	                	                      	R                  	                      	                       	                    	                     	F                   	                  	              	                             	R                       	R                        	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP11              	              	145	 883	B	 85	X	 2	 140.00	    811.8000	Beaufort 	Nannofossils                                 	A              	M                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	R               	                       	                        	                   	                             	                    	                   	                  	                     	F                     	C                      	C                        	R                   	R                  	C                	                   	                    	                       	                       	                	                      	F                  	                      	F                      	                    	                     	C                   	                  	              	                             	                        	                         	                       	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket

  SR	                 	                 	NP11              	              	145	 883	B	 85	X	 3	  20.00	    812.1000	Beaufort 	Nannofossils                                 	C              	P                 	                    	                	                         	              	                        	                        	                            	                       	                                	                  	                            	                	               	                 	                     	                         	                           	                    	                  	                  	A                    	F               	                       	                        	                   	                             	                    	                   	                  	                     	                      	C                      	F                        	F                   	                   	C                	                   	                    	F                      	F                      	R               	                      	F                  	C                     	                       	                    	R                    	                    	F                 	              	C                            	R                       	R                        	R                      	                     	                          	                     	                           	                       	                         	                    	                     	                 	                 	                       	                      	               	                    	                                	                      	                     	                    	              	                       	                            	                      	                    	                  	                     	                         	                       	                   	              	                          	                	                             	                 	                  	                                   	                                      	                           	                              	                           	                       	                  	                                      	               	                        	                             	                           	                    	                                 	                             	                  	                     	                       	                          	                  	                 	                        	                      	              	                            	                     	                   	                     	                     	                         	                         	                             	                          	                     	                         	                    	                       	                            	                               	                       	                     	                        	                      	                      	                          	                            	                     	                     	                      	                 	                          	                                           	                               	                          	                       	                   	                   	                           	                   	                        	                         	                 	                         	                     	                    	                 	from Leg 145; Ch 40; Table 1; pocket
