Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verneuilinidae taxa,Rotaliid taxa (large),Miliolids species,Miliolid taxa (large),Discocyclina sp. cf. D. barkeri,Planorbulina sp.,Discorbid taxa,Alveolina sp.,Rotaliid taxa,Quinqueloculina spp.,Textulariid taxa,Asterocyclina sp.,Foraminifers (encrusting),Alveolina sp. (flosculine),Valvulinidae taxa,Nummulites sp.,Arenobulimina sp.,Nummulites sp. cf. N. deserti,Istriloculina sp.,Alveolina (Glomalveolina) sp.,Alveolina sp. 1,Pseudochrysalidina sp.,Alveolina (Alveolina) sp. aff. A. ilerdensis,Alveolina (Alveolina) sp. 3,Alveolina (Alveolina) ilerdensis,Alveolina sp. aff. A. sakaryaensis,Alveolina (Alveolina) sp. 2,Praehapydionina sp.,Alveolina (Alveolina) pinguis,Nubecularia sp.,Buliminid and Bolivinid taxa,Nummulites nitidus group,Agglutinated spp. (indeterminate),Coleiconus elongatus,Nummulites sp. cf. N. laevigatus,Comment
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 15,R, 1,   0.00,    259.2000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,R                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 15,R, 1,   4.00,    259.2400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,C                    ,                               ,F               ,              ,             ,             ,                    ,                ,C                ,R                        ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 15,R, 1,  15.00,    259.3500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,A                    ,A                ,                     ,                               ,F               ,              ,             ,F            ,                    ,                ,F                ,                         ,                          ,                 ,              ,?                ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,1                  ,1                            ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 16,R, 1,   0.00,    268.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,F                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 16,R, 1,  13.00,    268.9300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,A                    ,                               ,F               ,              ,             ,             ,                    ,                ,C                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,F                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 17,R, 1,   0.00,    278.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,1               ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 17,R, 1,   4.00,    278.1400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,C                    ,                               ,R               ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,R                            ,               ,R                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 19,R, 1,   0.00,    297.2000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,                     ,                               ,                ,              ,             ,VA           ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 19,R, 1,   3.00,    297.2300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C/A              ,                     ,                               ,F               ,              ,             ,A            ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,A                                           ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 19,R, 1,   4.00,    297.2400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,C                    ,                               ,F               ,              ,             ,A            ,                    ,                ,F                ,                         ,                          ,                 ,              ,R                ,                             ,                 ,                             ,               ,F                     ,A                                           ,                           ,                                ,C                                 ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 19,R, 1,   9.00,    297.2900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,C                    ,C                ,F                    ,                               ,F               ,              ,             ,A            ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,F                     ,A                                           ,                           ,                                ,                                  ,F                          ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 20,R, 1,   0.00,    306.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,                     ,                               ,                ,              ,             ,A            ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 20,R, 1,  13.00,    307.0300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,F                    ,                               ,F               ,              ,             ,VA           ,                    ,                ,R                ,                         ,                          ,                 ,              ,VR               ,                             ,                 ,                             ,               ,F                     ,A                                           ,A                          ,                                ,C                                 ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 20,R, 1,  21.00,    307.1100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,                     ,                               ,                ,              ,             ,A            ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,A                                           ,2                          ,2                               ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1,   0.00,    316.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,F               ,              ,             ,             ,                    ,                ,A                ,                         ,                          ,                 ,              ,R                ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1,   0.00,    316.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,C                    ,                               ,R               ,              ,             ,             ,                    ,                ,VA               ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,R                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1,   0.00,    316.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,R            ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1,  17.00,    316.6700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,R                    ,                               ,                ,              ,             ,             ,A                   ,C               ,                 ,                         ,                          ,                 ,              ,                 ,C                            ,C                ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1,  56.00,    317.0600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,C                    ,                               ,                ,?             ,             ,             ,                    ,1               ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1,  72.00,    317.2200,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,VA                   ,A                ,VR                   ,                               ,                ,              ,             ,R            ,                    ,F               ,F                ,                         ,                          ,                 ,              ,                 ,R                            ,1                ,R                            ,1              ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1, 103.00,    317.5300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,1                    ,                               ,1               ,              ,             ,1            ,A                   ,1               ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 21,R, 1, 130.00,    317.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,F                    ,F                              ,                ,              ,             ,3            ,                    ,F               ,C                ,                         ,                          ,                 ,              ,                 ,?                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 22,R, 1,  19.00,    326.3900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1                  ,                     ,A                ,F                    ,F                              ,                ,              ,             ,             ,                    ,C               ,R                ,                         ,                          ,                 ,              ,                 ,1                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 23,R, 1,   0.00,    335.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,1                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,1                ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,Pseudochrysalidina sp. questionably identified from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 23,R, 1,  22.00,    336.0200,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,A                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 23,R, 1,  37.00,    336.1700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1                  ,                     ,A                ,R                    ,F                              ,F               ,              ,             ,             ,                    ,A               ,R                ,                         ,                          ,                 ,1             ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 23,R, 1,  63.00,    336.4300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 24,R, 1,   0.00,    345.4000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 25,R, 1,   0.00,    355.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,VA               ,C                    ,                               ,F               ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 25,R, 1,   0.00,    355.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 25,R, 1,  13.00,    355.2300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,C                    ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 25,R, 1,  18.00,    355.2800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,                ,              ,             ,1            ,                    ,                ,                 ,                         ,                          ,1                ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 26,R, 1,   0.00,    364.7000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 26,R, 1,   4.00,    364.7400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,C                    ,                               ,                ,              ,             ,1            ,                    ,                ,                 ,                         ,                          ,1                ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 27,R, 1,   0.00,    374.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1                  ,                     ,F                ,R                    ,                               ,                ,1             ,             ,             ,                    ,R               ,                 ,R                        ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 27,R, 1,   0.00,    374.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,1                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 28,R, 1,   0.00,    383.7000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 28,R, 1,   3.00,    383.7300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,F                    ,                               ,                ,              ,             ,             ,                    ,1               ,                 ,F                        ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,Asterocyclina ssp. questionably identified from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 28,R, 1,  34.00,    384.0400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,R                    ,                               ,                ,F             ,             ,             ,F                   ,                ,                 ,F                        ,C                         ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 28,R, 1, 105.00,    384.7500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                  ,                     ,F                ,F                    ,                               ,                ,              ,             ,             ,F                   ,F               ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 28,R, 1, 123.00,    384.9300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,R                    ,                               ,1               ,              ,             ,             ,                    ,F               ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 29,R, 1,   7.00,    393.4700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,                     ,                               ,                ,              ,             ,             ,                    ,A               ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 29,R, 1,  16.00,    393.5600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R                  ,                     ,F                ,R                    ,?                              ,VR              ,              ,             ,             ,                    ,C               ,R                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 30,R, 1,   0.00,    403.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,                     ,                               ,                ,              ,R            ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 30,R, 1,  47.00,    403.5700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1                  ,                     ,                 ,A                    ,VR                             ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
