Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus distentus	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus eopelagicus	Helicosphaera compacta	Zygrhablithus bijugatus	Sphenolithus ciperoensis	Ericsonia fenestrata	Coronocyclus nitescens	Reticulofenestra daviesii	Helicosphaera truempyi	Helicosphaera granulata	Discoaster surculus	Coccolithus miopelagicus	Helicosphaera euphratis	Cyclicargolithus abisectus	Triquetrorhabdulus carinatus	Reticulofenestra gartneri	Helicosphaera intermedia	Discoaster adamanteus	Cyclolithella rotula	Pyrocyclus orangensis	Helicosphaera recta	Sphenolithus conicus	Sphenolithus dissimilis	Orthorhabdus serratus	Discoaster druggii	Sphenolithus belemnos	Sphenolithus heteromorphus	Helicosphaera ampliaperta	Triquetrorhabdulus milowii	Discoaster variabilis	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster exilis	Calcidiscus macintyrei	Pontosphaera japonica	Sphenolithus abies/neoabies	Triquetrorhabdulus rugosus	Reticulofenestra spp. small	Discoaster kugleri	Catinaster coalitus	Calcidiscus leptoporus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster neorectus	Discoaster neohamatus	Discoaster bellus	Discoaster loeblichii	Discoaster challengeri	Catinaster calyculus	Discoaster quinqueramus	Discoaster berggrenii	Reticulofenestra doronicoides	Amaurolithus delicatus	Rhabdosphaera clavigera	Amaurolithus primus	Helicosphaera sellii	Ceratolithus acutus	Pseudoemiliania lacunosa	Amaurolithus tricorniculatus	Amaurolithus amplificus	Syracosphaera pulchra	Scyphosphaera pulcherrima	Ceratolithus rugosus	Oolithotus antillarum	Discoaster asymmetricus	Discoaster tamalis	Discoaster triradiatus	Ceratolithus cristatus	Syracosphaera histrica	Rhabdosphaera stylifera	Gephyrocapsa spp.	Gephyrocapsa caribbeanica	Umbilicosphaera mirabilis	Discoaster prepentaradiatus	Gephyrocapsa oceanica	Umbilicosphaera sibogae	Ceratolithus telesmus	Comment
  SR	Middle Miocene   	                 	CN4               	CN5           	108	 667	A	 19	H	 5	 100.00	    169.8000	Manivit  	Nannofossils                                 	A              	M                 	                         	F                      	                      	C                    	C                          	C                    	                       	                      	                       	                        	                    	F                     	                         	                      	C                      	                   	C                       	                       	                          	                            	C                        	                        	                     	                    	R                    	                   	                    	                       	                     	                  	                     	A                         	                         	R                         	F                    	F                              	C                      	C                	F                     	R                    	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	              	108	 667	A	 20	H	CC	  27.00	    181.4500	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	A                    	A                          	C                    	                       	                      	                       	                        	                    	F                     	                         	                      	F                      	                   	A                       	                       	A                         	                            	C                        	                        	                     	F                   	                     	                   	                    	                       	                     	                  	                     	C                         	                         	                          	F                    	R                              	F                      	                 	R                     	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN3               	CN4           	108	 667	A	 21	H	CC	  13.00	    191.3800	Manivit  	Nannofossils                                 	A              	M                 	                         	C                      	                      	A                    	A                          	C                    	                       	                      	                       	                        	                    	F                     	                         	                      	F                      	                   	A                       	                       	F                         	                            	C                        	                        	                     	F                   	                     	                   	                    	                       	                     	                  	                     	A                         	R                        	R                         	                     	F                              	F                      	R                	R                     	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN3               	CN4           	108	 667	A	 22	H	CC	  17.00	    200.7800	Manivit  	Nannofossils                                 	A              	M                 	                         	C                      	                      	A                    	A                          	C                    	                       	                      	                       	                        	                    	F                     	R                        	                      	F                      	                   	A                       	                       	                          	                            	F                        	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	C                         	R                        	R                         	F                    	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN3               	              	108	 667	A	 23	H	CC	  41.00	    210.4300	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	A                    	A                          	C                    	                       	                      	                       	                        	                    	F                     	C                        	                      	F                      	                   	C                       	R                      	                          	                            	F                        	                        	                     	F                   	                     	                   	                    	                       	                     	                  	                     	R                         	R                        	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN2               	              	108	 667	A	 24	X	CC	  25.00	    214.9700	Manivit  	Nannofossils                                 	A              	M                 	                         	C                      	                      	A                    	C                          	C                    	                       	                      	                       	                        	                    	C                     	F                        	                      	R                      	                   	C                       	                       	                          	                            	F                        	R                       	                     	F                   	                     	                   	                    	                       	                     	                  	C                    	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1c              	CN2           	108	 667	A	 25	X	CC	  31.00	    225.1700	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	A                    	A                          	C                    	                       	                      	                       	                        	                    	F                     	F                        	                      	F                      	                   	C                       	F                      	C                         	                            	C                        	R                       	R                    	F                   	                     	                   	                    	                       	                     	                  	F                    	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1c              	              	108	 667	A	 26	X	CC	  13.00	    233.9900	Manivit  	Nannofossils                                 	C              	P                 	                         	C                      	                      	A                    	A                          	C                    	                       	                      	                       	                        	                    	R                     	C                        	                      	R                      	                   	C                       	F                      	R                         	R                           	F                        	                        	R                    	                    	R                    	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN11b             	CN1c          	108	 667	A	 27	X	CC	  23.00	    244.7500	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	A                    	A                          	A                    	                       	                      	                       	                        	                    	R                     	C                        	                      	                       	                   	A                       	                       	C                         	F                           	F                        	F                       	                     	                    	                     	                   	                    	F                      	F                    	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN11b             	              	108	 667	A	 28	X	CC	  25.00	    253.0500	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	A                    	A                          	A                    	F                      	                      	                       	                        	                    	F                     	R                        	                      	F                      	                   	A                       	                       	F                         	A                           	F                        	F                       	                     	F                   	                     	                   	                    	F                      	R                    	R                 	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	CN11b         	108	 667	A	 29	X	CC	  35.00	    266.9800	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	C                    	A                          	C                    	F                      	                      	                       	                        	                    	F                     	                         	                      	                       	                   	A                       	                       	R                         	C                           	C                        	F                       	                     	                    	R                    	                   	F                   	F                      	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	CN11b         	108	 667	A	 30	X	CC	  25.00	    275.2700	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	C                    	C                          	C                    	F                      	                      	                       	                        	                    	F                     	F                        	                      	                       	                   	C                       	R                      	F                         	C                           	F                        	F                       	                     	                    	                     	                   	C                   	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	CN11b         	108	 667	A	 31	X	CC	  35.00	    282.1700	Manivit  	Nannofossils                                 	C              	P                 	                         	F                      	                      	C                    	C                          	C                    	C                      	                      	                       	                        	                    	R                     	                         	                      	                       	                   	C                       	                       	C                         	F                           	F                        	F                       	                     	R                   	                     	                   	F                   	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	              	108	 667	A	 32	X	 5	  90.00	    293.2000	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	C                    	C                          	C                    	F                      	                      	                       	                        	                    	F                     	F                        	                      	R                      	                   	C                       	                       	C                         	C                           	C                        	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	              	108	 667	A	 33	X	CC	  29.00	    301.7200	Manivit  	Nannofossils                                 	A              	P                 	                         	C                      	                      	C                    	C                          	C                    	C                      	                      	                       	                        	                    	R                     	                         	                      	                       	                   	                        	R                      	C                         	R                           	F                        	F                       	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	              	108	 667	A	 34	X	CC	  39.00	    312.1600	Manivit  	Nannofossils                                 	A              	M                 	                         	C                      	                      	C                    	A                          	F                    	C                      	                      	                       	                        	                    	F                     	                         	R                     	                       	                   	F                       	                       	C                         	R                           	C                        	                        	                     	                    	R                    	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	              	108	 667	A	 35	X	CC	   4.00	    320.7100	Manivit  	Nannofossils                                 	A              	M                 	                         	A                      	                      	C                    	A                          	F                    	F                      	                      	                       	                        	F                   	F                     	R                        	R                     	R                      	R                  	                        	                       	C                         	F                           	C                        	                        	                     	                    	R                    	R                  	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Early Miocene    	                 	CN1a              	              	108	 667	A	 36	X	CC	  57.00	    329.8800	Manivit  	Nannofossils                                 	A              	M                 	                         	C                      	                      	C                    	A                          	C                    	F                      	                      	                       	R                       	C                   	F                     	F                        	                      	                       	                   	F                       	R                      	F                         	F                           	F                        	F                       	R                    	R                   	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP19b             	              	108	 667	A	 37	X	 5	 127.00	    341.0700	Manivit  	Nannofossils                                 	A              	M                 	                         	A                      	                      	C                    	A                          	C                    	F                      	                      	                       	F                       	C                   	F                     	                         	                      	                       	                   	                        	F                      	F                         	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP19a             	CP19b         	108	 667	A	 38	X	CC	  34.00	    350.0100	Manivit  	Nannofossils                                 	A              	P                 	R                        	A                      	                      	C                    	A                          	C                    	F                      	                      	                       	F                       	C                   	F                     	F                        	R                     	R                      	R                  	F                       	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP19a             	CP19b         	108	 667	A	 39	X	CC	  31.00	    357.0300	Manivit  	Nannofossils                                 	A              	P                 	R                        	A                      	                      	C                    	A                          	F                    	F                      	                      	                       	F                       	F                   	R                     	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP19a             	              	108	 667	A	 40	X	 2	   0.00	    363.8000	Manivit  	Nannofossils                                 	A              	M                 	                         	C                      	                      	C                    	A                          	F                    	F                      	                      	                       	F                       	F                   	R                     	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP18              	CP19a         	108	 667	A	 40	X	CC	  40.00	    371.0800	Manivit  	Nannofossils                                 	A              	M                 	R                        	C                      	                      	C                    	A                          	C                    	F                      	F                     	R                      	R                       	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP18              	CP19a         	108	 667	A	 41	X	 3	   0.00	    374.8000	Manivit  	Nannofossils                                 	A              	M                 	R                        	A                      	R                     	C                    	A                          	F                    	F                      	F                     	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Oligocene        	                 	CP18              	              	108	 667	A	 41	X	CC	  38.00	    376.4400	Manivit  	Nannofossils                                 	A              	M                 	R                        	A                      	R                     	C                    	A                          	F                    	F                      	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	                       	                 	                      	                     	                           	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

