Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella simplex	Hedbergella planispira	Hedbergella delrioensis	Morozovella spinulosa	Globigerinoides higginsi	Acarinina spp.	Acarinina bullbrooki	Truncorotaloides rohri	Globorotaloides spp.	Globorotalia cerroazulensis frontosa	Globigerina hagni	Catapsydrax spp.	Acarinina pentacamerata	Acarinina broedermanni	Morozovella aragonensis	Globigerinatheka index	Acarinina pseudotopilensis	Globigerina senni	Morozovella spp.	Pseudohastigerina micra	Globorotaloides suteri	Globigerina linaperta	Globigerina ouachitaensis	Globigerina eocaena	Truncorotaloides topilensis	Globorotalia opima nana	Globorotalia cerroazulensis	Catapsydrax dissimilis	Globigerina tripartita	Globigerina praebulloides	Globigerina ampliapertura	Globigerina spp.	Globorotalia cerroazulensis cerroazulensis	Globigerina yeguaensis	Hantkenina spp.	Globoquadrina venezuelana	Globigerina cryptomphala	Marginotruncana spp.	Globorotalia increbescens	Globorotalia cocoaensis/cunialensis transition	Catapsydrax unicavus	Globigerina ciperoensis ciperoensis	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis	Globigerina sellii	Globorotalia opima opima	Globorotalia opima nana/opima opima transition	Globorotalia obesa	Globoquadrina globularis	Globorotalia siakensis	Globigerina ciperoensis angulisuturalis	Globorotalia mayeri	Globoquadrina spp.	Globorotalia opima nana/continuosa transition	Globigerina binaiensis	Globorotalia fohsi peripheroronda	Globigerina gortanii	Globigerinoides primordius	Globoquadrina altispira altispira	Hastigerina praesiphonifera	Globorotalia praescitula	Globoquadrina dehiscens dehiscens	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina woodi woodi	Catapsydrax stainforthi	Globigerinoides spp.	Praeorbulina transitoria	Globorotalia miozea/conoidea	Globigerina bulloides	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia tumida	Globorotalia merotumida	Sphaeroidinellopsis seminulina	Globorotalia crassaformis ronda	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Orbulina bilobata	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Hastigerina siphonifera	Globorotalia scitula	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globigerinoides ruber (white)	Globigerinoides elongatus/obliquus extremus	Globigerinoides conglobatus	Globigerina decoraperta	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus obliquus	Beella praedigitata	Globorotalia triangula	Globorotalia inflata	Neogloboquadrina atlantica	Globorotalia truncatulinoides	Globorotalia tosaensis	Hastigerina aequilateralis	Globigerina megastoma cariacoensis	Neogloboquadrina humerosa	Beella digitata	Pulleniatina obliquiloculata	Pulleniatina finalis	Globorotalia crassaformis hessi	Pulleniatina primalis	Rotalipora spp.	Comment

  SR	Late Pliocene    	                 	N20               	N21           	149	 897	C	 18	R	CC	  11.00	    215.1500	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	R                	                  	F                          	                            	                   	                       	R                             	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	                 	N20               	N21           	149	 897	C	 19	R	 1	  73.00	    224.8300	Gervais  	Planktonic Foraminifers                      	C              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	R                	R                 	F                          	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	C                     	F                   	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 19	R	CC	  15.00	    229.7500	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	R                	                  	                           	R                           	                   	                       	                              	                               	                         	                                      	                 	                       	R                                 	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 20	R	 1	 135.00	    235.1500	Gervais  	Planktonic Foraminifers                      	A              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	r                         	                                 	                           	                        	                                 	R                                 	                            	                           	                       	                       	                    	                        	                            	F                    	F                	R                 	F                          	F                           	R                  	                       	                              	R                              	                         	R                                     	                 	R                      	                                  	                       	                    	F                        	                            	F                            	R                                          	R                          	                       	F                        	?                         	R                                	R                  	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 22	R	 2	  70.00	    255.2000	Gervais  	Planktonic Foraminifers                      	A              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	R                                 	                            	                           	                       	                       	                    	                        	                            	F                    	R                	R                 	C                          	F                           	                   	                       	                              	                               	R                        	                                      	                 	R                      	                                  	R                      	F                   	R                        	R                           	F                            	R                                          	R                          	R                      	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 23	R	 1	 104.00	    263.7400	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	R                    	F                	R                 	F                          	R                           	                   	                       	                              	R                              	                         	                                      	                 	                       	?                                 	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 24	R	 1	  27.00	    272.5700	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	F                    	R                	R                 	                           	                            	                   	                       	                              	R                              	?                        	                                      	R                	?                      	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 25	R	 1	   9.00	    282.0900	Gervais  	Planktonic Foraminifers                      	R              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	R               	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 897	C	 26	R	 1	  90.00	    292.4000	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	R                	                  	                           	                            	                   	                       	                              	R                              	F                        	R                                     	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Miocene     	Early Pliocene   	N18               	N19           	149	 897	C	 26	R	CC	  22.00	    294.5900	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	R                             	R                              	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Miocene     	                 	N16               	N17           	149	 897	C	 28	R	CC	   7.00	    317.7700	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	R                        	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	R                	R                 	F                          	F                           	R                  	R                      	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Middle Miocene   	                 	N9                	N13           	149	 897	C	 29	R	 4	 122.00	    326.2300	Gervais  	Planktonic Foraminifers                      	R              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	R                                        	                       	                  	                        	                                              	                  	                        	                      	                                       	R                  	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Miocene    	Middle Miocene   	N7                	N8            	149	 897	C	 30	R	 4	  52.00	    335.2200	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	F                                	R                                 	                            	                           	                       	                       	R                   	R                       	F                           	?                    	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Miocene    	                 	N7                	              	149	 897	C	 30	R	 6	  25.00	    337.9500	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	R               	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	R                                	                                  	                            	                           	                       	                       	R                   	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Early Miocene    	                 	N7                	              	149	 897	C	 30	R	CC	   9.00	    339.9200	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	R                        	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	R                  	                  	                                             	                      	R                                	                    	                          	                                 	                           	R                       	                                 	                                  	                            	                           	                       	R                      	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.
