Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Whiteinella baltica,Ticinella roberti,Ticinella primula,Ticinella madecassiana,Heterohelix moremani,Hedbergella planispira,Hedbergella delrioensis,Clavihedbergella simplex,Biticinella breggiensis,Ticinella raynaudi,Globigerinelloides bentonensis,Clavihedbergella subcretacea,Costellagerina libyca,Guembelitria cenomana,Globigerinelloides caseyi,Rotalipora cushmani,Whiteinella archaeocretacea,Rotalipora appenninica,Rotalipora brotzeni,Whiteinella inornata,Heterohelix globulosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Heterohelix reussi,Globotruncanella petaloidea,Globotruncanella havanensis,Rugoglobigerina rugosa,Heterohelix striata,Globotruncanita stuartiformis,Globotruncana bulloides,Globotruncana aegyptiaca,Rugotruncana subcircumnodifer,Gansserina gansseri,Contusotruncana fornicata,Rugoglobigerina hexacamerata,Globotruncana arca,Contusotruncana plummerae,Pseudotextularia elegans,Pseudotextularia deformis,Globotruncana linneiana,Globotruncanita stuarti,Globotruncanita conica,Abathomphalus mayaroensis,Subbotina triangularis,Morozovella velascoensis,Morozovella conicotruncata,Morozovella angulata,Morozovella aequa,Igorina pusilla,Igorina albeari,Subbotina velascoensis,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella acuta,Globanomalina planoconica,Acarinina wilcoxensis,Subbotina patagonica,Pseudohastigerina naguewichiensis,Morozovella subbotinae,Morozovella occlusa,Morozovella gracilis,Morozovella edgari,Igorina tadjikistanensis,Morozovella marginodentata,Acarinina quetra,Igorina broedermanni,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella lensiformis,Morozovella formosa,Morozovella aragonensis,Subbotina inaequispira,Planorotalites pseudoscitulus,Planorotalites palmerae,Guembelitrioides higginsi,Globigerina lozanoi,Acarinina pentacamerata,Acarinina aspensis,Turborotalia griffinae,Muricoglobigerina senni,Acarinina pseudotopilensis,Acarinina bullbrooki,Morozovella spinulosa,Acarinina praetopilensis,Chiloguembelina cubensis,Globorotaloides suteri,Globigerina pseudovenezuelana,Dentoglobigerina galavisi,Catapsydrax unicavus,Comment
  IR,                 ,                 ,                  ,              ,207,1258,B, 21,R,CC,   0.00,    197.9300,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,P                ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 22,R,CC,  20.00,    214.6500,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,P                     ,P                       ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,P                ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 23,R,CC,  14.00,    223.5200,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,P                       ,                          ,P                   ,                 ,               ,P              ,P                     ,P                           ,P                          ,P                     ,P                     ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 25,R,CC,  18.00,    243.5700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,P                     ,P                       ,P                         ,P                   ,P                ,P              ,P              ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 27,R,CC,  20.00,    253.9400,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,P                     ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,P                       ,P                        ,                       ,P                      ,                      ,P                        ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 28,R,CC,   9.00,    260.2100,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,P                    ,                          ,                                   ,                  ,P                          ,                           ,P                     ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,P                       ,P                        ,                       ,P                      ,P                     ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 29,R,CC,   0.00,    266.0200,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,P                    ,P                         ,                                   ,                  ,                           ,                           ,P                     ,                   ,                             ,                       ,P                       ,P                            ,P                  ,                         ,                            ,                  ,                         ,                        ,P                        ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 30,R,CC,  23.00,    282.1100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,+                    ,                          ,                                   ,P                 ,                           ,                           ,P                     ,                   ,                             ,                       ,P                       ,                             ,                   ,                         ,                            ,                  ,                         ,+                       ,+                        ,                       ,+                      ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 31,R,CC,   7.00,    289.1400,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,P                         ,                                   ,P                 ,P                          ,                           ,P                     ,P                  ,                             ,                       ,P                       ,                             ,                   ,                         ,                            ,                  ,                         ,P                       ,P                        ,P                      ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 32,R,CC,  13.00,    301.3900,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,P                 ,                           ,                           ,P                     ,                   ,                             ,P                      ,P                       ,                             ,                   ,P                        ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 33,R,CC,   0.00,    307.9800,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,P                          ,P                     ,                   ,P                            ,                       ,P                       ,                             ,                   ,P                        ,P                           ,P                 ,P                        ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 34,R,CC,  20.00,    320.7000,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,P                         ,P                                  ,                  ,                           ,                           ,P                     ,                   ,P                            ,                       ,P                       ,P                            ,P                  ,P                        ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 35,R,CC,   0.00,    321.2200,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,P                                  ,                  ,                           ,                           ,P                     ,P                  ,P                            ,P                      ,P                       ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 36,R,CC,  11.00,    334.9300,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,P                 ,P                          ,P                          ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 38,R,CC,  30.00,    353.5600,forams   ,Planktonic Foraminifers                      ,B              ,                  ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,+                 ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 39,R,CC,  20.00,    367.7500,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,P                         ,P                                  ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 44,R,CC,   0.00,    397.9000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,P                  ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,P                   ,P                    ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 46,R,CC,   0.00,    407.5400,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,P                    ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 47,R,CC,   8.00,    412.2000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,P                  ,                 ,                 ,                      ,P                   ,                      ,P                      ,                        ,                       ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 48,R, 1, 123.00,    413.9300,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,P                  ,                 ,                 ,                      ,P                   ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 48,R,CC,  13.00,    414.2600,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,P                  ,                 ,                 ,                      ,P                   ,P                     ,P                      ,                        ,                       ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,P                   ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 49,R, 3,  14.00,    419.5100,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                 ,                 ,                      ,P                   ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 49,R,CC,   3.00,    419.9900,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,P                  ,                 ,                 ,                      ,P                   ,P                     ,P                      ,                        ,                       ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,P                   ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
