Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Stephanogonia hanzawae,Pseudopyxilla directa,Ikebea tenuis,Chaetoceros spp. (resting spores),Thalassionema lineatum,Rhizosolenia miocenica,Rhizosolenia hebetata f. semispina,Rhaphoneis ossiformis,Proboscia alata,Denticulopsis hustedtii,Rhizosolenia norwegica,Pseudopyxilla rossica,Porosira glacialis,Nitzschia pseudocylindrica,Goniothecium tenue,Denticulopsis lauta,Actinocyclus ehrenbergii,Stephanopyxis spinossima,Proboscia praebarboi,Coscinodiscus norwegicus,Thalassiosira grunowii,Stellarima microtrias,Rhaphoneis paralellica,Mediaria splendida,Eucampia aff. balaustium,Dimerogramma cf. aff. dubium,Coscinodiscus asteromphalus,Thalassiosira yabei,Rhizosolenia praebarboi,Coscinodiscus yabei,Coscinodiscus plicatus,Pterotheca reticulata,Pseudopodosira simplex,Denticulopsis praedimorpha,Rhizosolenia hebetata f. hebetata,Actinocyclus ingens,Coscinodiscus marginatus,Nitzschia donahuensis,Thalassiosira aff. gravida,Nitzschia heteropolica,Pterotheca aculeifera,Thalassiosira nordenskioeldii,Synedra pulchella,Actinocyclus curvatulus,Nitzschia evenscens,Rhaphoneis margaritalimbata,Synedra miocenica,Pseudodimerogramma sp.,Xanthiopyxis sp.,Nitzschia aff. cylindrica,Cymatosira biharensis,Cestodiscus sp.,Nitzschia riedelia,Coscinodiscus lewisianus,Rhizosolenia styliformis,Hemiaulus polycystinorum,Coscinodiscus flexuosus,Rhizosolenia barboi,Proboscia barboi,Thalassiosira kryophila,Thalassiothrix miocenica,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira decipiens,Thalassiosira baldaufii,Thalassiosira convexa,Thalassiosira sp. a,Thalassiosira jacksonii,Thalassiosira gravida vegetative,Thalassiosira eccentrica,Thalassiosira aff. nordenskioeldii,Thalassiosira sp. c,Thalassionema nitzschioides,Thalassiosira zabellinae,Thalassiosira sp. 1,Thalassiosira nidulus,Nitzschia kanayensis,Nitzschia atlantica,Thalassiosira gravida spore,Coscinodiscus oculus-iridis,Rhizosolenia bergonii,Proboscia curvirostris,Thalassiosira trifulta,Thalassiosira anguste-lineata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,T. jacksonii      ,              ,151, 907,A,  9,H, 3, 101.00,     77.8100,Koc      ,Diatoms                                      ,R              ,M                 ,                    ,+                     ,                     ,             ,                                 ,+                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,                ,                       ,                        ,                         ,R                      ,                       ,                       ,                     ,                   ,+                      ,                                ,                        ,                                  ,                   ,+                          ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,T. jacksonii      ,              ,151, 907,A,  9,H, 4,  62.00,     78.9200,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,+                     ,                     ,             ,A                                ,A                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,C                 ,F                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,F                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,F                       ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,C               ,                       ,                        ,                         ,A                      ,                       ,                       ,                     ,                   ,C                      ,                                ,                        ,                                  ,                   ,+                          ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. kryophilia     ,              ,151, 907,A,  9,H, 6, 126.00,     82.5600,Koc      ,Diatoms                                      ,               ,                  ,R                   ,+                     ,                     ,             ,C                                ,+                     ,                      ,F                                 ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,F                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,C                        ,                     ,               ,C                 ,                        ,                        ,                        ,                       ,+                  ,C               ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,+                      ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,T. jacksonii      ,              ,151, 907,A,  9,H, 7,  59.00,     83.3900,Koc      ,Diatoms                                      ,C              ,M                 ,R                   ,+                     ,                     ,             ,C                                ,A                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,R                       ,                        ,                    ,                        ,                      ,F                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,C                        ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,C               ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,+                      ,                                ,+                       ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. kryophilia     ,              ,151, 907,A,  9,H,CC,  33.00,     83.9400,Koc      ,Diatoms                                      ,               ,                  ,                    ,+                     ,                     ,             ,                                 ,+                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,+                      ,                                ,+                       ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,T. jacksonii      ,              ,151, 907,A, 10,H, 1, 134.00,     84.6400,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,+                     ,                     ,             ,F                                ,+                     ,                      ,C                                 ,                     ,               ,                       ,                      ,                     ,R                 ,+                         ,                  ,                   ,F                       ,                        ,                    ,                        ,                      ,C                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,R                                ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,R                        ,                     ,               ,                  ,                        ,R                       ,                        ,                       ,+                  ,A               ,                       ,                        ,                         ,+                      ,                       ,                       ,F                    ,F                  ,+                      ,                                ,+                       ,                                  ,A                  ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,T. jacksonii      ,              ,151, 907,A, 10,H, 3,  98.00,     87.2800,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,+                     ,                     ,             ,A                                ,R                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,F                 ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,C                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,A                            ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,C               ,                       ,                        ,                         ,R                      ,                       ,F                      ,F                    ,C                  ,F                      ,R                               ,A                       ,+                                 ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. kryophilia     ,              ,151, 907,A, 10,H,CC,  16.00,     93.1700,Koc      ,Diatoms                                      ,               ,                  ,                    ,+                     ,                     ,             ,                                 ,+                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 11,H, 1, 133.00,     94.1300,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,                      ,                     ,             ,R                                ,C                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,F                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,C                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,R                      ,                       ,C                      ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 11,H, 2,  11.00,     94.4100,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,R                     ,                     ,             ,F                                ,A                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,R                       ,                     ,                          ,                      ,                     ,                             ,                 ,C                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,R                 ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,F                      ,F                      ,C                      ,R                    ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 11,H, 2,  21.00,     94.5100,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,                      ,                     ,             ,F                                ,C                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,R                 ,                          ,                  ,                   ,R                       ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,R                       ,                     ,                          ,                      ,                     ,                             ,                 ,C                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,F                      ,F                      ,C                      ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 11,H, 5, 142.00,    100.2200,Koc      ,Diatoms                                      ,C              ,G                 ,R                   ,R                     ,                     ,             ,R                                ,A                     ,                      ,R                                 ,                     ,R              ,                       ,                      ,                     ,R                 ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,F                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,C                                ,                   ,C                       ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,C               ,                       ,F                       ,C                        ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 11,H, 6, 106.00,    101.3600,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,F                     ,                     ,             ,R                                ,C                     ,                      ,R                                 ,                     ,R              ,                       ,                      ,                     ,C                 ,                          ,                  ,                   ,F                       ,                        ,                    ,                        ,R                     ,F                    ,                      ,                  ,R                       ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,R                     ,                          ,F                                ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,R                 ,                        ,                        ,                        ,                       ,                   ,A               ,                       ,C                       ,C                        ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. kryophilia     ,              ,151, 907,A, 11,H,CC,  20.00,    102.8400,Koc      ,Diatoms                                      ,               ,                  ,                    ,+                     ,                     ,             ,C                                ,+                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,R                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,C                                ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,R                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,F               ,F                      ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,C. marginatus     ,              ,151, 907,A, 12,H, 1,  75.00,    103.0500,Koc      ,Diatoms                                      ,               ,                  ,                    ,+                     ,                     ,             ,                                 ,+                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,+                       ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,+                         ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 12,H, 3,  84.00,    106.1400,Koc      ,Diatoms                                      ,C              ,G                 ,F                   ,C                     ,                     ,             ,F                                ,C                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,A                 ,R                         ,                  ,                   ,                        ,                        ,                    ,                        ,R                     ,                     ,                      ,                  ,R                       ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,C                       ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. barboi         ,              ,151, 907,A, 12,H, 4,  14.00,    106.9400,Koc      ,Diatoms                                      ,C              ,G                 ,R                   ,C                     ,                     ,             ,C                                ,C                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,A                 ,R                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,R                       ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,F                       ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 12,H, 5,  25.00,    108.5500,Koc      ,Diatoms                                      ,A              ,M                 ,                    ,+                     ,                     ,F            ,A                                ,C                     ,                      ,F                                 ,                     ,               ,+                      ,                      ,                     ,F                 ,+                         ,+                 ,                   ,                        ,                        ,                    ,F                       ,C                     ,                     ,                      ,                  ,+                       ,                            ,                           ,                   ,                       ,                   ,+                     ,                     ,                      ,                          ,F                                ,                   ,F                       ,                     ,+                         ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,R               ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 12,H, 5,  70.00,    109.0000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,C                     ,R                    ,R            ,A                                ,A                     ,                      ,A                                 ,                     ,               ,+                      ,                      ,                     ,                  ,R                         ,+                 ,                   ,F                       ,                        ,                    ,A                       ,R                     ,                     ,                      ,                  ,F                       ,                            ,                           ,                   ,                       ,                   ,+                     ,                     ,                      ,                          ,                                 ,                   ,F                       ,                     ,C                         ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,R                    ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,R               ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
