Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites anthophorus,Quadrum trifidum,Quadrum gothicum,Prediscosphaera cretacea,Micula staurophora,Micula concava,Microrhabdulus decoratus,Manivitella pemmatoidea,Lithraphidites carniolensis,Glaukolithus diplogrammus,Eiffellithus eximius,Cylindralithus sp. cf. C. serratus,Cribrosphaerella ehrenbergii,Cretarhabdus surirellus,Cretarhabdus crenulatus,Ceratolithoides aculeus,Ahmuellerella octoradiata,Tetrapodorhabdus decorus,Zeugrhabdotus embergeri,Reinhardtites levis,Quadrum sissinghii,Calculites obscurus,Broinsonia enormis,Rhagodiscus angustus,Microrhabdulus stradneri,Chiastozygus litterarius,Arkhangelskiella cymbiformis,Zygodiscus spiralis,Eiffellithus turriseiffelii,Biscutum constans,Kamptnerius magnificus,Micula praemurus,Micula murus,Prediscosphaera grandis,Ceratolithoides kamptneri,Micula prinsii,Cribrosphaerella daniae,Thoracosphaera sp.,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Reticulofenestra gartneri,Helicosphaera kamptneri,Discoaster surculus,Discoaster pentaradiatus,Discoaster hamatus,Discoaster berggrenii,Coccolithus pelagicus,Catinaster calyculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster loeblichii,Discoaster bollii,Discoaster bellus,Helicosphaera recta,Discoaster quinqueramus,Discoaster neorectus,Discoaster neohamatus,Discoaster brouweri,Amaurolithus primus,Amaurolithus delicatus,Triquetrorhabdulus rugosus,Amaurolithus amplificus,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra doronicoides,Ceratolithus rugosus,Pseudoemiliania lacunosa,Syracosphaera histrica,Helicosphaera sellii,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Syracosphaera pulchra,Ceratolithus cristatus,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pontosphaera japonica,Scyphosphaera pulcherrima,Gephyrocapsa spp.,Umbilicosphaera mirabilis,Gephyrocapsa caribbeanica,Scyphosphaera apsteinii,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Orthorhabdus serratus,Ceratolithus telesmus,Comment
  SR,Late Miocene     ,                 ,CN8               ,CN8a          ,108, 661,A, 10,H, 1,  70.00,     78.3000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,C                          ,A                          ,A                              ,A                        ,F                      ,F                  ,R                       ,                  ,F                    ,F                    ,                    ,F                     ,F                     ,F                    ,                     ,F                ,                 ,F                  ,R                      ,                    ,F                    ,R                  ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8               ,CN8a          ,108, 661,A, 10,H, 1, 110.00,     78.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,F                          ,A                          ,A                              ,A                        ,F                      ,C                  ,F                       ,                  ,                     ,F                    ,                    ,F                     ,R                     ,F                    ,                     ,F                ,R                ,F                  ,R                      ,F                   ,F                    ,R                  ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8               ,              ,108, 661,A, 10,H, 3, 130.00,     81.9000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,F                          ,A                          ,C                              ,A                        ,F                      ,F                  ,R                       ,                  ,R                    ,F                    ,R                   ,F                     ,F                     ,                     ,R                    ,R                ,R                ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN7               ,CN8           ,108, 661,A, 10,H, 3, 150.00,     82.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,F                          ,A                          ,C                              ,A                        ,F                      ,C                  ,F                       ,F                 ,F                    ,F                    ,                    ,F                     ,F                     ,F                    ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN7               ,              ,108, 661,A, 10,H, 4,  45.00,     82.5500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                    ,                     ,                         ,                ,                ,                        ,                  ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,                            ,                       ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,F                          ,A                          ,C                              ,A                        ,F                      ,C                  ,F                       ,F                 ,F                    ,F                    ,R                   ,F                     ,F                     ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7 p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 12,H, 6, 121.00,    105.3100,Manivit  ,Nannofossils                                 ,A              ,P                 ,C                   ,                     ,                         ,                ,                ,C                       ,C                 ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,F                           ,F                      ,F                      ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,F                           ,                   ,                           ,                 ,                      ,                ,C           ,                       ,                         ,F             ,F                      ,R                 ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 12,H, 6, 122.00,    105.3200,Manivit  ,Nannofossils                                 ,A              ,P                 ,C                   ,                     ,                         ,                ,                ,C                       ,C                 ,              ,                        ,                       ,                           ,                         ,                    ,                                  ,F                           ,F                      ,R                      ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,                   ,                           ,                 ,                      ,                ,C           ,                       ,                         ,F             ,F                      ,R                 ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 12,H, 6, 124.00,    105.3400,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                   ,                     ,                         ,                ,                ,C                       ,C                 ,              ,R                       ,R                      ,                           ,                         ,                    ,                                  ,F                           ,R                      ,F                      ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,                   ,                           ,                 ,                      ,                ,C           ,F                      ,                         ,F             ,R                      ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 1,  30.00,    106.4000,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                   ,                     ,                         ,                ,                ,C                       ,A                 ,              ,R                       ,R                      ,                           ,                         ,                    ,R                                 ,F                           ,R                      ,F                      ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,                   ,R                          ,                 ,                      ,                ,C           ,F                      ,R                        ,R             ,R                      ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 1,  60.00,    106.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                   ,                     ,                         ,                ,                ,C                       ,A                 ,              ,                        ,F                      ,R                          ,                         ,                    ,F                                 ,C                           ,R                      ,                       ,                       ,F                        ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,R                  ,R                          ,                 ,                      ,                ,C           ,F                      ,                         ,R             ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 1, 100.00,    107.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,C                       ,A                 ,              ,R                       ,F                      ,R                          ,                         ,                    ,C                                 ,C                           ,                       ,R                      ,                       ,F                        ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,                   ,                           ,                 ,                      ,                ,C           ,R                      ,R                        ,R             ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 1, 145.00,    107.5500,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,C                       ,A                 ,              ,                        ,F                      ,                           ,                         ,                    ,F                                 ,F                           ,                       ,                       ,                       ,R                        ,R                       ,R                      ,                   ,                  ,                   ,R                 ,                    ,                        ,                        ,F                           ,                   ,R                          ,R                ,                      ,                ,C           ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 2, 140.00,    109.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,A                       ,A                 ,              ,                        ,F                      ,                           ,                         ,                    ,F                                 ,                            ,R                      ,                       ,                       ,                         ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,R                       ,                        ,F                           ,R                  ,                           ,                 ,                      ,R               ,F           ,F                      ,R                        ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 4, 105.00,    111.6500,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,A                       ,A                 ,              ,R                       ,R                      ,R                          ,R                        ,                    ,R                                 ,C                           ,                       ,F                      ,R                      ,F                        ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,R                       ,A                           ,                   ,R                          ,                 ,                      ,F               ,F           ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 5,  72.00,    112.8200,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,C                       ,A                 ,R             ,                        ,F                      ,                           ,                         ,                    ,F                                 ,F                           ,                       ,                       ,                       ,C                        ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,R                  ,                           ,R                ,                      ,F               ,R           ,R                      ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25C             ,              ,108, 661,A, 13,H, 6, 100.00,    114.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,C                       ,C                 ,              ,F                       ,R                      ,R                          ,R                        ,                    ,F                                 ,F                           ,F                      ,F                      ,                       ,R                        ,                        ,                       ,                   ,                  ,                   ,R                 ,                    ,R                       ,R                       ,C                           ,R                  ,                           ,                 ,R                     ,F               ,R           ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25              ,              ,108, 661,A, 13,H,CC,  23.00,    115.0000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,C                       ,C                 ,F             ,                        ,F                      ,                           ,                         ,                    ,F                                 ,F                           ,                       ,                       ,R                      ,R                        ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,C                           ,                   ,                           ,                 ,                      ,F               ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25              ,              ,108, 661,A, 14,H, 5,  80.00,    120.2500,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,                     ,                         ,                ,                ,C                       ,C                 ,              ,R                       ,F                      ,                           ,R                        ,                    ,F                                 ,F                           ,F                      ,F                      ,                       ,F                        ,                        ,R                      ,                   ,                  ,                   ,R                 ,                    ,                        ,R                       ,C                           ,                   ,F                          ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC25              ,              ,108, 661,A, 14,H, 7, 140.00,    123.8500,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                   ,                     ,                         ,                ,                ,C                       ,C                 ,F             ,F                       ,C                      ,R                          ,                         ,                    ,C                                 ,C                           ,F                      ,                       ,                       ,R                        ,                        ,                       ,R                  ,                  ,R                  ,                  ,                    ,F                       ,F                       ,C                           ,                   ,F                          ,                 ,F                     ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 14,H, 8,  84.00,    124.7900,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                   ,                     ,                         ,R               ,                ,C                       ,C                 ,              ,F                       ,C                      ,                           ,F                        ,                    ,C                                 ,C                           ,R                      ,C                      ,F                      ,F                        ,R                       ,R                      ,R                  ,                  ,                   ,                  ,R                   ,F                       ,F                       ,F                           ,R                  ,                           ,                 ,R                     ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 15,H, 3, 100.00,    129.1000,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                   ,                     ,                         ,R               ,R               ,C                       ,C                 ,              ,                        ,F                      ,                           ,                         ,                    ,F                                 ,C                           ,R                      ,                       ,F                      ,F                        ,                        ,                       ,F                  ,                  ,R                  ,                  ,                    ,                        ,                        ,F                           ,                   ,F                          ,R                ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 15,H, 4, 140.00,    131.0000,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                   ,                     ,                         ,F               ,R               ,C                       ,C                 ,R             ,                        ,F                      ,F                          ,R                        ,                    ,F                                 ,F                           ,F                      ,F                      ,F                      ,                         ,                        ,                       ,F                  ,R                 ,R                  ,                  ,                    ,                        ,F                       ,R                           ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
