Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment
  SR	                 	                 	                  	              	128	 798	A	  8	H	 5	   5.00	     70.1500	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	                        	                	                     	                     	A                        	                        	F                     	                        	                    	A                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 5	  83.00	     70.9300	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	A                       	F               	                     	F                    	A                        	                        	C                     	F                       	                    	A                    	V                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 6	   5.00	     71.6500	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	A                       	F               	                     	                     	A                        	                        	F                     	F                       	                    	A                    	V                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 6	  83.00	     72.4300	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	                        	F               	                     	F                    	A                        	                        	C                     	F                       	                    	A                    	V                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 7	   5.00	     73.1500	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	                        	F               	                     	F                    	A                        	                        	F                     	F                       	                    	A                    	V                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 7	  83.00	     73.9300	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	                        	                	F                    	F                    	A                        	                        	F                     	                        	                    	V                    	V                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 8	   5.00	     74.6500	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	                        	F               	                     	C                    	A                        	                        	C                     	F                       	                    	V                    	V                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  8	H	 8	  83.00	     75.4300	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	                        	                	                     	                     	A                        	                        	                      	                        	                    	A                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 1	   6.00	     74.8600	Muza     	Nannofossils                                 	H              	P                 	                               	                     	                        	                	                     	                     	V                        	                        	F                     	                        	                    	A                    	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 1	  68.00	     75.4800	Muza     	Nannofossils                                 	H              	P                 	                               	                     	A                       	                	F                    	F                    	V                        	                        	F                     	                        	                    	A                    	                   	                      	F                      	F                        	                       	                        	                 	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

