Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotalia scitula	Globorotalia margaritae	Globorotalia limbata	Globoquadrina venezuelana	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus obliquus	Globigerinoides obliquus extremus	Globigerinella siphonifera	Candeina nitida	Globoturborotalita nepenthes	Globoquadrina baroemoenensis	Dentoglobigerina altispira	Globoquadrina dehiscens	Globorotalia tumida tumida	Globorotaloides hexagona	Globigerinoides conglobatus	Globorotalia menardii s.l.	Sphaeroidinellopsis kochi	Sphaeroidinella dehiscens	Globoquadrina conglomerata	Globigerinoides ruber s.l.	Globorotalia crassaformis	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia tosaensis	Globigerinoides elongatus	Globigerinita glutinata	Globorotalia truncatulinoides	Globorotalia ungulata	Globigerinella calida	Beella digitata	Globorotalia theyeri	Globorotalia inflata	Comment
  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 25	H	CC	  16.00	    235.5800	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                           	+                	+                        	+                           	+                   	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+                           	+                         	+                      	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 26	H	 2	 105.00	    238.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	                         	+                           	+                   	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. fish remains few. calcareous aggregates abundant. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 26	H	 5	 105.00	    242.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	                         	+                           	+                   	                       	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. fish remains few. calcareous aggregates abundant. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 26	H	CC	  13.00	    245.6000	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                           	+                	+                        	+                           	+?                  	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	+                           	+                         	+                      	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 27	H	 2	 105.00	    247.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	                    	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	               	                            	                            	+                         	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. fish remains few. calcareous aggregates few. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 27	H	 5	 105.00	    252.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	+                   	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	                            	                          	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. fish remains few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 27	H	CC	  12.00	    254.8200	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                           	+                	+                        	+                           	+                   	+?                     	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	                            	+?                        	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes few. fish remains few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 28	H	 2	 105.00	    257.2500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+                           	+                	+                        	+                           	+                   	                       	+                   	+                        	+                                 	+                                	+                                	+                         	+              	                            	+?                          	+?                        	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. fish remains few. calcareous aggregates few. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 28	H	 5	 105.00	    261.7500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                             	+?                          	+                	+                        	+                           	+                   	                       	+                   	+                        	+                                 	+                                	+                                	+                         	+              	+                           	                            	                          	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers common. ostracodes rare. fish remains few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

  SR	Late Miocene     	                 	N17b              	              	115	 716	B	 28	H	CC	  20.00	    264.8000	Vincent  	Planktonic Foraminifers                      	               	G                 	+                             	+                           	+                	+?                       	+                           	+                   	+?                     	+                   	+                        	+                                 	+                                	+?                               	+                         	+              	                            	                            	                          	                       	                          	                        	                           	                          	                         	                         	                          	                          	                         	                          	                          	                      	                         	                       	                             	                     	                     	               	                    	                    	benthic foraminifers few. ostracodes rare. fish remains few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 14. page 826.

