taxon_group,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Elongobula,1339,Elongobula,genus,241452,Buliminoididae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Elphidiella,1340,Elphidiella,genus,432178,Elphidiellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Eouvigerina,1386,Eouvigerina,genus,429342,Eouvigerinidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Epistomina,1394,Epistomina,genus,112289,Epistominidae,430090,Robertinida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Epistominella,1395,Epistominella,genus,82203,Discorbidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Eponides,1401,Eponides,genus,241423,Eponididae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Eubuliminella,1403,Eubuliminella,genus,241013,Turrilinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Euloxostomum,1406,Euloxostomum,genus,241017,Siphogenerinoididae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Eusphaeroidina,432164,Eusphaeroidina,genus,432165,Sphaeroidinidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Evolvocassidulina,1414,Evolvocassidulina,genus,103771,Cassidulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Falsoguttulina,1423,Falsoguttulina,genus,103764,Polymorphinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Favocassidulina,1429,Favocassidulina,genus,103771,Cassidulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Favulina,1430,Favulina,genus,155901,Ellipsolagenidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Fissurina,1439,Fissurina,genus,155901,Ellipsolagenidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Frondicularia,1454,Frondicularia,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Fursenkoina,1460,Fursenkoina,genus,241030,Fursenkoinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Gaudryina,1476,Gaudryina,genus,112277,Verneuilinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Gavelinella,1480,Gavelinella,genus,112328,Gavelinellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Gavelinopsis,1481,Gavelinopsis,genus,241432,Rosalinidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Glabratella,1490,Glabratella,genus,147613,Glabratellidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Glandulina,1492,Glandulina,genus,86623,Glandulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Glandulonodosaria,432133,Glandulonodosaria,genus,431678,Glandulonodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Globobulimina,1512,Globobulimina,genus,103766,Buliminidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Globigerinoides,1504,Globigerinoides,genus,82191,Globigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Globocassidulina,1513,Globocassidulina,genus,103771,Cassidulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Globorotalites,1522,Globorotalites,genus,155903,Globorotalitidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Globulina,1531,Globulina,genus,103764,Polymorphinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Globulotuba,432132,Globulotuba,genus,86623,Glandulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Glomospira,1535,Glomospira,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Glomospirella,1537,Glomospirella,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Grigelis,1550,Grigelis,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Guttulina,1563,Guttulina,genus,103764,Polymorphinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Gyroidina,1566,Gyroidina,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Gyroidinoides,1568,Gyroidinoides,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hanzawaia,1581,Hanzawaia,genus,112328,Gavelinellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Haplophragmoides,1586,Haplophragmoides,genus,103761,Haplophragmoiidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hauerina,1591,Hauerina,genus,81704,Miliolidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hauerinella,433663,Hauerinella,genus,112267,Ophthalmidiidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Haynesina,1594,Haynesina,genus,432128,Haynesinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Heronallenia,1616,Heronallenia,genus,432117,Heronalleniidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Heterolepa,1621,Heterolepa,genus,155878,Heterolepidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Heterostegina,1623,Heterostegina,genus,103799,Nummulitidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hoeglundina,1633,Hoeglundina,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
