taxon_group,verbatim_name,name,comment,taxon_name_above_genus,genus_modifier,genus_name,subgenera_modifier,subgenera_name,species_modifier,species_name,subspecies_modifier,subspecies_name,non_taxa_descriptor,comments,pbdb_taxon_id,pbdb_taxon_rank,pbdb_taxon_name
benthic_forams; benthic_forams; benthic_forams,Cassidulina; Cassidulina sp.; Cassidulina sp. indet.,Cassidulina sp.,Not classified correctly,,,Cassidulina,,,,sp.,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina sp. A,Cassidulina sp. A,,,,Cassidulina,,,,sp. A,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina spp.,Cassidulina spp.,Not classified correctly,,,Cassidulina,,,,spp.,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina subglobosa,Cassidulina subglobosa,Not classified correctly,,,Cassidulina,,,,subglobosa,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina sulcata,Cassidulina sulcata,Not classified correctly,,,Cassidulina,,,,sulcata,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina teretis,Cassidulina teretis,Not classified correctly,,,Cassidulina,,,,teretis,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina translucens,Cassidulina translucens,Not classified correctly,,,Cassidulina,,,,translucens,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulina tumida,Cassidulina tumida,Not classified correctly,,,Cassidulina,,,,tumida,,,,,1064,genus,Cassidulina
benthic_forams,Cassidulinoides parkerianus,Cassidulinoides parkerianus,,,,Cassidulinoides,,,,parkerianus,,,,,1067,genus,Cassidulinoides
benthic_forams,Cassidulinoides porrectus,Cassidulinoides porrectus,,,,Cassidulinoides,,,,porrectus,,,,,1067,genus,Cassidulinoides
benthic_forams,Cassidulinoides sp.,Cassidulinoides sp.,,,,Cassidulinoides,,,,sp.,,,,,1067,genus,Cassidulinoides
benthic_forams,Cassidulinoides spp.,Cassidulinoides spp.,,,,Cassidulinoides,,,,spp.,,,,,1067,genus,Cassidulinoides
benthic_forams,Cassidulinoides tenuis,Cassidulinoides tenuis,,,,Cassidulinoides,,,,tenuis,,,,,1067,genus,Cassidulinoides
planktic_forams; planktic_forams; planktic_forams,Cassigerinella chipolensis; Cassigerinella chipolensis _T; Cassigerinella chipolensis _T_,Cassigerinella chipolensis,,,,Cassigerinella,,,,chipolensis,,,,,1068,genus,Cassigerinella
planktic_forams,Cassigerinella martinezpicoi,Cassigerinella martinezpicoi,,,,Cassigerinella,,,,martinezpicoi,,,,,1068,genus,Cassigerinella
planktic_forams,Catapsydrax africanus,Catapsydrax africanus,,,,Catapsydrax,,,,africanus,,,,,1070,genus,Catapsydrax
planktic_forams,Catapsydrax cf. howei,Catapsydrax cf. howei,,,,Catapsydrax,,,cf.,howei,,,,,1070,genus,Catapsydrax
planktic_forams; planktic_forams; planktic_forams; planktic_forams,Catapsydrax dissimilis; Catapsydrax dissimilis _T_ _M4a; Catapsydrax dissimilis _T_ _M4a_; Catapsydrax dissimillis,Catapsydrax dissimilis,,,,Catapsydrax,,,,dissimilis,,,,,1070,genus,Catapsydrax
planktic_forams,Catapsydrax globiformis,Catapsydrax globiformis,,,,Catapsydrax,,,,globiformis,,,,,1070,genus,Catapsydrax
planktic_forams,Catapsydrax parvulus,Catapsydrax parvulus,,,,Catapsydrax,,,,parvulus,,,,,422284,species,Catapsydrax parvulus
planktic_forams,Catapsydrax sp.,Catapsydrax sp.,,,,Catapsydrax,,,,sp.,,,,,1070,genus,Catapsydrax
planktic_forams,Catapsydrax spp.,Catapsydrax spp.,,,,Catapsydrax,,,,spp.,,,,,1070,genus,Catapsydrax
planktic_forams,Catapsydrax stainforthi,Catapsydrax stainforthi,,,,Catapsydrax,,,,stainforthi,,,,,1070,genus,Catapsydrax
planktic_forams,Catapsydrax taroubaensis,Catapsydrax taroubaensis,,,,Catapsydrax,,,,taroubaensis,,,,,1070,genus,Catapsydrax
planktic_forams; planktic_forams,"Catapsydrax unicavus; Catapsydrax unicavus Bolli, Loeblich & Tappan, 1957 p.37, pl.7, figs.9a-c",Catapsydrax unicavus,,,,Catapsydrax,,,,unicavus,,,,"Bolli, Loeblich & Tappan, 1957 p.37, pl.7, figs.9a-c",422283,species,Catapsydrax unicavus
nannofossils,Catinaster calyculus,Catinaster calyculus,,,,Catinaster,,,,calyculus,,,,,319905,genus,Catinaster
nannofossils,Catinaster coalitus,Catinaster coalitus,,,,Catinaster,,,,coalitus,,,,,319905,genus,Catinaster
nannofossils,Catinaster mexicanus,Catinaster mexicanus,,,,Catinaster,,,,mexicanus,,,,,319905,genus,Catinaster
nannofossils,Catinaster spp.,Catinaster spp.,,,,Catinaster,,,,spp.,,,,,319905,genus,Catinaster
benthic_forams,Caudammina ovula,Caudammina ovula,,,,Caudammina,,,,ovula,,,,,424049,genus,Caudammina
benthic_forams,Caudamina sp.,Caudammina sp.,genus misspelled,,,Caudammina,,,,sp.,,,,,424049,genus,Caudammina
benthic_forams; benthic_forams,Caudamina spp.; Caudammina spp.,Caudammina spp.,,,,Caudammina,,,,spp.,,,,,424049,genus,Caudammina
diatoms,Cavitatus jouseanus,Cavitatus jouseanus,,,,Cavitatus,,,,jouseanus,,,,,433622,genus,Cavitatus
diatoms,Cavitatus linearis,Cavitatus linearis,,,,Cavitatus,,,,linearis,,,,,433622,genus,Cavitatus
diatoms; diatoms,Cavitatus miocenica (Schrader); Cavitatus miocenicus,Cavitatus miocenicus,,,,Cavitatus,,,,miocenicus,,,,Cavitatus miocenica (Schrader),433622,genus,Cavitatus
diatoms,Cavitatus spp.,Cavitatus spp.,,,,Cavitatus,,,,spp.,,,,,433622,genus,Cavitatus
palynology,Cedrus,Cedrus sp.,,,,Cedrus,,,,sp.,,,,,434996,genus,Cedrus
radiolarians,Cenosphaera coronata,Cenosphaera coronata,,,,Cenosphaera,,,,coronata,,,,,64,genus,Cenosphaera
radiolarians,Cenosphaera cristata,Cenosphaera cristata,,,,Cenosphaera,,,,cristata,,,,,64,genus,Cenosphaera
radiolarians,Cenosphaera sp.,Cenosphaera sp.,,,,Cenosphaera,,,,sp.,,,,,64,genus,Cenosphaera
palynology,Centaurea nigra type,Centaurea nigra,,,,Centaurea,,,,nigra,,,,Centaurea nigra type,434785,genus,Centaurea
diatoms,other Centric,Centrales indet.,"group, not a taxa",Centrales indet.,,,,,,,,,,other Centric,69588,order,Centrales
radiolarians,Centrobotrys gravida,Centrobotrys gravida,,,,Centrobotrys,,,,gravida,,,,,460,genus,Centrobotrys
radiolarians; radiolarians,Centrobotris petrushevskayae; Centrobotrys petrushevskayae,Centrobotrys petrushevskayae,genus misspelled,,,Centrobotrys,,,,petrushevskayae,,,,,460,genus,Centrobotrys
radiolarians,Centrobotrys thermophila,Centrobotrys thermophila,,,,Centrobotrys,,,,thermophila,,,,,460,genus,Centrobotrys
benthic_forams,Ceratobulimina jonesiana,Ceratobulimina jonesiana,,,,Ceratobulimina,,,,jonesiana,,,,,1075,genus,Ceratobulimina
benthic_forams,Ceratocancris sp.,Ceratocancris sp.,,,,Ceratocancris,,,,sp.,,,,,1076,genus,Ceratocancris
radiolarians,Ceratocyrtis cucullaris,Ceratocyrtis cucullaris,,,,Ceratocyrtis,,,,cucullaris,,,,,85724,genus,Ceratocyrtis
radiolarians,Ceratocyrtis histricosa,Ceratocyrtis histricosa,,,,Ceratocyrtis,,,,histricosa,,,,,85724,genus,Ceratocyrtis
radiolarians,Ceratocyrtis mashae,Ceratocyrtis mashae,,,,Ceratocyrtis,,,,mashae,,,,,85724,genus,Ceratocyrtis
radiolarians,Ceratocyrtis sp.,Ceratocyrtis sp.,,,,Ceratocyrtis,,,,sp.,,,,,85724,genus,Ceratocyrtis
radiolarians,Ceratocyrtis spp.,Ceratocyrtis spp.,,,,Ceratocyrtis,,,,spp.,,,,,85724,genus,Ceratocyrtis
nannofossils,Ceratolithina copis,Ceratolithina copis,,,,Ceratolithina,,,,copis,,,,,87923,species,Ceratolithina copis
nannofossils,Ceratolithina naturalisteplateauensis,Ceratolithina naturalisteplateauensis,,,,Ceratolithina,,,,naturalisteplateauensis,,,,,87919,species,Ceratolithina naturalisteplateauensis
nannofossils,Ceratolithoides kamptneri,Ceratolithoides kamptneri,,,,Ceratolithoides,,,,kamptneri,,,,,87912,species,Ceratolithoides kamptneri
nannofossils,Ceratolithoides,Ceratolithoides sp.,,,,Ceratolithoides,,,,sp.,,,,,87731,genus,Ceratolithoides
nannofossils,Ceratolithoides spp.,Ceratolithoides spp.,,,,Ceratolithoides,,,,spp.,,,,,87731,genus,Ceratolithoides
nannofossils,Ceratolithus acutus,Ceratolithus acutus,,,,Ceratolithus,,,,acutus,,,,,424499,genus,Ceratolithus
nannofossils; nannofossils,Ceratolithus armatus; Ceratolithus armatus (acutus),Ceratolithus armatus,,,,Ceratolithus,,,,armatus,,,,Ceratolithus armatus (acutus),424499,genus,Ceratolithus
nannofossils,Ceratolithus atlanticus,Ceratolithus atlanticus,,,,Ceratolithus,,,,atlanticus,,,,,424499,genus,Ceratolithus
nannofossils; nannofossils,Ceratolithus cristatus; Ceratolithus cristatus (rugosus),Ceratolithus cristatus,,,,Ceratolithus,,,,cristatus,,,,Ceratolithus cristatus (rugosus),424499,genus,Ceratolithus
nannofossils,Ceratolithus cristatus var. telesmus,Ceratolithus cristatus var. telesmus,,,,Ceratolithus,,,,cristatus,var.,telesmus,,,424499,genus,Ceratolithus
nannofossils,Ceratolithus larrymayeri,Ceratolithus larrymayeri,,,,Ceratolithus,,,,larrymayeri,,,,,424499,genus,Ceratolithus
nannofossils,Ceratolithus rugosus,Ceratolithus rugosus,,,,Ceratolithus,,,,rugosus,,,,,424499,genus,Ceratolithus
nannofossils,Ceratolithus simplex,Ceratolithus simplex,,,,Ceratolithus,,,,simplex,,,,,424499,genus,Ceratolithus
nannofossils,Ceratolithus spp.,Ceratolithus spp.,,,,Ceratolithus,,,,spp.,,,,,424499,genus,Ceratolithus
nannofossils,Ceratolithus telesmus,Ceratolithus telesmus,,,,Ceratolithus,,,,telesmus,,,,,424499,genus,Ceratolithus
nannofossils,Ceratolithus tricorniculatus,Ceratolithus tricorniculatus,,,,Ceratolithus,,,,tricorniculatus,,,,,424499,genus,Ceratolithus
radiolarians,Ceratospyris borealis,Ceratospyris borealis,,,,Ceratospyris,,,,borealis,,,,,85760,genus,Ceratospyris
benthic_forams,Cerebrina lacunata,Cerebrina lacunata,,,,Cerebrina,,,,lacunata,,,,,424052,genus,Cerebrina
diatoms,Cestodiscus peplum,Cestodiscus peplum,,,,Cestodiscus,,,,peplum,,,,,432310,genus,Cestodiscus
diatoms,Cestodiscus pulchellus,Cestodiscus pulchellus,,,,Cestodiscus,,,,pulchellus,,,,,432310,genus,Cestodiscus
diatoms,Cestodiscus pulchellus var. maculatus,Cestodiscus pulchellus var. maculatus,,,,Cestodiscus,,,,pulchellus,var.,maculatus,,,432310,genus,Cestodiscus
diatoms,Cestodiscus sp.,Cestodiscus sp.,,,,Cestodiscus,,,,sp.,,,,,432310,genus,Cestodiscus
diatoms,Cestodiscus spp.,Cestodiscus spp.,,,,Cestodiscus,,,,spp.,,,,,432310,genus,Cestodiscus
diatoms,Cestodiscus trochus,Cestodiscus trochus,,,,Cestodiscus,,,,trochus,,,,,432310,genus,Cestodiscus
diatoms,Hyalochaete,Chaetoceros Hyalochaete sp.,Hyalochaete is a subgenus of Chaetoceros https://www.diatombase.org/aphia.php?p=taxdetails&id=370366,,,Chaetoceros,,Hyalochaete,,sp.,,,,,82150,genus,Chaetoceros
diatoms,Chaetoceros furcellatum spores,Chaetoceros furcellatum (spores),,,,Chaetoceros,,,,furcellatum,,,spores,,82150,genus,Chaetoceros
diatoms; diatoms,Chaetoceros resting spore; Chaetoceros resting spores,Chaetoceros sp. (resting spore),,,,Chaetoceros,,,,sp.,,,resting spore,,82150,genus,Chaetoceros
diatoms,Chaetoceros spores,Chaetoceros sp. (spores),,,,Chaetoceros,,,,sp.,,,spores,,82150,genus,Chaetoceros
diatoms; diatoms; diatoms,Chaetoceros spp.; Chaetoceros spp. (resting spores); Chaetoceros spp. and similar spores,Chaetoceros spp.,,,,Chaetoceros,,,,spp.,,,,Chaetoceros spp. (resting spores); Chaetoceros spp. and similar spores,82150,genus,Chaetoceros
diatoms,Resting spores of Chaetoceros,Chaetoceros spp. (Resting spores),,,,Chaetoceros,,,,spp.,,,Resting spores,,82150,genus,Chaetoceros
diatoms,Chaetoceros spp. Spores,Chaetoceros spp. (Spores),,,,Chaetoceros,,,,spp.,,,Spores,,82150,genus,Chaetoceros
diatoms,Chaetoceros spp. resting spore,Chaetoceros spp. (resting spore),,,,Chaetoceros,,,,spp.,,,resting spore,,82150,genus,Chaetoceros
diatoms,Chaetoceros spp. spores,Chaetoceros spp. (spores),,,,Chaetoceros,,,,spp.,,,spores,,82150,genus,Chaetoceros
diatoms; diatoms,Chaetoceros spp. vegetative spore; Chaetoceros vegetative spore,Chaetoceros spp. (vegetative spore),,,,Chaetoceros,,,,spp.,,,vegetative spore,,82150,genus,Chaetoceros
diatoms,Charcotia actinochilus,Charcotia actinochilus,,,,Charcotia,,,,actinochilus,,,,,434528,species,Charcotia actinochilus
benthic_forams,Charltonina sp.,Charltonina sp.,,,,Charltonina,,,,sp.,,,,,1085,genus,Charltonina
palynology,Chenopodiaceae,Chenopodiaceae indet.,,Chenopodiaceae indet.,,,,,,,,,,,55413,family,Chenopodiaceae
nannofossils; nannofossils,Ch. altus; Chiasmolithus altus,Chiasmolithus altus,,,,Chiasmolithus,,,,altus,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus bidens,Chiasmolithus bidens,,,,Chiasmolithus,,,,bidens,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus californicus (>13µm),Chiasmolithus californicus (>13 microns),,,,Chiasmolithus,,,,californicus,,,>13 microns,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus consuetus,Chiasmolithus consuetus,,,,Chiasmolithus,,,,consuetus,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus danicus,Chiasmolithus danicus,,,,Chiasmolithus,,,,danicus,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus expansus,Chiasmolithus expansus,,,,Chiasmolithus,,,,expansus,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus gigas,Chiasmolithus gigas,,,,Chiasmolithus,,,,gigas,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus grandis,Chiasmolithus grandis,,,,Chiasmolithus,,,,grandis,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus nitidus,Chiasmolithus nitidus,,,,Chiasmolithus,,,,nitidus,,,,,424051,genus,Chiasmolithus
nannofossils; nannofossils,Ch. oamaruensis; Chiasmolithus oamaruensis,Chiasmolithus oamaruensis,,,,Chiasmolithus,,,,oamaruensis,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus solitus,Chiasmolithus solitus,,,,Chiasmolithus,,,,solitus,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus sp.,Chiasmolithus sp.,,,,Chiasmolithus,,,,sp.,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus spp.,Chiasmolithus spp.,,,,Chiasmolithus,,,,spp.,,,,,424051,genus,Chiasmolithus
nannofossils,Chiasmolithus titus,Chiasmolithus titus,,,,Chiasmolithus,,,,titus,,,,,424051,genus,Chiasmolithus
nannofossils,Chiastozygus garrisonii,Chiastozygus garrisonii,,,,Chiastozygus,,,,garrisonii,,,,,88619,species,Chiastozygus garrisonii
nannofossils,Chiastozygus litterarius,Chiastozygus litterarius,,,,Chiastozygus,,,,litterarius,,,,,88617,species,Chiastozygus litterarius
nannofossils,Chiastozygus platyrhethus,Chiastozygus platyrhethus,,,,Chiastozygus,,,,platyrhethus,,,,,88616,species,Chiastozygus platyrhethus
nannofossils,Chiastozygus,Chiastozygus sp.,,,,Chiastozygus,,,,sp.,,,,,87867,genus,Chiastozygus
planktic_forams,Chiloguembelina crinita,Chiloguembelina crinita,,,,Chiloguembelina,,,,crinita,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina cubensis,Chiloguembelina cubensis,,,,Chiloguembelina,,,,cubensis,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina midwayensis,Chiloguembelina midwayensis,,,,Chiloguembelina,,,,midwayensis,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina morsei,Chiloguembelina morsei,,,,Chiloguembelina,,,,morsei,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina otara,Chiloguembelina otara,,,,Chiloguembelina,,,,otara,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina sp.,Chiloguembelina sp.,,,,Chiloguembelina,,,,sp.,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina subtriangularis,Chiloguembelina subtriangularis,,,,Chiloguembelina,,,,subtriangularis,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina trinitatensis,Chiloguembelina trinitatensis,,,,Chiloguembelina,,,,trinitatensis,,,,,1091,genus,Chiloguembelina
planktic_forams,Chiloguembelina wilcoxensis,Chiloguembelina wilcoxensis,,,,Chiloguembelina,,,,wilcoxensis,,,,,1091,genus,Chiloguembelina
benthic_forams,Chilostomella oolina,Chilostomella oolina,,,,Chilostomella,,,,oolina,,,,,1093,genus,Chilostomella
benthic_forams,Chilostomella ovoidea,Chilostomella ovoidea,,,,Chilostomella,,,,ovoidea,,,,,1093,genus,Chilostomella
benthic_forams,Chilostomella sp.,Chilostomella sp.,,,,Chilostomella,,,,sp.,,,,,1093,genus,Chilostomella
benthic_forams,Chilostomella spp.,Chilostomella spp.,,,,Chilostomella,,,,spp.,,,,,1093,genus,Chilostomella
benthic_forams,Chilostomellina frimbriata,Chilostomellina fimbriata,,,,Chilostomellina,,,,fimbriata,,,,,424078,genus,Chilostomellina
nannofossils; nannofossils,Chiphragmolithus acanothodes; Chiphragmolithus acanthodes,Chiphragmalithus acanthodes,,,,Chiphragmalithus,,,,acanthodes,,,,,87685,genus,Chiphragmalithus
nannofossils,Chiphragmolithus armatus,Chiphragmalithus armatus,,,,Chiphragmalithus,,,,armatus,,,,,87685,genus,Chiphragmalithus
nannofossils,Chiphragmolithus barbatus,Chiphragmalithus barbatus,,,,Chiphragmalithus,,,,barbatus,,,,,87685,genus,Chiphragmalithus
nannofossils,Chiphragmolithus calathus,Chiphragmalithus calathus,,,,Chiphragmalithus,,,,calathus,,,,,87685,genus,Chiphragmalithus
palynology,Botryococcus + Pediastrum,Chlorophyceae indet. (Botryococcus + Pediastrum),VK: these are algae,Chlorophyceae indet.,,,,,,,,,Botryococcus + Pediastrum,,54452,class,Chlorophyceae
palynology,Pediastrum + Botryococcus,Chlorophyceae indet. (Pediastrum + Botryococcus),VK: these are algae,Chlorophyceae indet.,,,,,,,,,Pediastrum + Botryococcus,,54452,class,Chlorophyceae
benthic_forams,Chrysalogonium calomorphum,Chrysalogonium calomorphum,,,,Chrysalogonium,,,,calomorphum,,,,,1103,genus,Chrysalogonium
benthic_forams,Chrysalogonium crassitestum,Chrysalogonium crassitestum,,,,Chrysalogonium,,,,crassitestum,,,,,1103,genus,Chrysalogonium
benthic_forams,Chrysalogonium  equisetiformis,Chrysalogonium equisetiformis,,,,Chrysalogonium,,,,equisetiformis,,,,,1103,genus,Chrysalogonium
benthic_forams,Chrysalogonium intertenuatum,Chrysalogonium intertenuatum,,,,Chrysalogonium,,,,intertenuatum,,,,,1103,genus,Chrysalogonium
benthic_forams; benthic_forams,Chrysalogonium sp.; Chrysalogonium sp. indet.,Chrysalogonium sp.,,,,Chrysalogonium,,,,sp.,,,,,1103,genus,Chrysalogonium
benthic_forams,Chrysalogonium spp.,Chrysalogonium spp.,,,,Chrysalogonium,,,,spp.,,,,,1103,genus,Chrysalogonium
benthic_forams,Chrysalogonium tenuicostatum,Chrysalogonium tenuicostatum,,,,Chrysalogonium,,,,tenuicostatum,,,,,1103,genus,Chrysalogonium
benthic_forams; benthic_forams,Cibicides  bradyi; Cibicides bradyi,Cibicides bradyi,,,,Cibicides,,,,bradyi,,,,,1107,genus,Cibicides
benthic_forams,Cibicides cf. lobatulus,Cibicides cf. lobatulus,,,,Cibicides,,,cf.,lobatulus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides collinsi,Cibicides collinsi,,,,Cibicides,,,,collinsi,,,,,1107,genus,Cibicides
benthic_forams,Cibicides deliquatus,Cibicides deliquatus,,,,Cibicides,,,,deliquatus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides fletcheri,Cibicides fletcheri,,,,Cibicides,,,,fletcheri,,,,,1107,genus,Cibicides
benthic_forams,Cibicides grossepunctatus,Cibicides grossepunctatus,,,,Cibicides,,,,grossepunctatus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides ihungia,Cibicides ihungia,,,,Cibicides,,,,ihungia,,,,,1107,genus,Cibicides
benthic_forams; benthic_forams,Cibicides kullenbergi; Cibicides kullenbergi >1000 m,Cibicides kullenbergi,,,,Cibicides,,,,kullenbergi,,,,Cibicides kullenbergi >1000 m,1107,genus,Cibicides
benthic_forams,Cibicides lobatulus,Cibicides lobatulus,,,,Cibicides,,,,lobatulus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides mckannai,Cibicides mckannai,,,,Cibicides,,,,mckannai,,,,,1107,genus,Cibicides
benthic_forams,Cibicides molestus,Cibicides molestus,,,,Cibicides,,,,molestus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides mundulus,Cibicides mundulus,,,,Cibicides,,,,mundulus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides neoperforatus,Cibicides neoperforatus,,,,Cibicides,,,,neoperforatus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides novozelandicus,Cibicides novozelandicus,,,,Cibicides,,,,novozelandicus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides pachyderma,Cibicides pachyderma,,,,Cibicides,,,,pachyderma,,,,,1107,genus,Cibicides
benthic_forams,Cibicides parki,Cibicides parki,,,,Cibicides,,,,parki,,,,,1107,genus,Cibicides
benthic_forams,Cibicides perforatus,Cibicides perforatus,,,,Cibicides,,,,perforatus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides praecinctus,Cibicides praecinctus,,,,Cibicides,,,,praecinctus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides refulgens,Cibicides refulgens,,,,Cibicides,,,,refulgens,,,,,1107,genus,Cibicides
benthic_forams; benthic_forams,Cibicides robertsonianus; Cibicides robertsoninaus >1000 m,Cibicides robertsonianus,,,,Cibicides,,,,robertsonianus,,,,Cibicides robertsonianus >1000 m,1107,genus,Cibicides
benthic_forams; benthic_forams,Cibicides; Cibicides sp.,Cibicides sp.,,,,Cibicides,,,,sp.,,,,,1107,genus,Cibicides
benthic_forams,Cibicides sp. 1,Cibicides sp. 1,,,,Cibicides,,,,sp. 1,,,,,1107,genus,Cibicides
benthic_forams,Cibicides spiralis,Cibicides spiralis,,,,Cibicides,,,,spiralis,,,,,1107,genus,Cibicides
benthic_forams; benthic_forams,Cibicides spp.; Cibicides/Cibicidoides spp.,Cibicides spp.,multiple taxa names,,,Cibicides,,,,spp.,,,,,1107,genus,Cibicides
benthic_forams,Cibicides subhaidingeri,Cibicides subhaidingeri,,,,Cibicides,,,,subhaidingeri,,,,,1107,genus,Cibicides
benthic_forams,Cibicides temperatus,Cibicides temperatus,,,,Cibicides,,,,temperatus,,,,,1107,genus,Cibicides
benthic_forams,Cibicides vortex,Cibicides vortex,,,,Cibicides,,,,vortex,,,,,1107,genus,Cibicides
benthic_forams,Cibicides wuellerstorfi,Cibicides wuellerstorfi,,,,Cibicides,,,,wuellerstorfi,,,,,1107,genus,Cibicides
benthic_forams,Cibicidina walli,Cibicidina walli,,,,Cibicidina,,,,walli,,,,,1108,genus,Cibicidina
benthic_forams,Cibicidoides aff. laurisae,Cibicidoides aff. laurisae,,,,Cibicidoides,,,aff.,laurisae,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides barnetti,Cibicidoides barnetti,,,,Cibicidoides,,,,barnetti,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides bradyi,Cibicidoides bradyi,,,,Cibicidoides,,,,bradyi,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. eocaenus,Cibicidoides cf. eocaenus,,,,Cibicidoides,,,cf.,eocaenus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. havanensis,Cibicidoides cf. havanensis,,,,Cibicidoides,,,cf.,havanensis,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides sp. cf. laurisae,Cibicidoides cf. laurisae,,,,Cibicidoides,,,cf.,laurisae,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. pachyderma,Cibicidoides cf. pachyderma,,,,Cibicidoides,,,cf.,pachyderma,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. perforatus,Cibicidoides cf. perforatus,,,,Cibicidoides,,,cf.,perforatus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. subhaidingerii,Cibicidoides cf. subhaidingerii,,,,Cibicidoides,,,cf.,subhaidingerii,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. ungerianus,Cibicidoides cf. ungerianus,,,,Cibicidoides,,,cf.,ungerianus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cf. wuellerstorfi,Cibicidoides cf. wuellerstorfi,,,,Cibicidoides,,,cf.,wuellerstorfi,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides cicatricosus,Cibicidoides cicatricosus,,,,Cibicidoides,,,,cicatricosus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides dohmi,Cibicidoides dohmi,,,,Cibicidoides,,,,dohmi,,,,,1109,genus,Cibicidoides
benthic_forams; benthic_forams; benthic_forams,Cibicidoides eocaenus; Cibicidoides eocanus; Cibicidoides eocenicus,Cibicidoides eocaenus,species misspelled,,,Cibicidoides,,,,eocaenus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides globulosus,Cibicidoides globulosus,,,,Cibicidoides,,,,globulosus,,,,,1109,genus,Cibicidoides
benthic_forams; benthic_forams,Cibicidoides grimsdalei; Cibicidoides grimusdalei,Cibicidoides grimsdalei,species misspelled,,,Cibicidoides,,,,grimsdalei,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides guazumalensis,Cibicidoides guazumalensis,,,,Cibicidoides,,,,guazumalensis,,,,,1109,genus,Cibicidoides
benthic_forams; benthic_forams,Cibicidoides havanensis; Cibicidoides havannsis,Cibicidoides havanensis,species misspelled,,,Cibicidoides,,,,havanensis,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides hyphalus,Cibicidoides hyphalus,,,,Cibicidoides,,,,hyphalus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides incrassatus,Cibicidoides incrassatus,,,,Cibicidoides,,,,incrassatus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides kullenbergi,Cibicidoides kullenbergi,,,,Cibicidoides,,,,kullenbergi,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides laurisae,Cibicidoides laurisae,,,,Cibicidoides,,,,laurisae,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides lobatulus,Cibicidoides lobatulus,,,,Cibicidoides,,,,lobatulus,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides mckannai,Cibicidoides mckannai,,,,Cibicidoides,,,,mckannai,,,,,1109,genus,Cibicidoides
benthic_forams,Cibicidoides micrus,Cibicidoides micrus,,,,Cibicidoides,,,,micrus,,,,,1109,genus,Cibicidoides
