,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
268,Pseudonodosaria,2277,Pseudonodosaria,genus
269,Pseudononion,2278,Pseudononion,genus
270,Pseudoparrella,2282,Pseudoparrella,genus
271,Pseudorotalia,2298,Pseudorotalia,genus
272,Pseudouvigerina,2316,Pseudouvigerina,genus
273,Psilocitharella,2321,Psilocitharella,genus
274,Pullenia,2324,Pullenia,genus
275,Pulvinulina,82241,Pulvinulina,genus
276,Pyramidina,2331,Pyramidina,genus
277,Pyramidulina,2332,Pyramidulina,genus
278,Pyrgo,2334,Pyrgo,genus
279,Pyrgoella,2335,Pyrgoella,genus
280,Pyrulina,2336,Pyrulina,genus
281,Quadrimorphina,2341,Quadrimorphina,genus
282,Quinqueloculina,2355,Quinqueloculina,genus
283,Ramulina,2364,Ramulina,genus
284,Rectobolivina,2371,Rectobolivina,genus
285,Rectoglandulina,112998,Rectoglandulina,genus
286,Rectuvigerina,2388,Rectuvigerina,genus
287,Recurvoides,2389,Recurvoides,genus
288,Remesella,2397,Remesella,genus
289,Reophax,2400,Reophax,genus
290,Reussella,98748,Reussella,genus
291,Reussoolina,2409,Reussoolina,genus
292,Rhabdammina,2410,Rhabdammina,genus
293,Rhizammina,2414,Rhizammina,genus
294,Robertina,2422,Robertina,genus
295,Robertinoides,2423,Robertinoides,genus
296,Rosalina,2428,Rosalina,genus
297,Rotalia,2429,Rotalia,genus
298,Rotaliatina,2433,Rotaliatina,genus
299,Rotalina,355084,Rotalina,genus
300,Rotalinoides,2434,Rotalinoides,genus
301,Rotliammina,,,
302,Rudigaudryina,429732,Rudigaudryina,genus
303,Rupertina,2444,Rupertina,genus
304,Rutherfordoides,2446,Rutherfordoides,genus
305,Rzehakina,2448,Rzehakina,genus
306,Saccammina,2452,Saccammina,genus
307,Sacculinella,245995,Sacculinella,genus
308,Sagrinella,241020,Sagrinella,genus
309,Sahulia,429725,Sahulia,genus
310,Saracenaria,2471,Saracenaria,genus
311,Scallopostoma,429723,Scallopostoma,genus
312,Schenckiella,433658,Schenckiella,genus
313,Seabrookia,2490,Seabrookia,genus
314,Septotextularia,429721,Septotextularia,genus
315,Sigmavirgulina,2519,Sigmavirgulina,genus
316,Sigmoidella,2521,Sigmoidella,genus
317,Sigmoilina,2523,Sigmoilina,genus
318,Sigmoilinita,2524,Sigmoilinita,genus
319,Sigmoilopsis,2525,Sigmoilopsis,genus
320,Sigmopyrgo,240395,Sigmopyrgo,genus
321,Siphogenerina,2538,Siphogenerina,genus
322,Siphogenerinoides,2539,Siphogenerinoides,genus
323,Siphonaperta,2542,Siphonaperta,genus
324,Siphoniferoides,429587,Siphoniferoides,genus
325,Siphonina,2544,Siphonina,genus
326,Siphonodosaria,2547,Siphonodosaria,genus
327,Siphotextularia,2550,Siphotextularia,genus
328,Siphouvigerina,2551,Siphouvigerina,genus
329,Sliteria,429520,Sliteria,genus
330,Sorites,2560,Sorites,genus
331,Sphaerogypsina,2566,Sphaerogypsina,genus
332,Sphaeroidina,2567,Sphaeroidina,genus
333,Sphaeroidinella,2568,Sphaeroidinella,genus
334,Spirillina,2582,Spirillina,genus
335,Spiroloculina,2589,Spiroloculina,genus
336,Spiroplectinella,2595,Spiroplectinella,genus
337,Spirophthalmidium,240113,Spirophthalmidium,genus
338,Spiroplectammina,2592,Spiroplectammina,genus
339,Spiroplectella,429518,Spiroplectella,genus
340,Spiroplectinata,2594,Spiroplectinata,genus
341,Spiroplectoides,351886,Spiroplectoides,genus
342,Spirosigmoilina,2597,Spirosigmoilina,genus
343,Spirosigmoilinella,2598,Spirosigmoilinella,genus
344,Spirotextularia,429515,Spirotextularia,genus
345,Stainforthia,2606,Stainforthia,genus
346,Stensioeina,2612,Stensioeina,genus
347,Stilostomella,2616,Stilostomella,genus
348,Strictocostella,2627,Strictocostella,genus
349,Subreophax,247340,Subreophax,genus
350,Tappanina,2647,Tappanina,genus
351,Technitella,2650,Technitella,genus
352,Textularia,2661,Textularia,genus
353,Textulariella,2662,Textulariella,genus
354,Toddostomella,429341,Toddostomella,genus
355,Tretomphaloides,241441,Tretomphaloides,genus
356,Tribrachia,2705,Tribrachia,genus
357,Trichohyalus,2707,Trichohyalus,genus
358,Triloculina,2709,Triloculina,genus
359,Trifarina,2708,Trifarina,genus
360,Triloculinella,2710,Triloculinella,genus
361,Tristix,2716,Tristix,genus
362,Tritaxia,2717,Tritaxia,genus
363,Tritaxilina,2718,Tritaxilina,genus
364,Tritaxis,429316,Tritaxis,genus
365,Trochammina,2721,Trochammina,genus
366,Trochamminoides,2722,Trochamminoides,genus
367,Turrilina,2743,Turrilina,genus
368,Uvigerina,2758,Uvigerina,genus
369,Vaginulina,2762,Vaginulina,genus
370,Vaginulinopsis,2763,Vaginulinopsis,genus
371,Valvalabamina,2766,Valvalabamina,genus
372,Valvulina,2769,Valvulina,genus
373,Valvulineria,2771,Valvulineria,genus
374,Verneuilinoides,2791,Verneuilinoides,genus
