Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus stellatus,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Rhabdosphaera inflata,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera segmenta,Pedinocyclus larvalis,Neocrepidolithus sp.,Nannotetrina sp. (small),Markalius sp. 1,Lophodolithus acutus,Holococcolith type A,Helicosphaera seminulum,Helicosphaera lophota,Ericsonia formosa,Discoaster sublodoensis,Discoaster lodoensis,Discoaster kuepperi,Discoaster barbadiensis,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus spp.,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Chiasmolithus grandis,Campylosphaera dela,Nannotetrina alata,Lophodolithus mochlophorus,Ericsonia pacifica,Discoaster saipanensis,Cruciplacolithus staurion,Coccolithus sp.1,Chiasmolithus medius,Chiasmolithus consuetus,Calcidiscus protoannulus,Triquetrorhabdulus carinatus,Sphenolithus (all Sphenolithus taxa),Reticulofenestra reticulata,Reticulofenestra bisecta,Helicosphaerid (all Helicosphaerid taxa),Discoaster (all Discoaster taxa),Coronocyclus nitescens,Coccolithus formosus,Clausicoccus fenestratus,Chiasmoliths (all Chiasmolith taxa),Bramletteius serraculoides,Sphenolithus sp. 1,Chiasmolithus expansus,Markalius inversus,Cruciplacolithus cf. tarquinius,Cyclolithella kalianata,Sphenolithus pseudoradians,Markalius sp. 2,Chiasmolithus titus,Chiasmolithus gigas,Sphenolithus furcatolithoides,Discoaster tanii,Pontosphaera formosa,Nannotetrina austriacus,Toweius? sp. 1,Pontosphaera scissura,Helicosphaera heezenii,Cribrocentrum reticulatum,Discoaster bifax,Discoaster nodifer,Calcidiscus kingii,Cruciplacolithus cruciformis,Reticulofenestra umbilica,Discoaster deflandrei,Helicosphaera compacta,Dictyococcites scrippsae,Sphenolithus obtusus,Sphenolithus intercalaris,Dictyococcites bisectus,Sphenolithus predistentus,Helicosphaera reticulata,Hayella situliformis,Isthmolithus recurvus,Ericsonia subdisticha,Braarudosphaera bigelowii,Ericsonia obruta,Lanternithus minutus,Helicosphaera euphratis,Cruciplacolithus tarquinius,Helicosphaera wilcoxonii,Helicosphaera intermedia,Sphenolithus aff. distentus,Discoaster adamanteus,Helicosphaera perch-nielseniae,Helicosphaera bramlettei,Chiasmolithus altus,Cyclicargolithus abisectus,Sphenolithus distentus,Sphenolithus aff. ciperoensis,Sphenolithus ciperoensis,Triquetrorhabdulus milowii,Coccolithus miopelagicus,Coccolithus fuscus,Catinaster umbrellus,Crassidiscus backmanii,Sphenolithus dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 14,X, 5, 104.00,    130.9400,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,60.2%                      ,                          ,                     ,5.7%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,.3%                         ,2.6%                                ,.0%                        ,.6%                     ,.0%                                     ,3.1%                            ,.0%                   ,.0%                 ,2.6%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP17              ,              ,115, 711,A, 14,X, 6,  40.00,    131.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,5.0%                   ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,70.0%                      ,                          ,                     ,9.0%                 ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,1.0%                      ,               ,                   ,                   ,                             ,1.0%            ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,1.0%                 ,1.0%                  ,F                       ,                    ,                         ,1.0%                   ,6.0%                     ,R                       ,                    ,                     ,F                    ,                         ,3.0%            ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP17              ,              ,115, 711,A, 14,X,CC,  13.00,    132.3400,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,15.0%                  ,                     ,                            ,                         ,                                 ,R                    ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,51.0%                      ,                          ,                     ,14.0%                ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,F                         ,               ,                   ,                   ,                             ,1.0%            ,                    ,                       ,              ,                     ,                      ,                         ,                ,R                 ,                  ,                            ,                         ,F                    ,1.0%                  ,F                       ,                    ,                         ,1.0%                   ,10.0%                    ,R                       ,                    ,                     ,2.0%                 ,                         ,1.0%            ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP17              ,              ,115, 711,A, 15,X, 1,  40.00,    134.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,11.0%                  ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,58.0%                      ,                          ,                     ,10.0%                ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,R                         ,               ,                   ,                   ,                             ,R               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,F                    ,F                     ,F                       ,                    ,                         ,1.0%                   ,11.0%                    ,                        ,                    ,                     ,1.0%                 ,                         ,1.0%            ,                    ,                       ,                           ,                        ,                        ,R                          ,                     ,                              ,                        ,                   ,F                         ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 15,X, 1,  82.00,    134.4200,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,37.5%                      ,                          ,                     ,4.3%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,.0%                         ,15.1%                               ,.0%                        ,6.9%                    ,.0%                                     ,3.3%                            ,.3%                   ,.0%                 ,.7%                     ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP17              ,              ,115, 711,A, 15,X, 2,  40.00,    135.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,14.0%                  ,                     ,                            ,                         ,                                 ,R                    ,R                    ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,52.0%                      ,                          ,                     ,9.0%                 ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,rR                        ,                  ,                      ,                  ,                               ,                       ,R                         ,               ,                   ,                   ,                             ,R               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,1.0%                 ,R                     ,F                       ,                    ,                         ,2.0%                   ,15.0%                    ,R                       ,                    ,                     ,F                    ,                         ,3.0%            ,                    ,                       ,                           ,                        ,                        ,R                          ,                     ,                              ,                        ,                   ,F                         ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 15,X, 2, 101.00,    136.1100,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,42.1%                      ,                          ,                     ,4.6%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,1.4%                        ,12.3%                               ,.0%                        ,4.9%                    ,.0%                                     ,2.0%                            ,.0%                   ,.0%                 ,1.4%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP17              ,              ,115, 711,A, 15,X, 3,  40.00,    137.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,9.0%                   ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,47.0%                      ,                          ,                     ,7.0%                 ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,R               ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,F                         ,               ,                   ,                   ,                             ,F               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,1.0%                 ,R                     ,F                       ,                    ,                         ,3.0%                   ,21.0%                    ,R                       ,                    ,                     ,3.0%                 ,                         ,2.0%            ,                    ,                       ,R                          ,                        ,                        ,R                          ,                     ,                              ,                        ,                   ,4.0%                      ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 15,X, 4,  20.00,    138.3000,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,31.0%                      ,                          ,                     ,11.2%                ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,.0%                         ,5.8%                                ,.0%                        ,9.5%                    ,.0%                                     ,4.4%                            ,.0%                   ,.0%                 ,5.4%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP17              ,              ,115, 711,A, 15,X, 4,  40.00,    138.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,11.0%                  ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,47.0%                      ,                          ,                     ,16.0%                ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,R                         ,               ,                   ,                   ,                             ,R               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,F                    ,R                     ,F                       ,                    ,                         ,2.0%                   ,12.0%                    ,F                       ,rR                  ,                     ,4.0%                 ,                         ,2.0%            ,                    ,                       ,                           ,                        ,                        ,R                          ,                     ,                              ,                        ,                   ,F                         ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,              ,115, 711,A, 15,X, 5,  40.00,    140.0000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,8.0%                   ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,48.0%                      ,                          ,                     ,10.0%                ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,R                         ,               ,                   ,                   ,                             ,1.0%            ,                    ,                       ,              ,                     ,                      ,rR                       ,                ,                  ,                  ,                            ,R                        ,1.0%                 ,F                     ,1.0%                    ,                    ,                         ,2.0%                   ,21.0%                    ,F                       ,                    ,                     ,2.0%                 ,                         ,2.0%            ,                    ,                       ,                           ,                        ,                        ,                           ,R                    ,                              ,R                       ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 15,X, 5, 104.00,    140.6400,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,48.0%                      ,                          ,                     ,6.2%                 ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,.0%                         ,2.5%                                ,.0%                        ,1.8%                    ,.6%                                     ,4.6%                            ,.0%                   ,.0%                 ,2.2%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,              ,115, 711,A, 15,X, 6,  40.00,    141.5000,Okada    ,Nannofossils                                 ,A              ,M                 ,                       ,                 ,                      ,                     ,                    ,12.0%                  ,                     ,                            ,                         ,                                 ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,48.0%                      ,                          ,                     ,6.0%                 ,R                      ,                     ,                     ,                   ,                  ,                          ,                  ,rR                    ,                         ,R               ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,R                     ,                    ,                        ,                                   ,                          ,                  ,                      ,                  ,                               ,                       ,R                         ,               ,                   ,                   ,                             ,F               ,                    ,                       ,              ,                     ,                      ,rR                       ,                ,R                 ,R                 ,                            ,R                        ,1.0%                 ,1.0%                  ,1.0%                    ,                    ,                         ,4.0%                   ,16.0%                    ,                        ,                    ,                     ,4.0%                 ,                         ,1.0%            ,                    ,                       ,                           ,R                       ,                        ,F                          ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,slight reworking.from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 15,X, 6, 100.00,    142.1000,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,43.1%                      ,                          ,                     ,11.5%                ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,.0%                         ,1.7%                                ,.0%                        ,7.5%                    ,.0%                                     ,4.1%                            ,.0%                   ,.3%                 ,2.0%                    ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP16c             ,              ,115, 711,A, 16,X, 1,  40.00,    143.7000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                      ,                 ,                      ,                     ,                    ,6.0%                   ,                     ,                            ,                         ,                                 ,                     ,R                    ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,49.0%                      ,                          ,                     ,15.0%                ,F                      ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,F               ,                    ,                       ,                        ,                            ,                                    ,                           ,                        ,                                        ,                                ,F                     ,                    ,                        ,                                   ,R                         ,                  ,                      ,                  ,                               ,                       ,R                         ,               ,                   ,                   ,                             ,F               ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,R                        ,1.0%                 ,F                     ,F                       ,                    ,                         ,5.0%                   ,13.0%                    ,F                       ,                    ,                     ,3.0%                 ,                         ,F               ,                    ,F                      ,                           ,                        ,                        ,F                          ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from 115 SR. Chapter 14. Table 11. pages 154-155.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 711,A, 16,X, 1,  82.00,    144.1200,Wei      ,Nannofossils                                 ,               ,                  ,                       ,                 ,                      ,                     ,                    ,                       ,                     ,                            ,                         ,.0%                              ,                     ,                     ,                    ,                        ,               ,                    ,                    ,                       ,                     ,                 ,                       ,                    ,                   ,                       ,36.2%                      ,                          ,                     ,14.5%                ,                       ,                     ,                     ,                   ,                  ,                          ,                  ,                      ,                         ,                ,                    ,                       ,.0%                     ,.0%                         ,1.3%                                ,.0%                        ,9.9%                    ,3.9%                                    ,2.3%                            ,.0%                   ,.0%                 ,.7%                     ,.0%                                ,.0%                       ,                  ,                      ,                  ,                               ,                       ,                          ,               ,                   ,                   ,                             ,                ,                    ,                       ,              ,                     ,                      ,                         ,                ,                  ,                  ,                            ,                         ,                     ,                      ,                        ,                    ,                         ,                       ,                         ,                        ,                    ,                     ,                     ,                         ,                ,                    ,                       ,                           ,                        ,                        ,                           ,                     ,                              ,                        ,                   ,                          ,                      ,                             ,                        ,                          ,                        ,                  ,                    ,                      ,                       ,from ODP Leg 120 SR Vol 2  Chapter 55 Table 1 p 984-985
