Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Umbellosphaera irregularis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Emiliania huxleyi,Discosphaera tubifera,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Calcidiscus leptoporus,Syracosphaera sp.,Reticulofenestra sp. (<5 microns),Pontosphaera multipora,Gephyrocapsa spp. (large >5.5 microns),Discoaster tamalis,Ceratolithus cristatus,Calcidiscus macintyrei,Syracosphaera clava,Pontosphaera sp.,Ceratolithus simplex,Reticulofenestra sp.,Sphenolithus sp.,Micrantholithus sp.,Discoaster challengeri,Discoaster berggrenii,Holodiscolithus macroporus,Coronocyclus nitescens,Catinaster umbrellus,Ceratolithus telesmus,Oolithotus fragilis,Discoaster triradiatus,Pontosphaera indooceanica,Scyphosphaera sp.,Blackites sp.,Pontosphaera segmenta,Braarudosphaera bigelowii,Discoaster sp. (5-rayed),Discoaster surculus,Pontosphaera distincta,Helicosphaera euphratis,Reticulofenestra umbilica,Helicosphaera sp.,Catinaster calyculus,Comment
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  5,H, 5,   9.00,     42.5900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,C                    ,rS                     ,rS                        ,rS                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,                                      ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,                        ,rR                   ,rS                 ,S                 ,rS                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,rR                ,R                     ,rR                    ,R                  ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,rR                 ,rR                    ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  5,H, 6,  37.00,     44.3700,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,                          ,C                    ,rS                     ,rR                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rR                   ,rR            ,rS                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,R                ,S                                ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,rR              ,                   ,                      ,rR                   ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,rR                 ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  6,H, 1,  21.00,     45.1100,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,C                      ,rS                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,rR                      ,rR                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,S                                ,                      ,                                      ,                  ,                      ,                      ,                   ,S               ,                    ,R                   ,                ,                   ,                      ,                     ,                          ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,rR                      ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  6,H, 2,   7.00,     46.4700,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rS                         ,C                    ,S                      ,rR                      ,R                    ,C                      ,                                      ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,rR                      ,rR                   ,rS                 ,C                 ,rS                         ,                     ,                        ,C                     ,R                ,C                                ,                      ,                                      ,                  ,                      ,rR                    ,                   ,R               ,                    ,R                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,R                        ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  6,H, 3,   7.00,     47.9700,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rC                     ,rS                        ,rC                         ,S                    ,S                      ,rR                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,rR                   ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,C                ,C                                ,                      ,                                      ,                  ,R                     ,                      ,R                  ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,R                  ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  6,H, 4,  49.00,     49.8900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,C                    ,rS                     ,rR                        ,rC                         ,S                    ,C                      ,rS                      ,R                    ,C                      ,S                                     ,A                                      ,C                ,S                    ,rS                   ,rS            ,rS                     ,                        ,rR                   ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,C                ,S                                ,                      ,                                      ,                  ,                      ,                      ,R                  ,R               ,                    ,                    ,rR              ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  6,H, 5,  11.00,     51.0100,Staerker ,Nannofossils                                 ,R              ,E                 ,S                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,                     ,S                      ,rS                      ,R                    ,S                      ,                                      ,C                                      ,C                ,R                    ,rS                   ,rS            ,rS                     ,                        ,                     ,rS                 ,S                 ,rS                         ,S                    ,                        ,C                     ,S                ,C                                ,R                     ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,rS              ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  7,H, 1,  22.00,     53.0200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,S                      ,rS                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,rR                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,S                     ,C                ,                                 ,                      ,                                      ,                  ,                      ,                      ,S                  ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  7,H, 2,   4.00,     54.3400,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rR                        ,rC                         ,S                    ,S                      ,rS                      ,R                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rS                   ,rS            ,rR                     ,rR                      ,rR                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  7,H, 3,  33.00,     56.1300,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,C                    ,rS                     ,rR                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,R                                     ,A                                      ,A                ,S                    ,rR                   ,rS            ,rS                     ,rR                      ,rR                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,C                ,C                                ,                      ,R                                     ,                  ,R                     ,                      ,S                  ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,rR                   ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  7,H, 4,  61.00,     57.9100,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,S                         ,C                    ,rC                     ,rR                        ,rC                         ,S                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rR                   ,rR            ,rS                     ,                        ,rS                   ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,S                ,S                                ,                      ,                                      ,                  ,                      ,rR                    ,                   ,                ,                    ,                    ,                ,                   ,                      ,rR                   ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,R                ,rR           ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  7,H, 5,  10.00,     58.9000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rC                     ,rR                        ,rC                         ,S                    ,C                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,V                ,C                    ,rR                   ,rR            ,rS                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,R                                     ,                  ,                      ,                      ,S                  ,                ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  7,H, 6,  38.00,     60.6800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rR                        ,rC                         ,C                    ,S                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rR                   ,rS            ,rS                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,                                      ,                  ,                      ,                      ,S                  ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  8,H, 1,  33.00,     61.3300,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,R                         ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,S                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rS                         ,S                    ,                        ,R                     ,R                ,                                 ,                      ,                                      ,                  ,R                     ,                      ,S                  ,S               ,                    ,S                   ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  8,H, 2,   8.00,     62.5800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,R                    ,C                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rR                   ,rS            ,rS                     ,rR                      ,rS                   ,rS                 ,C                 ,rS                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,S                     ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  8,H, 3,  22.00,     64.2200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,C                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,R                     ,                      ,S                  ,S               ,                    ,                    ,rR              ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,R                        ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  8,H, 4,  15.00,     65.6500,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,                        ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,                 ,                                 ,                      ,                                      ,                  ,R                     ,                      ,                   ,S               ,                    ,                    ,                ,R                  ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  9,H, 1,  63.00,     67.6300,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,S                         ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,                                      ,C                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,rS                      ,                     ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,R                     ,rR                    ,                   ,S               ,R                   ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  9,H, 2,  64.00,     69.1400,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,                                      ,C                                      ,A                ,C                    ,rS                   ,rR            ,rS                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,                                      ,                  ,                      ,                      ,R                  ,S               ,R                   ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A,  9,H, 3, 129.00,     71.2900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,                       ,rS                      ,R                    ,C                      ,S                                     ,A                                      ,A                ,C                    ,rR                   ,rS            ,rS                     ,rS                      ,rR                   ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,R                   ,                    ,                ,R                  ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,rR                    ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 10,H, 1,  48.00,     72.9800,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rR                      ,S                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rR                   ,rS            ,rS                     ,rR                      ,                     ,rS                 ,C                 ,rS                         ,R                    ,                        ,C                     ,C                ,                                 ,R                     ,                                      ,                  ,R                     ,                      ,S                  ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,R                  ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 10,H, 2,   7.00,     74.0700,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,R                         ,C                    ,rS                     ,rR                        ,rC                         ,C                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,                        ,rR                   ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,                                      ,                  ,R                     ,                      ,S                  ,                ,R                   ,S                   ,rR              ,                   ,                      ,                     ,                          ,                      ,                    ,R                    ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 10,H, 3,  48.00,     75.9800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rR                        ,rC                         ,C                    ,                       ,rS                      ,S                    ,C                      ,                                      ,C                                      ,A                ,C                    ,rS                   ,rS            ,rS                     ,rS                      ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,S               ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 10,H, 4,   4.00,     77.0400,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                         ,C                    ,rS                     ,rS                        ,rC                         ,S                    ,S                      ,rS                      ,R                    ,C                      ,                                      ,A                                      ,A                ,S                    ,rR                   ,rR            ,rR                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,R                     ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 11,H, 1,  47.00,     78.0700,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,S                         ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rS                      ,S                    ,C                      ,S                                     ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,rS                      ,rS                   ,rS                 ,C                 ,rC                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,                                      ,                  ,R                     ,                      ,                   ,                ,R                   ,                    ,                ,                   ,                      ,                     ,                          ,                      ,rR                  ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 11,H, 2,   5.00,     79.1500,Staerker ,Nannofossils                                 ,R              ,E                 ,A                        ,S                         ,C                    ,rS                     ,rC                        ,rC                         ,C                    ,C                      ,rS                      ,S                    ,C                      ,                                      ,A                                      ,A                ,S                    ,rS                   ,rS            ,rS                     ,rR                      ,rS                   ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,                      ,rR                    ,S                  ,                ,                    ,                    ,rR              ,                   ,                      ,                     ,R                         ,rR                    ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 11,H, 3,  45.00,     81.0500,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,R                         ,C                    ,rS                     ,rS                        ,rS                         ,C                    ,C                      ,rS                      ,R                    ,S                      ,                                      ,C                                      ,C                ,S                    ,rS                   ,rS            ,rS                     ,                        ,                     ,rR                 ,C                 ,rS                         ,S                    ,                        ,C                     ,S                ,                                 ,                      ,                                      ,                  ,R                     ,                      ,                   ,R               ,                    ,                    ,                ,                   ,rR                    ,rR                   ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,Late Pleistocene ,                  ,CN15          ,134, 827,A, 11,H, 4,  37.00,     82.4700,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,                          ,C                    ,rS                     ,rS                        ,rC                         ,C                    ,C                      ,rS                      ,R                    ,C                      ,                                      ,A                                      ,A                ,S                    ,rR                   ,rR            ,rS                     ,rR                      ,                     ,rR                 ,C                 ,rC                         ,S                    ,                        ,C                     ,C                ,                                 ,                      ,                                      ,                  ,                      ,                      ,                   ,                ,                    ,                    ,                ,                   ,                      ,                     ,                          ,                      ,                    ,                     ,                   ,                      ,                         ,                 ,             ,                     ,                         ,                        ,                   ,                      ,                       ,                         ,                 ,                    ,from ODP Leg 134 SR Chapter 10 Table 4 p 196-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
