Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
317-U1354A-12H-3-A,317,U1354,A,12,12-3,H,3,A,0,140,59.3,60.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-4-A,317,U1354,A,12,12-4,H,4,A,0,130,60.8,62.1,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-5-A,317,U1354,A,12,12-5,H,5,A,0,57,62.3,62.87,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-5-A,317,U1354,A,12,12-5,H,5,A,57,64,62.87,62.94,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous clayey mud,,,,,
317-U1354A-12H-5-A,317,U1354,A,12,12-5,H,5,A,64,121,62.94,63.51,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-5-A,317,U1354,A,12,12-5,H,5,A,121,136,63.51,63.66,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous clayey mud,,,,,
317-U1354A-12H-5-A,317,U1354,A,12,12-5,H,5,A,136,140,63.66,63.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-6-A,317,U1354,A,12,12-6,H,6,A,0,35,63.8,64.15,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-6-A,317,U1354,A,12,12-6,H,6,A,35,82,64.15,64.62,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous clayey mud,,,,,
317-U1354A-12H-6-A,317,U1354,A,12,12-6,H,6,A,82,87,64.62,64.67,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",Homogeneous sandy mud (s.s. data),,,,,
317-U1354A-12H-CC-A,317,U1354,A,12,12-CC,H,CC,A,0,13,64.77,64.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous clayey mud,,,,,
317-U1354A-13H-1-A,317,U1354,A,13,13-1,H,1,A,0,130,64.9,66.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-13H-2-A,317,U1354,A,13,13-2,H,2,A,0,130,66.4,67.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-13H-2-A,317,U1354,A,13,13-2,H,2,A,130,140,67.7,67.8,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-13H-3-A,317,U1354,A,13,13-3,H,3,A,0,140,67.9,69.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-13H-4-A,317,U1354,A,13,13-4,H,4,A,0,35,69.4,69.75,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-13H-4-A,317,U1354,A,13,13-4,H,4,A,35,130,69.75,70.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-13H-5-A,317,U1354,A,13,13-5,H,5,A,0,140,70.9,72.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-13H-6-A,317,U1354,A,13,13-6,H,6,A,0,70,72.46,73.16,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-13H-CC-A,317,U1354,A,13,13-CC,H,CC,A,0,70,73.27,73.97,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,,
317-U1354A-14H-1-A,317,U1354,A,14,14-1,H,1,A,0,130,73.6,74.9,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-14H-2-A,317,U1354,A,14,14-2,H,2,A,0,96,75.1,76.06,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-14H-CC-A,317,U1354,A,14,14-CC,H,CC,A,0,8,76.16,76.24,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-17H-1-A,317,U1354,A,17,17-1,H,1,A,0,5,78.3,78.35,,Shell hash,,Shell hash,,,,,Leg 150,bivalve and gastropod,,,,,
317-U1354A-17H-1-A,317,U1354,A,17,17-1,H,1,A,5,81,78.35,79.11,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
317-U1354A-17H-2-A,317,U1354,A,17,17-2,H,2,A,0,85,79.3,80.15,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",Shelly muddy v.f.-m. sand (mostly v.f. sand),,,,,
317-U1354A-19H-1-A,317,U1354,A,19,19-1,H,1,A,0,5,80.4,80.45,,Shell hash,,Shell hash,,,,,Leg 150,,,,,,
317-U1354A-19H-1-A,317,U1354,A,19,19-1,H,1,A,5,10,80.45,80.5,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",bioclastic sand,,,,,
317-U1354A-19H-1-A,317,U1354,A,19,19-1,H,1,A,10,17,80.5,80.57,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",shelly mud,,,,,
317-U1354A-19H-1-A,317,U1354,A,19,19-1,H,1,A,17,130,80.57,81.7,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-19H-2-A,317,U1354,A,19,19-2,H,2,A,0,140,81.9,83.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-19H-3-A,317,U1354,A,19,19-3,H,3,A,0,90,83.4,84.3,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-19H-4-A,317,U1354,A,19,19-4,H,4,A,0,80,84.4,85.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,,,,,
317-U1354A-19H-CC-A,317,U1354,A,19,19-CC,H,CC,A,0,18,85.19,85.37,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,,
