Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
323-U1344A-12H-3-A,323,U1344,A,12,12-3,H,3,A,0,142,106.58,108,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,123
323-U1344A-12H-4-A,323,U1344,A,12,12-4,H,4,A,0,144,108,109.44,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,124
323-U1344A-12H-5-A,323,U1344,A,12,12-5,H,5,A,0,144,109.44,110.88,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,125
323-U1344A-12H-6-A,323,U1344,A,12,12-6,H,6,A,0,150,110.88,112.38,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,126
323-U1344A-12H-7-A,323,U1344,A,12,12-7,H,7,A,0,125,112.38,113.63,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,127
323-U1344A-12H-CC-A,323,U1344,A,12,12-CC,H,CC,A,0,26,113.63,113.89,silt [S54],Leg 323,diatom-rich,diatom-rich silt,,soft,10GY 4/1,,,,,,,,,,,,,,,,,128
323-U1344A-13H-1-A,323,U1344,A,13,13-1,H,1,A,0,104,113.6,114.64,diatom silt,Leg 323,,diatom silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,129
323-U1344A-13H-2-A,323,U1344,A,13,13-2,H,2,A,0,150,114.64,116.14,diatom silt,Leg 323,,diatom silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,130
323-U1344A-13H-3-A,323,U1344,A,13,13-3,H,3,A,0,148,116.14,117.62,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,131
323-U1344A-13H-3-A,323,U1344,A,13,13-3,H,3,A,148,149,117.62,117.63,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,132
323-U1344A-13H-4-A,323,U1344,A,13,13-4,H,4,A,0,142,117.63,119.05,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,133
323-U1344A-13H-5-A,323,U1344,A,13,13-5,H,5,A,0,5,119.05,119.1,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,134
323-U1344A-13H-5-A,323,U1344,A,13,13-5,H,5,A,5,100,119.1,120.05,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,135
323-U1344A-13H-5-A,323,U1344,A,13,13-5,H,5,A,100,140,120.05,120.45,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,136
323-U1344A-13H-6-A,323,U1344,A,13,13-6,H,6,A,0,143,120.45,121.88,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,137
323-U1344A-13H-7-A,323,U1344,A,13,13-7,H,7,A,0,40,121.88,122.28,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,138
323-U1344A-13H-7-A,323,U1344,A,13,13-7,H,7,A,40,110,122.28,122.98,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,139
323-U1344A-13H-7-A,323,U1344,A,13,13-7,H,7,A,110,114,122.98,123.02,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,140
323-U1344A-13H-CC-A,323,U1344,A,13,13-CC,H,CC,A,0,40,123.02,123.42,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,141
323-U1344A-14H-1-A,323,U1344,A,14,14-1,H,1,A,0,71,123.1,123.81,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,142
323-U1344A-14H-2-A,323,U1344,A,14,14-2,H,2,A,0,150,123.81,125.31,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,143
323-U1344A-14H-3-A,323,U1344,A,14,14-3,H,3,A,0,150,125.31,126.81,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,144
323-U1344A-14H-4-A,323,U1344,A,14,14-4,H,4,A,0,150,126.81,128.31,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,145
323-U1344A-14H-5-A,323,U1344,A,14,14-5,H,5,A,0,145,128.31,129.76,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,146
323-U1344A-14H-6-A,323,U1344,A,14,14-6,H,6,A,0,132,129.76,131.08,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,147
323-U1344A-14H-7-A,323,U1344,A,14,14-7,H,7,A,0,139,131.08,132.47,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,148
323-U1344A-14H-CC-A,323,U1344,A,14,14-CC,H,CC,A,0,34,132.47,132.81,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,5Y 4/1 ,,,,,,,,,,,,,,,,,149
323-U1344A-15H-1-A,323,U1344,A,15,15-1,H,1,A,0,102,132.6,133.62,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,150
323-U1344A-15H-2-A,323,U1344,A,15,15-2,H,2,A,0,135,133.62,134.97,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,151
323-U1344A-15H-3-A,323,U1344,A,15,15-3,H,3,A,0,147,134.97,136.44,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,152
323-U1344A-15H-4-A,323,U1344,A,15,15-4,H,4,A,0,146,136.44,137.9,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,153
323-U1344A-15H-5-A,323,U1344,A,15,15-5,H,5,A,0,150,137.9,139.4,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,154
323-U1344A-15H-6-A,323,U1344,A,15,15-6,H,6,A,0,150,139.4,140.9,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,155
323-U1344A-15H-7-A,323,U1344,A,15,15-7,H,7,A,0,10,140.9,141,clayey silt [S54],"Shepard, 1954",diatom-bearing,"diatom-bearing clayey silt Shepard,",,soft,10GY 4/1,,,,,,,,,,,,,,,,,156
323-U1344A-15H-7-A,323,U1344,A,15,15-7,H,7,A,10,135,141,142.25,diatom silt,Leg 323,,diatom silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,,157
323-U1344A-15H-7-A,323,U1344,A,15,15-7,H,7,A,10,135,141,142.25,silt [S54],,diatom-rich,diatom-rich silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,,158
323-U1344A-15H-CC-A,323,U1344,A,15,15-CC,H,CC,A,0,10,142.25,142.35,diatom silt,Leg 323,,diatom silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,,159
323-U1344A-15H-CC-A,323,U1344,A,15,15-CC,H,CC,A,0,10,142.25,142.35,silt [S54],,diatom-rich,diatom-rich silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,,160
323-U1344A-16H-1-A,323,U1344,A,16,16-1,H,1,A,0,56,142.1,142.66,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,161
323-U1344A-16H-2-A,323,U1344,A,16,16-2,H,2,A,0,150,142.66,144.16,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,162
323-U1344A-16H-3-A,323,U1344,A,16,16-3,H,3,A,0,150,144.16,145.66,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,163
323-U1344A-16H-4-A,323,U1344,A,16,16-4,H,4,A,0,30,145.66,145.96,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,164
323-U1344A-16H-4-A,323,U1344,A,16,16-4,H,4,A,30,134,145.96,147,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,165
323-U1344A-16H-5-A,323,U1344,A,16,16-5,H,5,A,0,149,147,148.49,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,166
323-U1344A-16H-6-A,323,U1344,A,16,16-6,H,6,A,0,150,148.49,149.99,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,167
323-U1344A-16H-7-A,323,U1344,A,16,16-7,H,7,A,0,100,149.99,150.99,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,168
323-U1344A-16H-8-A,323,U1344,A,16,16-8,H,8,A,0,87,150.99,151.86,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,169
323-U1344A-16H-CC-A,323,U1344,A,16,16-CC,H,CC,A,0,25,151.86,152.11,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,170
323-U1344A-17H-1-A,323,U1344,A,17,17-1,H,1,A,0,48,151.6,152.08,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,171
323-U1344A-17H-2-A,323,U1344,A,17,17-2,H,2,A,0,134,152.08,153.42,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,172
323-U1344A-17H-3-A,323,U1344,A,17,17-3,H,3,A,0,140,153.42,154.82,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,173
323-U1344A-17H-4-A,323,U1344,A,17,17-4,H,4,A,0,145,154.82,156.27,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,174
323-U1344A-17H-5-A,323,U1344,A,17,17-5,H,5,A,0,79,156.27,157.06,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,175
323-U1344A-17H-5-A,323,U1344,A,17,17-5,H,5,A,79,95,157.06,157.22,diatom ooze,Leg 323,authigenic-carbonate-rich,authigenic-carbonate-rich diatom ooze,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,176
323-U1344A-17H-5-A,323,U1344,A,17,17-5,H,5,A,95,150,157.22,157.77,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,177
323-U1344A-17H-6-A,323,U1344,A,17,17-6,H,6,A,0,148,157.77,159.25,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,178
323-U1344A-17H-7-A,323,U1344,A,17,17-7,H,7,A,0,34,159.25,159.59,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,179
323-U1344A-17H-7-A,323,U1344,A,17,17-7,H,7,A,34,37,159.59,159.62,diatom ooze,Leg 323,authigenic-carbonate-rich,authigenic-carbonate-rich diatom ooze,100,soft,5GY 5/1,,,,,,,,,,,,,,,,,180
323-U1344A-17H-7-A,323,U1344,A,17,17-7,H,7,A,37,100,159.62,160.25,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,181
323-U1344A-17H-8-A,323,U1344,A,17,17-8,H,8,A,0,76,160.25,161.01,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,182
323-U1344A-17H-CC-A,323,U1344,A,17,17-CC,H,CC,A,0,26,161.01,161.27,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,183
323-U1344A-18H-1-A,323,U1344,A,18,18-1,H,1,A,1,50,161.11,161.6,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,184
323-U1344A-18H-2-A,323,U1344,A,18,18-2,H,2,A,0,140,161.6,163,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,185
323-U1344A-18H-3-A,323,U1344,A,18,18-3,H,3,A,0,150,163,164.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,186
323-U1344A-18H-4-A,323,U1344,A,18,18-4,H,4,A,0,150,164.5,166,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,187
323-U1344A-18H-5-A,323,U1344,A,18,18-5,H,5,A,0,150,166,167.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,188
323-U1344A-18H-6-A,323,U1344,A,18,18-6,H,6,A,0,140,167.5,168.9,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,189
323-U1344A-18H-7-A,323,U1344,A,18,18-7,H,7,A,0,150,168.9,170.4,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,190
323-U1344A-18H-8-A,323,U1344,A,18,18-8,H,8,A,0,58,170.4,170.98,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,191
323-U1344A-18H-CC-A,323,U1344,A,18,18-CC,H,CC,A,0,22,170.98,171.2,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,192
323-U1344A-19H-1-A,323,U1344,A,19,19-1,H,1,A,0,68,170.6,171.28,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,193
323-U1344A-19H-2-A,323,U1344,A,19,19-2,H,2,A,0,141,171.28,172.69,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,194
323-U1344A-19H-3-A,323,U1344,A,19,19-3,H,3,A,0,143,172.69,174.12,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,195
323-U1344A-19H-4-A,323,U1344,A,19,19-4,H,4,A,0,146,174.12,175.58,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,196
323-U1344A-19H-5-A,323,U1344,A,19,19-5,H,5,A,0,148,175.58,177.06,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,197
323-U1344A-19H-5-A,323,U1344,A,19,19-5,H,5,A,148,150,177.06,177.08,clayey silt [S54],'',diatom-rich,'',100,soft,10Y 4/1,,,,,,,,,,,,,,,,,198
323-U1344A-19H-6-A,323,U1344,A,19,19-6,H,6,A,0,1,177.08,177.09,clayey silt [S54],'',diatom-rich,'',100,soft,10Y 4/1,,,,,,,,,,,,,,,,,199
323-U1344A-19H-6-A,323,U1344,A,19,19-6,H,6,A,1,150,177.09,178.58,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,200
323-U1344A-19H-7-A,323,U1344,A,19,19-7,H,7,A,0,107,178.58,179.65,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,201
323-U1344A-19H-CC-A,323,U1344,A,19,19-CC,H,CC,A,0,42,179.65,180.07,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,202
323-U1344A-20H-1-A,323,U1344,A,20,20-1,H,1,A,0,127,180.1,181.37,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,203
323-U1344A-20H-2-A,323,U1344,A,20,20-2,H,2,A,0,150,181.37,182.87,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,204
323-U1344A-20H-3-A,323,U1344,A,20,20-3,H,3,A,0,150,182.87,184.37,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,205
323-U1344A-20H-4-A,323,U1344,A,20,20-4,H,4,A,0,139,184.37,185.76,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,206
323-U1344A-20H-5-A,323,U1344,A,20,20-5,H,5,A,0,150,185.76,187.26,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,207
323-U1344A-20H-6-A,323,U1344,A,20,20-6,H,6,A,0,150,187.26,188.76,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,208
323-U1344A-20H-7-A,323,U1344,A,20,20-7,H,7,A,0,133,188.76,190.09,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,209
323-U1344A-20H-CC-A,323,U1344,A,20,20-CC,H,CC,A,0,20,190.09,190.29,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10GY 4/1,,,,,,,,,,,,,,,,,210
323-U1344A-21H-1-A,323,U1344,A,21,21-1,H,1,A,0,77,189.6,190.37,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,211
323-U1344A-21H-2-A,323,U1344,A,21,21-2,H,2,A,0,140,190.37,191.77,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,212
323-U1344A-21H-3-A,323,U1344,A,21,21-3,H,3,A,0,148,191.77,193.25,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,213
323-U1344A-21H-4-A,323,U1344,A,21,21-4,H,4,A,0,124,193.25,194.49,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,214
323-U1344A-21H-5-A,323,U1344,A,21,21-5,H,5,A,0,74,194.49,195.23,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,215
323-U1344A-21H-5-A,323,U1344,A,21,21-5,H,5,A,74,76,195.23,195.25,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,,soft,5Y 5/2,,,,,,,,,,,,,,,,,216
323-U1344A-21H-5-A,323,U1344,A,21,21-5,H,5,A,76,150,195.25,195.99,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,217
323-U1344A-21H-6-A,323,U1344,A,21,21-6,H,6,A,0,150,195.99,197.49,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,218
323-U1344A-21H-7-A,323,U1344,A,21,21-7,H,7,A,0,148,197.49,198.97,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,219
323-U1344A-21H-CC-A,323,U1344,A,21,21-CC,H,CC,A,0,21,198.97,199.18,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,220
323-U1344A-22H-1-A,323,U1344,A,22,22-1,H,1,A,0,88,199.1,199.98,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,221
323-U1344A-22H-2-A,323,U1344,A,22,22-2,H,2,A,0,24,199.98,200.22,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,222
323-U1344A-22H-2-A,323,U1344,A,22,22-2,H,2,A,24,34,200.22,200.32,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich silty clay,,soft,10Y 5/1,,,,,,,,,,,,,,,,,223
323-U1344A-22H-2-A,323,U1344,A,22,22-2,H,2,A,34,150,200.32,201.48,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,10GY 4/1,,,,,,,,,,,,,,,,,224
323-U1344A-22H-3-A,323,U1344,A,22,22-3,H,3,A,0,50,201.48,201.98,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,,225
323-U1344A-22H-3-A,323,U1344,A,22,22-3,H,3,A,50,105,201.98,202.53,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,,226
323-U1344A-22H-3-A,323,U1344,A,22,22-3,H,3,A,105,115,202.53,202.63,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soupy,5GY 4/1,,,,,,,,,,,,,,,,,227
323-U1344A-22H-3-A,323,U1344,A,22,22-3,H,3,A,115,143,202.63,202.91,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,3/N ,,,,,,,,,,,,,,,,,228
323-U1344A-22H-4-A,323,U1344,A,22,22-4,H,4,A,0,0,202.91,202.91,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,3/N ,,,,,,,,,,,,,,,,,229
323-U1344A-22H-5-A,323,U1344,A,22,22-5,H,5,A,0,129,204.12,205.41,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,230
323-U1344A-22H-6-A,323,U1344,A,22,22-6,H,6,A,0,150,205.41,206.91,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,231
323-U1344A-22H-7-A,323,U1344,A,22,22-7,H,7,A,0,100,206.91,207.91,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,232
323-U1344A-22H-8-A,323,U1344,A,22,22-8,H,8,A,0,54,207.91,208.45,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,233
323-U1344A-22H-CC-A,323,U1344,A,22,22-CC,H,CC,A,0,29,208.45,208.74,sandy clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,,234
323-U1344A-23H-1-A,323,U1344,A,23,23-1,H,1,A,0,150,208.6,210.1,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,235
323-U1344A-23H-2-A,323,U1344,A,23,23-2,H,2,A,0,144,210.1,211.54,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,236
323-U1344A-23H-3-A,323,U1344,A,23,23-3,H,3,A,0,147,211.54,213.01,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,237
323-U1344A-23H-4-A,323,U1344,A,23,23-4,H,4,A,0,134,213.01,214.35,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,238
323-U1344A-23H-5-A,323,U1344,A,23,23-5,H,5,A,0,150,214.35,215.85,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,239
323-U1344A-23H-6-A,323,U1344,A,23,23-6,H,6,A,0,133,215.85,217.18,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,240
323-U1344A-23H-7-A,323,U1344,A,23,23-7,H,7,A,0,13,217.18,217.31,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,,soft,10Y 2.5/1,,,,,,,,,,,,,,,,,241
