dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
,344-U1413C-15R-1-A,344,U1413,C,15,15-1,R,1,A,9,66,304.19,304.76,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,140
,344-U1413C-15R-1-A,344,U1413,C,15,15-1,R,1,A,66,95,304.76,305.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,He WR,,,,,,,141
,344-U1413C-15R-2-A,344,U1413,C,15,15-2,R,2,A,0,14,305.05,305.19,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,IW,,,,,,,142
,344-U1413C-15R-2-A,344,U1413,C,15,15-2,R,2,A,14,24,305.19,305.29,fractured,slight [drilling disturbance],2,,claystone [USGS],,10Y 3/1 (very dark greenish gray),claystone ,claystone ,clay [W22_2],1,silt [W22_1],2,"biogenic fragments, pyrite, slightly normal graded",,,,,,,,,,,,moderate [B06],3,,,,,,,,143
,344-U1413C-15R-2-A,344,U1413,C,15,15-2,R,2,A,24,103,305.29,306.08,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,IW,,,,,,,144
,344-U1413C-15R-3-A,344,U1413,C,15,15-3,R,3,A,0,70,306.4,307.1,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,IW,,,,,,,145
,344-U1413C-15R-3-A,344,U1413,C,15,15-3,R,3,A,70,71,307.1,307.11,fractured,slight [drilling disturbance],2,,claystone [USGS],,10Y 3/1 (very dark greenish gray),claystone ,claystone ,clay [W22_2],1,silt [W22_1],2,,,,,,,,,,,,,heavy [B06],5,,,,,,,,146
,344-U1413C-15R-3-A,344,U1413,C,15,15-3,R,3,A,71,99,307.11,307.39,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,IW,,,,,,,147
,344-U1413C-15R-3-A,344,U1413,C,15,15-3,R,3,A,99,101,307.39,307.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBIO,,,,,,,148
,344-U1413C-15R-4-A,344,U1413,C,15,15-4,R,4,A,0,6,307.41,307.47,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,IW,,,,,,,149
,344-U1413C-15R-4-A,344,U1413,C,15,15-4,R,4,A,6,11,307.47,307.52,fractured,slight [drilling disturbance],2,silty,sandstone [USGS],,5GY 2.5/1 (greenish black),silty  sandstone ,silty sandstone ,sand [W22_1],3,sand [W22_1],3,,,,,,,,,,,,,common [B06],4,,,,,,,,150
,344-U1413C-15R-4-A,344,U1413,C,15,15-4,R,4,A,11,100,307.52,308.41,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,IW,,,,,,,151
,344-U1413C-15R-5-A,344,U1413,C,15,15-5,R,5,A,0,62,308.41,309.03,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,152
,344-U1413C-15R-CC-A,344,U1413,C,15,15-CC,R,CC,A,0,12,309.03,309.15,,severe [drilling disturbance],7,,siltstone [USGS],,5GY 3/1 (very dark greenish gray),siltstone ,siltstone ,silt [W22_1],2,silt [W22_1],2,,,,,,,,,,,,,,,,,,,,,,153
,344-U1413C-15R-CC-A,344,U1413,C,15,15-CC,R,CC,A,12,17,309.15,309.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,154
,344-U1413C-16R-1-A,344,U1413,C,16,16-1,R,1,A,0,28,313.8,314.08,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,155
,344-U1413C-16R-1-A,344,U1413,C,16,16-1,R,1,A,28,42,314.08,314.22,fractured,high [drilling disturbance],6,,claystone [USGS],,10Y 3/1 (very dark greenish gray),claystone ,claystone ,clay [W22_2],1,silt [W22_1],2,"rare biogenic components, no pyrite, no calcareous cement",,,,,,,,,,,,slight [B06],2,,,,,,,,156
,344-U1413C-16R-1-A,344,U1413,C,16,16-1,R,1,A,42,61,314.22,314.41,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,157
,344-U1413C-16R-1-A,344,U1413,C,16,16-1,R,1,A,61,81,314.41,314.61,fractured,severe [drilling disturbance],7,,claystone [USGS],,10Y 3/1 (very dark greenish gray),claystone ,claystone ,clay [W22_2],1,silt [W22_1],2,"rare biogenic components, no pyrite, no calcareous cement",,,,,,,,,,,,common [B06],4,,,,,,,,158
,344-U1413C-16R-1-A,344,U1413,C,16,16-1,R,1,A,81,144,314.61,315.24,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,159
,344-U1413C-16R-2-A,344,U1413,C,16,16-2,R,2,A,0,142,315.24,316.66,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenetic fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,160
,344-U1413C-16R-3-A,344,U1413,C,16,16-3,R,3,A,0,100,316.66,317.66,fractured,moderate [drilling disturbance],4,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,161
,344-U1413C-16R-3-A,344,U1413,C,16,16-3,R,3,A,100,150,317.66,318.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,162
,344-U1413C-16R-4-A,344,U1413,C,16,16-4,R,4,A,0,140,318.16,319.56,fractured,moderate to high [drilling disturbance],5,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenetic fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,163
,344-U1413C-16R-5-A,344,U1413,C,16,16-5,R,5,A,0,150,319.56,321.06,fractured,moderate to high [drilling disturbance],5,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,164
,344-U1413C-16R-6-A,344,U1413,C,16,16-6,R,6,A,0,92,321.06,321.98,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,165
,344-U1413C-16R-6-A,344,U1413,C,16,16-6,R,6,A,92,95,321.98,322.01,fractured,high [drilling disturbance],6,,tuff [MMK88],,10Y 4/2 (grayish green),tuff ,tuff ,silt [W22_1],2,silt [W22_1],2,"not calcareous, no fossils no pyrite",,,,,,,,,,,,common [B06],4,,,,,,,,166
,344-U1413C-16R-6-A,344,U1413,C,16,16-6,R,6,A,95,151,322.01,322.57,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic  fragments, but smaller and less abundant than in higher section, pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,167
,344-U1413C-16R-7-A,344,U1413,C,16,16-7,R,7,A,0,94,322.57,323.51,fractured,high [drilling disturbance],6,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments, but smaller and less abundant than in higher sections, rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,168
,344-U1413C-16R-CC-A,344,U1413,C,16,16-CC,R,CC,A,0,8,323.51,323.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,All to PAL,,,,,,,169
,344-U1413C-17R-1-A,344,U1413,C,17,17-1,R,1,A,0,148,323.5,324.98,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,170
,344-U1413C-17R-2-A,344,U1413,C,17,17-2,R,2,A,0,121,324.98,326.19,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,171
,344-U1413C-17R-3-A,344,U1413,C,17,17-3,R,3,A,0,136,326.19,327.55,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments, rare larger shell fragments  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,at 38-50 cm cores is severely damaged  by rock saw ,,,,,,,172
,344-U1413C-17R-3-A,344,U1413,C,17,17-3,R,3,A,135,150,327.54,327.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,STIP,,,,,,,173
,344-U1413C-17R-4-A,344,U1413,C,17,17-4,R,4,A,0,91,327.69,328.6,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,174
,344-U1413C-17R-4-A,344,U1413,C,17,17-4,R,4,A,91,122,328.6,328.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,175
,344-U1413C-17R-5-A,344,U1413,C,17,17-5,R,5,A,0,120,328.91,330.11,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,Void/gap at 120-135 cm due to SAIT sample.,,,,,,,176
,344-U1413C-17R-5-A,344,U1413,C,17,17-5,R,5,A,135,150,330.26,330.41,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,Void/gap at 120-135 cm due to SAIT sample.,,,,,,,177
,344-U1413C-17R-6-A,344,U1413,C,17,17-6,R,6,A,0,134,330.41,331.75,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,178
,344-U1413C-17R-7-A,344,U1413,C,17,17-7,R,7,A,0,148,331.75,333.23,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,179
,344-U1413C-17R-CC-A,344,U1413,C,17,17-CC,R,CC,A,0,20,333.23,333.43,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,180
,344-U1413C-18R-1-A,344,U1413,C,18,18-1,R,1,A,0,88,333.2,334.08,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,181
,344-U1413C-18R-CC-A,344,U1413,C,18,18-CC,R,CC,A,0,20,334.08,334.28,fractured,slight [drilling disturbance],2,clayey,siltstone [USGS],,5GY 3/1 (very dark greenish gray),clayey  siltstone ,clayey siltstone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragment,  rare pyrite, calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,182
,344-U1413C-19R-1-A,344,U1413,C,19,19-1,R,1,A,0,38,342.9,343.28,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite, rare hexagonal calcaerous structures), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,183
,344-U1413C-19R-2-A,344,U1413,C,19,19-2,R,2,A,0,141,343.28,344.69,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite, rare hexagonal calcaerous structures), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,184
,344-U1413C-19R-3-A,344,U1413,C,19,19-3,R,3,A,0,150,344.69,346.19,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite, rare hexagonal calcaerous structures), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,185
,344-U1413C-19R-4-A,344,U1413,C,19,19-4,R,4,A,0,102,346.19,347.21,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite, rare hexagonal calcaerous structures), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,186
,344-U1413C-19R-5-A,344,U1413,C,19,19-5,R,5,A,0,96,347.21,348.17,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,187
,344-U1413C-19R-6-A,344,U1413,C,19,19-6,R,6,A,0,145,348.17,349.62,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,188
,344-U1413C-19R-7-A,344,U1413,C,19,19-7,R,7,A,0,70,349.62,350.32,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,189
,344-U1413C-19R-8-A,344,U1413,C,19,19-8,R,8,A,0,42,350.32,350.74,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,190
,344-U1413C-19R-CC-A,344,U1413,C,19,19-CC,R,CC,A,0,3,350.74,350.77,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,191
,344-U1413C-20R-1-A,344,U1413,C,20,20-1,R,1,A,0,137,352.6,353.97,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,192
,344-U1413C-20R-2-A,344,U1413,C,20,20-2,R,2,A,0,100,353.97,354.97,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,larger amount of organic matter (leaves) in Laminaes at 38 cm,,,,,,,193
,344-U1413C-20R-3-A,344,U1413,C,20,20-3,R,3,A,0,80,354.97,355.77,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,194
,344-U1413C-20R-3-A,344,U1413,C,20,20-3,R,3,A,80,110,355.77,356.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,195
,344-U1413C-20R-4-A,344,U1413,C,20,20-4,R,4,A,0,102,356.07,357.09,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,196
,344-U1413C-20R-5-A,344,U1413,C,20,20-5,R,5,A,0,58,357.09,357.67,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,197
,344-U1413C-20R-CC-A,344,U1413,C,20,20-CC,R,CC,A,0,24,357.67,357.91,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix",,,,,,,,,,,,common [B06],4,,,,,,,,198
,344-U1413C-21R-1-A,344,U1413,C,21,21-1,R,1,A,0,148,362.3,363.78,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,199
,344-U1413C-21R-2-A,344,U1413,C,21,21-2,R,2,A,0,150,363.78,365.28,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,200
,344-U1413C-21R-3-A,344,U1413,C,21,21-3,R,3,A,0,117,365.28,366.45,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,201
,344-U1413C-21R-3-A,344,U1413,C,21,21-3,R,3,A,117,121,366.45,366.49,,slight [drilling disturbance],2,biogenic [Leg339],sandstone [USGS],,5GY 5/2 (dark apple greenish gray),biogenic   sandstone ,biogenic  sandstone ,silt [W22_1],2,sand [W22_1],3,"biogenic fragments are dominated by tube-like structure probably made out of chitin and abundant shell fragments, foraminifers and pyrite.",,,,,,,,,,,,,,,,,,,,,202
,344-U1413C-21R-3-A,344,U1413,C,21,21-3,R,3,A,121,149,366.49,366.77,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,203
,344-U1413C-21R-4-A,344,U1413,C,21,21-4,R,4,A,0,123,366.77,368,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,204
,344-U1413C-21R-4-A,344,U1413,C,21,21-4,R,4,A,123,153,368,368.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,205
,344-U1413C-21R-5-A,344,U1413,C,21,21-5,R,5,A,0,55,368.3,368.85,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,206
,344-U1413C-21R-5-A,344,U1413,C,21,21-5,R,5,A,55,62,368.85,368.92,,slight [drilling disturbance],2,calcareous [Leg339],mudstone [USGS],,10Y 7/2 (pale green),calcareous   mudstone ,calcareous  mudstone ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,,,,heavy [B06],5,,,,,,,,207
,344-U1413C-21R-5-A,344,U1413,C,21,21-5,R,5,A,62,150,368.92,369.8,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,208
,344-U1413C-21R-6-A,344,U1413,C,21,21-6,R,6,A,0,146,369.8,371.26,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,209
,344-U1413C-21R-CC-A,344,U1413,C,21,21-CC,R,CC,A,0,13,371.26,371.39,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,210
,344-U1413C-22R-1-A,344,U1413,C,22,22-1,R,1,A,0,89,372,372.89,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,211
,344-U1413C-22R-1-A,344,U1413,C,22,22-1,R,1,A,89,95,372.89,372.95,,slight [drilling disturbance],2,biogenic [Leg339],sandstone [USGS],,5GY 5/2 (dark apple greenish gray),biogenic   sandstone ,biogenic  sandstone ,silt [W22_1],2,sand [W22_1],3,"biogenic fragments are dominated by tube-like structure probably made out of chitin and abundant shell fragments, foraminifers and pyrite.",,,,,,,,,,,,moderate [B06],3,,,,,,,,212
,344-U1413C-22R-1-A,344,U1413,C,22,22-1,R,1,A,95,150,372.95,373.5,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,213
,344-U1413C-22R-2-A,344,U1413,C,22,22-2,R,2,A,0,93,373.5,374.43,fractured,slight [drilling disturbance],2,silty,claystone [USGS],,5GY 3/1 (very dark greenish gray),silty  claystone ,silty claystone ,silt [W22_1],2,silt [W22_1],2,"biogenic fragments (foraminifers, common pyrite), mildly calcareous matrix, some tube like, non-calcerous, non-silica biogenic structures.",,,,,,,,,,,,common [B06],4,,,,,,,,214
