Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],List of pieces (read only),Lithological unit number,Degree of alteration,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Complete lithology name,Contact type,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Igneous texture 1,Igneous texture 2,Color,Texture comment,Groundmass modal percent [%],Groundmass crystal size [mm],Grain size distribution,Groundmass comments,Glass abundance (read only) [%],Altered glass (palagonite) abundance [%],Fresh glass,Glass preservation comment,Phenocryst 1 (most abundant),Phenocryst 1 abundance [%],Phenocryst 1 size MAX [mm],Phenocryst 1 size MODE [mm],Phenocryst 1 shape,Phenocryst 1 shape rank,Phenocryst 1 comments,Phenocryst 2 (2nd most abundant),Phenocryst 2 abundance [%],Phenocryst 2 size MAX [mm],Phenocryst 2 size MODE [mm],Phenocryst 2 shape,Phenocryst 2 shape rank,Phenocryst 2 comments,Phenocryst 3 (3rd most abundant),Phenocryst 3 abundance [%],Phenocryst 3 size MAX [mm],Phenocryst 3 size MODE [mm],Phenocryst 3 shape,Phenocryst 3 shape rank,Phenocryst 3 comments,Total phenocryst abundance [%],Accessory mineral 1 (<1 Vol. %),Accessory mineral 2 (<1 Vol. %),Accessory mineral (comments),Vesicle abundance,Vesicle size MAX [mm],Vesicle size MODE [mm],Vesicle roundness,Vesicle sphericity,Vesicle filling,Vesicle comments,Veins,Type and sense of shear,Apparent dip angle 1 [deg],Apparent dip azimuth 1 [deg],Apparent dip angle 2 [deg],Apparent dip azimuth 2 [deg],Dip azimuth calculated in CRF [deg],Dip angle calculated in CRF [deg],Dip azimuth measured in CRF [deg],Dip angle measured in CRF [deg],Slickenside trend [deg],Slickenside plunge [deg],Rake angle [deg],Rake ref. direction [%deg],Structure comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
376-U1530A-76R-1-A,0,99,366.7,367.69,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Sulfate veins. Mottled texture apparent is various places.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,76,R,1,A,,,,50
376-U1530A-77R-1-A,0,44,371.5,371.94,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,77,R,1,A,,,,51
376-U1530A-78R-1-A,0,63,376.3,376.93,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Mottled texture, caused by secondary alteration processes, give the appearance of clastic texture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,78,R,1,A,,,,52
376-U1530A-79R-1-A,0,102,381.1,382.12,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Mottled texture, caused by secondary alteration processes, give the appearance of clastic texture. Anastamozing veins traversing some fragments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,79,R,1,A,,,,53
376-U1530A-80R-1-A,0,5,385.9,385.95,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Mottled texture, caused by secondary alteration processes, give the appearance of clastic texture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,80,R,1,A,,,,54
376-U1530A-81R-1-A,0,33,390.7,391.03,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Little fine-grained & disseminated pyrite, Partly oxidized. Mottled gray-green texture, caused by secondary alteration processes, give the appearance of clastic texture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,81,R,1,A,,,,55
376-U1530A-82R-1-A,0,50,395.5,396,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"No volcanic textures recognizable. Pervasively altered to silica, clay, sulfate and sulfide minerals, Matrix consist mainly of silica. Little fine-grained & disseminated pyrite, Partly oxidized. Mottled texture, caused by secondary alteration processes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,82,R,1,A,,,,56
376-U1530A-83R-1-A,0,27,400.3,400.57,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered, silicified with disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,83,R,1,A,,,,57
376-U1530A-83R-1-A,27,89,400.57,401.19,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 2 5/5BG (greenish gray),,,,,"Massive highly altered volcanic rocks without veins. Residual porphyritc texture, presumably from dissolution and partial replacement of plagioclase. Original euhedral phenocryst shapes can rarely be recognized. Green alteration color pervasive. Disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,83,R,1,A,,,,58
376-U1530A-84R-1-A,0,20,405.1,405.3,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 7/N (light gray),,,,,"Pervasively altered, silicified with disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,84,R,1,A,,,,59
376-U1530A-84R-1-A,20,37,405.3,405.47,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 2 5/5BG (greenish gray),,,,,"Greenish highly altered volcanic rocks with residual porphyritc texture, presumably from dissolution and partial replacement of plagioclase. Original euhedral phenocryst shapes can rarely be recognized. Green alteration color pervasive. Disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,84,R,1,A,,,,60
376-U1530A-84R-1-A,37,62,405.47,405.72,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered, silicified with disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,84,R,1,A,,,,61
376-U1530A-85R-1-A,0,9,409.9,409.99,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"No volcanic textures recognizable. Pervasively altered, silicified with disseminated pyrite and alteration halo (possible clast?).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,85,R,1,A,,,,62
376-U1530A-86R-1-A,0,80,414.7,415.5,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No primary volcanic textures recognizable. Pervasively altered, silicified with cross-cutting sulfide-rich silica veins lending a mottled texture; abundant disseminated pyrite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,86,R,1,A,,,,63
376-U1530A-87R-1-A,0,24,419.5,419.74,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 2 6/5PB (bluish gray),,,,,No primary volcanic textures recognizable. Pervasively altered and highly silicified; abundant disseminated pyrite and pyrite veinlets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,87,R,1,A,,,,64
376-U1530A-88R-1-A,0,59,424.3,424.89,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,No primary volcanic textures recognizable. Pervasively altered and highly silicified; abundant disseminated pyrite and pyrite veinlets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,88,R,1,A,,,,65
376-U1530A-89R-1-A,0,67,429.1,429.77,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 2 6/5PB (bluish gray),,,,,"Pervasively altered, silicified with disseminated pyrite. Void filled with clay or sulfate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,89,R,1,A,,,,66
376-U1530A-90R-1-A,0,99,433.9,434.89,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 6/N (gray),,,,,"No volcanic textures recognizable. Pervasively altered, silicified, and with disseminated pyrite. Silica and clay-rich groundmass.Void filled with clay or sulfate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,90,R,1,A,,,,67
376-U1530A-91R-1-A,0,10,438.7,438.8,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 6/N (gray),,,,,"Pervasively altered, silicified, and with disseminated pyrite. Silica and clay-rich groundmass.Void filled with clay or sulfate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,91,R,1,A,,,,68
376-U1530A-92R-1-A,0,38,443.5,443.88,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 6/N (gray),,,,,"Pervasively altered, silicified, and with disseminated pyrite. Silica and clay-rich groundmass. Void filled with clay or sulfate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,92,R,1,A,,,,69
376-U1530A-93R-1-A,0,8,448.3,448.38,,5,,altered,volcanic,lava,altered volcanic lava,,,,,,,GLEY 1 7/N (light gray),,,,,"Pervasively altered, silicified, and with disseminated pyrite. Silica and clay-rich groundmass. Void filled with clay or sulfate. Silica-sulfate vein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,93,R,1,A,,,,70
376-U1530A-93R-1-A,8,38,448.38,448.68,,5,,altered,volcanic,,altered volcanic,,,,,,,GLEY 1 7/N (light gray),,,,,"No volcanic textures recognizable. Pervasively altered, silicified, and with disseminated pyrite. Silica and clay-rich groundmass. Void filled with clay or sulfate. Silica-sulfate vein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,U1530,A,93,R,1,A,,,,71
