Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOXCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
323-U1345D-8H-1-A,323,U1345,D,8,8-1,H,1,A,0,150,66.5,68,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-8H-2-A,323,U1345,D,8,8-2,H,2,A,0,2,68,68.02,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-8H-2-A,323,U1345,D,8,8-2,H,2,A,2,9,68.02,68.09,clay [S54] ,,authigenic carbonate diatom-rich,authigenic carbonate diatom-rich clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-8H-2-A,323,U1345,D,8,8-2,H,2,A,9,99,68.09,68.99,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-8H-2-A,323,U1345,D,8,8-2,H,2,A,99,108,68.99,69.08,clay [S54] ,,authigenic carbonate diatom-rich,authigenic carbonate diatom-rich clay,,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-8H-2-A,323,U1345,D,8,8-2,H,2,A,108,152,69.08,69.52,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-8H-3-A,323,U1345,D,8,8-3,H,3,A,0,95,69.52,70.47,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-8H-3-A,323,U1345,D,8,8-3,H,3,A,95,139,70.47,70.91,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-8H-4-A,323,U1345,D,8,8-4,H,4,A,0,150,70.91,72.41,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-8H-5-A,323,U1345,D,8,8-5,H,5,A,0,65,72.41,73.06,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-8H-CC-A,323,U1345,D,8,8-CC,H,CC,A,0,16,73.06,73.22,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-1-A,323,U1345,D,9,9-1,H,1,A,0,86,74,74.86,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-2-A,323,U1345,D,9,9-2,H,2,A,0,33,74.86,75.19,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,70,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-2-A,323,U1345,D,9,9-2,H,2,A,0,33,74.86,75.19,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,30,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-2-A,323,U1345,D,9,9-2,H,2,A,33,150,75.19,76.36,clay [S54] ,"Shepard, 1954",diatom-bearing,diatom-bearing clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-3-A,323,U1345,D,9,9-3,H,3,A,0,97,76.36,77.33,clay [S54] ,"Shepard, 1954",diatom-bearing,diatom-bearing clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-3-A,323,U1345,D,9,9-3,H,3,A,97,146,77.33,77.82,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,60,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-3-A,323,U1345,D,9,9-3,H,3,A,97,146,77.33,77.82,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,40,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,0,21,77.82,78.03,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,0,21,77.82,78.03,diatom silt,Leg 323,,diatom silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,21,27,78.03,78.09,clayey silt [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich clayey silt,50,soft,10Y 6/1,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,21,27,78.03,78.09,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,27,41,78.09,78.23,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,70,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,27,41,78.09,78.23,diatom silt,Leg 323,,diatom silt,30,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-4-A,323,U1345,D,9,9-4,H,4,A,41,143,78.23,79.25,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-5-A,323,U1345,D,9,9-5,H,5,A,0,150,79.25,80.75,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-6-A,323,U1345,D,9,9-6,H,6,A,0,22,80.75,80.97,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-6-A,323,U1345,D,9,9-6,H,6,A,22,33,80.97,81.08,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,50,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-6-A,323,U1345,D,9,9-6,H,6,A,22,33,80.97,81.08,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-6-A,323,U1345,D,9,9-6,H,6,A,33,38,81.08,81.13,clayey silt [S54],"Shepard, 1954",diatom-rich,diatom-rich clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-6-A,323,U1345,D,9,9-6,H,6,A,38,144,81.13,82.19,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-9H-7-A,323,U1345,D,9,9-7,H,7,A,0,84,82.19,83.03,silty clay [S54],"Shepard, 1954",,silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-9H-CC-A,323,U1345,D,9,9-CC,H,CC,A,0,39,83.03,83.42,silty clay [S54],"Shepard, 1954",,silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-1-A,323,U1345,D,10,10-1,H,1,A,0,20,83.5,83.7,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-1-A,323,U1345,D,10,10-1,H,1,A,20,132,83.7,84.82,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-10H-2-A,323,U1345,D,10,10-2,H,2,A,0,50,84.82,85.32,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-2-A,323,U1345,D,10,10-2,H,2,A,50,150,85.32,86.32,clayey sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey sand,,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-10H-3-A,323,U1345,D,10,10-3,H,3,A,0,148,86.32,87.8,clayey sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey sand,,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-10H-4-A,323,U1345,D,10,10-4,H,4,A,0,74,87.8,88.54,clayey sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey sand,,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-10H-4-A,323,U1345,D,10,10-4,H,4,A,74,142,88.54,89.22,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-5-A,323,U1345,D,10,10-5,H,5,A,0,100,89.22,90.22,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-5-A,323,U1345,D,10,10-5,H,5,A,100,145,90.22,90.67,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-6-A,323,U1345,D,10,10-6,H,6,A,0,40,90.67,91.07,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-10H-6-A,323,U1345,D,10,10-6,H,6,A,40,144,91.07,92.11,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-10H-7-A,323,U1345,D,10,10-7,H,7,A,0,89,92.11,93,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-10H-CC-A,323,U1345,D,10,10-CC,H,CC,A,0,36,93,93.36,silt [S54],,diatom-rich,diatom-rich silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-1-A,323,U1345,D,11,11-1,H,1,A,0,102,93,94.02,silt [S54],,diatom-bearing,diatom-bearing silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-2-A,323,U1345,D,11,11-2,H,2,A,0,150,94.02,95.52,silt [S54],,diatom-bearing,diatom-bearing silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-3-A,323,U1345,D,11,11-3,H,3,A,0,150,95.52,97.02,silt [S54],,diatom-bearing,diatom-bearing silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-4-A,323,U1345,D,11,11-4,H,4,A,0,55,97.02,97.57,silt [S54],,diatom-bearing,diatom-bearing silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-4-A,323,U1345,D,11,11-4,H,4,A,55,75,97.57,97.77,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-4-A,323,U1345,D,11,11-4,H,4,A,75,140,97.77,98.42,silt [S54],,diatom-bearing,diatom-bearing silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-5-A,323,U1345,D,11,11-5,H,5,A,0,150,98.42,99.92,silt [S54],,diatom-bearing,diatom-bearing silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,0,25,99.92,100.17,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,12,150,100.04,101.42,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,25,50,100.17,100.42,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,25,50,100.17,100.42,silt [S54],,diatom-rich,diatom-rich silt,60,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,50,144,100.42,101.36,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,144,150,101.36,101.42,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,60,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-6-A,323,U1345,D,11,11-6,H,6,A,144,150,101.36,101.42,silt [S54],,diatom-rich,diatom-rich silt,40,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-7-A,323,U1345,D,11,11-7,H,7,A,0,12,101.42,101.54,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,60,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-11H-7-A,323,U1345,D,11,11-7,H,7,A,0,12,101.42,101.54,silt [S54],,diatom-rich,diatom-rich silt,40,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-7-A,323,U1345,D,11,11-7,H,7,A,0,93,101.42,102.35,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-11H-CC-A,323,U1345,D,11,11-CC,H,CC,A,0,32,102.35,102.67,silt [S54],,diatom-rich,diatom-rich silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-12H-1-A,323,U1345,D,12,12-1,H,1,A,0,18,102.5,102.68,clay [S54] ,,diatom-rich,diatom-rich clay,60,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-12H-1-A,323,U1345,D,12,12-1,H,1,A,0,18,102.5,102.68,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-1-A,323,U1345,D,12,12-1,H,1,A,18,95,102.68,103.45,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-2-A,323,U1345,D,12,12-2,H,2,A,0,150,103.45,104.95,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-3-A,323,U1345,D,12,12-3,H,3,A,0,150,104.95,106.45,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-4-A,323,U1345,D,12,12-4,H,4,A,0,150,106.45,107.95,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-5-A,323,U1345,D,12,12-5,H,5,A,0,150,107.95,109.45,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-6-A,323,U1345,D,12,12-6,H,6,A,0,150,109.45,110.95,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-12H-7-A,323,U1345,D,12,12-7,H,7,A,0,50,110.95,111.45,clay [S54] ,,diatom-rich,diatom-rich clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-12H-7-A,323,U1345,D,12,12-7,H,7,A,50,86,111.45,111.81,silty sand [S54],"Shepard, 1954",diatom-rich,diatom-rich silty sand,,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-12H-CC-A,323,U1345,D,12,12-CC,H,CC,A,0,12,111.81,111.93,silty sand [S54],"Shepard, 1954",diatom-rich,diatom-rich silty sand,,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-13H-1-A,323,U1345,D,13,13-1,H,1,A,0,73,112,112.73,silty sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty sand,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-2-A,323,U1345,D,13,13-2,H,2,A,0,44,112.73,113.17,silty sand [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty sand,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-2-A,323,U1345,D,13,13-2,H,2,A,44,107,113.17,113.8,diatom clay,Leg 323,,diatom clay,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-2-A,323,U1345,D,13,13-2,H,2,A,44,107,113.17,113.8,diatom ooze,Leg 323,,diatom ooze,10,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1345D-13H-2-A,323,U1345,D,13,13-2,H,2,A,44,107,113.17,113.8,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-2-A,323,U1345,D,13,13-2,H,2,A,107,150,113.8,114.23,diatom clay,Leg 323,,diatom clay,40,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-2-A,323,U1345,D,13,13-2,H,2,A,107,150,113.8,114.23,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,60,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,0,7,114.23,114.3,diatom clay,Leg 323,,diatom clay,40,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,0,7,114.23,114.3,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,60,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,7,110,114.3,115.33,diatom ooze,Leg 323,,diatom ooze,10,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,7,110,114.3,115.33,diatom ooze,Leg 323,,diatom ooze,50,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,7,110,114.3,115.33,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,110,150,115.33,115.73,diatom ooze,Leg 323,,diatom ooze,20,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,110,150,115.33,115.73,diatom ooze,Leg 323,,diatom ooze,50,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1345D-13H-3-A,323,U1345,D,13,13-3,H,3,A,110,150,115.33,115.73,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,30,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,0,52,115.73,116.25,diatom ooze,Leg 323,,diatom ooze,20,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,0,52,115.73,116.25,diatom ooze,Leg 323,,diatom ooze,50,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,0,52,115.73,116.25,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,30,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,52,90,116.25,116.63,diatom clay,Leg 323,,diatom clay,30,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,52,90,116.25,116.63,diatom ooze,Leg 323,,diatom ooze,30,soft,5Y 5/2,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,52,90,116.25,116.63,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-4-A,323,U1345,D,13,13-4,H,4,A,90,150,116.63,117.23,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-5-A,323,U1345,D,13,13-5,H,5,A,0,13,117.23,117.36,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-5-A,323,U1345,D,13,13-5,H,5,A,13,22,117.36,117.45,diatom clay,Leg 323,,diatom clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-13H-5-A,323,U1345,D,13,13-5,H,5,A,22,150,117.45,118.73,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-6-A,323,U1345,D,13,13-6,H,6,A,0,150,118.73,120.23,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-7-A,323,U1345,D,13,13-7,H,7,A,0,100,120.23,121.23,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-8-A,323,U1345,D,13,13-8,H,8,A,0,90,121.23,122.13,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-CC-A,323,U1345,D,13,13-CC,H,CC,A,0,42,122.13,122.55,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-13H-CC-A,323,U1345,D,13,13-CC,H,CC,A,0,52,122.13,122.65,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-1-A,323,U1345,D,14,14-1,H,1,A,0,134,121.5,122.84,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-2-A,323,U1345,D,14,14-2,H,2,A,0,38,122.84,123.22,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-2-A,323,U1345,D,14,14-2,H,2,A,38,142,123.22,124.26,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-2-A,323,U1345,D,14,14-2,H,2,A,142,143,124.26,124.27,fine ash [IUGS-LM89],"International Union of Geological Sciences-Le Maitre, 1989",,fine ash,80,soft,5Y 8/2,,,,,,,,,,,,,,,,
323-U1345D-14H-2-A,323,U1345,D,14,14-2,H,2,A,142,143,124.26,124.27,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,20,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-2-A,323,U1345,D,14,14-2,H,2,A,143,150,124.27,124.34,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,20,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-3-A,323,U1345,D,14,14-3,H,3,A,0,93,124.34,125.27,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,20,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-3-A,323,U1345,D,14,14-3,H,3,A,93,131,125.27,125.65,diatom clayey silt,,,diatom clayey silt,30,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-14H-3-A,323,U1345,D,14,14-3,H,3,A,93,131,125.27,125.65,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,60,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-3-A,323,U1345,D,14,14-3,H,3,A,93,131,125.27,125.65,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich silty clay,10,soft,10Y 5/1,,,,,"apparent at the bottom of the laminated intervals (128-131 cm)
contains authigenic carbonates",,,,,,,,,,,
323-U1345D-14H-3-A,323,U1345,D,14,14-3,H,3,A,131,150,125.65,125.84,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,,,,,,,,,,,,,,,,,
323-U1345D-14H-4-A,323,U1345,D,14,14-4,H,4,A,0,148,125.84,127.32,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,,,,,,,,,,,,,,,,,
323-U1345D-14H-5-A,323,U1345,D,14,14-5,H,5,A,0,33,127.32,127.65,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,,soft,,,,,,,,,,,,,,,,,
323-U1345D-14H-5-A,323,U1345,D,14,14-5,H,5,A,33,54,127.65,127.86,diatom clayey silt,,,diatom clayey silt,10,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-14H-5-A,323,U1345,D,14,14-5,H,5,A,33,54,127.65,127.86,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,90,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-14H-5-A,323,U1345,D,14,14-5,H,5,A,54,150,127.86,128.82,diatom silty clay,Leg 323,,diatom silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-14H-6-A,323,U1345,D,14,14-6,H,6,A,0,2,128.82,128.84,diatom silty clay,Leg 323,,diatom silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-14H-6-A,323,U1345,D,14,14-6,H,6,A,2,66,128.84,129.48,diatom clayey silt,,,diatom clayey silt,,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-14H-6-A,323,U1345,D,14,14-6,H,6,A,2,66,128.84,129.48,diatom clayey silt,,,diatom clayey silt,,soft,5Y 6/3,,,,,,,,,,,,,,,,
323-U1345D-14H-6-A,323,U1345,D,14,14-6,H,6,A,2,66,128.84,129.48,diatom clayey silt,,,diatom clayey silt,,soft,10Y 5/1,,,,,,,,,,,,,,,,
323-U1345D-14H-6-A,323,U1345,D,14,14-6,H,6,A,2,66,128.84,129.48,diatom silty clay,Leg 323,,diatom silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-14H-6-A,323,U1345,D,14,14-6,H,6,A,66,150,129.48,130.32,diatom silty clay,Leg 323,,diatom silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-14H-7-A,323,U1345,D,14,14-7,H,7,A,0,116,130.32,131.48,diatom silty clay,Leg 323,,diatom silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-14H-CC-A,323,U1345,D,14,14-CC,H,CC,A,0,24,131.48,131.72,diatom silty clay,Leg 323,,diatom silty clay,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-1-A,323,U1345,D,15,15-1,H,1,A,0,150,131,132.5,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
