Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
353-U1443C-10H-4-A,0,150,74.0,75.5,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,4,A,,,
353-U1443C-10H-5-A,0,150,75.5,77.0,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,5,A,,,
353-U1443C-10H-6-A,0,150,77.0,78.5,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling and burrow. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,6,A,,,
353-U1443C-10H-7-A,0,122,78.5,79.72,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,7,A,,,
353-U1443C-10H-CC-A,0,49,79.72,80.21,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,CC,A,,,
353-U1443C-11H-1-A,0,150,80.1,81.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,11,H,1,A,,,
353-U1443C-11H-2-A,0,150,81.6,83.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,11,H,2,A,,,
353-U1443C-11H-3-A,0,81,83.1,83.91,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,11,H,3,A,,,
353-U1443C-11H-4-A,0,41,83.91,84.32,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,11,H,4,A,,,
353-U1443C-11H-CC-A,0,25,84.32,84.57,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,11,H,CC,A,,,
353-U1443C-12H-1-A,0,150,89.6,91.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,DO NOT SAMPLE !! (fall-in).,,,,353,U1443,C,12,H,1,A,,,
353-U1443C-12H-2-A,0,150,91.1,92.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,12,H,2,A,,,
353-U1443C-12H-3-A,0,150,92.6,94.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,12,H,3,A,,,
353-U1443C-12H-4-A,0,150,94.1,95.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,12,H,4,A,,,
353-U1443C-12H-5-A,0,150,95.6,97.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,12,H,5,A,,,
353-U1443C-12H-6-A,0,148,97.1,98.58,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,12,H,6,A,,,
353-U1443C-12H-CC-A,0,18,98.58,98.76,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,12,H,CC,A,,,
353-U1443C-13H-1-A,0,150,97.1,98.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,DO NOT SAMPLE !! (fall-in).,,,,353,U1443,C,13,H,1,A,,,
353-U1443C-13H-2-A,0,150,98.6,100.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,13,H,2,A,,,
353-U1443C-13H-3-A,0,150,100.1,101.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,13,H,3,A,,,
353-U1443C-13H-4-A,0,150,101.6,103.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section. Light gray (2.5Y 7/2) band between 78 and 79 cm.,,,,353,U1443,C,13,H,4,A,,,
353-U1443C-13H-5-A,0,77,103.1,103.87,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),bioturbated,bioturbated,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,13,H,5,A,,,
353-U1443C-13H-5-A,77,80,103.87,103.9,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),bioturbated,bioturbated,,,,,,,,,,,,,,,353,U1443,C,13,H,5,A,,,
353-U1443C-13H-5-A,80,150,103.9,104.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,13,H,5,A,,,
353-U1443C-13H-6-A,0,107,104.6,105.67,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,13,H,6,A,,,
353-U1443C-13H-CC-A,0,19,105.67,105.86,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,13,H,CC,A,,,
353-U1443C-15H-1-A,0,150,105.6,107.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations (light greenish gray to yellowish white) with mottling. Some black dots (ash) all along the section.,,,,353,U1443,C,15,H,1,A,,,
353-U1443C-15H-2-A,0,150,107.1,108.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations (light greenish gray to pale brown) with mottling. Some black dots (ash) all along the section.,,,,353,U1443,C,15,H,2,A,,,
353-U1443C-15H-3-A,0,150,108.6,110.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations (light greenish gray to pale brown) with mottling. Some small black dots and blebs (ash) all along the section. Many black blebs with yellowish mottling between 11 and 30 cm.,,,,353,U1443,C,15,H,3,A,,,
353-U1443C-15H-4-A,0,150,110.1,111.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Very faint color variations (light greenish gray to pale brown) with mottling. Some small black dots and blebs (ash) all along the section.,,,,353,U1443,C,15,H,4,A,,,
353-U1443C-15H-5-A,0,70,111.6,112.3,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),gradational,gradational,,,,,,,mottling,,,,Very faint color variations (light greenish gray to pale brown) with mottling. Bioturbated light gray ash layer between 16 and 32 cm. Some small black dots and blebs (ash).,,,,353,U1443,C,15,H,5,A,,,
353-U1443C-15H-5-A,70,150,112.3,113.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,color banding,,,,The sediment shows many faint color banding (1 cm thick) from 72 to 120 cm. Some small black dots and blebs (ash) all along the section. Some small black dots and blebs (ash) between 120 and 150 cm.,,,,353,U1443,C,15,H,5,A,,,
353-U1443C-15H-6-A,0,102,113.1,114.12,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Faint color variations (pale brown to light greenish gray) with mottling. Some small black dots and blebs (ash) all along the section.,,,,353,U1443,C,15,H,6,A,,,
353-U1443C-15H-7-A,0,57,114.12,114.69,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Very faint color variations (pale brown to light greenish gray) with mottling. Some small black dots and blebs (ash) all along the section.,,,,353,U1443,C,15,H,7,A,,,
353-U1443C-15H-CC-A,0,5,114.69,114.74,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Very faint color variations (pale brown to light greenish gray) with mottling. Some small black dots and blebs (ash) all along the section.,,,,353,U1443,C,15,H,CC,A,,,
353-U1443C-16H-1-A,0,150,115.1,116.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Faint color variations (pale brown to light greenish gray) with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,16,H,1,A,,,
353-U1443C-16H-2-A,0,150,116.6,118.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Faint color variations (pale brown to light greenish gray) with mottling. Some small black dots (ash) all along the section. Bioturbated light gray ash layer between 101 and 115 cm.,,,,353,U1443,C,16,H,2,A,,,
353-U1443C-16H-3-A,0,150,118.1,119.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Very faint color variations (pale brown to light greenish gray) with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,16,H,3,A,,,
353-U1443C-16H-4-A,0,150,119.6,121.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),,,,,,,,,mottling,,,,Very faint color variations (pale brown to light greenish gray) with mottling.,,,,353,U1443,C,16,H,4,A,,,
353-U1443C-16H-5-A,0,30,121.1,121.4,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8/1 (white),gradational,gradational,,,,,,,mottling,,,,Very faint color variations (pale brown to light greenish gray) with mottling.,,,,353,U1443,C,16,H,5,A,,,
353-U1443C-16H-5-A,30,150,121.4,122.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,mottling,,,,Some small black dots (ash) and burrows all along the section.,,,,353,U1443,C,16,H,5,A,,,
353-U1443C-16H-6-A,0,150,122.6,124.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,mottling,,,,Some small black dots (ash) and burrows all along the section.,,,,353,U1443,C,16,H,6,A,,,
353-U1443C-16H-7-A,0,58,124.1,124.68,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,16,H,7,A,,,
353-U1443C-16H-CC-A,0,26,124.68,124.94,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,16,H,CC,A,,,
353-U1443C-18H-1-A,0,150,124.6,126.1,,clayey,nannofossil ooze,with authigenic carbonate,clayey nannofossil ooze,clayey nannofossil ooze with authigenic carbonate,nannofossil ooze with authigenic carbonate,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,18,H,1,A,,,
353-U1443C-18H-2-A,0,42,126.1,126.52,,clayey,nannofossil ooze,with authigenic carbonate,clayey nannofossil ooze,clayey nannofossil ooze with authigenic carbonate,nannofossil ooze with authigenic carbonate,,brown,10YR 8/3 (very pale brown),gradational,gradational,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,18,H,2,A,,,
353-U1443C-18H-2-A,42,150,126.52,127.6,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,18,H,2,A,,,
353-U1443C-18H-3-A,0,150,127.6,129.1,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,18,H,3,A,,,
353-U1443C-18H-4-A,0,150,129.1,130.6,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,18,H,4,A,,,
353-U1443C-18H-5-A,0,113,130.6,131.73,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,18,H,5,A,,,
353-U1443C-18H-CC-A,0,13,131.73,131.86,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,18,H,CC,A,,,
353-U1443C-19H-1-A,0,150,134.1,135.6,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,1,A,,,
353-U1443C-19H-2-A,0,150,135.6,137.1,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,2,A,,,
353-U1443C-19H-3-A,0,150,137.1,138.6,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,3,A,,,
353-U1443C-19H-4-A,0,80,138.6,139.4,,authigenic carbonate rich,nannofossil ooze,with clay,authigenic carbonate rich nannofossil ooze,authigenic carbonate rich nannofossil ooze with clay,nannofossil ooze with clay,,white,10YR 9/1 (white),gradational,gradational,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,4,A,,,
353-U1443C-19H-4-A,80,150,139.4,140.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,4,A,,,
353-U1443C-19H-5-A,0,150,140.1,141.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,5,A,,,
353-U1443C-19H-6-A,0,65,141.6,142.25,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,6,A,,,
353-U1443C-19H-CC-A,0,15,142.25,142.4,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/3 (very pale brown),,,,,,,,,,,,,"Faint color variations, from 10YR 8/3 to 10YR 9/1",,,,353,U1443,C,19,H,CC,A,,,
353-U1443C-20H-1-A,0,150,142.1,143.6,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/3 (very pale brown),,,,,,,,,mottling,,,,Some dark gray patches (ash) all along the section. One bioturbated dark gray band between 71 and 78 cm.,,,,353,U1443,C,20,H,1,A,,,
353-U1443C-20H-2-A,0,100,143.6,144.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,mottling,,,,Some dark gray patches (ash) all along the section.,,,,353,U1443,C,20,H,2,A,,,
353-U1443C-20H-3-A,0,53,144.6,145.13,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,mottling,,,,Some dark gray patches (ash) all along the section. Two dark gray bands 7-8 and 11-12 cm.,,,,353,U1443,C,20,H,3,A,,,
353-U1443C-20H-CC-A,0,22,145.13,145.35,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/3 (very pale brown),,,,,,,,,mottling,,,,Some dark gray patches (ash) all along the section.,,,,353,U1443,C,20,H,CC,A,,,
353-U1443C-21H-1-A,0,150,150.1,151.6,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/2 (very pale brown),,,,,,,,,mottling,,,,Some dark gray dots (ash) all along the section.,,,,353,U1443,C,21,H,1,A,,,
353-U1443C-21H-2-A,0,150,151.6,153.1,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,21,H,2,A,,,
353-U1443C-21H-3-A,0,150,153.1,154.6,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,21,H,3,A,,,
353-U1443C-21H-4-A,0,150,154.6,156.1,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,21,H,4,A,,,
353-U1443C-21H-5-A,0,120,156.1,157.3,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,21,H,5,A,,,
353-U1443C-21H-6-A,0,74,157.3,158.04,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze with clay,nannofossil ooze with clay,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,21,H,6,A,,,
353-U1443C-21H-CC-A,0,16,158.04,158.2,,clayey,nannofossil ooze,with clay,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,21,H,CC,A,,,
353-U1443C-22H-1-A,0,150,158.1,159.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,Some dark gray dots (ash) all along the section. Bioturbated dark gray (10YR 6/2) ash layer between 128 and 137 cm.,,,,353,U1443,C,22,H,1,A,,,
353-U1443C-22H-2-A,0,150,159.6,161.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,Some dark gray dots (ash) all along the section.,,,,353,U1443,C,22,H,2,A,,,
353-U1443C-22H-3-A,0,150,161.1,162.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,Some dark gray dots (ash) all along the section.,,,,353,U1443,C,22,H,3,A,,,
353-U1443C-22H-4-A,0,150,162.6,164.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,Some dark gray dots (ash) all along the section.,,,,353,U1443,C,22,H,4,A,,,
353-U1443C-22H-5-A,0,100,164.1,165.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,Some dark gray dots (ash) all along the section.,,,,353,U1443,C,22,H,5,A,,,
353-U1443C-22H-6-A,0,77,165.1,165.87,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,Some dark gray dots (ash) all along the section.,,,,353,U1443,C,22,H,6,A,,,
353-U1443C-22H-CC-A,0,17,165.87,166.04,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),,,,,,,,,,,,,,,,,353,U1443,C,22,H,CC,A,,,
353-U1443C-23H-1-A,0,120,166.1,167.3,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,brown,10YR 8/2 (very pale brown),gradational,gradational,,,,,,,,,,,,,,,353,U1443,C,23,H,1,A,,,
353-U1443C-23H-1-A,120,150,167.3,167.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,10YR 9.5/1 (white),,,,,,,,,,,,,,,,,353,U1443,C,23,H,1,A,,,
353-U1443C-23H-2-A,0,150,167.6,169.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,10YR 9.5/1 (white),,,,,,,,,,,,,,,,,353,U1443,C,23,H,2,A,,,
353-U1443C-23H-3-A,0,82,169.1,169.92,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,10YR 9.5/1 (white),,,,,,,,,,,,,,,,,353,U1443,C,23,H,3,A,,,
353-U1443C-23H-CC-A,0,17,169.92,170.09,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,10YR 9.5/1 (white),,,,,,,,,,,,,,,,,353,U1443,C,23,H,CC,A,,,
353-U1443C-24H-1-A,0,128,173.1,174.38,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,10YR 9.5/1 (white),,,,,,,,,,,,,,,,,353,U1443,C,24,H,1,A,,,
353-U1443C-25F-1-A,0,150,182.6,184.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,25,F,1,A,,,
