Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
369-U1516C-18R-4-A,0,151,354.1,355.61,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 9/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,,color boundary or contact,irregular,gradational,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,18,R,4,A,,,,73
369-U1516C-18R-5-A,0,100,355.61,356.61,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 8.5/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,18,R,5,A,,,,74
369-U1516C-18R-6-A,0,90,356.61,357.51,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 8.5/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,18,R,6,A,,,,75
369-U1516C-18R-CC-A,0,16,357.51,357.67,,,,,,nannofossil chalk,with sponge spicules,nannofossil chalk with sponge spicules,,,2.5Y 8.5/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,18,R,CC,A,,,,76
369-U1516C-19R-1-A,0,150,359.2,360.7,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,sparse,1,There is slight mottling between 119-128 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,19,R,1,A,,,,77
369-U1516C-19R-2-A,0,150,360.7,362.2,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,sparse,1,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,19,R,2,A,,,,78
369-U1516C-19R-3-A,0,150,362.2,363.7,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,sparse,1,,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,19,R,3,A,,,,79
369-U1516C-19R-4-A,0,131,363.7,365.01,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,sparse,1,There is slight mottling between 106-117 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,19,R,4,A,,,,80
369-U1516C-19R-5-A,0,150,365.11,366.61,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,sparse,1,There is slight mottling including Zoophycos burrows between 48-66 and 75-90 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,19,R,5,A,,,,81
369-U1516C-19R-6-A,0,108,366.61,367.69,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,sparse,1,There is slight mottling between 20-28 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk with sponge spicules,,,,369,U1516,C,19,R,6,A,,,,82
369-U1516C-19R-CC-A,0,7,367.69,367.76,,,,,,,,,,,,,,,,,,,,,,,Material sent to paleontology.,,,,,,,,,,,,,,,369,U1516,C,19,R,CC,A,,,,83
369-U1516C-20R-1-A,0,107,368.8,369.87,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,20,R,1,A,,,,84
369-U1516C-20R-CC-A,0,8,369.87,369.95,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,20,R,CC,A,,,,85
369-U1516C-21R-1-A,0,150,378.4,379.9,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,"There is slight mottling between 58-63, 77-87, 99-107 and 122-131 cm.",,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,1,A,,,,86
369-U1516C-21R-2-A,0,150,379.9,381.4,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,"There is slight mottling between 31-41, 61-70 and 89-100 cm. There is also a Zoophycos burrow at 94 cm.",,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,2,A,,,,87
369-U1516C-21R-3-A,0,101,381.4,382.41,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,There is slight mottling between 36-43 and 55-65 cm. There are Zoophycos burrows between 58-61 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,3,A,,,,88
369-U1516C-21R-4-A,0,96,382.41,383.37,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,There is slight mottling between 19-28 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,4,A,,,,89
369-U1516C-21R-5-A,0,151,383.47,384.98,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,"There is slight mottling between 9-16, 24-30 and 90-112 cm.",,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,5,A,,,,90
369-U1516C-21R-6-A,0,138,384.98,386.36,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,There is slight mottling between 107-117 cm.,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,6,A,,,,91
369-U1516C-21R-CC-A,0,14,386.36,386.5,,,,,,nannofossil chalk,,nannofossil chalk,,,10YR 9.5/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,369,U1516,C,21,R,CC,A,,,,92
369-U1516C-22R-1-A,0,61,388,388.61,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,clay [W22_1],1,nodule,chert,moderate,2,"Between 39 to 51 cm, there are chert nodules throughout. There is moderate mottling between 14-24 cm.",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,C,22,R,1,A,,,,93
369-U1516C-22R-2-A,0,101,388.71,389.72,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,There is moderate mottling between 30-38 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,C,22,R,2,A,,,,94
369-U1516C-22R-3-A,0,64,389.72,390.36,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,There are horizontal burrows at 21-25 cm,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,C,22,R,3,A,,,,95
369-U1516C-22R-CC-A,0,15,390.36,390.51,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,5Y 7/2 (light gray),massive [BJ84],,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,C,22,R,CC,A,,,,96
369-U1516C-23R-1-A,0,5,397.6,397.65,,,,,,calcareous chalk,,calcareous chalk,,,5Y 8/1 (white),massive [BJ84],,,structureless,,clay [W22_1],1,nodule,chert,sparse,1,Chert nodules present between 0-5 cm.,,,,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,1,A,,,,97
369-U1516C-23R-1-A,5,131,397.65,398.79,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,silt [W22_1],2,,,intense,5,Vertical burrows present between 35-41 cm.,,,,,,,,,,clayey calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,1,A,,,,98
369-U1516C-23R-2-A,0,128,398.92,400.2,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,silt [W22_1],2,,,intense,5,,,,,,,,,,,clayey calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,2,A,,,,99
369-U1516C-23R-3-A,0,84,400.2,401.04,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,silt [W22_1],2,,,intense,5,Vertical burrows present between 72-84 cm.,,,,,,,,,,clayey calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,3,A,,,,100
369-U1516C-23R-4-A,0,86,401.04,401.9,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,silt [W22_1],2,,,intense,5,There is moderate mottling between 40-51 cm.,,,,,,,,,,clayey calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,4,A,,,,101
369-U1516C-23R-5-A,0,142,401.9,403.32,,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,5Y 7/2 (light gray),mottled,,,structureless,,silt [W22_1],2,,,intense,5,Chondrites burrows between 3-15 cm.,,,,,,,,,,clayey calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,5,A,,,,102
369-U1516C-23R-CC-A,0,7,403.32,403.39,,,,,,calcareous chalk,,calcareous chalk,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,nodule,chert,sparse,1,Chert nodules present between 0-7 cm.,,,,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,23,R,CC,A,,,,103
369-U1516C-24R-1-A,0,115,407.2,408.35,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,There is moderate mottling between 24-30 and 67-72 cm.,,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,1,A,,,,104
369-U1516C-24R-2-A,0,76,408.35,409.11,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,There is moderate mottling between 13-21 and 39-55 cm.,,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,2,A,,,,105
369-U1516C-24R-3-A,0,143,409.11,410.54,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,wavy strata,,structureless,,clay [W22_1],1,,,low,2,"There is moderate mottling between 0-12, 46-60 and 89-102 cm. There is native cooper at 124 cm. Microfaults are present are 137-140 cm. Wavy strata is also present at 140-144 cm.",,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,3,A,,,,106
369-U1516C-24R-4-A,0,141,410.54,411.95,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,There is moderate mottling between 0-9 and 86-96 cm.,,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,4,A,,,,107
369-U1516C-24R-5-A,0,135,412.05,413.4,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,"There is severe mottling between 33-54, 68-103 and 123-131 cm.",,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,5,A,,,,108
369-U1516C-24R-6-A,0,111,413.4,414.51,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,There is moderate mottling between 49-59 and 101-111 cm.,,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,6,A,,,,109
369-U1516C-24R-7-A,0,99,414.51,415.5,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,There is moderate mottling between 30-37 and 80-89 cm.,,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,7,A,,,,110
369-U1516C-24R-8-A,0,68,415.5,416.18,,,,,sponge spicule rich,nannofossil chalk,with clay,sponge spicule rich nannofossil chalk with clay,,,5Y 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,low,2,There is moderate mottling between 30-37 and 80-89 cm.,,,,,,,,,,sponge spicule rich nannofossil chalk,nannofossil chalk with clay,,,,369,U1516,C,24,R,8,A,,,,111
369-U1516C-24R-8-A,68,140,416.18,416.9,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,2.5Y 8/2 (pale yellow),mottled,,,structureless,,clay [W22_1],1,,,sparse,1,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,C,24,R,8,A,,,,112
369-U1516C-24R-CC-A,0,18,416.9,417.08,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,2.5Y 8/2 (pale yellow),mottled,,,structureless,,clay [W22_1],1,,,sparse,1,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1516,C,24,R,CC,A,,,,113
369-U1516C-25R-1-A,0,9,416.8,416.89,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,2.5Y 7/3 (pale yellow),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,1,A,,,,114
369-U1516C-25R-1-A,9,109,416.89,417.89,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,10Y 6/2 (pale green),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,1,A,,,,115
369-U1516C-25R-2-A,0,69,417.89,418.58,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,10Y 6/2 (pale green),mottled,,,structureless,,clay [W22_1],1,mineral,glauconite,intense,5,,,,,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,2,A,,,,116
369-U1516C-25R-3-A,0,90,418.63,419.53,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,10Y 6/2 (pale green),mottled,,,structureless,,clay [W22_1],1,mineral,glauconite,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,3,A,,,,117
369-U1516C-25R-3-A,90,101,419.53,419.64,,,,,nannofossil-rich,claystone [USGS],with chert,nannofossil-rich claystone with chert,,,10Y 5/2 (grayish green),massive [BJ84],,,structureless,,clay [W22_1],1,,,,,Chert is irregularly disseminated in the interval.,sharp boundary or contact,sharp,sharp,,,,,,,nannofossil-rich claystone,claystone with chert,,,,369,U1516,C,25,R,3,A,,,,118
369-U1516C-25R-4-A,0,84,419.64,420.48,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,4,A,,,,119
369-U1516C-25R-4-A,84,92,420.48,420.56,,,,,nannofossil-rich,claystone [USGS],with chert,nannofossil-rich claystone with chert,,,10Y 5/2 (grayish green),massive [BJ84],,,structureless,,clay [W22_1],1,,,,,Chert is irregularly disseminated in the interval.,sharp boundary or contact,sharp,sharp,,,,,,,nannofossil-rich claystone,claystone with chert,,,,369,U1516,C,25,R,4,A,,,,120
369-U1516C-25R-4-A,92,139,420.56,421.03,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,4,A,,,,121
369-U1516C-25R-5-A,0,136,421.03,422.39,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,5,A,,,,122
369-U1516C-25R-6-A,0,103,422.39,423.42,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,6,A,,,,123
369-U1516C-25R-6-A,103,112,423.42,423.51,,,,,nannofossil-rich,claystone [USGS],with chert,nannofossil-rich claystone with chert,,,10Y 5/2 (grayish green),massive [BJ84],,,structureless,,clay [W22_1],1,,,,,Chert is irregularly disseminated in the interval.,sharp boundary or contact,sharp,sharp,,,,,,,nannofossil-rich claystone,claystone with chert,,,,369,U1516,C,25,R,6,A,,,,124
369-U1516C-25R-6-A,112,133,423.51,423.72,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,nannofossil-rich claystone,claystone,,,,369,U1516,C,25,R,6,A,,,,125
369-U1516C-25R-7-A,0,77,423.72,424.49,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,,,,,,369,U1516,C,25,R,7,A,,,,126
369-U1516C-25R-CC-A,0,20,424.49,424.69,,,,,nannofossil-rich,claystone [USGS],,nannofossil-rich claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,,,,,,369,U1516,C,25,R,CC,A,,,,127
369-U1516C-26R-1-A,0,137,426.4,427.77,,,,,,claystone [USGS],,claystone,,clasts,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,There is a irregular clast at 13 cm. Zoophycos are particularly abundant.,,,,,,,,,,claystone,claystone,,,,369,U1516,C,26,R,1,A,,,,128
369-U1516C-26R-2-A,0,129,427.77,429.06,,,,,,claystone [USGS],,claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Zoophycos are particularly abundant.,,,,,,,,,,claystone,claystone,,,,369,U1516,C,26,R,2,A,,,,129
369-U1516C-26R-3-A,0,49,429.06,429.55,,,,,,claystone [USGS],,claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Zoophycos are particularly abundant.,,,,,,,,,,claystone,claystone,,,,369,U1516,C,26,R,3,A,,,,130
369-U1516C-26R-3-A,49,55,429.55,429.61,,,,,,claystone [USGS],with chert,claystone with chert,,,10Y 5/2 (grayish green),mottled,,,structureless,,clay [W22_1],1,,,low,2,,,,,,,,,,,nannofossil-rich claystone,claystone with chert,,,,369,U1516,C,26,R,3,A,,,,131
369-U1516C-26R-3-A,55,134,429.61,430.4,,,,,,claystone [USGS],,claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Zoophycos are particularly abundant.,,,,,,,,,,claystone,claystone,,,,369,U1516,C,26,R,3,A,,,,132
369-U1516C-26R-4-A,0,105,430.51,431.56,,,,,,claystone [USGS],,claystone,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Zoophycos are particularly abundant.,sharp boundary or contact,sharp,sharp,,,,,,,claystone,claystone,,,,369,U1516,C,26,R,4,A,,,,133
369-U1516C-26R-4-A,105,112,431.56,431.63,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,"The top of this interval, between the chert and the claystone, there is white 1 cm thick bed with parallel lamination.",sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,4,A,,,,134
369-U1516C-26R-4-A,112,141,431.63,431.92,,,,,,calcareous chalk,,calcareous chalk,,,10YR 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,intense,5,There is a inoceramid shell fragment at 122 cm.,sharp boundary or contact,sharp,sharp,,,,,shell fragment,rare,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,4,A,,,,135
369-U1516C-26R-5-A,0,2,431.92,431.94,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,5,A,,,,136
369-U1516C-26R-5-A,2,20.5,431.94,432.125,,,,,,calcareous chalk,,calcareous chalk,,,10YR 8/1 (white),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,5,A,,,,137
369-U1516C-26R-5-A,20.5,23,432.125,432.15,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,5,A,,,,138
369-U1516C-26R-5-A,23,68,432.15,432.6,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Gradational change to light greenish gray in the bottom of the interval.,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,5,A,,,,139
369-U1516C-26R-5-A,68,71,432.6,432.63,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,5,A,,,,140
369-U1516C-26R-5-A,71,93,432.63,432.85,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Gradational change to light greenish gray in the bottom of the interval.,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,5,A,,,,141
369-U1516C-26R-5-A,93,98.5,432.85,432.905,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,5,A,,,,142
369-U1516C-26R-5-A,98.5,135,432.905,433.27,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,,,,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,5,A,,,,143
369-U1516C-26R-6-A,0,11,433.27,433.38,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,6,A,,,,144
369-U1516C-26R-6-A,11,20,433.38,433.47,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,6,A,,,,145
369-U1516C-26R-6-A,20,31.5,433.47,433.585,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,6,A,,,,146
369-U1516C-26R-6-A,31.5,34.5,433.585,433.615,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,6,A,,,,147
369-U1516C-26R-6-A,34.5,130,433.615,434.57,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,Enrichment in glauconite between 110-116 cm.,,,,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,6,A,,,,148
369-U1516C-26R-CC-A,0,4,434.57,434.61,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,CC,A,,,,149
369-U1516C-26R-CC-A,4,6.5,434.61,434.635,,,,,,chert [USGS],,chert,,,2.5Y 5/3 (light olive brown),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,sharp,sharp,,,,,,,chert,chert,,,,369,U1516,C,26,R,CC,A,,,,150
369-U1516C-26R-CC-A,6.5,19,434.635,434.76,,,,,,calcareous chalk,,calcareous chalk,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,26,R,CC,A,,,,151
369-U1516C-27R-1-A,0,101,436,437.01,,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,GLEY 1 7/10Y (light greenish grey),mottled,,,structureless,,clay [W22_1],1,,,intense,5,,sharp boundary or contact,sharp,sharp,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1516,C,27,R,1,A,,,,152
