Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
350-U1437E-17R-5-A,350,U1437,E,17,17-5,R,5,A,75,82,1219.87,1219.94,V,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,irregular,sharp,load cast,,well [2014],normally graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-5-A,350,U1437,E,17,17-5,R,5,A,82,92,1219.94,1220.04,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-5-A,350,U1437,E,17,17-5,R,5,A,92,102,1220.04,1220.14,V,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,light green,,silt [W22_1],2,,,,planar,sharp,,,well [2014],normally graded,stratification,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-5-A,350,U1437,E,17,17-5,R,5,A,102,113,1220.14,1220.25,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,0,3,1220.25,1220.28,V,,,,,tuff [2014],,tuff,tuff,tuff,,green,,medium sand [W22_2],5,,,,irregular,gradational,,,well [2014],,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,3,14,1220.28,1220.39,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,14,17,1220.39,1220.42,V,,,,"clast-supported, monomictic, evolved [2014]",lapillistone [2014],,"clast-supported, monomictic, evolved lapillistone","clast-supported, monomictic, evolved lapillistone",lapillistone,,dark green,,pebble [W22_2],9,,,,planar,sharp to gradational,,,well [2014],normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,17,34,1220.42,1220.59,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,34,36,1220.59,1220.61,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,fine sand [W22_2],4,,,,planar,sharp to gradational,,,moderate [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,36,50,1220.61,1220.75,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,50,52,1220.75,1220.77,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,medium sand [W22_2],5,,,,planar,sharp,,,well [2014],,stratification,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,52,62,1220.77,1220.87,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,62,63,1220.87,1220.88,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,medium sand [W22_2],5,,,,irregular,sharp,,,well [2014],normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-17R-6-A,350,U1437,E,17,17-6,R,6,A,63,69,1220.88,1220.94,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-CC-A,350,U1437,E,17,17-CC,R,CC,A,0,4,1220.94,1220.98,V,,,,,tuff [2014],with lapilli [2014],tuff,tuff with lapilli,tuff with lapilli,,dark gray,consolidated [2014],silt [W22_1],2,medium sand [W22_2],5,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-17R-CC-A,350,U1437,E,17,17-CC,R,CC,A,4,14,1220.98,1221.08,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,silt [W22_1],2,very fine sand [W22_2],3,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-17R-CC-A,350,U1437,E,17,17-CC,R,CC,A,14,16,1221.08,1221.1,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,consolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-1-A,350,U1437,E,18,18-1,R,1,A,0,52,1223,1223.52,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-1-A,350,U1437,E,18,18-1,R,1,A,52,68,1223.52,1223.68,V,,,,,tuff [2014],,tuff,tuff,tuff,,green,,medium sand [W22_2],5,coarse sand [W22_2],6,,irregular,sharp,,,moderate [2014],normally graded,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,,,
350-U1437E-18R-1-A,350,U1437,E,18,18-1,R,1,A,68,138,1223.68,1224.38,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,,,,,,,,,,,high,3,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-2-A,350,U1437,E,18,18-2,R,2,A,0,3,1224.38,1224.41,V,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,light green,,silt [W22_1],2,pebble [W22_2],9,,irregular,bioturbated,,,moderate [2014],,,moderate [DB86],2,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-18R-2-A,350,U1437,E,18,18-2,R,2,A,3,11,1224.41,1224.49,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-2-A,350,U1437,E,18,18-2,R,2,A,11,17,1224.49,1224.55,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,,,,planar,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-18R-2-A,350,U1437,E,18,18-2,R,2,A,17,52,1224.55,1224.9,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-2-A,350,U1437,E,18,18-2,R,2,A,52,66,1224.9,1225.04,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,coarse sand [W22_2],6,,planar,sharp,,,well [2014],normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-18R-2-A,350,U1437,E,18,18-2,R,2,A,66,106,1225.04,1225.44,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,silt [W22_1],2,pebble [W22_2],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-3-A,350,U1437,E,18,18-3,R,3,A,0,2,1225.44,1225.46,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,consolidated [2014],very fine sand [W22_2],3,,,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-3-A,350,U1437,E,18,18-3,R,3,A,2,28,1225.46,1225.72,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark gray,,very fine sand [W22_2],3,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-3-A,350,U1437,E,18,18-3,R,3,A,28,72,1225.72,1226.16,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,light gray,,very fine sand [W22_2],3,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-3-A,350,U1437,E,18,18-3,R,3,A,72,76,1226.16,1226.2,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,consolidated [2014],silt [W22_1],2,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-3-A,350,U1437,E,18,18-3,R,3,A,76,99,1226.2,1226.43,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark gray,,very fine sand [W22_2],3,,,,,,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,0,57,1226.43,1227,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,silt [W22_1],2,granule [W22_2],8,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,57,60,1227,1227.03,V,,,,"clast-supported, monomictic, evolved [2014]",lapillistone [2014],,"clast-supported, monomictic, evolved lapillistone","clast-supported, monomictic, evolved lapillistone",lapillistone,,green,consolidated [2014],medium sand [W22_2],5,coarse sand [W22_2],6,,irregular,sharp,,,well [2014],,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],lithic matrix [2014],,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,60,79,1227.03,1227.22,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,silt [W22_1],2,,,,planar,sharp,,,,,,moderate [DB86],2,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,79,81,1227.22,1227.24,V,,,,,tuff [2014],,tuff,tuff,tuff,,green,consolidated [2014],fine sand [W22_2],4,,6,,irregular,bioturbated,,,well [2014],,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,81,93,1227.24,1227.36,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,silt [W22_1],2,,,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,93,98,1227.36,1227.41,V,,,,,tuff [2014],,tuff,tuff,tuff,,gray,consolidated [2014],silt [W22_1],2,,6,,irregular,bioturbated,,,well [2014],,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-4-A,350,U1437,E,18,18-4,R,4,A,98,144,1227.41,1227.87,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,silt [W22_1],2,,,,,,,,,,,high,3,,,,,,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,0,17,1227.87,1228.04,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,17,20,1228.04,1228.07,V,,,,,lapilli-tuff [2014],,lapilli-tuff,lapilli-tuff,lapilli-tuff,,dark green,,coarse sand [W22_2],6,coarse sand [W22_2],6,,planar,sharp,,,moderate [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,20,55,1228.07,1228.42,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,55,59,1228.42,1228.46,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,,,,planar,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,59,72,1228.46,1228.59,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,72,75,1228.59,1228.62,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,,,,planar,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-18R-5-A,350,U1437,E,18,18-5,R,5,A,75,99,1228.62,1228.86,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-6-A,350,U1437,E,18,18-6,R,6,A,0,39,1228.86,1229.25,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-6-A,350,U1437,E,18,18-6,R,6,A,39,40,1229.25,1229.26,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,granule [W22_2],8,,irregular,sharp,,,well [2014],normally graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-6-A,350,U1437,E,18,18-6,R,6,A,40,47,1229.26,1229.33,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-6-A,350,U1437,E,18,18-6,R,6,A,47,48,1229.33,1229.34,V,,,,"clast-supported, polymictic, evolved [2014]",lapillistone [2014],,"clast-supported, polymictic, evolved lapillistone","clast-supported, polymictic, evolved lapillistone",lapillistone,,dark green,,coarse sand [W22_2],6,granule [W22_2],8,,irregular,sharp to gradational,,,well [2014],,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-18R-6-A,350,U1437,E,18,18-6,R,6,A,48,112,1229.34,1229.98,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-18R-CC-A,350,U1437,E,18,18-CC,R,CC,A,0,27,1229.98,1230.25,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,0,42,1232.7,1233.12,V,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,,,,pebble [W22_2],9,,,,,,,,,,,,,,vitric [2014],,,,,,,,,fiamme [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,42,46,1233.12,1233.16,V,,,,evolved,lapilli-tuff [2014],,evolved lapilli-tuff,evolved lapilli-tuff,lapilli-tuff,,dark green,,silt [W22_1],2,pebble [W22_2],9,,,bioturbated,,,,reversely coarse-tail graded,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,46,50,1233.16,1233.2,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,50,57,1233.2,1233.27,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,fine sand [W22_2],4,,,,planar,sharp,,,well [2014],non-graded,stratification,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,57,61,1233.27,1233.31,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,61,62,1233.31,1233.32,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,,,,planar,sharp,,,,,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,62,64,1233.32,1233.34,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,64,65,1233.34,1233.35,V,,,,,tuff [2014],,tuff,tuff,tuff,,green,,silt [W22_1],2,,,,irregular,sharp,,,,,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,65,78,1233.35,1233.48,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,78,83,1233.48,1233.53,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,,,,planar,sharp,,,well [2014],,stratification,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,83,85,1233.53,1233.55,V,,,,,tuff [2014],,tuff,tuff,tuff,,brown,,silt [W22_1],2,,,,planar,sharp,,,well [2014],,stratification,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,85,88,1233.55,1233.58,V,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark green,,silt [W22_1],2,,,,planar,sharp,,,well [2014],,stratification,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,88,103,1233.58,1233.73,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,103,113,1233.73,1233.83,V,,,,,tuff [2014],,tuff,tuff,tuff,,light brown,,silt [W22_1],2,,,,planar,sharp,,,well [2014],normally graded,stratification,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,113,127,1233.83,1233.97,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-1-A,350,U1437,E,19,19-1,R,1,A,127,132,1233.97,1234.02,V,,,,,tuff [2014],with lapilli [2014],tuff,tuff with lapilli,tuff with lapilli,,green,,silt [W22_1],2,granule [W22_2],8,,,not recovered,,,poor [2014],,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,0,3,1234.02,1234.05,V,,,,,lapilli-tuff [2014],,lapilli-tuff,lapilli-tuff,lapilli-tuff,,dark green,consolidated [2014],coarse sand [W22_2],6,granule [W22_2],8,,planar,sharp,horizontal,,well [2014],,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,3,4,1234.05,1234.06,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,horizontal,,,,,,,,foraminifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,4,7,1234.06,1234.09,V,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,sharp,horizontal,,well [2014],normally graded,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,7,13,1234.09,1234.15,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,silt [W22_1],2,,planar,sharp,horizontal,,,,,,,,foraminifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,13,15,1234.15,1234.17,V,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark gray,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,gradational,,,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,15,51,1234.17,1234.53,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,silt [W22_1],2,,planar,bioturbated,horizontal,,,,,,,,foraminifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,51,54,1234.53,1234.56,V,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark gray,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,sharp,horizontal,,well [2014],,stratification,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,54,94,1234.56,1234.96,V,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,silt [W22_1],2,,planar,gradational,,,,,,moderate [DB86],2,,foraminifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-19R-2-A,350,U1437,E,19,19-2,R,2,A,94,96,1234.96,1234.98,V,,,,,tuff [2014],,tuff,tuff,tuff,,gray,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,planar,sharp,horizontal,,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
