Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus capricornutus	Reticulofenestra minutula	Reticulofenestra bisecta	Helicosphaera spp.	Discoaster spp.	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Discoaster variabilis	Helicosphaera granulata	Cyclicargolithus abisectus	Coronocyclus nitescens	Calcidiscus premacintyrei	Sphenolithus conicus	Calcidiscus leptoporus	Discoaster adamanteus	Helicosphaera carteri	Sphenolithus belemnos	Discoaster druggii	Reticulofenestra pseudoumbilicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Helicosphaera ampliaperta	Cyclolithus annulus	Calcidiscus macintyrei	Discoaster signus	Syracosphaera spp.	Rhabdosphaera clavigera	Discoaster intercalaris	Triquetrorhabdulus extensus	Pontosphaera spp.	Helicosphaera euphratis	Scapholithus spp.	Discoaster exilis	Discoaster musicus	Coccolithus streckerii	Tetralithoides symeonidesii	Discolithina multipora	Dictyococcites spp.	Sphenolithus abies	Discoaster petaliformis	Discoaster moorei	Discoaster pseudovariabilis	Discoaster prepentaradiatus	Triquetrorhabdulus rugosus	Umbilicosphaera sibogae	Oolithotus antillarum	Discoaster kugleri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Catinaster coalitus	Discoaster quinqueramus	Discoaster icarus	Discoaster hamatus	Catinaster calyculus	Discoaster surculus	Discoaster pansus	Discoaster neohamatus	Discoaster decorus	Discoaster loeblichii	Minylitha convallis	Sphenolithus neoabies	Discoaster neorectus	Discoaster calcaris	Discoaster berggrenii	Scapholithus fossilis	Discoaster challengeri	Gephyrocapsa spp. (small)	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus spp.	Amaurolithus amplificus	Helicosphaera wallichii	Discoaster triradiatus	Pyrocyclus spp.	Discoaster quadramus	Helicosphaera neogranulata	Ceratolithus acutus	Ceratolithus rugosus	Ceratolithus cristatus	Amaurolithus tricorniculatus	Discoaster asymmetricus	Discolithina japonica	Helicosphaera sellii	Discoaster tamalis	Pseudoemiliania lacunosa	Syracosphaera pulchra	Helicosphaera hyalina	Rhabdosphaera longistylis	Reticulofenestra minutula (circ. form)	Reticulofenestra ampla	Rhabdosphaera stylifera	Coccolithus crassipons	Comment

  SR	                 	                 	CN11b             	              	165	 998	A	  9	H	 3	  20.00	     78.5000	Kameo    	Nannofossils                                 	               	G                 	                            	1                      	                       	                    	                          	99                       	                        	                  	1              	                     	                           	+                    	                        	1                    	                       	                          	                      	                         	                    	2                     	+                    	3                    	                     	                  	1                               	                          	20                     	                         	6                  	4                     	                 	1                 	1                      	3                      	                           	1                	                       	+                	                 	                  	                      	                           	                      	1                  	32                	                       	                 	                           	                           	                          	7                      	6                    	                  	45                      	2                  	                 	                 	                   	                       	                 	                  	                    	12                 	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	19                       	                   	                      	                 	                       	2                      	                      	               	                    	6                         	                   	1                   	2                     	                            	3                      	                     	1                   	                  	11                      	1                    	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 5 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11b             	              	165	 998	A	  9	H	 4	  20.00	     80.0000	Kameo    	Nannofossils                                 	               	G                 	                            	2                      	                       	                    	                          	61                       	                        	                  	               	                     	                           	                     	                        	+                    	                       	                          	                      	                         	                    	2                     	1                    	2                    	                     	                  	2                               	                          	30                     	                         	21                 	3                     	                 	3                 	2                      	+                      	                           	1                	                       	+                	                 	                  	                      	                           	                      	1                  	46                	                       	                 	                           	                           	                          	+                      	9                    	                  	68                      	3                  	                 	                 	                   	                       	                 	                  	                    	2                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	+                     	13                       	                   	                      	                 	                       	+                      	                      	1              	1                   	13                        	                   	+                   	+                     	                            	3                      	                     	                    	                  	5                       	+                    	1                    	                         	                                      	                      	                       	                      	Total count = 300 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11b             	              	165	 998	A	  9	H	 5	  19.00	     81.4900	Kameo    	Nannofossils                                 	               	G                 	                            	3                      	                       	                    	                          	116                      	                        	                  	               	                     	                           	1                    	                        	3                    	                       	                          	                      	                         	                    	4                     	                     	3                    	                     	                  	2                               	                          	40                     	                         	4                  	5                     	                 	1                 	7                      	+                      	1                          	+                	                       	1                	                 	                  	1                     	                           	                      	2                  	16                	                       	                 	                           	                           	                          	3                      	4                    	                  	65                      	5                  	                 	                 	                   	                       	                 	                  	                    	2                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	+                    	                      	1                        	                   	                      	                 	                       	2                      	+                     	               	                    	1                         	                   	+                   	                      	                            	1                      	                     	+                   	                  	1                       	1                    	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11b             	              	165	 998	A	  9	H	 6	  20.00	     83.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	1                      	                       	                    	                          	109                      	                        	                  	               	                     	                           	1                    	                        	+                    	                       	                          	                      	                         	                    	6                     	1                    	+                    	                     	                  	+                               	                          	44                     	                         	7                  	2                     	                 	+                 	1                      	+                      	                           	2                	                       	+                	                 	                  	                      	                           	                      	3                  	18                	                       	                 	                           	                           	                          	                       	4                    	                  	65                      	13                 	                 	                 	                   	                       	                 	                  	                    	5                  	+                	                     	                  	                     	                   	                     	                    	                   	                     	+                    	                      	3                        	                   	                      	                 	                       	                       	+                     	               	                    	6                         	                   	1                   	                      	                            	+                      	                     	+                   	                  	7                       	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11b             	              	165	 998	A	 10	H	 1	  20.00	     85.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	4                      	                       	                    	                          	95                       	                        	2                 	               	                     	                           	1                    	                        	2                    	                       	                          	                      	                         	                    	4                     	+                    	3                    	                     	                  	3                               	                          	44                     	                         	6                  	5                     	                 	1                 	3                      	+                      	                           	+                	                       	                 	                 	                  	                      	                           	                      	2                  	42                	                       	                 	                           	1                          	                          	                       	1                    	                  	48                      	7                  	                 	                 	                   	                       	                 	                  	                    	13                 	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	+                     	1                        	                   	                      	                 	                       	+                      	                      	               	                    	5                         	                   	+                   	+                     	                            	2                      	                     	2                   	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11a             	              	165	 998	A	 10	H	 2	  19.00	     86.4900	Kameo    	Nannofossils                                 	               	M-G               	                            	12                     	                       	                    	                          	69                       	                        	1                 	               	                     	                           	+                    	                        	+                    	                       	                          	                      	                         	                    	7                     	                     	2                    	                     	                  	                                	                          	76                     	                         	11                 	+                     	                 	+                 	+                      	1                      	                           	+                	                       	+                	                 	                  	                      	                           	                      	2                  	44                	                       	                 	                           	                           	                          	1                      	3                    	                  	46                      	7                  	                 	                 	                   	                       	                 	                  	                    	7                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	+                     	                         	                   	                      	                 	                       	+                      	+                     	1              	                    	10                        	                   	+                   	                      	                            	                       	                     	                    	+                 	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11a             	              	165	 998	A	 10	H	 3	  20.00	     88.0000	Kameo    	Nannofossils                                 	               	G                 	                            	8                      	                       	                    	                          	107                      	                        	2                 	               	                     	                           	+                    	                        	+                    	                       	                          	                      	                         	                    	3                     	+                    	2                    	                     	                  	3                               	                          	52                     	                         	6                  	5                     	                 	                  	1                      	+                      	                           	+                	                       	1                	                 	                  	                      	                           	                      	1                  	31                	                       	                 	                           	                           	                          	2                      	2                    	                  	58                      	6                  	                 	                 	                   	                       	                 	                  	                    	4                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	+                   	4                         	                   	+                   	                      	                            	+                      	                     	1                   	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN11a             	              	165	 998	A	 10	H	 4	  20.00	     89.5000	Kameo    	Nannofossils                                 	               	M-G               	                            	3                      	                       	                    	                          	92                       	                        	2                 	               	                     	+                          	+                    	                        	1                    	                       	                          	                      	                         	                    	8                     	                     	1                    	                     	                  	4                               	                          	92                     	                         	9                  	3                     	                 	2                 	+                      	+                      	                           	+                	                       	+                	                 	                  	                      	                           	                      	                   	26                	                       	                 	                           	                           	                          	+                      	1                    	                  	41                      	5                  	                 	                 	                   	                       	                 	                  	                    	3                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	+                     	               	                    	4                         	                   	+                   	                      	                            	                       	                     	1                   	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10c             	              	165	 998	A	 10	H	 5	  20.00	     91.0000	Kameo    	Nannofossils                                 	               	G                 	                            	5                      	                       	                    	                          	123                      	                        	3                 	3              	                     	                           	+                    	                        	2                    	                       	                          	                      	                         	                    	2                     	+                    	4                    	                     	                  	1                               	                          	40                     	                         	10                 	6                     	                 	                  	2                      	3                      	                           	                 	                       	1                	                 	                  	                      	+                          	                      	                   	32                	                       	                 	                           	                           	+                         	                       	                     	                  	41                      	7                  	                 	                 	                   	                       	                 	                  	                    	9                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	+                      	                      	1              	                    	3                         	                   	+                   	+                     	+                           	+                      	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10c             	              	165	 998	A	 10	H	 6	  20.00	     92.5000	Kameo    	Nannofossils                                 	               	M-G               	                            	2                      	                       	                    	                          	114                      	                        	                  	+              	                     	                           	                     	                        	+                    	                       	                          	                      	                         	                    	3                     	                     	+                    	                     	                  	2                               	                          	86                     	                         	8                  	1                     	                 	6                 	2                      	1                      	                           	1                	                       	1                	                 	                  	                      	                           	                      	                   	14                	                       	                 	                           	                           	                          	                       	1                    	                  	48                      	5                  	                 	                 	                   	                       	                 	                  	                    	2                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	2                         	                   	+                   	                      	+                           	+                      	1                    	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10c             	              	165	 998	A	 11	H	 1	  21.00	     94.5100	Kameo    	Nannofossils                                 	               	M-G               	                            	15                     	                       	                    	                          	75                       	                        	5                 	2              	                     	                           	                     	                        	1                    	                       	                          	                      	                         	                    	9                     	                     	6                    	                     	                  	2                               	                          	4                      	                         	7                  	3                     	                 	                  	2                      	2                      	                           	1                	                       	+                	                 	                  	                      	                           	                      	3                  	36                	                       	                 	                           	                           	                          	2                      	5                    	                  	84                      	12                 	                 	                 	                   	                       	                 	                  	                    	8                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	3                     	                         	                   	+                     	                 	                       	                       	                      	               	                    	7                         	                   	+                   	+                     	+                           	+                      	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 6 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10c             	              	165	 998	A	 11	H	 2	  21.00	     96.0100	Kameo    	Nannofossils                                 	               	M-G               	                            	11                     	                       	                    	                          	83                       	                        	3                 	5              	                     	+                          	2                    	                        	6                    	                       	                          	                      	                         	                    	12                    	                     	+                    	                     	                  	1                               	                          	4                      	                         	5                  	5                     	                 	4                 	+                      	2                      	                           	                 	                       	                 	                 	                  	                      	                           	                      	8                  	33                	                       	                 	                           	                           	+                         	                       	1                    	                  	63                      	23                 	                 	                 	                   	+                      	                 	+                 	                    	18                 	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	3                     	                         	                   	+                     	                 	                       	                       	+                     	               	                    	3                         	                   	1                   	+                     	2                           	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10b             	              	165	 998	A	 11	H	 3	  20.00	     97.5000	Kameo    	Nannofossils                                 	               	G                 	                            	20                     	                       	                    	                          	79                       	                        	2                 	2              	                     	                           	4                    	                        	8                    	                       	                          	                      	                         	                    	17                    	                     	1                    	                     	                  	                                	                          	1                      	                         	4                  	1                     	                 	                  	+                      	1                      	                           	                 	                       	+                	                 	                  	                      	                           	+                     	4                  	61                	                       	                 	                           	                           	                          	                       	1                    	                  	52                      	26                 	                 	                 	                   	                       	                 	                  	                    	8                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	1                     	                         	                   	+                     	                 	                       	                       	+                     	               	                    	2                         	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 5 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10b             	              	165	 998	A	 11	H	 4	  20.00	     99.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	31                     	                       	                    	                          	91                       	                        	2                 	1              	                     	                           	2                    	                        	+                    	                       	                          	                      	                         	                    	14                    	                     	+                    	                     	                  	4                               	                          	1                      	                         	4                  	1                     	                 	                  	3                      	1                      	                           	1                	                       	+                	                 	                  	                      	                           	                      	2                  	70                	                       	                 	                           	                           	                          	2                      	                     	                  	34                      	11                 	                 	                 	                   	                       	                 	+                 	                    	15                 	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	3                     	                         	+                  	+                     	                 	                       	                       	                      	1              	                    	4                         	1                  	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10a             	              	165	 998	A	 11	H	 5	  20.00	    100.5000	Kameo    	Nannofossils                                 	               	M-G               	                            	19                     	                       	                    	                          	88                       	                        	4                 	3              	                     	                           	3                    	                        	7                    	                       	                          	                      	                         	                    	6                     	                     	1                    	                     	                  	1                               	                          	15                     	                         	6                  	5                     	                 	                  	                       	+                      	                           	+                	                       	1                	                 	                  	                      	                           	                      	4                  	69                	                       	                 	                           	                           	                          	                       	1                    	                  	45                      	5                  	                 	                 	                   	+                      	                 	                  	                    	7                  	                 	                     	                  	                     	                   	                     	                    	                   	+                    	                     	2                     	                         	                   	                      	                 	                       	                       	1                     	               	                    	6                         	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN10a             	              	165	 998	A	 11	H	 6	  20.00	    102.0000	Kameo    	Nannofossils                                 	               	G                 	                            	12                     	                       	                    	                          	102                      	                        	3                 	1              	                     	+                          	+                    	                        	9                    	                       	                          	                      	                         	                    	2                     	2                    	+                    	                     	                  	3                               	                          	4                      	                         	3                  	1                     	                 	                  	2                      	3                      	                           	                 	                       	                 	                 	                  	                      	                           	                      	1                  	23                	                       	                 	                           	                           	1                         	                       	                     	                  	84                      	14                 	                 	19               	                   	                       	                 	                  	                    	4                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	3                     	                         	1                  	                      	                 	                       	                       	1                     	               	                    	2                         	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN9b              	              	165	 998	A	 12	H	 1	  19.00	    103.9900	Kameo    	Nannofossils                                 	               	M-G               	                            	16                     	                       	                    	                          	103                      	                        	3                 	               	                     	                           	+                    	                        	3                    	6                      	                          	                      	                         	                    	14                    	                     	                     	                     	                  	5                               	                          	3                      	                         	3                  	19                    	                 	                  	2                      	6                      	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	27                	                       	                 	                           	                           	+                         	                       	1                    	                  	44                      	11                 	                 	9                	                   	17                     	                 	                  	                    	5                  	                 	                     	                  	                     	                   	                     	                    	                   	1                    	                     	                      	                         	                   	1                     	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN9b              	              	165	 998	A	 12	H	 2	  20.00	    105.5000	Kameo    	Nannofossils                                 	               	M-G               	                            	8                      	                       	                    	                          	102                      	                        	4                 	12             	                     	                           	+                    	                        	12                   	3                      	                          	                      	                         	                    	11                    	                     	1                    	                     	                  	                                	                          	6                      	                         	4                  	3                     	                 	                  	1                      	1                      	                           	                 	                       	                 	                 	                  	                      	                           	                      	3                  	31                	                       	                 	                           	                           	1                         	                       	                     	                  	43                      	5                  	                 	13               	                   	17                     	                 	                  	                    	10                 	                 	                     	                  	                     	                   	                     	                    	                   	+                    	                     	5                     	1                        	                   	+                     	                 	+                      	                       	                      	1              	1                   	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B
