Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira convexa	Rhizosolenia barboi	Denticulopsis lauta s.l.	Coscinodiscus marginatus	Thalassiothrix longissima	Stephanopyxis turris	Neodenticula seminae	Neodenticula koizumii	Neodenticula kamtschatica	Actinocyclus oculatus	Thalassiothrix spp.	Actinocyclus curvatulus	Thalassionema nitzschioides	Hemidiscus cuneiformis	Thalassiosira oestrupii	Thalassiosira antiqua	Nitzschia reinholdii	Neodenticula seminae (sensu Akiba)	Pseudoeunotia doliolus	Coscinodiscus radiatus	Simonseniella (R.) cf. S. curvirostris	Neodenticula cf. N. koizumii	Nitzschia marina	Simonseniella curvirostris	Actinocyclus cf. oculatus	Diatom fragments	Grammatophora sp.	Diatom fragments (girdle bands)	Biddulphia aurita	Thalassiosira spp. (native type)	Aulacosira granulata	Actinoptychus senarius	Thalassiosira eccentrica	Cocconeis costata	Thalassiosira sp.	Gomphonema sp.	Rhaphoneis sp.	Stephanopyxis sp.	Synedra sp.	Paralia sulcata	Cocconeis sp.	Comment
  IR	Pliocene         	                 	NPD 10            	              	167	1020	B	 17	H	CC	  54.00	    160.4600	Maruyama 	Diatoms                                      	F              	P/M               	                     	R                  	                        	R                       	R                        	                    	                    	                     	                         	R                    	                   	                       	R                          	R                     	                       	                     	R                   	R                                 	                      	                      	R                                     	R                           	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 10            	              	167	1020	B	 18	H	CC	  60.00	    169.9400	Maruyama 	Diatoms                                      	C              	P/M               	                     	R                  	                        	R                       	                         	                    	R                   	                     	                         	R                    	                   	R                      	R                          	                      	                       	                     	R                   	R                                 	R                     	R                     	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 10            	              	167	1020	B	 19	X	CC	  33.00	    178.8900	Maruyama 	Diatoms                                      	A              	M                 	                     	A                  	                        	C                       	                         	                    	F                   	R                    	                         	                     	C                  	R                      	                           	                      	R                      	R                    	R                   	F                                 	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 9             	              	167	1020	B	 20	X	CC	  35.00	    180.2300	Maruyama 	Diatoms                                      	C              	P/M               	                     	C                  	                        	                        	                         	F                   	R                   	F                    	                         	R                    	                   	                       	                           	R                     	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 9             	              	167	1020	B	 21	X	CC	  15.00	    198.2100	Maruyama 	Diatoms                                      	A              	P/M               	                     	A                  	                        	                        	                         	A                   	                    	R                    	                         	R                    	A                  	F                      	R                          	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 9             	              	167	1020	B	 22	X	CC	  29.00	    207.8900	Maruyama 	Diatoms                                      	A              	M/G               	                     	C                  	                        	C                       	F                        	A                   	R                   	F                    	                         	                     	A                  	R                      	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 9             	              	167	1020	B	 23	X	CC	  21.00	    217.4300	Maruyama 	Diatoms                                      	C              	P/M               	                     	C                  	                        	C                       	R                        	F                   	                    	R                    	R                        	R                    	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 9             	              	167	1020	B	 25	X	CC	  15.00	    236.5100	Maruyama 	Diatoms                                      	A              	M                 	F                    	A                  	                        	C                       	R                        	F                   	R                   	R                    	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 9             	              	167	1020	B	 26	X	CC	  16.00	    246.2400	Maruyama 	Diatoms                                      	R              	P                 	F                    	F                  	R                       	C                       	                         	                    	                    	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

