Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	placolith (<2.0 microns)	Umbilicosphaera sp. A	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera cricota	Umbilicosphaera aequiscutum	Sphenolithus neoabies	Sphenolithus abies	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera multipora	Pontosphaera japonica	Neosphaera coccolithomorpha	Helicosphaera spp. (small)	Helicosphaera euphratis	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Discoaster blackstockae	Discoaster berggrenii	Cyclicargolithus floridanus	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Syracosphaera spp.	Schyphosphaera spp.	Rhabdosphaera clavigera	Triquetrorhabdulus rugosus	Helicosphaera inversa	Discoaster challengeri	Calciosolenia murrayi	Braarudosphaera bigelowii	Coccolithus streckerii	Pontosphaera discopora	Amaurolithus tricorniculatus	Schyphosphaera sp.	Reticulofenestra bisecta	Aspidolithus parcus	Sphenolithus compactus	Helicosphaera intermedia	Chiasmolithus solitus	Ceratolithus acutus	Tetralithoides quadrilaminata	Ceratolithus spp.	Ceratolithus armatus	Ceratolithus atlanticus	Discoaster asymmetricus	Discoaster triradiatus	Umbilicosphaera hulburtiana	Ericsonia formosa	Reticulofenestra umbilica	Umbilicosphaera sibogae var. foliosa	Ceratolithus separatus	Ceratolithus rugosus	Ceratolithus cristatus	Pseudoemiliania lacunosa	Sphenolithus grandis	Pseudoemiliania cf. P. lacunosa	Micula decussata	Helicosphaera sellii	Gephyrocapsa spp. (small)	Lithostromation perdurum	Discoaster tamalis	Cretarhabdus conicus	Discoaster hamatus	Placozygus sigmoides	Helicosphaera neogranulata	Umbellosphaera tenuis	Oolithotus fragilis	Helicosphaera pavimentum	Gephyrocapsa oceanica (medium)	Gephyrocapsa caribbeanica	Gephyrocapsa spp. medium	Watznaueria barnesae	Gephyrocapsa spp. (large)	Prediscosphaera cretacea	Ceratolithus simplex	Reticulofenestra asanoi	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Umbellosphaera irregularis	Emiliania huxleyi	Comment

  SR	                 	                 	CN13b             	              	164	 994	C	 10	H	 6	  44.00	     79.8400	Okada    	Nannofossils                                 	A              	G                 	3                       	                     	2                                   	                       	                           	                     	                  	                               	5                        	                         	F                        	23                     	F                     	                       	                 	                      	R                    	                           	F                         	                       	1                    	109                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	1                     	                   	                      	                       	3                 	                   	F                      	                          	                     	                      	F                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	11                      	                    	                               	                	1                   	35                       	                        	                  	                    	                  	                    	                          	                     	1                  	                        	4                             	9                        	                        	                    	1                        	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 10	H	 7	  44.00	     81.3400	Okada    	Nannofossils                                 	A              	G                 	2                       	                     	1                                   	                       	                           	                     	                  	                               	1                        	                         	                         	7                      	1                     	                       	                 	                      	R                    	                           	                          	                       	1                    	103                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	R                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	                     	                         	                      	F                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	7                       	                    	                               	                	F                   	69                       	                        	                  	                    	                  	                    	                          	                     	1                  	                        	2                             	5                        	                        	                    	2                        	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pleistocene      	                 	CN13b             	              	164	 994	C	 10	H	CC	  41.00	     82.1900	Okada    	Nannofossils                                 	A              	G                 	                        	                     	F                                   	                       	                           	                     	                  	                               	C                        	                         	C                        	A                      	                      	                       	                 	                      	R                    	R                          	                          	                       	C                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	C                     	                   	                      	                       	F                 	                   	F                      	                          	                     	                      	R                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	R                     	A                       	                    	                               	                	F                   	A                        	                        	                  	                    	                  	                    	                          	                     	R                  	                        	                              	C                        	A                       	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 1	  44.00	     81.8400	Okada    	Nannofossils                                 	A              	G                 	4                       	                     	1                                   	                       	                           	                     	                  	                               	2                        	                         	1                        	12                     	                      	                       	                 	                      	R                    	                           	                          	                       	2                    	212                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	R                     	2                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	F                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	                      	12                      	                    	                               	                	R                   	40                       	                        	                  	                    	                  	                    	                          	                     	2                  	                        	6                             	13                       	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 2	  44.00	     83.3400	Okada    	Nannofossils                                 	A              	G                 	9                       	                     	3                                   	                       	                           	                     	                  	                               	2                        	                         	F                        	19                     	F                     	                       	                 	                      	R                    	                           	                          	                       	1                    	180                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	                      	1                     	                   	                      	                       	2                 	R                  	1                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	12                      	                    	                               	                	1                   	35                       	                        	                  	                    	                  	                    	                          	                     	                   	                        	5                             	7                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 3	  44.00	     84.8400	Okada    	Nannofossils                                 	A              	G                 	4                       	                     	1                                   	                       	                           	                     	                  	                               	6                        	                         	1                        	16                     	F                     	                       	                 	                      	                     	R                          	1                         	                       	F                    	153                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	                      	1                     	                   	                      	                       	2                 	                   	1                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	1                                   	                      	                    	                      	13                      	                    	                               	                	1                   	39                       	                        	                  	                    	                  	                    	                          	                     	1                  	                        	3                             	8                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 4	  44.00	     86.3400	Okada    	Nannofossils                                 	A              	G                 	5                       	                     	2                                   	                       	rR                         	                     	                  	                               	3                        	                         	                         	20                     	2                     	                       	                 	                      	R                    	R                          	                          	                       	3                    	100                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	                     	                      	1                     	                   	                      	                       	2                 	                   	1                      	                          	                     	                      	                     	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	8                       	                    	                               	                	F                   	47                       	                        	                  	                    	                  	                    	                          	                     	                   	                        	2                             	4                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 5	  44.00	     87.8400	Okada    	Nannofossils                                 	A              	M                 	1                       	                     	1                                   	                       	rR                         	                     	                  	                               	5                        	                         	1                        	15                     	F                     	                       	                 	                      	R                    	R                          	F                         	                       	F                    	112                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	                     	R                     	1                     	                   	                      	                       	2                 	                   	2                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	1                                   	                      	                    	                      	13                      	                    	                               	                	1                   	49                       	                        	                  	                    	                  	                    	                          	1                    	1                  	                        	2                             	6                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 6	  44.00	     89.3400	Okada    	Nannofossils                                 	A              	M                 	1                       	                     	1                                   	                       	rR                         	                     	                  	                               	3                        	                         	2                        	15                     	                      	                       	                 	                      	                     	R                          	                          	                       	2                    	204                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	                     	R                     	1                     	                   	                      	                       	4                 	1                  	1                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	F                     	17                      	                    	                               	                	R                   	43                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	3                             	4                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13b             	              	164	 994	C	 11	H	 7	  44.00	     90.8400	Okada    	Nannofossils                                 	A              	G                 	1                       	                     	2                                   	                       	rR                         	                     	                  	                               	3                        	                         	2                        	21                     	1                     	                       	                 	F                     	R                    	R                          	                          	                       	1                    	284                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	F                     	1                     	                   	                      	                       	2                 	                   	1                      	                          	                     	                      	R                    	                         	                      	F                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	10                      	                    	                               	                	R                   	48                       	                        	                  	                    	                  	                    	                          	R                    	1                  	                        	F                             	4                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pleistocene      	                 	CN13b             	              	164	 994	C	 11	H	CC	  26.00	     91.5500	Okada    	Nannofossils                                 	A              	G                 	                        	                     	F                                   	                       	                           	                     	                  	                               	F                        	                         	C                        	A                      	                      	                       	F                	                      	R                    	                           	                          	                       	C                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	F                     	C                     	                   	                      	                       	F                 	                   	F                      	                          	                     	                      	R                    	                         	                      	R                     	                            	R                 	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	C                                   	                      	                    	                      	C                       	                    	                               	                	F                   	A                        	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	F                        	C                       	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN13b             	              	164	 994	C	 12	H	 1	  64.00	     91.5400	Okada    	Nannofossils                                 	A              	G                 	1                       	                     	2                                   	                       	rR                         	                     	                  	                               	2                        	                         	                         	7                      	1                     	                       	                 	F                     	1                    	                           	                          	                       	2                    	207                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	R                     	1                     	                   	                      	                       	1                 	R                  	1                      	                          	                     	                      	F                    	1                        	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	2                                   	                      	                    	                      	14                      	                    	                               	                	F                   	62                       	                        	                  	                    	                  	                    	                          	                     	1                  	                        	1                             	F                        	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13a             	              	164	 994	C	 12	H	 2	  65.00	     93.0500	Okada    	Nannofossils                                 	A              	G                 	3                       	                     	1                                   	                       	rR                         	                     	                  	                               	2                        	                         	F                        	9                      	1                     	                       	                 	R                     	F                    	R                          	                          	                       	1                    	196                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	R                     	1                     	                   	                      	                       	3                 	                   	1                      	                          	                     	                      	R                    	R                        	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	                      	15                      	                    	                               	                	1                   	61                       	                        	                  	                    	                  	                    	                          	R                    	1                  	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13a             	              	164	 994	C	 12	H	 3	  44.00	     94.3400	Okada    	Nannofossils                                 	A              	G                 	2                       	                     	2                                   	                       	rR                         	                     	                  	                               	2                        	                         	2                        	11                     	3                     	                       	                 	F                     	F                    	                           	                          	                       	2                    	177                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	2                    	R                     	2                     	                   	                      	                       	7                 	                   	1                      	                          	                     	                      	F                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	R                     	22                      	                    	                               	                	R                   	37                       	                        	                  	                    	                  	                    	                          	                     	2                  	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13a             	              	164	 994	C	 12	H	 4	  44.00	     95.8400	Okada    	Nannofossils                                 	A              	M                 	2                       	                     	3                                   	                       	rR                         	                     	                  	                               	2                        	                         	2                        	27                     	1                     	                       	                 	F                     	F                    	                           	                          	                       	1                    	212                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	R                     	1                     	                   	                      	                       	3                 	                   	1                      	                          	                     	                      	F                    	                         	                      	F                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	R                     	27                      	                    	                               	                	1                   	27                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13a             	              	164	 994	C	 12	H	 5	  44.00	     97.3400	Okada    	Nannofossils                                 	A              	M                 	23                      	                     	F                                   	                       	                           	                     	                  	                               	4                        	                         	1                        	12                     	1                     	                       	                 	R                     	F                    	                           	1                         	                       	1                    	170                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	R                     	1                     	                   	                      	                       	4                 	R                  	2                      	                          	                     	                      	1                    	R                        	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	1                                   	                      	                    	R                     	23                      	                    	                               	                	1                   	23                       	                        	                  	                    	                  	                    	                          	                     	1                  	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13a             	              	164	 994	C	 12	H	 6	  44.00	     98.8400	Okada    	Nannofossils                                 	A              	M                 	20                      	                     	2                                   	                       	rR                         	                     	                  	                               	2                        	                         	1                        	14                     	F                     	                       	                 	                      	F                    	F                          	1                         	                       	2                    	317                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	3                    	R                     	3                     	                   	                      	                       	4                 	                   	3                      	                          	                     	                      	F                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	2                                   	                      	                    	                      	22                      	                    	                               	                	1                   	19                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN13a             	              	164	 994	C	 12	H	 7	  44.00	    100.3400	Okada    	Nannofossils                                 	A              	G                 	2                       	                     	3                                   	                       	rR                         	                     	                  	                               	1                        	                         	2                        	28                     	F                     	                       	                 	                      	F                    	F                          	F                         	                       	2                    	148                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	7                    	R                     	1                     	                   	                      	                       	3                 	                   	2                      	                          	                     	                      	F                    	R                        	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	24                      	                    	                               	                	1                   	21                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pleistocene      	                 	CN13b             	              	164	 994	C	 12	H	CC	  19.00	    101.0200	Okada    	Nannofossils                                 	A              	G                 	                        	                     	                                    	                       	                           	                     	                  	                               	F                        	                         	A                        	A                      	                      	                       	F                	R                     	R                    	                           	                          	                       	C                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	                           	C                    	F                     	F                     	                   	                      	                       	F                 	                   	F                      	                          	                     	                      	R                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	rR                       	F                                   	                      	                    	R                     	A                       	                    	                               	                	F                   	A                        	                        	                  	                    	                  	                    	                          	                     	R                  	                        	                              	R                        	R                       	rR                  	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C
