Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus terebrodentarius,Rucinolithus irregularis,Cretarhabdus surirellus,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Prediscosphaera sp.,Parhabdolithus embergeri,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus (small taxa),Discorhabdus rotatorius,Cyclagelosphaera margerelii,Cruciellipsis chiastia,Cribrosphaerella ehrenbergii,Cretarhabdus spp.,Cretarhabdus sp.,Chiastozygus litterarius,Biscutum constans,Cretarhabdus conicus,Tranolithus orionatus,Lithraphidites acutus,Braarudosphaera regularis,Ahmuellerella octoradiata,Reinhardtites fenestratus,Corollithion achylosum,Markalius circumradiatus,Prediscosphaera cretacea,Nannoconus sp.,Marthasterites furcatus,Cretarhabdus angustiforatus,Quadrum gartneri,Micula sp.,Eiffellithus eximius,Micula decussata,Rucinolithus hayi,Reinhardtites anthophorus,Prediscosphaera columnata,Lithastrinus grillii,Microrhabdulus decoratus,Cylindralithus sp.,Placozygus fibuliformis,Micula concava,Prediscosphaera spinosa,Tegumentum stradneri,Broinsonia lata,Cretarhabdus striatus,Quadrum sissinghii,Quadrum gothicum,Micula praemurus,Cylindralithus serratus,Ceratolithoides verbeekii,Ceratolithoides aculeus (<90 degrees),Calculites obscurus,Ceratolithoides aculeus (>90 degrees),Bukryaster hayi,Rucinolithus sp.,Kamptnerius magnificus,Eiffellithus gorkae,Aspidolithus parcus constrictus,Arkhangelskiella cymbiformis,Prediscosphaera grandis,Corollithion exiguum,Aspidolithus parcus,Quadrum trifidum,Sphenolithus primus,Sphenolithus anarrhopus,Fasciculithus tympaniformis,Coccolithus pelagicus,Sphenolithus sp.,Toweius eminens,Fasciculithus bobii,Discoaster multiradiatus,Cruciplacolithus tenuis,Coccolithus formosus,Chiasmolithus sp.,Chiasmolithus californicus,Biantholithus sparsus,Sphenolithus moriformis,Fasciculithus pileatus,Fasciculithus lillianae,Ellipsolithus macellus,Cruciplacolithus primus,Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus edwardsii,Sphenolithus radians,Sphenolithus pseudoradians,Markalius inversus,Reticulofenestra hillae,Heliolithus kleinpellii,Discoaster sp.,Discoaster barbadiensis,Cyclicargolithus floridanus,Reticulofenestra umbilica,Reticulofenestra samodurovii,Reticulofenestra reticulata,Dictyococcites bisectus,Cyclicargolithus abisectus,Triquetrorhabdulus carinatus,Pseudotriquetrorhabdulus inversus,Discoaster woodringii,Discoaster bifax,Chiasmolithus grandis,Sphenolithus editus,Discoaster saipanensis,Fasciculithus involutus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus spiniger,Sphenolithus celsus,Bramletteius serraculoides,Sphenolithus umbrellus,Sphenolithus ciperoensis,Helicosphaera euphratis,Discoaster deflandrei,Sphenolithus conicus,Sphenolithus delphix,Discoaster variabilis,Sphenolithus obtusus,Sphenolithus belemnos,Pontosphaera sp.,Helicosphaera sp.,Sphenolithus heteromorphus,Reticulofenestra pseudoumbilica,Coccolithus sp.,Discoaster exilis,Reticulofenestra sp.,Discoaster brouweri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 43,R,CC,   1.00,    385.8000,Covington,Nannofossils                                 ,A              ,M                 ,A                   ,                             ,                        ,C                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,R                      ,                           ,                     ,                    ,                           ,R                        ,R                      ,                           ,                      ,F                           ,                 ,C               ,                        ,                 ,                    ,R                    ,                     ,                         ,                         ,R                        ,                      ,                        ,C                       ,R             ,R                      ,F                          ,F               ,          ,C                   ,C               ,R                ,F                        ,                         ,R                   ,                        ,R                 ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 43,R,CC,   2.00,    385.8100,Covington,Nannofossils                                 ,V              ,M                 ,A                   ,                             ,                        ,C                      ,                   ,                  ,                  ,R                      ,                     ,                ,C                  ,                        ,                    ,                       ,                             ,               ,R                      ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,F                           ,                 ,                ,R                       ,                 ,R                   ,R                    ,                     ,                         ,                         ,                         ,R                     ,                        ,C                       ,              ,                       ,F                          ,R               ,          ,F                   ,F               ,                 ,R                        ,R                        ,                    ,                        ,F                 ,                       ,              ,                       ,                    ,               ,R                    ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 44,R, 1,   3.00,    391.3300,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,R                   ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 44,R, 1,  74.00,    392.0400,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,R             ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 44,R,CC,   0.00,    392.5300,Covington,Nannofossils                                 ,F              ,P                 ,C                   ,                             ,                        ,                       ,                   ,                  ,                  ,R                      ,                     ,                ,F                  ,R                       ,                    ,R                      ,                             ,               ,R                      ,                           ,                     ,                    ,R                          ,                         ,R                      ,                           ,                      ,R                           ,                 ,F               ,R                       ,                 ,                    ,                     ,                     ,                         ,                         ,R                        ,                      ,                        ,F                       ,              ,                       ,                           ,                ,          ,F                   ,R               ,                 ,                         ,                         ,                    ,                        ,R                 ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 45,R, 1,  20.00,    400.7000,Covington,Nannofossils                                 ,F              ,P                 ,A                   ,                             ,                        ,F                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,R                      ,                           ,                     ,                    ,                           ,                         ,                       ,R                          ,                      ,                            ,                 ,F               ,R                       ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,F                       ,              ,                       ,R                          ,                ,          ,R                   ,R               ,                 ,F                        ,                         ,R                   ,R                       ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 45,R, 1,  93.00,    401.4300,Covington,Nannofossils                                 ,C              ,P                 ,C                   ,                             ,                        ,F                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,F               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,F                       ,              ,R                      ,R                          ,R               ,          ,R                   ,                ,R                ,R                        ,R                        ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 45,R, 2,  14.00,    402.1400,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,R                      ,                   ,                  ,                  ,                       ,R                    ,                ,                   ,                        ,                    ,                       ,                             ,               ,R                      ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,R                       ,              ,                       ,                           ,                ,          ,R                   ,R               ,                 ,R                        ,                         ,                    ,R                       ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 45,R, 2,  75.00,    402.7500,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,R                           ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,F                       ,              ,R                      ,R                          ,                ,          ,R                   ,                ,                 ,R                        ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,R              ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 45,R, 3,  18.00,    403.6800,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,R                  ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,R                          ,                ,          ,R                   ,R               ,                 ,R                        ,                         ,                    ,R                       ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 45,R,CC,   5.00,    404.0100,Covington,Nannofossils                                 ,F              ,M                 ,C                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,R                          ,                         ,                       ,                           ,                      ,                            ,                 ,F               ,                        ,                 ,                    ,R                    ,                     ,                         ,                         ,                         ,                      ,                        ,R                       ,              ,                       ,                           ,                ,          ,R                   ,F               ,                 ,                         ,                         ,                    ,R                       ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 46,R, 1,  20.00,    410.2000,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,R                           ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,R                          ,                ,          ,R                   ,R               ,                 ,R                        ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 46,R, 1,  95.00,    410.9500,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,R                   ,                ,                 ,R                        ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
