Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Theocorythium trachelium,Theocalyptra davisiana,Stylatractus universus,Stichocorys peregrina,Stichocorys johnsoni,Stichocorys delmontensis,Spongodiscus ambus,Spongaster tetras,Spongaster pentas,Spirocyrtis scalaris,Spirocyrtis gyroscalaris,Solenosphaera omnitubus,Siphostichartus corona,Pterocorys minythorax,Pterocorys hertwigii,Pterocanium prismatium,Pterocanium audax,Phormostichoartus doliolum,Nephrospyris renilla renilla,Lithopera bacca,Lamprocyrtis nigriniae,Lamprocyrtis neoheteroporos,Didymocyrtis penultima,Didymocyrtis avita,Didymocyrtis antepenultima,Dictyocoryne ontongensis,Collosphaera tuberosa,Collosphaera orthoconus,Collosphaera invaginata,Centrobotrys thermophila,Botryostrobus miralestensis,Botryostrobus euporus,Anthocyrtidium angulare,Androspyris huxleyi,Androspyris fenestrata,Androspyris anthropiscus,Amphirhopalum ypsilon,Acrobotrys tritubus,Comment
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 6,  77.00,     52.4700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,Fg1                         ,+              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,-                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 6, 123.00,     52.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,Fg1                         ,+Fg            ,2                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,1                    ,+                      ,-                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 7,   7.00,     53.2700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,1                           ,+              ,2                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,+                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H,CC,  11.00,     53.9700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,1                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 1,  23.00,     53.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,6                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,1                           ,+              ,1                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,+                      ,+                  ,1                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 1,  64.00,     54.3400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,4                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,1                           ,+              ,1                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,+                  ,1                     ,2                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 1, 123.00,     54.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,2                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,+Fg            ,2                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,+                      ,+                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 2,  23.00,     55.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,2                    ,-                   ,-                     ,-                ,-                         ,-                           ,Fg             ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,+                      ,+                  ,1                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 4,  23.00,     58.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,+Fg            ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,1                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 4,  64.00,     58.8400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,3                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,3                      ,1                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 4, 123.00,     59.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,1                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,1                      ,2                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 5,  23.00,     59.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,1                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,5                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 6,  23.00,     61.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,1                       ,+                     ,-                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,+                      ,-                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 6,  64.00,     61.8400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,2                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,1                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H, 6, 123.00,     62.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,+                      ,1                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  7,H,CC,  10.00,     63.3400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,2                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,1                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,2                      ,1                  ,1                     ,+                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 1,  23.00,     63.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,4                     ,+                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,+                      ,1                  ,-                     ,1                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 1,  84.00,     64.0400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,1                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,Fg2                         ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,6                      ,2                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 1, 123.00,     64.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,Fg                     ,+                  ,-                     ,+                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 2,  23.00,     64.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,1                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,1                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 2,  84.00,     65.5400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,Fg                      ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 2, 123.00,     65.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 3,  23.00,     66.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,1                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,1              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,+                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 3,  84.00,     67.0400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 3, 123.00,     67.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,Fg1                   ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,+                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H, 4,  23.00,     67.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,6                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,1                    ,-                      ,-                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  8,H,CC,  35.00,     72.9700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,3                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,+                  ,1                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  9,H,CC,  15.00,     81.8200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,1                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,1                    ,-                      ,+                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 10,H,CC,  21.00,     91.9400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,2                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 11,H,CC,  33.00,    101.6700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,1                    ,-                   ,Fg1                   ,-                ,-                         ,+                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,+                     ,-                       ,2                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 12,H, 4,  23.00,    105.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 12,H, 5,  23.00,    107.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,1                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 12,H, 5, 123.00,    108.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 12,H, 6, 123.00,    109.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 12,H, 7,  23.00,    110.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,+              ,2                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,+                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 12,H,CC,  16.00,    111.0000,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,+                           ,+              ,-                     ,+                          ,-                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,+                     ,-                       ,2                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H, 1,  22.00,    110.9200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,-                    ,1                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,Fg                    ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H, 3, 123.00,    114.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,+              ,-                     ,+                          ,-                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
