Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddellensis,Alabammina spp.,Allomorphina pacifica,Amphicoryna sp.,Ammodiscus spp.,Anomalinoides globulosus,Anomalinoides spp.,Astacolus spp.,Astrononion echolsi,Astrononion spp.,Bigenerina spp.,Bolivina huneri,Bolivina spp.,Brizalina pusilla,Brizalina spp.,Bulimina alazanensis,Bulimina spp.,Buliminella parvula,Buliminella spp.,Cassidulina spp.,Cassidulinoides tenuis,Caudamina spp.,Chilostomella oolina,Chilostomella spp.,Chrysalogonium crassitestum,Chrysalogonium  equisetiformis,Chrysalogonium spp.,Cibicides lobatulus,Cibicidoides barnetti,Cibicidoides bradyi,Cibicidoides eocaenus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides praemundulus,Cibicidoides wuellerstorfi,Cibicidoides robertsonianus,Cibicidoides spp,Cystammina pauciloculata,Cyclammina spp.,Dentalina spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina histrix,Eubuliminella exilis,Epistominella spp.,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fissurina formosa,Fissurina spp.,Fursenkoina bradyi,Fursenkoina spp.,Gaudryina pyramidata,Gaudryina spp.,Glandulina spp.,Glandulonodosaria spp.,Globulina spp.,Globobulimina pacifica,Globobulimina ovata,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina spp.,Glomospira charoides,Glomospira gordialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides orbicularis,Gyroidinoides spp.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia spp.,Karreriella bradyi,Karreriella chapapotensis,Karreriella spp.,Karrerulina coniformis,Laticarinina pauperata,Lenticulina orbicularis,Lenticulina spp.,Marginulina obesa,Martinotiella communis,Melonis barleeanum,Melonis pompilioides,Melonis sphaeroides,Myllostomella spp.,Neoeponides campester,Nodosarella robusta,Nonion affine,Nonion havanensis,Nonion spp.,Nodosaria spp.,Nuttallides truempyi,Nuttallides umbonifer,Nuttallides spp.,Oolina spp.,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina spp.,Planulina costata,Planulina renzi,Planulina spp.,Pleurostomella brevis,Pleurostomella sp.,Polymorphina spp.,Procerolagena gracillima,Pseudoglandulina glanduliniformis,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia spp.,Pyrgo murrhina,Pyrgo serrata,Pyrgo spp.,Pyrulina spp.,Quadrimorphina profunda,Quadrimorphina spp.,Quinqueloculina sp.,Rectuvigerina senni,Rectuvigerina striata,Recurvoides spp.,Reophax spp.,Reussella spinulosa,Reticulophragmium amplectens,Reticulophragmium spp.,Siphogenerinoides spp.,Siphonodosaria abyssorum,Siphonodosaria antillea,Siphonodosaria annulifera,Siphonodosaria hispidula,Siphonodosaria spinata,Siphonodosaria spp.,Sphaeroidina bulloides,Spiroloculina spp.,Spiroplectammina spectabilis,Spiroplectammina spp.,Spiroplectella earlandi,Stilostomella spp.,Textularia spp.,Triloculina spp.,Trochammina spp.,Trochamminoides spp.,Unilocular species,Tube-shaped agglutinated forms,Turrilina brevispira,Turrilina robertsi,Turrilina spp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina proboscidea,Uvigerina peregrina bradyiana,Uvigerina spp.,Valvulammina spp.,Vulvulina spinosa,Agglutinated gen. et sp. indet.,Calcareous gen. et sp. indet.,Cribrostomoides subglobosus,Cyclammina cancellata,Fissurina cucullata,Pyrgo lucernula,Trochamminoides olszewskii,Comment
321-U1337A-15H-4-W 104/106-FORAM,321,U1337,A,15,15-4,H,4,W,104/106-FORAM,0,0,134.535,134.535,G ,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,1,,,,4,,,,,,,,,7,,,,,,,,,,1,,,,,,4,,,,,,,,,,6,,,,1,,,1,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,1,,,,1,3,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=35/65
321-U1337A-15H-CC-PAL,321,U1337,A,15,15-CC,H,CC,PAL,,0,0,138.82,138.82,G ,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,12,,,,2,,,7,,,,,,,,,1,2,,,,,,3,,1,,8,,,,,,8,,,,,,,,,,14,,,,4,,,,,,,,,,,,,,,9,,,,,,,,,,,1,,,,,,,,,3,4,2,,,,1,,,,,,,,,11,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=50/50
321-U1337A-16H-2-W 32/34-FORAM94,321,U1337,A,16,16-2,H,2,W,32/34-FORAM94,0,0,140.32,140.32,G ,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,1,,,,,,,,,3,,,,,,,,,,5,,,,,,3,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=21/79
321-U1337A-16H-4-W 24/26-FORAM96,321,U1337,A,16,16-4,H,4,W,24/26-FORAM96,0,0,143.24,143.24,G ,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,1,,,4,1,,,,,,,,,4,,,,,,,,,,4,,,,,,1,,,,,,1,,,,6,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,1,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=64/36
321-U1337A-16H-CC-PAL,321,U1337,A,16,16-CC,H,CC,PAL,,0,0,148.52,148.52,G ,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,2,,,5,,1,,,11,,,,2,,,2,1,,,,,,,,,4,1,,,,,,,,,11,,,,,,5,,,,,,,,,,8,,,,3,,,1,,,,,,,,,,,,6,,1,,,,,,,,,1,,,2,,1,,,,6,,1,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=20/80
321-U1337A-17H-3-W 71/73-FORAM93,321,U1337,A,17,17-3,H,3,W,71/73-FORAM93,0,0,151.71,151.71,G ,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,8,,,1,1,,,,1,,,,,,,,,3,1,,,,,,,,,2,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,1,,,,3,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=35/65
321-U1337A-17H-5-W 86/88-FORAM94,321,U1337,A,17,17-5,H,5,W,86/88-FORAM94,0,0,154.86,154.86,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,5,2,1,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,2,2,,,,,,,,,,,,4,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=14/86
321-U1337A-17H-CC-PAL,321,U1337,A,17,17-CC,H,CC,PAL,,0,0,157.99,157.99,G ,,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,3,,,4,,,,,22,,,,3,,,7,3,,,,,,,,,12,,,,,,,3,1,,7,,,,,,8,,,,,,,,,,13,1,,,,,1,5,,,,,,,,,,,,14,,,,,,,,,,,,,,5,,3,,,,3,3,4,,,,7,,,3,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=20/80
321-U1337A-18H-3-W 141/143-FORAM,321,U1337,A,18,18-3,H,3,W,141/143-FORAM,0,0,161.93,161.93,G ,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,2,,,,,,,,,7,,,,3,,1,,,,,,,,,,,,,4,,,,,,,,,1,,,,,1,,,,,,1,1,1,,,,3,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=35/65
321-U1337A-18H-5-W 83/85-FORAM,321,U1337,A,18,18-5,H,5,W,83/85-FORAM,0,0,164.37,164.37,G ,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,1,,,,,10,,,,,,,,3,,,,,,,,,1,,,,,,,,,,5,,,,,,1,,,,,,,,,,6,,,,1,,,,,,,,,,,,,,,9,,,,,,,,2,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,Bathymetry=LB-A; P/B=40/60
321-U1337A-18H-CC-PAL,321,U1337,A,18,18-CC,H,CC,PAL,,0,0,167.5,167.5,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-19H-4-W 95/97-FORAM69,321,U1337,A,19,19-4,H,4,W,95/97-FORAM69,0,0,172.45,172.45,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,1,,,,,,,,,,1,,,1,1,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=88/12
321-U1337A-19H-6-W 110/112-FORAM68,321,U1337,A,19,19-6,H,6,W,110/112-FORAM68,0,0,175.6,175.6,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-19H-CC-PAL,321,U1337,A,19,19-CC,H,CC,PAL,,0,0,177.0,177.0,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-20H-7-W 10/12-FORAM52,321,U1337,A,20,20-7,H,7,W,10/12-FORAM52,0,0,185.6,185.6,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,11,,,,2,,1,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=90/10
321-U1337A-20H-7-W 55/57-FORAM51,321,U1337,A,20,20-7,H,7,W,55/57-FORAM51,0,0,186.05,186.05,G ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-20H-CC-PAL,321,U1337,A,20,20-CC,H,CC,PAL,,0,0,186.38,186.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; Diatom mat
321-U1337A-21H-2-W 104/106-FORAM17,321,U1337,A,21,21-2,H,2,W,104/106-FORAM17,0,0,188.54,188.54,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,3,,,,,,1,,,,,,,,,1,,,,1,,,,,,9,,,,,,7,,,,,,,,,,2,,,1,1,,1,5,,,,,,,,,,,,4,,,,,,,2,,,,1,,,7,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-21H-5-W 92/94-FORAM18,321,U1337,A,21,21-5,H,5,W,92/94-FORAM18,0,0,192.93,192.93,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,3,,1,,,1,1,,,,,,,,,2,,,,,,,,,,3,,,,,,8,,,,,,1,,,,11,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,1,,,2,,,,,,,4,,,,,,,,1,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-21H-CC-PAL,321,U1337,A,21,21-CC,H,CC,PAL,,0,0,195.62,195.62,G ,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-22X-1-W 50/52-FORAM,321,U1337,A,22,22-1,X,1,W,50/52-FORAM,0,0,196.0,196.0,G ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-22X-CC-PAL,321,U1337,A,22,22-CC,X,CC,PAL,,0,0,198.04,198.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; Diatom mat
321-U1337A-23X-2-W 120/122-FORAM98,321,U1337,A,23,23-2,X,2,W,120/122-FORAM98,0,0,207.0,207.0,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=90/10
321-U1337A-23X-4-W 32/34-FORAM99,321,U1337,A,23,23-4,X,4,W,32/34-FORAM99,0,0,209.12,209.12,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-23X-CC-PAL,321,U1337,A,23,23-CC,X,CC,PAL,,0,0,213.87,213.87,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-24X-2-W 35/37-FORAM3,321,U1337,A,24,24-2,X,2,W,35/37-FORAM3,0,0,215.75,215.75,M ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-24X-4-W 28/30-FORAM4,321,U1337,A,24,24-4,X,4,W,28/30-FORAM4,0,0,218.28,218.28,M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A
321-U1337A-24X-CC-PAL,321,U1337,A,24,24-CC,X,CC,PAL,,0,0,218.98,218.98,G ,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,1,2,,,,,,,,,,,,,2,,,,1,,,1,,,1,,,,,,1,2,,,,,,,,,3,,,3,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,1,,,,,,1,2,2,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=50/50
321-U1337A-25X-3-W 35/37-FORAM84,321,U1337,A,25,25-3,X,3,W,35/37-FORAM84,0,0,226.75,226.75,G ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=31/59
321-U1337A-25X-5-W 36/38-FORAM87,321,U1337,A,25,25-5,X,5,W,36/38-FORAM87,0,0,229.76,229.76,M ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=15/35
321-U1337A-25X-CC-PAL,321,U1337,A,25,25-CC,X,CC,PAL,,0,0,232.87,232.87,G ,,,,,,,,,2,,1,5,,,,,,,,,,,,,,,,,,1,,,2,,,,,12,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,4,,,,,,3,,,,26,,1,,,,,1,,,,,,,,,,,,7,,,,,,,,,5,,,,,2,,,,,,3,5,2,1,,,4,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,Bathymetry=LB-A; P/B=31/59
321-U1337A-26X-3-W 115/117-FORAM18,321,U1337,A,26,26-3,X,3,W,115/117-FORAM18,0,0,237.15,237.15,M ,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,2,,,,,2,,2,,,11,,2,,3,,,,2,,,,,,,,,1,,,,,,,,,,4,,,,,,7,2,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=35/65
321-U1337A-26X-5-W 40/42-FORAM19,321,U1337,A,26,26-5,X,5,W,40/42-FORAM19,0,0,239.4,239.4,G ,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,13,,,2,1,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,4,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=40/60
321-U1337A-26X-CC-PAL,321,U1337,A,26,26-CC,X,CC,PAL,,0,0,242.42,242.42,G ,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,3,,,7,,,,,80,,9,6,,,2,1,6,,,,,,,,,5,,,,,,,1,,,3,,,,,,11,4,3,,,,2,,,,23,,2,,1,,,8,,,,,,,,,1,,,18,,,,,,,,3,4,,,,,,,,,,,3,2,3,1,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=9/81
321-U1337A-27X-CC-PAL,321,U1337,A,27,27-CC,X,CC,PAL,,0,0,243.46,243.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; Diatom mat
321-U1337A-28X-2-W 76/78-FORAM,321,U1337,A,28,28-2,X,2,W,76/78-FORAM,0,0,253.96,253.96,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,1,5,,,,,,,,,3,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,18,,,,,,,,2,,,,,,2,,,,,,1,1,,,,,1,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=21/79
321-U1337A-29X-3-W 38/40-FORAM64,321,U1337,A,29,29-3,X,3,W,38/40-FORAM64,0,0,264.68,264.68,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,16,,6,1,,,,1,4,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=50/50
321-U1337A-29X-5-W 32/34-FORAM65,321,U1337,A,29,29-5,X,5,W,32/34-FORAM65,0,0,267.62,267.62,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,1,,10,,4,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=48/52
321-U1337A-29X-CC-PAL,321,U1337,A,29,29-CC,X,CC,PAL,,0,0,270.8,270.8,G ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,29,,3,5,1,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,13,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,19,,,,,,,,,2,,,,,14,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=30/70
321-U1337A-30X-2-W 22/24,321,U1337,A,30,30-2,X,2,W,22/24,0,0,272.52,272.52,G ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,11,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=10/90
321-U1337A-30X-4-W 23/25,321,U1337,A,30,30-4,X,4,W,23/25,0,0,275.53,275.53,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=10/90
321-U1337A-30X-CC-PAL,321,U1337,A,30,30-CC,X,CC,PAL,,0,0,280.49,280.49,G ,,,,,,,,,,,,21,,,,,,,,,,,,,,4,,4,,,,,4,,,,,37,,15,4,2,,,,2,,,,,,,,,2,,,,,,,,,,3,,,,,,5,,,,,,5,,,,7,,,,1,,,,,,,,,,,,,,,37,,,,,,,,,2,,3,,,2,,,,,,1,5,2,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=9/91
321-U1337A-31X-2-W 49/51-FORAM10,321,U1337,A,31,31-2,X,2,W,49/51-FORAM10,0,0,282.49,282.49,G ,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,1,,,2,,5,,,12,,6,1,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=8/92
321-U1337A-31X-4-W 51/53-FORAM11,321,U1337,A,31,31-4,X,4,W,51/53-FORAM11,0,0,285.51,285.51,G ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,1,,3,,,12,,2,1,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,2,,,,,,,,3,,,,,,,,,,,,,2,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=12/88
321-U1337A-31X-CC-PAL,321,U1337,A,31,31-CC,X,CC,PAL,,0,0,289.47,289.47,G ,,,,,,,,,,,,10,,,,,,,,,,,1,,,,,3,,4,,,4,,10,,,70,,32,1,,,,5,,,,,,,,,,10,,,,1,,,,,,3,,,,,,17,,4,,,,,,,,4,,,,,,,,,,,,,,,,7,,,2,,,,,,,,2,3,,,,,1,,,,,,1,2,2,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,2,,,,,,,,,,,3,,3,,,,,,Bathymetry=LB-A; P/B=8/92
