Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1389E-59R-CC-PAL-FORAM,339,U1389,E,59,59-CC,R,1,PAL,FORAM,0,5,876.3,876.35,B ,,VG ,D ,A ,R ,,,R ,,,,,P ,,,,,R ,,,,,P ,R ,,,R ,,,,,,,,P ,,,,,,,F ,,R ,,,R ,,,,,,,
339-U1389E-60R-1-PAL-FORAM,339,U1389,E,60,60-1,R,1,PAL,FORAM,0,5,886.19,886.24,B ,,G ,D ,F ,R ,,,R ,,,,,P ,,,,,A ,,,,,P ,F ,,P ,R ,,,,,,,,,,,,,,,A ,,R ,,,R ,,,,,,,
339-U1389E-61R-1-PAL-FORAM,339,U1389,E,61,61-1,R,1,PAL,FORAM,0,5,895.82,895.87,B ,,G ,D ,A ,R ,,,P ,,,,,R ,,,,,R ,,,P ,,,R ,,P ,,,,,,,,,P ,,,,,,,A ,,F ,,,R ,,,,,,,
339-U1389E-62R-1-PAL-FORAM,339,U1389,E,62,62-1,R,1,W,14/16-6338-FORAM,0,5,905.35,905.4,B ,,G ,D ,R ,F ,,P ,P ,,,,,R ,,,,,A ,,P ,R ,,,R ,,,,,,,,,,,,,,,,,,A ,,R ,,,P ,,,,,,,
339-U1389E-63R-1-W 14/16-6338-FORAM,339,U1389,E,63,63-1,R,3,W,59/61-6339-FORAM,0,2,914.94,914.96,B ,,M ,A ,A ,P ,,,P ,,,,,P ,,,,,R ,,,R ,,P ,F ,,,,,,,,,,,,,,,,,,A ,,,,,,,,,P ,,,
339-U1389E-63R-3-W 59/61-6339-FORAM,339,U1389,E,63,63-3,R,5,W,59/61-6340-FORAM,0,2,917.24,917.26,B ,,G ,D ,R ,R ,,,P ,,,,,P ,,,,,A ,,,R ,,,R ,,P ,,,,,,,,P ,P ,,,,,,,A ,,R ,,,,,,,,,,
339-U1389E-63R-5-W 59/61-6340-FORAM,339,U1389,E,63,63-5,R,CC,PAL,FORAM,0,2,920.24,920.26,B ,,G ,D ,A ,R ,,,R ,,,,,P ,,,,,F ,R ,,F ,,P ,P ,,R ,P ,,,,,,,,,,,,,,,A ,,R ,,,R ,P ,,,P ,N. acostaensis,,
339-U1389E-63R-CC-PAL-FORAM,339,U1389,E,63,63-CC,R,1,W,59/61-6341-FORAM,0,5,920.42,920.47,B ,,G ,D ,R ,F ,,,P ,,,,,F ,,,,,A ,P ,,R ,,P ,R ,,,,,,,,,,,,,,,,,,F ,,R ,,,R ,,,,,,,
339-U1389E-64R-1-W 59/61-6341-FORAM,339,U1389,E,64,64-1,R,3,W,59/61-6342-FORAM,0,2,925.09,925.11,B ,,M ,D ,R ,F ,,,R ,,,,,P ,,,,,A ,,,F ,,,P ,,R ,P ,,,,P ,,,,,P ,,,,,,A ,,P ,,,P ,,,,,,,
339-U1389E-64R-3-W 59/61-6342-FORAM,339,U1389,E,64,64-3,R,5,W,59/61-6343-FORAM,0,2,928.09,928.11,B ,,M ,D ,R ,P ,,,P ,,,,,P ,,,,,R ,P ,P ,,,,P ,,R ,,,,,,,,,,P ,,,,,,D ,,P ,,,,,,,P ,,,
339-U1389E-64R-5-W 59/61-6343-FORAM,339,U1389,E,64,64-5,R,6,PAL,FORAM,0,2,931.09,931.11,B ,,M ,D ,R ,R ,,,P ,,,,P ,P ,,,,,R ,,P ,,,,,,R ,,,,,,,,,,,,,,,,D ,,R ,,,,,,,P ,,,
339-U1389E-64R-6-PAL-FORAM,339,U1389,E,64,64-6,R,1,W,59/61-6344-FORAM,0,5,932.08,932.13,B ,,G ,D ,R ,F ,,,,,,,P ,R ,,,,R ,F ,P ,P ,,,,P ,P ,F ,P ,,,,,,,,,,,,,,,A ,,R ,,,R ,P ,P ,,R ,"Sphaeroid. kochi, N. acostaensis",,
339-U1389E-65R-1-W 59/61-6344-FORAM,339,U1389,E,65,65-1,R,3,W,59/61-6345-FORAM,0,2,934.59,934.61,B ,,G ,D ,F ,F ,,,,,,,,P ,,,,P ,A ,P ,,R ,,P ,F ,,P ,,,,,,,,F ,,,,,,,,A ,,R ,,,,,,,,,,
339-U1389E-65R-3-W 59/61-6345-FORAM,339,U1389,E,65,65-3,R,5,W,59/61-6346-FORAM,0,2,937.59,937.61,B ,,G ,D ,R ,R ,,,P ,,,,,,,,,,A ,,,P ,,P ,R ,,R ,,,,,,,,A ,,,,,,,,F ,,R ,,,,,,,P ,,,
339-U1389E-65R-5-W 59/61-6346-FORAM,339,U1389,E,65,65-5,R,7,W,29/31-6347-FORAM,0,2,940.59,940.61,B ,,G ,D ,A ,R ,,,,,,,,,,,,,F ,,,P ,,P ,R ,,P ,,,,,,,,F ,,,,,,,,A ,,R ,,,R ,,,,,,,
339-U1389E-65R-7-W 29/31-6347-FORAM,339,U1389,E,65,65-7,R,CC,PAL,FORAM,0,2,943.29,943.31,B ,,G ,D ,D ,R ,,,,,,,,P ,,,,,F ,,,P ,,,A ,,,,,,,,,,A ,,,,,,,,A ,,R ,,,,,,,,,,
339-U1389E-65R-CC-PAL-FORAM,339,U1389,E,65,65-CC,R,CC,PAL,FORAM,0,5,943.73,943.78,B ,,G ,D ,F ,F ,,P ,F ,,,,,,,,,,P ,,,R ,,,P ,,R ,P ,,,,,,,A ,,,P ,,,,,R ,,,,,,,,,,,,
339-U1389E-66R-CC-PAL-FORAM,339,U1389,E,66,66-CC,R,CC,PAL,FORAM,0,5,944.46,944.51,B ,,G ,D ,A ,R ,,,R ,,,,,R ,,,,,P ,,P ,F ,,,R ,,R ,,,,,,,,A ,,,,,,,,R ,,R ,,,R ,P ,,,,,,
339-U1389E-67R-CC-PAL-FORAM,339,U1389,E,67,67-CC,R,CC,PAL,FORAM,0,5,955.79,955.84,B ,,G ,D ,A ,P ,,P ,P ,,,,,R ,,,,,P ,,P ,R ,,,P ,,R ,,,,,,,,D ,,,,,,,,R ,,R ,,,F ,P ,,,,,,
339-U1389E-68R-CC-PAL-FORAM,339,U1389,E,68,68-CC,R,1,PAL,FORAM,0,5,962.95,963.0,B ,,G ,D ,F ,P ,,P ,R ,,,,,P ,,,,,,,P ,,,,R ,,P ,,,,,,,,D ,,,P ,,,,,P ,,R ,,,F ,R ,,,,,,
339-U1389E-69R-1-PAL-FORAM,339,U1389,E,69,69-1,R,CC,PAL,FORAM,0,2,972.4,972.42,B ,,G ,D ,A ,P ,,R ,R ,,,,,P ,,,,,,,P ,R ,,,P ,P ,P ,,,,,,,,A ,,,,,,,,F ,,P ,,,R ,R ,,,P ,,,
339-U1389E-69R-CC-PAL-FORAM,339,U1389,E,69,69-CC,R,CC,PAL,FORAM,0,2,972.75,972.77,B ,,G ,D ,A ,F ,,P ,R ,,,,,,,,,,R ,,,R ,,,P ,,P ,,,,,,,,A ,,,,,,,,F ,,P ,,,R ,R ,,,P ,,,
339-U1389E-70R-CC-PAL-FORAM,339,U1389,E,70,70-CC,R,CC,PAL,FORAM,0,5,982.73,982.78,B ,,M ,D ,R ,F ,,P ,A ,,P ,,,,,,,,R ,,,,,,P ,P ,R ,P ,,,,,,,A ,,,,,,,,R ,,R ,,,P ,R ,,,,,,
