Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Tranolithus phacelosus	Prediscosphaera cretacea	Parhabdolithus embergeri	Nannoconus truitti	Nannoconus regularis	Manivitella pemmatoidea	Glaukolithus compactus	Reinhardtites anthophorus	Prediscosphaera cf. ponticula	Placozygus fibuliformis	Lithraphidites carniolensis	Gartnerago obliquum	Gartnerago aff. obliquum (<6 microns)	Eprolithus floralis	Cribrosphaerella ehrenbergii	Chiastozygus litterarius	Stoverius coronatus	Microrhabdulus decoratus	Lucianorhabdus cayeuxii	Nannoconus multicadus	Lithastrinus cf. moratus	Rucinolithus hayi	Haqius circumradiatus	Eiffellithus eximius	Arkhangelskiella cymbiformis	Kamptnerius magnificus	Ahmuellerella octoradiata	Vekshinella stradnerii	Rhagodiscus reniformis	Aspidolithus parcus parcus	Aspidolithus parcus constrictus	Calculites obscurus	Reinhardtites levis	Pervilithus varius	Biscutum constans	Quadrum gothicum	Ceratolithoides aculeus	Quadrum trifidum	Gephyrorhabdus cf. coronadventis	Prediscosphaera honjoi	Rhagodiscus angustus	Vekshinella angusta	Prediscosphaera spinosa	Chiastozygus platyrhethus	Micula praemurus	Lithraphidites quadratus	Micula murus	Coccolithus pelagicus	Toweius gammation	Neococcolithes dubius	Helicosphaera salebrosa	Ericsonia formosa	Discoaster barbadiensis	Clausicoccus fenestratus	Chiasmolithus bidens	Campylosphaera eodela	Calcidiscus protoannulus	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus intercalaris	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Helicosphaera compacta	Discoaster tanii tanii	Discoaster tanii nodifer	Discoaster saipanensis	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Cribrocentrum coenurum	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Bramletteius serraculoides	Sphenolithus obtusus	Lanternithus minutus	Chiasmolithus nitidus	Cruciplacolithus tarquinius	Campylosphaera dela	Sphenolithus furcatolithoides	Helicosphaera euphratis	Helicosphaera bramlettei	Helicosphaera wilcoxonii	Sphenolithus radians	Sphenolithus celsus	Reticulofenestra callida	Chiasmolithus oamaruensis	Chiasmolithus expansus	Discoaster tanii ornatus	Chiasmolithus medius	Comment

  SR	Campanian        	                 	NC20              	              	160	 967	E	 17	R	 2	  38.00	    265.2800	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	                       	F                     	C                       	F                       	                  	                    	R                      	C                     	                         	                             	C                      	                           	R                  	F                                    	                   	A                           	                        	                   	C                       	R                      	                     	                        	                 	                     	                    	F                           	R                     	                         	                      	                      	                          	F                              	                   	F                  	F                 	                 	R               	R                      	                	R                               	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC20              	              	160	 967	E	 17	R	 2	 127.00	    266.1700	Staerker 	Nannofossils                                 	               	                  	A                   	C               	F                          	                       	F                     	C                       	F                       	                  	                    	F                      	A                     	F                        	                             	C                      	                           	F                  	F                                    	                   	A                           	                        	                   	F                       	                       	                     	                        	                 	                     	                    	F                           	R                     	R                        	F                     	                      	                          	F                              	R                  	F                  	F                 	                 	F               	                       	F               	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC19B             	              	160	 967	E	 18	R	 1	  88.00	    273.9800	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	                       	F                     	C                       	F                       	                  	                    	R                      	C                     	F                        	                             	C                      	                           	F                  	F                                    	                   	A                           	F                       	                   	C                       	C                      	                     	                        	                 	F                    	                    	C                           	                      	F                        	F                     	                      	                          	F                              	                   	                   	R                 	F                	F               	R                      	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC19B             	              	160	 967	E	 18	R	 2	 114.00	    275.5200	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	                       	C                     	C                       	F                       	                  	                    	R                      	C                     	                         	                             	C                      	F                          	F                  	F                                    	                   	A                           	F                       	                   	C                       	                       	                     	                        	                 	R                    	                    	F                           	                      	F                        	F                     	                      	                          	R                              	                   	                   	R                 	F                	F               	R                      	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC19B             	              	160	 967	E	 18	R	 3	  30.00	    276.1000	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	C                      	F                     	C                       	                        	                  	                    	R                      	C                     	                         	                             	F                      	F                          	F                  	                                     	                   	A                           	F                       	                   	F                       	                       	                     	                        	                 	                     	                    	F                           	                      	F                        	                      	                      	                          	F                              	                   	F                  	R                 	F                	C               	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC19B             	              	160	 967	E	 19	R	 1	  69.00	    283.3900	Staerker 	Nannofossils                                 	               	                  	A                   	C               	F                          	C                      	R                     	C                       	R                       	                  	                    	R                      	F                     	R                        	                             	C                      	F                          	F                  	R                                    	                   	A                           	                        	                   	F                       	R                      	                     	                        	                 	                     	F                   	F                           	R                     	C                        	                      	                      	                          	R                              	                   	F                  	R                 	                 	F               	R                      	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC18              	              	160	 967	E	 20	R	 2	  31.00	    293.9800	Staerker 	Nannofossils                                 	               	                  	A                   	C               	R                          	C                      	                      	C                       	                        	                  	                    	                       	F                     	                         	                             	F                      	F                          	F                  	R                                    	                   	C                           	                        	                   	F                       	F                      	                     	                        	                 	                     	C                   	                            	                      	R                        	R                     	                      	                          	R                              	                   	                   	F                 	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC18              	              	160	 967	E	 21	R	 1	  90.00	    302.8000	Staerker 	Nannofossils                                 	               	                  	A                   	C               	                           	C                      	R                     	C                       	                        	                  	                    	                       	F                     	F                        	                             	R                      	                           	F                  	                                     	                   	C                           	F                       	                   	F                       	F                      	                     	                        	                 	                     	C                   	F                           	                      	F                        	                      	                      	                          	R                              	                   	F                  	F                 	F                	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC18              	              	160	 967	E	 22	R	 1	  49.00	    312.0900	Staerker 	Nannofossils                                 	               	                  	A                   	C               	                           	C                      	F                     	C                       	                        	                  	                    	                       	C                     	F                        	                             	                       	                           	F                  	                                     	                   	C                           	F                       	                   	R                       	R                      	                     	                        	                 	                     	C                   	F                           	                      	                         	                      	                      	                          	F                              	R                  	F                  	F                 	F                	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Campanian        	                 	NC18              	              	160	 967	E	 23	R	 1	  40.00	    321.6000	Staerker 	Nannofossils                                 	               	                  	A                   	F               	                           	C                      	                      	F                       	F                       	                  	                    	                       	C                     	F                        	                             	                       	F                          	F                  	F                                    	                   	C                           	                        	                   	R                       	F                      	                     	                        	                 	                     	F                   	                            	                      	                         	                      	                      	R                         	F                              	R                  	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC18              	              	160	 967	E	 24	R	 1	  56.00	    331.3600	Staerker 	Nannofossils                                 	               	                  	A                   	F               	R                          	C                      	F                     	C                       	F                       	                  	                    	                       	C                     	R                        	                             	R                      	F                          	F                  	R                                    	                   	A                           	R                       	                   	R                       	F                      	                     	                        	                 	                     	C                   	                            	                      	F                        	                      	R                     	R                         	R                              	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC17              	              	160	 967	E	 25	R	 1	  41.00	    340.9100	Staerker 	Nannofossils                                 	               	                  	A                   	R               	R                          	C                      	F                     	C                       	R                       	                  	                    	R                      	C                     	R                        	                             	                       	F                          	F                  	R                                    	                   	C                           	R                       	                   	R                       	C                      	                     	                        	                 	R                    	C                   	                            	                      	F                        	R                     	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC17              	              	160	 967	E	 25	R	 2	  54.00	    342.5000	Staerker 	Nannofossils                                 	               	                  	A                   	R               	R                          	C                      	C                     	F                       	R                       	                  	                    	F                      	C                     	R                        	                             	                       	R                          	R                  	F                                    	                   	C                           	F                       	                   	                        	C                      	                     	                        	                 	                     	C                   	                            	F                     	R                        	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC17              	              	160	 967	E	 25	R	 3	  36.00	    343.7900	Staerker 	Nannofossils                                 	               	                  	A                   	R               	F                          	C                      	C                     	C                       	R                       	                  	                    	                       	C                     	R                        	                             	                       	F                          	F                  	F                                    	                   	C                           	F                       	                   	                        	C                      	                     	                        	R                	                     	C                   	R                           	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC17              	              	160	 967	E	 26	R	 1	  25.00	    350.3500	Staerker 	Nannofossils                                 	               	                  	A                   	R               	                           	C                      	C                     	C                       	                        	C                 	                    	F                      	C                     	                         	F                            	C                      	F                          	F                  	F                                    	R                  	C                           	F                       	R                  	R                       	C                      	                     	R                       	R                	R                    	C                   	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC17              	              	160	 967	E	 27	R	 1	  39.00	    360.0900	Staerker 	Nannofossils                                 	               	                  	C                   	                	C                          	C                      	C                     	F                       	                        	C                 	                    	R                      	C                     	R                        	F                            	A                      	F                          	F                  	F                                    	F                  	                            	F                       	R                  	R                       	C                      	R                    	R                       	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC17              	              	160	 967	E	 29	R	 1	  41.00	    379.2100	Staerker 	Nannofossils                                 	               	                  	C                   	                	C                          	C                      	C                     	F                       	                        	C                 	                    	F                      	C                     	                         	F                            	A                      	F                          	F                  	F                                    	F                  	                            	F                       	R                  	R                       	C                      	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Santonian        	                 	NC16              	              	160	 967	E	 29	R	 2	  12.00	    380.4200	Staerker 	Nannofossils                                 	               	                  	A                   	                	C                          	C                      	C                     	                        	R                       	F                 	R                   	                       	C                     	                         	F                            	C                      	                           	                   	F                                    	R                  	R                           	C                       	R                  	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4
