Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Guexella nudata,Tricolocapsa sp. aff. T.(?) fusiformis,Tricolocapsa conexa,Stichocapsa robusta,Ristola altissima,Protunuma turbo,Parvicingula dhimenaesis,Hsuum maxwelli,Hsuum brevicostatum,Haliodictya(?) hojnosi,Eucyrtidiellum unumaense,Dictyomitrella(?) kamoensis,Archaeodictyomitra(?) amabilis,Acanthocircus suboblongus,Stylocapsa tecta,Theocapsomma cordis,Stylocapsa oblongula,Dicolocapsa conoformis,Stylocapsa catenarum,Stichocapsa sp. P,Paronaella mulleri,Mirifusus fragilis,Eucyrtidiellum nodosum,Podobursa helvetica,Emiluvia chica,Williriedellum sp. A,Stylocapsa(?) spiralis,Tetratrabs zealis,Stichocapsa doryspheroides,Gongylothorax sakawaensis,Andromeda sp. M,Zhamoidellum mikamense,Eucyrtidiellum ptyctum,Cyrtocapsa sp. A,Tricolocapsa yaoi,Perispyridium ordinarium,Gongylothorax sp. aff. G. favosus,Emiluvia hopsoni,Cinguloturris carpatica,Solenotryma(?) ichikawai,Spongocapsula palmerae,Acaeniotyle diaphorogona,Pseudodictyomitra (?) sp. D,Mirifusus guadalupensis,Eucyrtidiellum sp. P,Crucella theokaftensis,Protunuma japonicus,Pseudodictyomitra primitiva,Foremanella diamphidia,Napora pyramidalis,Protovallupus spp.,Spongocapsula sp. A,Mesovallupus guadalupensis,Vallupus hopsoni,Mirifusus mediodilatatus,Pseudodictyomitra carpatica,Parvicingula boesii,Archaeodictyomitra apiarium,Sethocapsa uterculus,Xitus spicularius,Thanarla pulchra,Sethocapsa cetia,Podocapsa amphitreptera,Podobursa triacantha,Parvicingula cosmoconica,Archaeodictyomitra pseudoscalaris,Archaeodictyomitra excellens,Alievium helenae,Acanthocircus trizonalis,Archaeodictyomitra brouweri var. alpha,Acanthocircus dicranacanthos,Syringocapsa agolarium,Acaeniotyle umbilicata,Cecrops septemporatus,Comment
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 23,R,CC,  15.00,    396.0500,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,+                      ,+                       ,                      ,                        ,+                          ,                       ,+                   ,                      ,                   ,                           ,+                     ,                  ,                  ,+                  ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 24,R, 1,  22.00,    400.8200,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,+                      ,+                       ,                      ,+                       ,+                          ,                       ,+                   ,                      ,                   ,+                          ,+                     ,+                 ,+                 ,+                  ,+                         ,+               ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 24,R, 1,  66.00,    401.2600,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,+                     ,                ,                 ,+                       ,                                 ,                ,                       ,                        ,                      ,                        ,+                          ,                       ,+                   ,                      ,                   ,+                          ,                      ,+                 ,+                 ,                   ,                          ,                ,+                       ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 24,R,CC,   0.00,    401.3500,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,                                 ,                ,                       ,+                       ,                      ,                        ,+                          ,                       ,+                   ,                      ,                   ,                           ,                      ,+                 ,+                 ,                   ,+                         ,                ,+                       ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 25,R, 1,  10.00,    405.3000,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,+                          ,                      ,                  ,+                 ,                   ,+                         ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 25,R, 1,  32.00,    405.5200,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,                                 ,                ,+                      ,+                       ,                      ,+                       ,                           ,                       ,+                   ,                      ,+                  ,                           ,                      ,+                 ,+                 ,                   ,+                         ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 25,R, 1,  65.00,    405.8500,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,                                 ,                ,+                      ,+                       ,                      ,+                       ,+                          ,                       ,+                   ,                      ,                   ,                           ,                      ,+                 ,                  ,+                  ,+                         ,+               ,+                       ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 25,R,CC,   0.00,    405.9500,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,+                       ,                                 ,                ,                       ,+                       ,                      ,                        ,+                          ,                       ,                    ,                      ,                   ,+                          ,                      ,+                 ,+                 ,+                  ,+                         ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 26,R,CC,  11.00,    410.1100,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,+                       ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,+                 ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 26,R,CC,  18.00,    410.1800,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,+                          ,                      ,+                 ,+                 ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 27,R, 1,  99.00,    415.6900,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,+                      ,+                       ,                      ,+                       ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,+                 ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 27,R,CC,   0.00,    415.8000,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,                                 ,                ,+                      ,                        ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,                           ,+                     ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 28,R, 1,   6.00,    419.4600,Matsuoka ,Radiolarians                                 ,F              ,P                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 28,R,CC,   0.00,    419.5400,Matsuoka ,Radiolarians                                 ,C              ,M-G               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,+             ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,+                                ,                ,+                      ,+                       ,                      ,+                       ,+                          ,                       ,+                   ,                      ,+                  ,+                          ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 29,R, 1,  16.00,    424.3600,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,+                   ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,+                ,                        ,+                                ,                ,                       ,+                       ,                      ,                        ,+                          ,                       ,+                   ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 29,R, 1,  24.00,    424.4400,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,+                     ,                   ,              ,+                   ,                      ,                 ,                          ,                         ,               ,+                     ,+                     ,                ,                 ,+                       ,                                 ,                ,+                      ,+                       ,+                     ,                        ,+                          ,                       ,+                   ,+                     ,+                  ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 30,R, 1,   1.00,    428.9100,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,+                       ,                                 ,                ,+                      ,+                       ,                      ,+                       ,+                          ,                       ,+                   ,+                     ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 30,R, 1,  12.00,    429.0200,Matsuoka ,Radiolarians                                 ,F              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,+                   ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,+                     ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 30,R, 1,  19.00,    429.0900,Matsuoka ,Radiolarians                                 ,A              ,M-G               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,+             ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,+             ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,+                     ,                ,+                ,+                       ,+                                ,                ,+                      ,+                       ,+                     ,+                       ,+                          ,+                      ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 31,R, 1,   1.00,    433.6100,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,+                     ,                   ,+             ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,+                       ,+                                ,                ,+                      ,+                       ,+                     ,+                       ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 31,R, 1,  21.00,    433.8100,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,+                     ,                        ,+                          ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,+                       ,                                 ,                ,+                      ,+                       ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 31,R, 1,  33.00,    433.9300,Matsuoka ,Radiolarians                                 ,A              ,P                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,+             ,                   ,+                     ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,+                     ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,+                     ,                ,+                ,                        ,                                 ,                ,+                      ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. carpatica      ,NR1           ,129, 801,B, 32,R,CC,   0.00,    438.2600,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,+             ,+                  ,                      ,                        ,+                          ,                              ,+                        ,                ,                   ,                    ,                      ,                    ,                 ,                  ,+                 ,+                     ,                   ,+             ,+                   ,                      ,                 ,+                         ,                         ,               ,+                     ,+                     ,                ,+                ,+                       ,+                                ,+               ,+                      ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oxfordian        ,                 ,S. spiralis       ,NR2           ,129, 801,B, 33,R, 1,   8.00,    442.8800,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,+                  ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,+                     ,+                  ,+             ,+                   ,                      ,                 ,                          ,                         ,               ,                      ,+                     ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oxfordian        ,                 ,S. spiralis       ,NR2           ,129, 801,B, 33,R, 1, 131.00,    444.1100,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,+                  ,+                  ,                 ,               ,                        ,+             ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,+                   ,                 ,                  ,                  ,+                     ,                   ,              ,                    ,+                     ,                 ,                          ,                         ,               ,                      ,                      ,+               ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
