Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Gephyrocapsa Group 1,Gephyrocapsa oceanica,Gephyrocapsa Group 3,Calcidiscus leptoporus,Pontosphaera sp.,Emiliania huxleyi,Gephyrocapsa Group 2,Gephyrocapsa Group 4,Reticulofenestra sp.,Pontosphaera japonica,Gephyrocapsa caribbeanica,Coccolithus crassipons,Braarudosphaera bigelowii,Syracosphaera pulchra,Emiliania pujosae,Comment
  SR,                 ,                 ,                  ,              ,139, 857,C, 34,R, 1,  71.00,    337.2100,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 37,R, 1,  49.00,    351.2900,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 37,R, 3,  25.00,    354.0500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 37,R,CC,   4.00,    354.2100,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 38,R, 1, 111.00,    356.9100,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 38,R,CC,  17.00,    358.7400,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 39,R, 1,  18.00,    360.5800,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 39,R, 2,  46.00,    362.3600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 39,R, 3,  80.00,    364.2000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 39,R,CC,   7.00,    364.3500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 40,R, 1,  21.00,    365.6100,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 40,R, 1,  36.00,    365.7600,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 40,R, 1, 138.00,    366.7800,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 40,R, 2,  68.00,    367.5800,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 40,R,CC,   7.00,    367.9400,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 41,R, 1,  62.00,    375.5200,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 41,R, 2, 103.00,    377.4300,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 41,R, 3,  57.00,    378.4700,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 41,R,CC,  10.00,    378.8900,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 42,R, 1,  36.00,    380.0600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 42,R, 2,  34.00,    381.5400,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 42,R,CC,   5.00,    383.2400,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 43,R, 2,  23.00,    386.4300,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 43,R,CC,  15.00,    388.8600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 44,R, 2, 105.00,    392.2300,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
