Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Praeorbulina sicana	Globorotaloides variabilis	Globorotaloides suteri	Globorotalia mayeri	Globorotalia archeomenardii	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus s.l.	Dentoglobigerina altispira altispira	Clavatorella bermudezi	Praeorbulina glomerosa curva	Globorotalia praescitula	Globorotalia peripheroronda	Globigerinoides ruber s.l.	Praeorbulina glomerosa glomerosa	Globigerinatella insueta	Globoturborotalita nepenthes	Globoquadrina praedehiscens	Dentoglobigerina altispira globosa	Praeorbulina glomerosa circularis	Sphaeroidinellopsis disjuncta	Globorotaloides hexagona	Orbulina suturalis	Globorotalia peripheroacuta	Sphaeroidinellopsis seminulina	Globorotalia praemenardii	Sphaeroidinellopsis kochi	Globorotalia praefohsi	Globorotalia fohsi fohsi	Globorotalia scitula	Orbulina universa	Globorotalia fohsi lobata	Globigerinella siphonifera	Globorotalia menardii	Globorotalia fohsi robusta	Neogloboquadrina acostaensis	Globorotalia plesiotumida	Globorotalia limbata	Globorotalia tumida	Globigerinoides diminutus	Comment
  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 38	X	 5	  80.00	    357.8000	Vincent  	Planktonic Foraminifers                      	               	P                 	                   	                          	                      	+                  	                           	+                        	                       	+                           	+                                 	                             	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	T                       	+                 	                           	                              	+                        	                         	+                     	+                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N11               	              	138	 846	B	 38	X	CC	  26.00	    360.1700	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	+                            	                                    	                      	                            	                        	                           	+                         	T                               	                        	                            	                           	T                                 	                                 	T                            	T                       	                  	T                          	                              	                         	                         	+                     	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N11               	              	138	 846	B	 40	X	 1	  80.00	    371.1000	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	+                  	T                          	+                        	+                      	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	+                          	                              	                         	                         	T                     	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N11               	              	138	 846	B	 40	X	 2	  80.00	    372.6000	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	                                    	                      	T                           	                        	                           	                          	T                               	                        	                            	                           	                                  	                                 	                             	                        	+                 	T                          	                              	                         	T                        	T                     	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N10               	              	138	 846	B	 40	X	 3	  80.00	    374.1000	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	+                  	T                          	+                        	+                      	T                           	+                                 	                             	T                                   	                      	                            	                        	T                          	                          	                                	                        	                            	                           	                                  	                                 	                             	T                       	+                 	T                          	T                             	T                        	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N10               	              	138	 846	B	 40	X	 5	  80.00	    377.1000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	+                  	T                          	+                        	+                      	+                           	+                                 	                             	                                    	                      	                            	                        	+                          	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	T                 	+                          	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N10               	              	138	 846	B	 40	X	CC	  36.00	    378.1600	Vincent  	Planktonic Foraminifers                      	C              	M                 	T                  	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	                             	                                    	+                     	                            	                        	                           	                          	T                               	                        	                            	                           	                                  	                                 	                             	+                       	T                 	+                          	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N9                	              	138	 846	B	 41	X	 1	  78.00	    380.6800	Vincent  	Planktonic Foraminifers                      	C              	P/M               	                   	                          	                      	+                  	T                          	+                        	T                      	T                           	+                                 	                             	                                    	                      	                            	                        	T                          	                          	T                               	                        	                            	                           	                                  	                                 	                             	+                       	+                 	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 41	X	 2	  78.00	    382.1800	Vincent  	Planktonic Foraminifers                      	C              	M                 	T                  	                          	                      	+                  	+                          	+                        	+                      	+                           	+                                 	T                            	T                                   	T                     	                            	                        	+                          	                          	                                	                        	                            	                           	                                  	+                                	                             	T                       	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 41	X	 3	  80.00	    383.7000	Vincent  	Planktonic Foraminifers                      	C              	                  	                   	                          	                      	+                  	+                          	+                        	+                      	+                           	+                                 	                             	T                                   	+                     	                            	                        	+                          	                          	                                	                        	                            	                           	                                  	+                                	+                            	T                       	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 41	X	 4	  85.00	    385.2500	Vincent  	Planktonic Foraminifers                      	C              	M                 	T                  	                          	                      	+                  	+                          	+                        	+                      	+                           	+                                 	T                            	+                                   	T                     	T                           	                        	+                          	                          	T                               	                        	                            	                           	                                  	+                                	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 41	X	 5	  70.00	    386.6000	Vincent  	Planktonic Foraminifers                      	C              	M                 	+                  	                          	                      	+                  	+                          	+                        	+                      	+                           	+                                 	                             	                                    	T                     	                            	                        	                           	                          	T                               	                        	                            	                           	                                  	+                                	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 42	X	 1	  79.00	    390.3900	Vincent  	Planktonic Foraminifers                      	A              	                  	+                  	                          	                      	+                  	+                          	                         	+                      	                            	+                                 	                             	                                    	T                     	+                           	                        	+                          	                          	T                               	T                       	+                           	+                          	+                                 	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 42	X	CC	  16.00	    390.9400	Vincent  	Planktonic Foraminifers                      	R              	P                 	T                  	                          	                      	+                  	                           	T                        	T                      	T                           	+                                 	                             	                                    	                      	                            	T                       	T                          	T                         	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 43	X	CC	  19.00	    399.3900	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	+                  	T                          	T                        	                       	                            	+                                 	                             	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 44	X	 1	  80.00	    409.7000	Vincent  	Planktonic Foraminifers                      	C              	M                 	+                  	                          	                      	+                  	T                          	+                        	+                      	T                           	+                                 	                             	                                    	                      	+                           	T                       	+                          	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 44	X	 2	  80.00	    410.9500	Vincent  	Planktonic Foraminifers                      	C              	P/M               	+                  	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	                             	T                                   	T                     	+                           	                        	+                          	T                         	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 44	X	 3	  75.00	    412.4000	Vincent  	Planktonic Foraminifers                      	A              	P                 	+                  	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	                             	T                                   	                      	T                           	                        	+                          	+                         	T                               	+                       	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 44	X	 4	  80.00	    413.3700	Vincent  	Planktonic Foraminifers                      	C              	P/M               	+                  	                          	                      	+                  	T                          	+                        	+                      	+                           	+                                 	T                            	T                                   	                      	T                           	+                       	+                          	T                         	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Early Miocene    	                 	N8                	              	138	 846	B	 44	X	CC	  17.00	    414.1300	Vincent  	Planktonic Foraminifers                      	F              	M                 	T                  	T                         	+                     	+                  	T                          	+                        	+                      	+                           	+                                 	T                            	T                                   	T                     	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

