Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria sp.	Thalassiosira sp.1	Stellarima (all generic taxa)	Rhizosolenia hebetata	Nitzschia januaria	Eucampia antarctica	Denticulopsis hustedtii var. ovata	Denticulopsis hustedtii	Denticulopsis dimorpha	Azpeitia endoi/tabularis	Actinocyclus tsugaruensis	Actinocyclus ingens	Nitzschia praecurta	Actinocyclus fryxellae	Thalassiosira nativa	Thalassiosira gersondei	Nitzschia donahuensis	Asteromphalus kennettii	Thalassiosira burckliana	Hemidiscus karstenii	Lithodesmium reynoldsii	Denticulopsis dimorpha var. areolata	Rouxia fusiformis	Thalassiosira mahoodii	Cosmiodiscus intersectus	Thalassiosira torokina	Nitzschia clementia	Rouxia californica	Nitzschia cylindrica	Rouxia peragalli	Actinocyclus ingens var. ovalis	Nitzschia marina/reinholdii	Cosmiodiscus insignis f. triangula	Nitzschia miocenica	Thalassiosira jacksonii	Nitzschia pseudokerguelenis	Thalassiosira praeconvexa	Thalassiosira miocenica	Thalassiosira convexa var. aspinosa	Comment
  SR	                 	                 	                  	              	119	 746	A	 13	X	CC	  24.00	    251.9400	Baldauf  	Diatoms                                      	A              	M                 	R            	F                 	                             	R                    	F                 	R                  	F                                 	A                      	F                     	R                       	F                        	R                  	R                  	F                     	                    	F                      	R                    	R                      	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 14	X	 1	  60.00	    252.4000	Baldauf  	Diatoms                                      	A              	M                 	R            	F                 	                             	R                    	F                 	R                  	R                                 	A                      	R                     	R                       	R                        	R                  	F                  	F                     	                    	F                      	R                    	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 15	X	 1	  56.00	    262.0600	Baldauf  	Diatoms                                      	C              	M                 	R            	R                 	R                            	F                    	F                 	                   	R                                 	A                      	R                     	R                       	                         	                   	R                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 15	X	CC	  32.00	    262.5300	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	F                            	F                    	R                 	R                  	R                                 	A                      	F                     	R                       	R                        	                   	                   	R                     	                    	                       	                     	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 16	X	 1	  60.00	    271.7000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	                             	F                    	F                 	                   	R                                 	A                      	                      	F                       	R                        	R                  	R                  	F                     	                    	                       	                     	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 16	X	CC	  28.00	    272.3400	Baldauf  	Diatoms                                      	C              	M                 	R            	R                 	R                            	F                    	R                 	R                  	R                                 	A                      	F                     	F                       	R                        	R                  	                   	                      	                    	                       	                     	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

