Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes,Zeaglobigerina connecta,Orbulina universa,Jenkinsella mayeri,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia menardii,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerina falconensis,Neogloboquadrina continuosa,Neogloboquadrina acostaensis,Globoconella conoidea,Globigerinita juvenilis,Globigerinita glutinata,Fohsella peripheroronda,Zeaglobigerina apertura,Sphaeroidinellopsis seminulina,Globorotalia merotumida,Globorotalia cibaoensis,Globoconella sphericomiozea,Globigerinoides obliquus,Globigerinella siphonifera,Globigerina bulloides,Globorotalia tumida,Globigerinoides bollii,Neogloboquadrina pachyderma (dextral),Globorotalia tosaensis,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis,Globigerinoides ruber,Globorotalia crassula,Neogloboquadrina dutertrei,Zeaglobigerina decoraperta,Globorotalia truncatulinoides,Globigerinoides tenellus,Globigerinoides sacculifer,Globigerina quinqueloba,Globigerinella obesa,Pulleniatina finalis,Sphaeroidinella dehiscens,Globigerinoides quadrilobatus,Neogloboquadrina humerosa,Zeaglobigerina rubescens,Beella digitata,Pulleniatina obliquiloculata,Globorotalia hirsuta,Comment
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 36,X,CC,  31.00,    337.9600,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,P                                    ,                      ,R                        ,P                   ,                         ,R                    ,P                    ,P                         ,                          ,P                            ,                        ,                          ,F                      ,P                   ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 37,X,CC,  36.00,    347.4700,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,P                    ,                   ,                      ,P                                    ,                      ,F                        ,P                   ,                         ,F                    ,R                    ,                          ,                          ,P                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 38,X,CC,  31.00,    357.1600,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,R                                    ,P                     ,F                        ,P                   ,                         ,F                    ,P                    ,                          ,                          ,P                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 39,X,CC,  22.00,    366.6600,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,R                    ,                   ,                      ,P                                    ,P                     ,F                        ,P                   ,                         ,F                    ,P                    ,                          ,                          ,P                            ,                        ,                          ,F                      ,                    ,P                   ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 40,X,CC,  28.00,    374.5600,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,P                     ,A                        ,P                   ,                         ,P                    ,P                    ,                          ,                          ,P                            ,                        ,                          ,P                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 41,X,CC,  34.00,    386.0300,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,P                     ,F                        ,P                   ,                         ,F                    ,P                    ,                          ,                          ,P                            ,                        ,                          ,A                      ,P                   ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 42,X,CC,  33.00,    395.4300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                       ,F                ,                  ,                    ,                         ,                     ,                       ,                        ,R                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,R                    ,                   ,                      ,P                                    ,F                     ,F                        ,P                   ,P                        ,F                    ,                     ,                          ,                          ,F                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,cf. margaritae reworked?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 43,X,CC,  36.00,    404.4200,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,P                     ,P                        ,P                   ,                         ,P                    ,                     ,                          ,                          ,P                            ,                        ,P                         ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1127,B, 44,X, 4, 136.00,    410.6600,Li       ,Planktonic Foraminifers                      ,A              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,P                    ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,                     ,                   ,                      ,F                                    ,                      ,                         ,A                   ,P                        ,F                    ,                     ,                          ,                          ,P                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1127,B, 44,X,CC,  24.00,    414.5200,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                        ,                       ,                 ,                  ,P                   ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,                     ,                   ,                      ,P                                    ,P                     ,P                        ,P                   ,P                        ,P                    ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 45,X, 5,  89.00,    421.2900,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,                                     ,                      ,                         ,A                   ,                         ,F                    ,                     ,                          ,F                         ,F                            ,P                       ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1127,B, 45,X,CC,  28.00,    424.1400,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,R                    ,                   ,                      ,P                                    ,                      ,A                        ,F                   ,P                        ,F                    ,R                    ,P                         ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1127,B, 46,X,CC,  42.00,    429.8600,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,                      ,F                        ,F                   ,R                        ,R                    ,P                    ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1127,B, 47,X,CC,  36.00,    441.7100,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,P                    ,                   ,                      ,P                                    ,P                     ,F                        ,F                   ,P                        ,F                    ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1127,B, 48,X,CC,  27.00,    453.0100,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,F                ,                  ,P                   ,                         ,                     ,                       ,F                       ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,F                                    ,                      ,P                        ,A                   ,F                        ,F                    ,P                    ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,182,1127,B, 49,X,CC,  34.00,    459.6200,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,P                                    ,P                     ,F                        ,A                   ,A                        ,P                    ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Pliocene         ,                  ,PL2           ,182,1127,B, 50,X,CC,  32.00,    472.2500,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,P                   ,P                       ,                       ,P                ,                  ,R                   ,F                        ,P                    ,                       ,                        ,                       ,P                          ,                            ,P                    ,                       ,                       ,                       ,                       ,                              ,P                      ,P                      ,                           ,                        ,                          ,                     ,P                  ,P                     ,                                     ,                      ,                         ,                    ,                         ,                     ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Pliocene         ,                  ,              ,182,1127,B, 51,X,CC,  30.00,    479.9400,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,P                   ,F                       ,                       ,F                ,                  ,P                   ,P                        ,P                    ,                       ,P                       ,F                      ,                           ,                            ,F                    ,R                      ,                       ,                       ,P                      ,P                             ,P                      ,P                      ,P                          ,P                       ,P                         ,F                    ,                   ,                      ,                                     ,                      ,                         ,                    ,                         ,                     ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Pliocene         ,                  ,              ,182,1127,B, 52,X,CC,  20.00,    487.9400,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,P                   ,P                       ,                       ,P                ,P                 ,P                   ,R                        ,                     ,P                      ,                        ,F                      ,P                          ,P                           ,P                    ,P                      ,P                      ,P                      ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,                                     ,                      ,                         ,                    ,                         ,                     ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Pliocene         ,                  ,              ,182,1127,B, 53,X,CC,  23.00,    493.6900,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,A                   ,P                       ,F                      ,P                ,P                 ,P                   ,P                        ,F                    ,P                      ,P                       ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,                                     ,                      ,                         ,                    ,                         ,                     ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
