Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochammina spp.	Hormosina ovulum-ovuloides	Haplophragmoides sp.	Glomospira gordialis	Verneuilinoides? sp.	Saccammina sp.	Saccammina placenta	Rhizammina spp.	Rhabdammina spp.	Recurvoides spp.	Paratrochamminoides spp.	Karrerulina conversa	Hormosina velascoensis	Glomospira irregularis	Glomospira charoides	Dorothia sp.	Dendrophrya excelsa	Aschemocella grandis	Aschemocella carpathica	Ammodiscus tenuissima	Ammodiscus cf. peruvianus	Reophax spp.	Haplophragmoides walteri	Arenobulimina sp.	Subreophax sp.	Subreophax scalaris	Paratrochamminoides acervulatus	Karrerulina conformis	Hyperammina subdiscreta	Conotrochammina whangai	Karrerulina horrida	Ammosphaeroidina sp.	Tolypammina? sp.	Kalamopsis grzybowskii	Hyperammina laevigata	Ammodiscus cf. pennyi	Ammodiscus cretaceus	Subreophax pseudoscalaris	Glomospira serpens	Reticulophragmium amplectens	Lituotuba lituiformis	Glomospirella sp.	Uvigerina peregrina	Trifarina angulosa	Stilostomella spp.	Stilostomella antillea	Spiroplectammina spp.	Siphotextularia rolshauseni	Pullenia subcarinata	Pullenia bulloides	Pleurostomella spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Nonion spp.	Miliolid taxa	Lagena spp.	Hopkinsina spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Florilus spp.	Fissurina spp.	Eponides weddellensis	Eponides tumidulus	Epistominella exigua	Discorbis spp.	Cibicidoides spp.	Cassidulina subglobosa	Bulimina alazanensis	Bolivina spp.	Uvigerina spp.	Tosaia hanzawai	Oolina spp.	Nonionella spp.	Nonion barleeanum	Lenticulina spp.	Gyroidina polius	Fursenkoina pontoni	Cassidulina reniforme	Bulimina aculeata	Brizalina spathulata	Brizalina lowmani	Bolivinita trunctum	Bolivina pygmaea	Bolivina inflata	Quinqueloculina seminulum	Eggerella bradyi	Cibicidoides mundulus	Turrila spp.	Epistominella takayanagii	Elphidium crispum	Brizalina pseudopunctata	Ammonia beccarii	Gyroidina spp.	Cibicidoides robertsonianus	Bolivina pseudoplicata	Laticarinina pauperata	Bulimina striata	Cibicides wuellerstorfi	Glandulina spp.	Dentalina spp.	Hyalina balthica	Uvigerina auberiana	Trifarina fluens	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Nonionella atlantica	Fursenkoina fusiformis	Cassidulina spp.	Cassidulina laevigata	Bulimina marginata	Laticarinina halophora	Anomalina globulosa	Fursenkoina pauciloculata	Valvulineria laevigata	Bolivina arctica	Astrononion gallowayi	Bolivina decussata	Ammobaculites agglutinans	Spiroloculina spp.	Islandiella teretis	Nonion auriculata	Elphidium excavatum	Psammosphaera fusca	Comment
  SR	                 	                 	                  	              	149	 900	A	 22	R	 5	  12.00	    196.0200	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	.4%               	1.9%              	1.1%                  	                     	1.9%                       	3.8%                	9.9%              	4.9%               	16.0%                	3.4%                  	           	.4%          	           	.8%            	                    	              	6.8%              	                        	             	2.7%          	                     	                  	3.0%                	              	1.1%             	13.3%                 	                    	             	              	               	.4%        	.8%            	13.7%            	                	4.9%            	3.4%               	.4%                  	                 	                    	                 	                   	                	                	.4%                      	4.1%            	.4%                  	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	438 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 23	R	 6	  88.00	    207.8800	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	1.2%              	5.0%                  	                     	                           	1.7%                	1.7%              	.8%                	4.1%                 	8.7%                  	           	             	           	.8%            	.4%                 	5.4%          	5.8%              	                        	2.1%         	5.0%          	1.2%                 	                  	18.2%               	              	1.2%             	16.1%                 	                    	2.9%         	.4%           	1.2%           	.4%        	.4%            	2.1%             	.4%             	.4%             	.8%                	5.4%                 	2.1%             	2.1%                	.4%              	.4%                	.8%             	.4%             	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	2151 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 28	R	 1	 122.00	    249.0200	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	.4%                	.4%               	1.6%              	.8%                   	.8%                  	.4%                        	1.2%                	.8%               	2.0%               	5.5%                 	10.7%                 	3.2%       	2.0%         	.8%        	2.0%           	.4%                 	2.0%          	2.0%              	.8%                     	.4%          	.4%           	3.2%                 	4.7%              	17.0%               	.4%           	8.7%             	15.0%                 	.4%                 	9.9%         	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	253 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 66	R	 1	  43.00	    614.5300	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	1                           	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	Reticulophragmium amplectens questionable identity. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 66	R	 2	  43.00	    616.0300	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	5                   	                    	              	                   	               	49              	10              	                        	                    	                      	1                     	4                   	            	1                  	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	1                    	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	12 indet. aggl. fragments. radiolaria recorded as c. 4 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 67	R	 2	 110.00	    626.4000	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	3                  	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 67	R	 3	  14.00	    626.9400	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	1                  	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	redeposited calcareous foraminifera recorded as x. 9 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 68	R	 1	  40.00	    633.8000	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	8               	1               	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	3 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 68	R	 2	 113.00	    636.0300	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	7                   	                    	              	                   	               	51              	1               	                        	                    	                      	                      	5                   	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	2                           	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	1 indet. aggl. fragments. 13 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 68	R	 3	 125.00	    637.6500	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	9               	1               	                        	                    	                      	                      	2                   	            	                   	                    	                       	1                    	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	1                     	                     	                     	                    	                         	                  	3                           	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	1 indet. aggl. fragments. 4 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 69	R	 1	  84.00	    643.9400	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	12              	4               	4                       	1                   	                      	                      	1                   	            	1                  	                    	                       	                     	                         	            	1                       	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	1                 	22                          	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	2 indet. aggl. fragments. 5 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 69	R	 2	  83.00	    645.4300	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	24              	7               	8                       	                    	                      	1                     	5                   	            	4                  	                    	                       	                     	                         	            	3                       	                 	              	                   	                               	                     	                       	                       	                   	1                   	                	                      	                     	                     	                    	                         	1                 	4                           	                     	1                	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	4 indet. aggl. fragments. 9 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 70	R	 1	  69.00	    653.3900	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	1                   	3                   	                    	              	                   	5              	5               	30              	14                      	5                   	                      	3                     	3                   	            	6                  	                    	                       	1                    	                         	            	1                       	                 	              	1                  	                               	12                   	                       	                       	                   	2                   	                	                      	                     	                     	                    	                         	                  	1                           	1                    	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	Haplophragmoides walteri recorded as 1(cf.). Subreophax scalaris questionable identity. 10 indet. aggl. fragments. 22 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Late Eocene      	                 	                  	              	149	 900	A	 70	R	 2	  57.00	    654.7700	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	7                   	                    	              	                   	               	58              	8               	                        	3                   	                      	                      	44                  	            	                   	                    	                       	5                    	                         	            	1                       	                 	              	                   	                               	3                    	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	2                           	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	20 indet. aggl. fragments. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 70	R	 2	  93.00	    655.1300	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	4                   	                    	              	                   	               	82              	4               	19                      	2                   	                      	                      	6                   	            	1                  	                    	                       	                     	                         	1           	3                       	                 	              	                   	                               	2                    	                       	                       	                   	                    	                	                      	                     	4                    	                    	3                        	1                 	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	4 indet. aggl. fragments. 4 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 71	R	 1	  60.00	    663.0000	Kuhnt    	Benthic Foraminifers                         	               	                  	1               	                          	1                   	                    	                    	              	                   	               	7               	9               	11                      	1                   	                      	                      	5                   	            	6                  	                    	                       	                     	                         	            	                        	                 	              	                   	                               	7                    	                       	                       	                   	                    	                	                      	                     	                     	1                   	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	8 indet. aggl. fragments. 8 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 71	R	 2	 112.00	    665.0200	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	1                	              	                   	                               	                     	                       	                       	                   	1                   	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	redeposited calcareous foraminifera recorded as x. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 72	R	 1	  97.00	    673.0700	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	2               	                        	2                   	                      	                      	                    	            	                   	                    	                       	                     	                         	            	2                       	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	1 indet. aggl. fragments. redeposited calcareous foraminifera recorded as xx. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 72	R	 2	  60.00	    674.2000	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	2                   	                    	              	                   	               	19              	16              	4                       	4                   	                      	                      	17                  	            	10                 	                    	                       	1                    	                         	            	1                       	                 	              	                   	                               	2                    	                       	                       	                   	                    	1               	2                     	1                    	1                    	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	13 indet. aggl. fragments. redeposited calcareous foraminifera recorded as xx. 11 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 73	R	 1	  55.00	    682.2500	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	2               	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	1                   	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	2 indet. aggl. fragments. redeposited calcareous foraminifera recorded as xx. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 74	R	 1	  40.00	    691.8000	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	1                   	                    	              	                   	               	                	1               	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	redeposited calcareous foraminifera recorded as x. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 74	R	 2	  68.00	    693.5800	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	1               	1               	1                       	1                   	                      	                      	2                   	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	1                    	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	redeposited calcareous foraminifera recorded as x. 2 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 75	R	 1	 105.00	    702.1500	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	4                   	                    	              	                   	               	5               	17              	                        	4                   	                      	3                     	25                  	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	8 indet. aggl. fragments. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 75	R	 2	 102.00	    703.3300	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	3               	18              	1                       	                    	                      	                      	16                  	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	4                  	3                   	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	9 indet. aggl. fragments. 14 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 76	R	 2	  42.00	    712.3200	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	5                   	                    	              	                   	               	10              	28              	1                       	7                   	                      	                      	62                  	            	                   	                    	                       	1                    	2                        	            	                        	                 	              	                   	                               	6                    	1                      	1                      	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	9 indet. aggl. fragments. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 76	R	 2	  68.00	    712.5800	Kuhnt    	Benthic Foraminifers                         	               	                  	2               	                          	                    	1                   	                    	              	                   	               	                	3               	7                       	4                   	                      	                      	5                   	            	3                  	                    	                       	1                    	1                        	            	                        	                 	              	1                  	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	9 indet. aggl. fragments. redeposited calcareous foraminifera recorded as x. 6 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

