Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira spp.,Thalassiosira oestrupii s. ampl.,Thalassiosira leptopus s. ampl.,Thalassiosira latimarginata,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis spp.,Stellarima spp.,Rhizosolenia spp.,Nitzschia jouseae,Nitzschia cylindrica,Neodenticula koizumii,Neodenticula kamtschatica,Coscinodiscus marginatus,Chaetoceros spores,Azpeitia nodulifera,Actinoptychus spp.,Actinocyclus curvatulus,Simonseniella barboi,Nitzschia spp.,Astl. and Astp. spp,Thalassiosira nidulus,Thalassiosira jacksonii,Benthic diatoms,Azpeitia tabularis,Paralia sulcata,Nitzschia fossilis,Thalassiosira convexa,Actinocyclus ellipticus,Hemidiscus cuneiformis,Actinocyclus octonarius,Comment
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 3, 101.00,    144.9100,Barron   ,Diatoms                                      ,               ,                  ,1.7%                     ,2.3%              ,2.0%                            ,.7%                            ,1.0%                       ,.7%                     ,4.0%                       ,.7%               ,               ,.3%              ,.3%              ,                    ,2.6%                 ,77.9%                    ,4.0%                    ,1.0%              ,                   ,                  ,.7%                    ,                    ,              ,                   ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 3, 145.00,    145.3500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,3.0%              ,.3%                             ,2.3%                           ,1.3%                       ,2.6%                    ,3.6%                       ,.3%               ,               ,.3%              ,                 ,                    ,1.0%                 ,79.6%                    ,1.6%                    ,1.0%              ,                   ,                  ,.3%                    ,                    ,              ,                   ,                     ,                       ,.3%            ,                  ,.3%            ,                  ,                     ,                       ,                      ,                       ,Total count = 304; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 4,  35.00,    145.7500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,2.6%              ,2.3%                            ,3.6%                           ,.7%                        ,2.3%                    ,3.3%                       ,                  ,               ,.3%              ,                 ,                    ,.7%                  ,64.7%                    ,14.5%                   ,1.0%              ,                   ,                  ,1.0%                   ,.7%                 ,              ,                   ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 4,  75.00,    146.1500,Barron   ,Diatoms                                      ,               ,                  ,1.0%                     ,3.0%              ,1.3%                            ,3.6%                           ,1.3%                       ,2.0%                    ,4.0%                       ,.3%               ,               ,                 ,                 ,                    ,2.0%                 ,73.9%                    ,5.6%                    ,                  ,                   ,.3%               ,.3%                    ,                    ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,.3%               ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count =303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 4, 111.00,    146.5100,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,2.0%              ,1.3%                            ,1.3%                           ,1.3%                       ,.3%                     ,2.3%                       ,                  ,               ,                 ,                 ,                    ,1.0%                 ,83.7%                    ,4.3%                    ,.3%               ,                   ,                  ,                       ,                    ,.3%           ,                   ,                     ,                       ,               ,                  ,.3%            ,                  ,                     ,                       ,                      ,                       ,Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 5,   5.00,    146.9500,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,2.0%              ,1.6%                            ,.7%                            ,1.0%                       ,1.0%                    ,3.3%                       ,.3%               ,               ,.7%              ,                 ,                    ,1.3%                 ,80.1%                    ,2.6%                    ,2.0%              ,.3%                ,                  ,.7%                    ,.3%                 ,.3%           ,.3%                ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 306; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 5,  45.00,    147.3500,Barron   ,Diatoms                                      ,               ,                  ,2.6%                     ,3.0%              ,1.7%                            ,.7%                            ,1.3%                       ,1.7%                    ,2.0%                       ,.3%               ,               ,.7%              ,                 ,                    ,                     ,75.5%                    ,6.3%                    ,1.3%              ,                   ,                  ,.7%                    ,.7%                 ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others =1%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 5,  85.00,    147.7500,Barron   ,Diatoms                                      ,               ,                  ,7.7%                     ,3.0%              ,6.3%                            ,1.3%                           ,                           ,2.3%                    ,8.7%                       ,.3%               ,               ,.3%              ,                 ,                    ,1.3%                 ,60.0%                    ,4.0%                    ,3.0%              ,                   ,                  ,.7%                    ,.7%                 ,              ,                   ,                     ,                       ,               ,.3%               ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 300;From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 5, 120.00,    148.1000,Barron   ,Diatoms                                      ,               ,                  ,2.3%                     ,2.3%              ,2.6%                            ,4.0%                           ,1.7%                       ,1.0%                    ,3.3%                       ,.3%               ,               ,1.7%             ,                 ,                    ,.3%                  ,77.9%                    ,1                       ,.7%               ,                   ,                  ,.3%                    ,                    ,              ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 6,  15.00,    148.5500,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,3.0%              ,1.3%                            ,1.6%                           ,.7%                        ,.7%                     ,.3%                        ,                  ,               ,.3%              ,                 ,                    ,                     ,87.9%                    ,1.3%                    ,.3%               ,                   ,                  ,.3%                    ,                    ,              ,                   ,                     ,                       ,               ,.3%               ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 305; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 6,  50.00,    148.9000,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,3.0%              ,.7%                             ,3.3%                           ,.7%                        ,.3%                     ,.7%                        ,1.3%              ,               ,.7%              ,                 ,                    ,                     ,68.1%                    ,15.9%                   ,.7%               ,                   ,                  ,.7%                    ,.3%                 ,.3%           ,1.0%               ,.3%                  ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 6,  90.00,    149.3000,Barron   ,Diatoms                                      ,               ,                  ,.3%                      ,3.3%              ,1.6%                            ,5.9%                           ,1.6%                       ,1.0%                    ,3.0%                       ,.7%               ,.7%            ,3.0%             ,.3%              ,                    ,1.3%                 ,65.1%                    ,10.5%                   ,.3%               ,                   ,                  ,1.0%                   ,                    ,              ,                   ,                     ,.3%                    ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 304; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 6, 135.00,    149.7500,Barron   ,Diatoms                                      ,               ,                  ,1.7%                     ,2.6%              ,1.7%                            ,4.0%                           ,2.3%                       ,1.7%                    ,4.0%                       ,3.3%              ,.7%            ,1.7%             ,                 ,                    ,.7%                  ,65.0%                    ,5.9%                    ,1.7%              ,                   ,                  ,2.0%                   ,.3%                 ,.3%           ,                   ,.3%                  ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count =303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 7,  25.00,    150.1500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,4.0%              ,6.0%                            ,5.0%                           ,1.3%                       ,1.7%                    ,22.2%                      ,1.3%              ,               ,5.0%             ,2.6%             ,.3%                 ,.3%                  ,36.8%                    ,2.6%                    ,5.6%              ,                   ,.3%               ,1.3%                   ,.3%                 ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 7,  64.00,    150.5400,Barron   ,Diatoms                                      ,               ,                  ,1.7%                     ,1.0%              ,5.3%                            ,5.6%                           ,1.7%                       ,2.0%                    ,7.3%                       ,3.0%              ,.7%            ,.7%              ,.3%              ,.7%                 ,.3%                  ,63.1%                    ,1.7%                    ,3.3%              ,.3%                ,.3%               ,.7%                    ,                    ,              ,                   ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
