Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acarinina nitida,Morozovella quetra,Subbotina velascoensis,Acarinina mckannai-subsphaerica,Morozovella subbotinae,Acarinina soldadoensis,Acarinina primitiva,Morozovella aragonensis,Acarinina triplex,Muricoglobigerina senni,Acarinina pentacamerata,Acarinina wilcoxensis,Morozovella lensiformis,Morozovella formosa gracilis,Morozovella caucasica,Acarinina matthewsae,Subbotina linaperta,Subbotina eocaenica,Globigerina lozanoi,Globorotaloides sp. aff. carcosellensis,Catapsydrax martini,Acarinina rugosoaculeata,Truncorotaloides rohri,Globorotaloides suteri,Acarinina bullbrooki,Subbotina hagni,Catapsydrax unicavus,Turborotalia cerroazulensis frontosa,Subbotina angiporoides minima,Turborotalia griffinae,Subbotina eocaena,Pseudohastigerina micra,Globigerinatheka index,Globigerina praebulloides,Tenuitella gemma,Globorotaloides testarugosa,Globigerina angustiumbilicata,Dentoglobigerina galavisi,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina umbilicata,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Globigerina incisa,Orbulina spp.,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 2,  90.00,    143.3000,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,1                                    ,17                                    ,15                                  ,                    ,4                      ,52                    ,242                  ,                                       ,                  ,             ,                       ,Not identified =  1; Total count = 332; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 3,  25.00,    144.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,54                                    ,28                                  ,                    ,8                      ,32                    ,182                  ,2                                      ,2                 ,             ,                       ,Not identified =  5; Total count = 313; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 3, 101.00,    144.9100,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,3                                    ,25                                    ,40                                  ,1                   ,3                      ,44                    ,219                  ,                                       ,                  ,             ,                       ,Not identified =  0; Total count = 335; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 4,  35.00,    145.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,24                                    ,32                                  ,2                   ,7                      ,64                    ,201                  ,1                                      ,                  ,             ,                       ,Not identified =  0; Total count = 331; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 4, 111.00,    146.5100,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,3                                    ,22                                    ,36                                  ,2                   ,17                     ,68                    ,162                  ,2                                      ,3                 ,1            ,                       ,Not identified =  1; Total count = 317; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 5,  45.00,    147.3500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,31                                    ,26                                  ,1                   ,4                      ,50                    ,189                  ,4                                      ,3                 ,             ,                       ,Not identified =  3; Total count = 311; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 5, 120.00,    148.1000,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,3                                    ,27                                    ,33                                  ,4                   ,7                      ,72                    ,163                  ,3                                      ,                  ,             ,                       ,Not identified = 1; Total count = 313; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 6,  50.00,    148.9000,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,5                                    ,23                                    ,21                                  ,                    ,14                     ,108                   ,152                  ,2                                      ,                  ,             ,                       ,Not identified =  0; Total count = 325; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 6, 135.00,    149.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,1                                    ,27                                    ,19                                  ,                    ,4                      ,111                   ,145                  ,1                                      ,                  ,             ,                       ,Not identified =  0; Total count = 308; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 7,  64.00,    150.5400,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,1                                    ,34                                    ,22                                  ,4                   ,43                     ,55                    ,143                  ,                                       ,                  ,             ,                       ,Not identified =  2; Total count = 304; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 71,X, 1, 132.00,    675.4200,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 71,X, 3, 132.00,    678.4200,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 1, 120.00,    694.5000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,R                          ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 2, 120.00,    696.0000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,R                          ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 3, 120.00,    697.5000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,R                   ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,R                          ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 4, 120.00,    699.0000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,R                   ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,R               ,R                          ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 5, 120.00,    700.5000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,R                   ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,R               ,R                          ,R                            ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 6, 120.00,    702.0000,Basov    ,Planktonic Foraminifers                      ,F              ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,F                     ,                    ,               ,F                   ,                                    ,                             ,                      ,                 ,                       ,                      ,R                        ,R               ,R                          ,R                            ,R                        ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 73,X, 7,  44.00,    702.7400,Basov    ,Planktonic Foraminifers                      ,F              ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,F                     ,                    ,               ,F                   ,                                    ,                             ,                      ,                 ,                       ,                      ,R                        ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 74,X, 1, 120.00,    704.2000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,                  ,              ,145, 883,B, 74,X, 2, 120.00,    705.7000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,R                   ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 75,X, 1, 120.00,    713.8000,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,F                  ,                   ,                   ,R                                      ,C                  ,                        ,                      ,F                     ,C                   ,F              ,                    ,C                                   ,F                            ,R                     ,C                ,R                      ,R                     ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 75,X, 2,  25.00,    714.0800,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,C                  ,                   ,                   ,                                       ,                   ,                        ,                      ,C                     ,                    ,F              ,                    ,C                                   ,                             ,R                     ,C                ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 75,X, 3,  25.00,    714.6700,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,F                  ,                        ,                      ,F                     ,                    ,F              ,                    ,F                                   ,F                            ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 75,X, 4,  25.00,    715.6400,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,R                   ,               ,                    ,R                                   ,R                            ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 75,X, 4, 120.00,    716.5900,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,R                      ,                       ,                     ,                       ,                            ,                     ,                    ,F                  ,                   ,                   ,                                       ,F                  ,                        ,                      ,                      ,                    ,               ,R                   ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 75,X, 5,  25.00,    717.1400,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,F                  ,                   ,                   ,                                       ,F                  ,                        ,                      ,F                     ,                    ,               ,                    ,R                                   ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 76,X, 1, 120.00,    721.3000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,R                   ,                   ,                   ,                   ,                                       ,C                  ,R                       ,                      ,F                     ,                    ,F              ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 76,X, 2, 120.00,    722.8000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,R              ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 76,X, 3, 120.00,    724.3000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,F                  ,                   ,                   ,                                       ,                   ,R                       ,                      ,F                     ,                    ,R              ,F                   ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 76,X, 4, 120.00,    725.8000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,R                      ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 76,X, 6,  50.00,    728.1000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,R                                      ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 77,X, 1, 120.00,    731.1000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 77,X, 2, 120.00,    732.6000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,R                                      ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
