Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1486B-13H-2-W 110/110-NANNO,0,0,113.1,113.1,NN19,TDJ - no discoasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,13,H,2,W,735c63481a3de5d046140c568518c9bd
363-U1486B-13H-4-W 136/136-NANNO,0,0,116.36,116.36,NN18,TDJ - no discoasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,13,H,4,W,977e665c74de7ed7ac067f43fc5aaf2a
363-U1486B-13H-6-W 67/67-NANNO,0,0,118.67,118.67,NN18,TDJ - D. brouweri rare but present - at least 7 specimens observed - photos taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,13,H,6,W,eb4ee61a62d4b4ee50fea94de759a9c5
363-U1486B-13H-CC-PAL-NANNO,0,5,120.11,120.16,NN18,TDJ - noticeable increase in abudance of C. pelagicus.,G,D,VA,,A,,,F,F,,,,,,,,F,,F,P,F,,,R,F,,,,,,,,,,F,,,,,,,,,C,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,13,H,CC,PAL,9d6c7cb9d25f5f1eaabb0f16289ee9a2
363-U1486B-14H-2-W 83/83-NANNO,0,0,122.33,122.33,NN18,TDJ - no discoasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,14,H,2,W,71b10adabc4e89d085d7c3489aad4e39
363-U1486B-14H-4-W 72/72-NANNO,0,0,125.22,125.22,NN18,TDJ - no discoasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,14,H,4,W,49527d362d4df24bc5703f927b9cc5d3
363-U1486B-14H-6-W 95/95-NANNO,0,0,128.45,128.45,NN18,TDJ - no discoasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,14,H,6,W,f5f0898851f876f49be605b710311e9b
363-U1486B-14H-CC-PAL-NANNO,0,5,129.93,129.98,NN18,"TDJ - super-dominated by small Gephyrocapsa, significantly less F. profunda than above. C. pelagicus frequent. D. bouweri rare, but present.",G,D,C,,VA,,,F,C,,,,,,,,F,,C,,F,,,F,F,,,,,,,,,,F,,,,,,,,,C,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,14,H,CC,PAL,d16a36fd24ef8bb407a58625942548a0
363-U1486B-15H-2-W 120/120-NANNO,0,0,132.2,132.2,NN18,TDJ - D. brouweri frequent - significantly more abundance than 15H-4; D. asymmetricus present (rare); no D. triradiatus observed,G,D,A,,A,,,,,,,,,,,,F,,C,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,15,H,2,W,07c84337d1dafef1aadc9414856e9fc0
363-U1486B-15H-4-W 102/102-NANNO,0,0,135.02,135.02,NN18,TDJ - three D. brouweri; no D. triradiatus observed,G,D,A,,A,,,F,F,,,,,,,,F,,F,,P,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,15,H,4,W,76bf2e489b190cf29f978554272447e0
363-U1486B-15H-6-W 42/42-NANNO,0,0,137.42,137.42,NN18,"TDJ - D. brouweri, abundance at the low end of frequent; no D. triradiatus observed",G,D,A,,A,,,F,,,,,,,,,F,,C,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,15,H,6,W,98acdaaef1bedf574998ebd61c1ea0d8
363-U1486B-15H-CC-PAL-NANNO,0,5,139.17,139.22,NN18,AGSF - well-preserved C pelagicus (with bridge); C neohelis,G,C,A,,,,,F,F,,,,,,,,C,,C,,F,,,,C,,,,,,,,,F,,,P,,,R,,,,F,,P,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,363,U1486,B,15,H,CC,PAL,6347f3251b96985bd3e3443ce54d7485
363-U1486B-16H-CC-PAL-NANNO,0,5,148.89,148.94,NN18,TDJ - D. brouweri common; very rare reworked sphenolith. 1 D. pentaradiatus. D. triradiatus not seen. Lots of diatom and rad fragments.,G,D,C,,VA,,,C,C,,,R,,,,,F,,C,F,F,,,F,F,,,,,,,,,R,,R,,,,F,,,,C,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,16,H,CC,PAL,dcedfd5e0d928c0e6077b295e1d7c784
363-U1486B-17H-2-W 81/81-NANNO,0,0,150.81,150.81,NN18,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,17,H,2,W,0c57f13036a122c71fc719f275918d08
363-U1486B-17H-4-W 81/81-NANNO,0,0,153.81,153.81,NN18,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,17,H,4,W,038ee06c929bb88a8e125dbda52dca2e
363-U1486B-17H-6-W 81/81-NANNO,0,0,156.81,156.81,NN18,TDJ -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,17,H,6,W,4c776dc2e94bc94ba4a136811c1dda19
363-U1486B-17H-CC-PAL-NANNO,0,5,158.37,158.42,NN18,AGSF - with coccosphere; Discoasters very few; no D. pentaradiatus (TDJ checked) or triradiatus; abundant siliceous stuff; H princei present; C pelagicus well preserved,G,C,A,,P,,,C,C,,,A,,,,,F,,F,P,F,,,,R,,,,,,,,,P,P,,P,,,R,,,,R,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,363,U1486,B,17,H,CC,PAL,89c800a51fc6da3dc5ecfa7cd38082bd
363-U1486B-18H-2-W 21/21-NANNO,0,0,159.71,159.71,NN18,"TDJ - very rare discoasters, no D. pentaradiatus",G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,18,H,2,W,c5dcbb19ddbc3d1c05fc4a812dc3a29c
363-U1486B-18H-4-W 21/21-NANNO,0,0,162.71,162.71,NN18,"TDJ - no D. pentaradiatus observed; one D. asymmetricus, Frequent D. brouweri",G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,X,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,18,H,4,W,d7c9953fec8e833dfc851e85f685be3d
363-U1486B-18H-6-W 21/21-NANNO,0,0,165.71,165.71,NN17,TDJ - 3 D. pentaradiatus seen; discoasters not common (D. brouweri frequent).,G,D,A,,,,,C,C,,,C,,,,,F,,F,,F,,,,F,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,18,H,6,W,4dfb3c076afa7ebce1106956471cf15d
363-U1486B-18H-CC-PAL-NANNO,0,5,167.5,167.55,NN17,"TDJ - diverse and well preserved assemblage, including rare small holococcoliths",VG,D,VA,,,,,C,C,,,C,,,,,F,,F,,F,F,,,F,,,,,,,,,,F,,,,,F,,,,F,,,,,,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,18,H,CC,PAL,578570d4bb88af06eae9f085d622aea8
363-U1486B-19H-CC-PAL-NANNO,0,5,174.08,174.13,NN17,"AGSF - with coccosphere; C pelagicus common, abundant siliceous stuff. H princei few",G,C,A,,,,,C,C,,,A,,,,,C,,C,F,,,R,,F,,,,,,,,P,P,P,,,,,R,,,,P,,R,,,,,,,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,363,U1486,B,19,H,CC,PAL,e69fc15e0f2a4f969bbc06a7180caa4f
363-U1486B-20H-2-W 85/85-NANNO,0,0,179.35,179.35,NN17,TDJ - Dicoasters frequent but not common; dominate by D. brouweri with frequent D. pentaradiatus. No D. surculus observed.,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,20,H,2,W,3ad439337ea7c149290f5177ba0e8b22
363-U1486B-20H-4-W 85/85-NANNO,0,0,182.35,182.35,,TDJ - D. surculus present,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,20,H,4,W,c4f648840863c365591f2794e7f4d648
363-U1486B-20H-6-W 85/85-NANNO,0,0,185.35,185.35,NN16,"TDJ - one D. surculs, photographed",G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,20,H,6,W,d8d7e042954f1db82b2ad3e89f355408
363-U1486B-20H-CC-PAL-NANNO,0,5,186.95,187.0,NN16,"AGSF - well preserved C pelagicus; Discoasters mostly fragmented, very few",G,C,A,,,,,C,C,,,A,,,,,F,,C,R,,,F,,R,,R,,,,,,,,P,,P,,,R,,,,F,,R,,,,,,,,,,,R,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,20,H,CC,PAL,8864588e7ca2e40951ddb030a7af7b3a
363-U1486B-21H-6-W 45/45-NANNO,0,0,194.45,194.45,NN16,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,P,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,21,H,6,W,b5947af15ce2ad75ab50b0bfd7807a59
363-U1486B-21H-CC-PAL-NANNO,0,5,196.02,196.07,NN16,"AGSF - very few discoasters, mostly fragments",G,C,A,,,,,C,C,,,,,,,,F,,C,P,,,F,R,F,P,P,,,,,,,,P,,,,,P,,,,F,,R,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,21,H,CC,PAL,a8fa72a78fcb6dd4504764613097eefc
363-U1486B-22H-2-W 81/81-NANNO,0,0,198.31,198.31,NN16,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,22,H,2,W,14ee5ba97ad92f35e728c49aa6b2051a
363-U1486B-22H-6-W 81/81-NANNO,0,0,204.31,204.31,NN16,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,22,H,6,W,0282e23af920a706131f41ba44b1626b
363-U1486B-22H-CC-PAL-NANNO,0,5,205.74,205.79,NN16,"TDJ - low abundance, and moderate preservation; 1 ?D. variabilis - 6-rayed form with wide central area boss. Image taken. Searched hard in concentrated <20um fraction, dominated by D. brouweri, few D. pentaradiatus, but no D. surculus. Are several D. brouweri with very thickened ray tips.",M,F,C,,,,,F,,,,C,,,,,F,,F,R,,F,R,,F,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,F,P,,R,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,22,H,CC,PAL,af25fe434014f1f74b97bf537bf0f6f6
363-U1486B-23H-1-W 40/40-NANNO,0,0,205.9,205.9,NN16,"TDJ - no D. surculus seen, but worth rechecking",M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,23,H,1,W,a6a143dbbc61f84c1bc0e3cab3bf9cf4
