Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Hemiaulus altus,Hemiaulus angustobrachiatus,Hemiaulus caracteristicus,Hemiaulus danicus,Hemiaulus dissimilis,Hemiaulus grassus,Hemiaulus incisus,Hemiaulus inequilaterus,Hemiaulus peripterus,Hemiaulus polycystinorum,Hemiaulus polymorphus var. morsianus,Hemiaulus rectus var. twista,Hemiaulus sp.,Hemiaulus stilwelli,Hemiaulus subacutus,Hemiaulus taurus,Hemidiscus cuneiformis,Hemidiscus karstenii,Hemidiscus karstenii f.1,Hercotheca sp.,Hyalodiscus sp.,Ikebea tenuis,Kannoa hastata,Kannoa sp.,Kisseleviella carina,Kisseleviella cicatricata,Kisseleviella ezoensis,Kisseleviella faballiforma,Kisseleviella gaster,Kisseleviella sp.,Kisseleviella tricoronata,Kisselviella magnaareolata,Liradiscus ovalis,Lisitzinia ornata,Lithodesmium minusculum,Navicula directa,Navicula spp.,Navicula wisei,Naviculata udintsevii,Neobrunia mirabilis,Nitzschia denticuloides,Nitzschia efferans,Nitzschia grossepunctata,Nitzschia miocenica,Nitzschia sicula,Nitzschia sp. 17,Nitzschia spp.,Odontella spp.,Paralia sulcata,Paralia sulcata var. crenulata,Porosira glacialis,Porosira pseudodenticulata,Porotheca danica,Proboscia barboi,Proboscia ?cretacea,Proboscia curvirostris,Proboscia inermis,Proboscia sp,Pseudopodosira sp.,Pseudopyxilla spp.,Pseudotriceratium radiosoreticulatum,Pterotheca aculeifera,Pterotheca sp. A of Scherer et al. 2001,Pyrgupyxis eocena,Pyxilla prolongata,Pyxilla sp.,Pyxilla reticulata,Raphidodiscus marylandicus,Rhabdonema spp.,Rhaphoneis amphiceros,Rhaphoneis spp.,Rhizosolenia antarctica,Rhiozosolenia antennata var. antennata,Rhizosolenia antennata var. semispina,Rhizosolenia costata,Rhizosolenia fidicularis,Rhizosolenia harwoodii,Rhizosolenia hebetata,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia simplex,Rhizosolenia sp. B,Rhizosolenia sp. D sensu Olney et al 2007,Rhizosolenia oligocaenica,Rhizosolenia spp.,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella semigelida,Rocella vigilans var. A,Rocella vigilans var. B,Roperia tesselata,Rossiella fennerae,Rossiella symmetrica,Rouxia antarctica,Rouxia californica,Rouxia constricta,Rouxia diploneides,Rouxia heteropolara,Rouxia isopolica,Rouxia leventerae,Rouxia naviculoides,Rouxia peragalli,Rouxia sp. 2 of Gersonde and Burckle,Rouxia spp.,Rouxia sp. spatulate long heteropolar (MIS),Rylandsia biradiata,Sceptroneis lingulatus,Sceptroneis pesplanus,Sceptroneis sp.,Shionodiscus gracilis var. expectus,Shionodiscus sp. Exp 318,Sceptroneis sp. (small),Shionodiscus gracilis var. gracilis,Shionodiscus oestrupii,Shionodiscus tetraoestrupii,Shionodiscus tetraoestrupii var. reimeri,Skeletonema penicillus,Skeletonema utriculosa,"""Skeletonema"" utriculosa",Skeletonemopsis barbabadensis,Skeletonemopsis mahoodii,Skeletonemopsis and Skeletonema grp,Sphynctolethus pacificus,Stellarima microtrias,Stellarima stellaris,Stephanonycites coronis,Stephanonycites tabularis,Stephanonycites variegatus,Stephanopyxis grunowii,Stephanopyxis spp.,Stictodiscus hardmanianus,Stictodiscus kittonianus,Syndendrium rugosum,Synedropsis cheethamii,Synedropsis sp.,Synedropsis sp. C,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassiosira frauenfeldii,Thalassiosira antarctica,Thalassiosira complicata,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica,Thalassiosira elliptipora,Thalassiosira fasciculata,Thalassiosira gravida,Thalassiosira insigna,Thalassiosira insigna/inura trans,Thalassiosira inura,Thalassiosira aff. Inura,Thalassiosira jacksonii,Thalassiosira kolbei,Thalassiosira lentiginosa,Thalassiosira lentiginosa var. obovatus,Thalassiosira lineata,Thalassiosira mahoodii,Thalassiosira miocenica,Thalassiosira nansenii,Thalassiosira nativa,Thalassiosira oliverana,Thalassiosira oliverana var. sparsa,Thalassiosira poroseriata,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira sp.,Thalassiosira spp.,Thalassiosira striata,Thalassiosira teres,Thalassiosira torokina,Thalassiosira trifulta,Thalassiosira tumida,Thalassiosira vulnifica,Thalassiosira yabei,Thalassiosira webbii,Thalassiothrix antarctica,Thalassiothrix flaugenferdii,Thalassiothrix longissima,Thalassiothrix miocenica,Triceratium inconspicuum var. trilobata,Triceratium kanayae,Triceratium kanayae var. quadriloba,Triceratium pileus,Triceratium pulvinar,Triceratium unguiculatum,Trichotoxon reinboldii,Trinacria cornuta,Trinacria excavata,Trinacria simulacrum,Trinacria spp.,Trochosira coronata,Trochosira spinosa,Tubaformis unicornis,Vallodiscus sp.,Vallodiscus lanceolatus,Xanthiopyxis sp.,Nitzschia denticuloides var. M,Trochosira spp.,eodp_id
318-U1359A-9H-CC-PAL-DIAT2,318,U1359,A,9,9-CC,H,CC,PAL,DIAT2,0,5,75.75,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce0538161ad3599f6297ce8161285134
318-U1359A-10H-CC-PAL-DIAT1,318,U1359,A,10,10-CC,H,CC,PAL,DIAT1,0,5,86.51,86.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,R,,,,,,,,,,,X,,,,,,,X?,,F,R,,,,,,,,,,X,,,,,,,,,X,,,,,,F,,,,,,,,,,,,X,,,,,,,,,,,cff570ab7e30d515d49e30795618c8f3
318-U1359A-11H-CC-PAL-DIAT1,318,U1359,A,11,11-CC,H,CC,PAL,DIAT1,0,5,95.17,95.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69737703538eaa48f841f05e4a1bccec
318-U1359A-12H-CC-PAL-DIAT1,318,U1359,A,12,12-CC,H,CC,PAL,DIAT1,0,5,104.84,104.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,F-C,,R,,,,,,,,,,,,,,F,,,,,,,,F,,,F,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,5a6b5fde15d681d739e0a4ade67ffe93
318-U1359A-13H-3-W 90/90-DIAT-DIAT,318,U1359,A,13,13-3,H,3,W,90/90-DIAT-DIAT,0,0,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,F,,,,,,,,,,,,,,X,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,F-C,,,,,,,,,,,,X,,,,,,,,,,,1c558725c58aae661c295e7b8135c6ca
318-U1359A-13H-5-W 30/30-DIAT-DIAT,318,U1359,A,13,13-5,H,5,W,30/30-DIAT-DIAT,0,0,111.4,111.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,X,,R,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,X,,,,,,,,X,X,,,,,,F-C,,,,,,,,,,,,,,,,,,,,,,,a4008f8c971fc12f6e3c6e4d85d2cda0
318-U1359A-13H-5-W 90/90-DIAT-DIAT,318,U1359,A,13,13-5,H,5,W,90/90-DIAT-DIAT,0,0,112.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,b66ea5063f4a2497cf318efca7cf57e3
318-U1359A-13H-CC-PAL-DIAT1,318,U1359,A,13,13-CC,H,CC,PAL,DIAT1,0,5,115.0,115.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,714f05fbe7f635a5967ef41972508c9a
318-U1359A-14H-CC-PAL-DIAT1,318,U1359,A,14,14-CC,H,CC,PAL,DIAT1,0,5,124.21,124.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,e044006a8517996460b44c7fb3867f21
318-U1359A-14H-CC-PAL-DIAT2,318,U1359,A,14,14-CC,H,CC,PAL,DIAT2,0,5,124.21,124.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,R-F,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,R,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,X,,,,,,,,,,,886a3d66682640e96ff5669bd5442350
318-U1359A-15H-CC-PAL-DIAT4,318,U1359,A,15,15-CC,H,CC,PAL,DIAT4,0,5,133.645,133.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708fbe0fe00b70061ee7d9ecedb78b19
318-U1359A-16H-CC-PAL-DIAT4,318,U1359,A,16,16-CC,H,CC,PAL,DIAT4,0,0,135.745,135.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,73ed31694f9a68ea13222e10bad448a6
318-U1359A-17H-CC-PAL-DIAT3,318,U1359,A,17,17-CC,H,CC,PAL,DIAT3,0,2,145.41,145.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,cf0c2ae479ce5bd32e0b53438899aaae
318-U1359A-17H-CC-PAL-DIAT3,318,U1359,A,17,17-CC,H,CC,PAL,DIAT3,0,5,145.41,145.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f5caff4604d611d913df8d53309f718
318-U1359A-18X-CC-PAL-DIAT1,318,U1359,A,18,18-CC,X,CC,PAL,DIAT1,0,5,153.915,153.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,R,,,,X,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,X,R,,,,,,F,,,,,,,,,,X,,X,,,,,,,,,,,266fda286611b1f50522d25a2b0d9ee8
318-U1359A-18X-CC-PAL-DIAT4,318,U1359,A,18,18-CC,X,CC,PAL,DIAT4,0,5,153.915,153.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,1882232479f3457c00fa8bf61be8e916
318-U1359A-19X-CC-PAL-DIAT3,318,U1359,A,19,19-CC,X,CC,PAL,DIAT3,0,5,161.835,161.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,R,X,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,R,,R,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,R,,,,,,R,,,X,,,,,,,,,,,,,,,,,,,,6cae3d3422763099370dda0639871430
318-U1359A-21X-3-W 31/32-DIAT1,318,U1359,A,21,21-3,X,3,W,31/32-DIAT1,0,1,177.51,177.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X?,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,X,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,debad47c33d8e1d2b78b259bba9dbdc8
318-U1359A-21X-3-W 31/32-DIAT2,318,U1359,A,21,21-3,X,3,W,31/32-DIAT2,0,1,177.51,177.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,R,,,X?,,,,,,,,,X,,,,,,,,,,,8659de47742257eb183d93563550265e
318-U1359A-22X-CC-PAL-DIAT1,318,U1359,A,22,22-CC,X,CC,PAL,DIAT1,0,5,190.205,190.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,cbac573f14788df1b01757e14d02f6d4
318-U1359A-22X-CC-PAL-DIAT2,318,U1359,A,22,22-CC,X,CC,PAL,DIAT2,0,5,190.205,190.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,X,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,dbfd037974486bb466c5c025764799c2
