Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis lauta,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2,eodp_id
318-U1356A-16R-CC-PAL-DIAT3,318,U1356,A,16,16-CC,R,CC,PAL,DIAT3,0,2.0,143.52,143.54,C-A,M,M,,,,,,,,,,F,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,F,,F-C,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,bbe912513164c0d9d8a9f6041355c658
318-U1356A-17R-3-W 62/62-DIAT-DIAT,318,U1356,A,17,17-3,R,3,W,62/62-DIAT-DIAT,0,0.0,156.62,156.62,A,M,G,,,,,,,,,,F,R,,R?,,X,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,X,,,,R-F,,,,,,,,,,,,,,,R-F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,4826e9baa5dc9d75eb0c942d4bd915db
318-U1356A-17R-CC-PAL-DIAT1,318,U1356,A,17,17-CC,R,CC,PAL,DIAT1,0,5.0,158.79,158.84,,M,G,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,F,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,A,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204ef0f6fb71a00e21731eafa2727b53
318-U1356A-18R-CC-PAL-DIAT1,318,U1356,A,18,18-CC,R,CC,PAL,DIAT1,0,0.0,166.23,166.23,C,M,M,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd7e3ea5cc4fe8b108a061c68ab0254b
318-U1356A-19R-CC-PAL-DIAT3,318,U1356,A,19,19-CC,R,CC,PAL,DIAT3,0,0.0,179.68,179.68,A,M,G,,,,,,,,,,C,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,F,,,,,,,,,,,,F,,,,,X,,F,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd20554b6e809fc8a11d1de34426a761
318-U1356A-20R-CC-PAL-DIAT1,318,U1356,A,20,20-CC,R,CC,PAL,DIAT1,0,0.0,184.61,184.61,C,M,M,,,,,,,,,,F-C,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,R,,X,,,,,,,,,,,,,,,,,,,,,X,,,,X,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,X,,32c83b0eca52dcaa5752b868fb7c5c3b
318-U1356A-21R-CC-PAL-DIAT4,318,U1356,A,21,21-CC,R,CC,PAL,DIAT4,0,0.0,193.79,193.79,,M,G,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,C,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcbe4f05825a838acee06177b7b3fe8b
318-U1356A-22R-CC-PAL-DIAT4,318,U1356,A,22,22-CC,R,CC,PAL,DIAT4,0,0.0,203.91,203.91,A,M,M,,,,,,,,,,F-C,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16e8bb58c48f4fb4e8aaae84259156dc
318-U1356A-23R-CC-PAL-DIAT3,318,U1356,A,23,23-CC,R,CC,PAL,DIAT3,0,0.0,212.015,212.015,C,M,G,,,,,,,,,,A,X,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1d20cd9224f039ab22de90edca4b268
318-U1356A-24R-CC-PAL-DIAT4,318,U1356,A,24,24-CC,R,CC,PAL,DIAT4,0,0.0,222.01,222.01,C,M,G,,,,,,,,,,R,,,,,R,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-C,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,f6df26c583accbbf8a2402f653cec4f9
318-U1356A-25R-CC-PAL-DIAT2,318,U1356,A,25,25-CC,R,CC,PAL,DIAT2,0,0.0,229.9,229.9,C,M,G,,,,,,,,,,F,X,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,781ac055769a515ef8961ef5d7c9a02f
318-U1356A-26R-CC-PAL-DIAT2,318,U1356,A,26,26-CC,R,CC,PAL,DIAT2,0,5.0,239.955,240.005,,M,G,,,,,,,,,,F,X,,,,R,,,,X?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,R,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,X,R,,,,,,,,,,,,,X,R,,R,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,R,,f0eb8aca828591676e88eef6b18ac4b1
318-U1356A-27R-CC-PAL-DIAT4,318,U1356,A,27,27-CC,R,CC,PAL,DIAT4,0,3.0,248.9,248.93,A,M,G,,,,,,,,,,F,X,,,,,,,,,,F,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,X,F,,,,,,,,,,,,,X,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,d1a5f5c40878b0730f6a7a05a601ab81
318-U1356A-28R-CC-PAL-DIAT2,318,U1356,A,28,28-CC,R,CC,PAL,DIAT2,0,3.0,258.56,258.59,A,M,G,,,,,,,,,,,X,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,R,,,,,,,,,,,,X,,,,,,,,,,,,R,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,F,,1eefcdceadbc07b7a9b982e081d59d9e
318-U1356A-29R-CC-PAL-DIAT1,318,U1356,A,29,29-CC,R,CC,PAL,DIAT1,0,2.0,268.18,268.2,C,M,G,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,F,X,R,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7bc236e1b2ad4f4159bf47f1bf3a869c
318-U1356A-30R-CC-PAL-DIAT1,318,U1356,A,30,30-CC,R,CC,PAL,DIAT1,0,3.0,285.245,285.275,C,M,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,R,,520abc1a06f28b3c3b4db2c0fe21f3af
318-U1356A-31R-CC-PAL-DIAT2,318,U1356,A,31,31-CC,R,CC,PAL,DIAT2,0,2.0,287.06,287.08,,M,G,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,X,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,X,X,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,F,,751f4d78d5b00296e5e363238efa023e
318-U1356A-33R-CC-PAL-DIAT1,318,U1356,A,33,33-CC,R,CC,PAL,DIAT1,0,3.0,307.64,307.67,C,M,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,ce543845c6e615626a3d4ecf0e635c7b
318-U1356A-34R-2-W 55/55-DIAT1,318,U1356,A,34,34-2,R,2,W,55/55-DIAT1,0,0.0,317.95,317.95,C,M,G,,,,,,,,,,X,,,,,X,,,,X,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,C,,X,,,,X,X,,,,,,,,,,,,,,,,R,,,,,,X,,,,,,,C,,,,,,,,,,,,,X,X,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,ebd63319f042d85438ff987f85f66122
318-U1356A-34R-CC-PAL-DIAT3,318,U1356,A,34,34-CC,R,CC,PAL,DIAT3,0,3.0,321.13,321.16,F-C,M,G,,,,,,,,,,R,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7584ec4fd66d83bf3c3d121e849faa6d
318-U1356A-35R-2-W 119/119-DIAT1,318,U1356,A,35,35-2,R,2,W,119/119-DIAT1,0,0.5,328.185,328.19,C,M,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5897998bc3b69ae2604749b6bff1beda
318-U1356A-35R-2-W 119/119-DIAT2,318,U1356,A,35,35-2,R,2,W,119/119-DIAT2,0,0.5,328.185,328.19,C,M,G,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,R,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539f36b85394489832958986c7947002
318-U1356A-35R-CC-PAL-DIAT1,318,U1356,A,35,35-CC,R,CC,PAL,DIAT1,0,0.0,331.44,331.44,C,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,8ac5a7aa91734acebaf8ebc17390e665
318-U1356A-36R-CC-PAL-DIAT2,318,U1356,A,36,36-CC,R,CC,PAL,DIAT2,0,0.0,335.12,335.12,F-C,M,G,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87dd583a699db3c3734b873ab31ba339
318-U1356A-37R-CC-PAL-DIAT3,318,U1356,A,37,37-CC,R,CC,PAL,DIAT3,0,0.0,344.8,344.8,A,M,G,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba35feb1730ac2ea70c053fac8df4978
318-U1356A-38R-CC-PAL-DIAT1,318,U1356,A,38,38-CC,R,CC,PAL,DIAT1,0,0.0,354.05,354.05,F-C,M,G,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,F-C,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153fc0a55556242623183fa9920f74d
318-U1356A-39R-1-W 85/85-DIAT1,318,U1356,A,39,39-1,R,1,W,85/85-DIAT1,0,0.0,364.445,364.445,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e2e9f6c4711e2882aeca972020dceb14
318-U1356A-39R-1-W 85/85-DIAT4,318,U1356,A,39,39-1,R,1,W,85/85-DIAT4,0,0.0,364.445,364.445,A,M,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,X,,,,,,,,,R,,,,,,,,,,,X,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,c5dca6f8c91ac5a8299a8378cadc79a2
318-U1356A-40R-1-W 57/58-DIAT3,318,U1356,A,40,40-1,R,1,W,57/58-DIAT3,0,1.0,373.77,373.78,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a96920f83d8e5957c3291dfedd08b9fe
318-U1356A-41R-CC-PAL-DIAT4,318,U1356,A,41,41-CC,R,CC,PAL,DIAT4,0,0.0,386.95,386.95,C,M,G,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,,,,,,,,R,,,,,,,,,,,,X,,,,,,,,,,,,,R,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,fbddd5f956dde328500bd74cbb4ea1e1
318-U1356A-42R-CC-PAL-DIAT4,318,U1356,A,42,42-CC,R,CC,PAL,DIAT4,0,5.0,394.41,394.46,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc290cd413e9ee2af00c0937cd090227
318-U1356A-43R-CC-PAL-DIAT4,318,U1356,A,43,43-CC,R,CC,PAL,DIAT4,0,5.0,404.84,404.89,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18a19672d11a430eab11e3c0a45d1cac
318-U1356A-44R-1-W 41/41-DIAT3,318,U1356,A,44,44-1,R,1,W,41/41-DIAT3,0,0.0,412.01,412.01,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d87c1af0238df7e264bf6b424f663f95
318-U1356A-44R-CC-PAL-DIAT2,318,U1356,A,44,44-CC,R,CC,PAL,DIAT2,0,3.0,412.55,412.58,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f663a38be5723b6a4a6ce411401360f
318-U1356A-45R-CC-PAL-DIAT1,318,U1356,A,45,45-CC,R,CC,PAL,DIAT1,0,5.0,422.27,422.32,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955da69ec8ec96d246eb978b138f4f6a
318-U1356A-46R-1-W 26/26-DIAT,318,U1356,A,46,46-1,R,1,W,26/26-DIAT,0,0.0,431.06,431.06,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677704be271f704d719fd084e4cfa526
318-U1356A-46R-CC-PAL-DIAT1,318,U1356,A,46,46-CC,R,CC,PAL,DIAT1,0,0.0,434.66,434.66,X,P,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442413457072eda454e41b05982f47c4
318-U1356A-47R-3-W 24/25-DIAT3,318,U1356,A,47,47-3,R,3,W,24/25-DIAT3,0,1.0,443.56,443.57,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36c4a8f75bb46d375c386cd0a0a04e74
318-U1356A-47R-CC-PAL-DIAT2,318,U1356,A,47,47-CC,R,CC,PAL,DIAT2,0,0.0,445.99,445.99,B,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f82c7bf9e4d85484b105334c46f061b6
318-U1356A-48R-CC-PAL-DIAT1,318,U1356,A,48,48-CC,R,CC,PAL,DIAT1,0,0.0,453.98,453.98,X,P,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66d7619fe20d9b78643800c71c9ff58b
318-U1356A-49R-CC-PAL-DIAT4,318,U1356,A,49,49-CC,R,CC,PAL,DIAT4,0,0.0,460.05,460.05,,P,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632c61247c6f4c43137fc77f6538c0f6
