Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira spp.,Thalassionema spp.,Rossiella symmetrica,Rocella vigilans,Rhaphoneis sp.,Melosira architecturalis,Hemiaulus sp.,Hemiaulus longicornis,Diatom resting spores,Coscinodiscus spp.,Coscinodiscus rhombicus,Cestodiscus spp.,Cestodiscus sp. 4,Cestodiscus japonicus,Azpeitia tabularis,Thalassiosira sp.,Thalassiosira media/convexa,Synedra jouseana,Sceptroneis sp.,Rouxia quadrangula,Rhizosolenia sp. aff. alata,Hemiaulus subacutus,Grammatophora sp.,Ethmodiscus sp.,Coscinodiscus marginatus,Coscinodiscus lewisianus var. rhomboides,Baxteriopsis brunii,Azpeitia spp.,Azpeitia oligocenica,Asteromphalus oligocenicus,Actinocyclus senarius,Rocella princeps,Cestodiscus sp. 3,Bogorovia veniamini / Rossiella symmetrica,Bogorovia veniamini,Azpeitia aff. Thalassiosira bukryi,Asterolampra sp.,Asterolampra aff. acutiloba,Stephanopyxis sp.,Asteromphalus sp.,Asterolampra marylandica,Melosira granulata s.l. (freshwater),Hemiaulus sp. 1,Stellarima sp.,Dimerogramma sp. aff. D. fulvum,Craspedodiscus barronii,Lisitzinia ornata,Coscinodiscus lewisianus,Azpeitia salisburyana,Azpeitia praenodulifera,Rhizosolenia sp. aff. Rhizosolenia hebetata,Cestodiscus kugleri,Thalassiosira primalabiata,Thalassiosira aff. irregulata,Rossiella paleacea,Raphidodiscus marylandicus,Cestodiscus ovalis,Rossiella magna,Actinocyclus octonarius,Azpeitia nodulifer var.,Asterolampra insignis group,Thalassiosira spinosa,Thalassiosira leptopus,Craspedodiscus elegans,Thalassiosira spumellaroides,Thalassiosira sp. aff. T. fraga (fine),Paralia sulcata,Bogorovia sp. 1 (small forms),Rhizosolenia firma,Craspedodiscus elegans var. assymmetricus,Bacteriastrum sp.,Actinocyclus aff. ellipticus,Cestodiscus sp. 1,Nitzschia pusilla,Thalassiosira fraga,Coscinodiscus sawamurae,Nitzschia aff. maleinterpretaria,Thalassiothrix longissima,Thalassionema nitzschioides,Rhizosolenia bergonii,Nitzschia fossilis,Freshwater diatoms,Ethmodiscus rex,Thalassiosira oestrupii,Thalassiosira lineata (group),Thalassiosira eccentrica,Thalassiosira convexa var. aspinosa,Thalassionema nitzschioides  var. parva,Thalassionema bacillaris,Rhizosolenia praebergonii var. robusta,Rhizosolenia praebergonii var. praebergonii,Nitzschia reinholdii,Nitzschia marina,Nitzschia interrupta,Hemidiscus cuneiformis,Azpeitia nodulifer,Azpeitia africana,Actinocyclus ellipticus,Dictyocha spp.,Benthic diatoms,Triceratium cinnamomeum,Cyclotella sp.,Coscinodiscus spp.,Asteromphalus arachne,Asteromphalus aff. hepactis,Rhizosolenia styliformis,Pseudoeunotia doliolus,Phytholiths (unspecified taxon),Nitzschia sicula,Roperia tesselata,Thalassiosira lacustris (group),Actinocyclus curvatulus,Rhizosolenia alata,Azpeitia endoi,Actinocyclus ellipticus var. elongatus,Actinocyclus spp.,Comment
  SR,                 ,                 ,                  ,              ,121, 758,A,  3,H, 6,  67.00,     23.7700,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,R                ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,R                ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,F                 ,                  ,C              ,C                      ,                             ,F                       ,                                   ,F                                      ,C                       ,R                                     ,R                                          ,C                   ,C               ,R                   ,C                     ,C                 ,F                ,                       ,F             ,               ,F                      ,              ,                  ,                     ,                           ,R                       ,R                     ,                               ,                ,R                ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  3,H,CC,  25.00,     25.5500,Fourtanier,Diatoms                                      ,R              ,P                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,                  ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,                      ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,R                    ,                  ,                  ,C              ,R                      ,                             ,                        ,                                   ,R                                      ,F                       ,F                                     ,R                                          ,F                   ,F               ,                    ,R                     ,                  ,                 ,                       ,F             ,               ,                       ,              ,R                 ,                     ,                           ,                        ,                      ,R                              ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  4,H, 1,  65.00,     25.8500,Fourtanier,Diatoms                                      ,F              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,F                          ,F                    ,F                 ,                  ,F              ,C                      ,                             ,R                       ,                                   ,R                                      ,C                       ,F                                     ,                                           ,F                   ,C               ,F                   ,R                     ,F                 ,F                ,                       ,F             ,R              ,                       ,              ,                  ,                     ,F                          ,R                       ,F                     ,R                              ,R               ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  4,H, 2,  66.00,     27.3600,Fourtanier,Diatoms                                      ,F              ,M                 ,R                 ,                  ,                    ,                ,              ,                        ,             ,                     ,F                    ,                  ,                       ,                ,                 ,                     ,R                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,F                    ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,C                          ,R                    ,C                 ,R                 ,C              ,F                      ,R                            ,F                       ,                                   ,                                       ,C                       ,F                                     ,R                                          ,R                   ,C               ,C                   ,                      ,                  ,F                ,                       ,              ,F              ,F                      ,              ,                  ,                     ,R                          ,                        ,                      ,R                              ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked(?) marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  4,H, 3,  65.00,     28.8500,Fourtanier,Diatoms                                      ,R              ,P                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,R                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,F                          ,R                    ,?                 ,R                 ,F              ,                       ,                             ,                        ,                                   ,                                       ,R                       ,R                                     ,R                                          ,R                   ,F               ,R                   ,                      ,R                 ,R                ,                       ,R             ,R              ,                       ,              ,R                 ,                     ,                           ,R                       ,R                     ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  4,H, 4,  66.00,     30.3600,Fourtanier,Diatoms                                      ,C              ,MG                ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,F                    ,                  ,                       ,                ,                 ,                     ,R                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,R                    ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,R                ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,R                    ,C                 ,                  ,C              ,C                      ,                             ,F                       ,                                   ,R                                      ,C                       ,R                                     ,R                                          ,R                   ,C               ,C                   ,F                     ,F                 ,F                ,                       ,F             ,R              ,F                      ,R             ,R                 ,R                    ,R                          ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  4,H, 5,  65.00,     31.8500,Fourtanier,Diatoms                                      ,R              ,P                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,                  ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,                      ,                      ,                            ,                                      ,R              ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,R                          ,R                    ,R                 ,                  ,R              ,                       ,                             ,                        ,                                   ,                                       ,                        ,R                                     ,R                                          ,R                   ,                ,                    ,R                     ,R                 ,                 ,                       ,R             ,R              ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  4,H,CC,  24.00,     35.2000,Fourtanier,Diatoms                                      ,F              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,R                    ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,F                          ,F                    ,F                 ,R                 ,C              ,F                      ,F                            ,F                       ,F                                  ,R                                      ,C                       ,R                                     ,R                                          ,R                   ,C               ,F                   ,F                     ,F                 ,F                ,R                      ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  5,H, 1,  65.00,     35.4500,Fourtanier,Diatoms                                      ,R              ,P                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,                  ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,                      ,                      ,                            ,                                      ,R              ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,R                          ,R                    ,R                 ,R                 ,R              ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 16,X,CC,   0.00,    146.8900,Fourtanier,Diatoms                                      ,R              ,P                 ,F                 ,R                 ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,R                 ,                 ,                           ,F               ,               ,                  ,                           ,R                  ,                 ,F              ,F                       ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,?                  ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,F             ,                               ,                       ,                 ,                        ,                     ,                       ,R                                          ,                   ,                          ,                             ,R                 ,R                         ,                  ,               ,                       ,                       ,                           ,R                    ,R                     ,                      ,                            ,                                      ,               ,R                            ,                  ,                                         ,                 ,                            ,                 ,R                ,R                  ,R                      ,R                               ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 17,X, 1,  65.00,    151.3500,Fourtanier,Diatoms                                      ,F              ,M                 ,C                 ,C                 ,?                   ,                ,              ,                        ,F            ,                     ,R                    ,F                 ,F                      ,F               ,                 ,                     ,F                 ,                 ,                           ,C               ,               ,R                 ,                           ,R                  ,                 ,R              ,R                       ,                                        ,                   ,F            ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,R                                 ,R               ,                           ,                 ,                 ,R                       ,R                                   ,               ,              ,                               ,R                      ,                 ,                        ,                     ,R                      ,                                           ,                   ,                          ,R                            ,                  ,                          ,R                 ,               ,                       ,                       ,                           ,R                    ,                      ,?                     ,R                           ,F                                     ,               ,R                            ,                  ,?                                        ,                 ,R                           ,R                ,                 ,R                  ,R                      ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 17,X, 2,  65.00,    152.8500,Fourtanier,Diatoms                                      ,F              ,P                 ,F                 ,F                 ,                    ,                ,              ,?                       ,             ,F                    ,                     ,F                 ,                       ,F               ,                 ,                     ,                  ,                 ,                           ,F               ,               ,                  ,                           ,                   ,                 ,F              ,                        ,                                        ,                   ,F            ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,?                                 ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,R                      ,                 ,R                       ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,R                    ,                      ,                      ,                            ,                                      ,               ,R                            ,                  ,                                         ,                 ,R                           ,                 ,R                ,F                  ,R                      ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 17,X, 3,  65.00,    154.3500,Fourtanier,Diatoms                                      ,F              ,M                 ,F                 ,F                 ,                    ,                ,              ,                        ,             ,                     ,R                    ,F                 ,R                      ,F               ,                 ,                     ,R                 ,                 ,                           ,C               ,               ,R                 ,                           ,R                  ,R                ,R              ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,R                                 ,                ,                           ,                 ,                 ,R                       ,                                    ,               ,              ,                               ,                       ,                 ,R                       ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,R                         ,R                 ,R              ,                       ,                       ,                           ,                     ,                      ,                      ,                            ,F                                     ,               ,R                            ,R                 ,                                         ,                 ,?                           ,                 ,                 ,R                  ,                       ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 17,X,CC,  28.00,    156.2900,Fourtanier,Diatoms                                      ,F              ,M                 ,F                 ,C                 ,R                   ,                ,              ,R                       ,             ,                     ,R                    ,R                 ,F                      ,F               ,                 ,R                    ,                  ,                 ,                           ,F               ,               ,                  ,                           ,F                  ,                 ,F              ,                        ,                                        ,                   ,R            ,                    ,                          ,                     ,                ,R                ,                                          ,R                  ,F                                 ,                ,                           ,R                ,                 ,                        ,R                                   ,               ,              ,                               ,                       ,                 ,                        ,R                    ,R                      ,                                           ,                   ,                          ,                             ,R                 ,                          ,                  ,F              ,                       ,                       ,                           ,R                    ,                      ,                      ,?                           ,                                      ,               ,                             ,                  ,                                         ,                 ,R                           ,R                ,R                ,                   ,                       ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 18,X, 1,  65.00,    161.0500,Fourtanier,Diatoms                                      ,F              ,M                 ,F                 ,F                 ,F                   ,                ,              ,                        ,             ,                     ,R                    ,F                 ,R                      ,F               ,                 ,F                    ,R                 ,                 ,                           ,C               ,               ,R                 ,R                          ,F                  ,                 ,R              ,                        ,                                        ,                   ,F            ,                    ,R                         ,                     ,                ,R                ,                                          ,?                  ,                                  ,                ,                           ,                 ,                 ,R                       ,                                    ,               ,              ,R                              ,R                      ,                 ,R                       ,R                    ,R                      ,R                                          ,                   ,R                         ,                             ,F                 ,R                         ,F                 ,F              ,R                      ,                       ,                           ,R                    ,                      ,?                     ,                            ,                                      ,R              ,                             ,                  ,                                         ,                 ,                            ,R                ,                 ,                   ,                       ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 18,X, 3,  65.00,    164.0500,Fourtanier,Diatoms                                      ,C              ,G                 ,                  ,C                 ,R                   ,                ,              ,R                       ,             ,                     ,R                    ,R                 ,F                      ,F               ,                 ,F                    ,                  ,F                ,                           ,F               ,               ,R                 ,                           ,F                  ,R                ,R              ,R                       ,                                        ,                   ,F            ,                    ,R                         ,R                    ,                ,F                ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,F                       ,R                                   ,               ,              ,R                              ,                       ,                 ,                        ,R                    ,                       ,                                           ,                   ,                          ,                             ,F                 ,                          ,F                 ,R              ,                       ,                       ,                           ,?                    ,                      ,                      ,                            ,                                      ,               ,                             ,                  ,R                                        ,                 ,                            ,R                ,                 ,                   ,                       ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A, 18,X, 4,  65.00,    165.5500,Fourtanier,Diatoms                                      ,A              ,MG                ,F                 ,C                 ,F                   ,                ,              ,                        ,F            ,R                    ,F                    ,                  ,C                      ,F               ,                 ,                     ,                  ,                 ,                           ,A               ,               ,R                 ,                           ,                   ,                 ,F              ,R                       ,                                        ,                   ,             ,?                   ,?                         ,R                    ,                ,                 ,                                          ,F                  ,                                  ,                ,                           ,                 ,                 ,F                       ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,R                                          ,                   ,                          ,                             ,F                 ,                          ,F                 ,               ,                       ,F                      ,                           ,                     ,F                     ,                      ,R                           ,                                      ,               ,                             ,                  ,R                                        ,R                ,R                           ,                 ,                 ,                   ,                       ,                                ,                         ,                           ,                     ,                  ,                  ,               ,                       ,                             ,                        ,                                   ,                                       ,                        ,                                      ,                                           ,                    ,                ,                    ,                      ,                  ,                 ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,                        ,                      ,                               ,                ,                 ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 3 p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
