Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica,Sphenolithus abies,Discoaster variabilis,Discoaster brouweri,Discoaster bellus,Calcidiscus leptoporus,Reticulofenestra minutula,Discoaster quinqueramus,Discoaster surculus,Helicosphaera carteri,Discoaster pentaradiatus,Coccolithus pelagicus,Reticulofenestra minuta,Discoaster sp. (6-rayed),Triquetrorhabdulus rugosus,Scyphosphaera amphora,Helicosphaera sellii,Discolithina japonica,Discoaster neohamatus,Discoaster berggrenii,Cyclolithella protoannula,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus amplificus,Discoaster neorectus,Helicosphaera granulata,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus sp.,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Ceratolithus cristatus,Calcidiscus tropicus,Umbilicosphaera sibogae,Pontosphaera discopora,Helicosphaera neogranulata,Rhabdosphaera clavigera,Thoracosphaera sp.,Ceratolithus rugosus,Syracosphaera pulchra,Discoaster brouweri (3 ray),Gephyrocapsa oceanica s.l.,Helicosphaera wallichii,Discolithina sp.,Gephyrocapsa caribbeanica,Florisphaera sp.,Emiliania huxleyi,Cyclolithella annula,Comment
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 19,X, 1, 125.00,    166.9500,Gartner  ,Nannofossils                                 ,               ,                  ,R                              ,F                 ,R                    ,C                  ,                 ,                      ,A                        ,                       ,                   ,F                    ,C                       ,C                    ,A                      ,                        ,                          ,                     ,R                   ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,                         ,                      ,R                   ,                       ,                      ,F                         ,R                      ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 19,X, 2,  10.00,    167.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,F                  ,                 ,F                     ,C                        ,                       ,T                  ,F                    ,F                       ,C                    ,C                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,                         ,                      ,                    ,R                      ,R                     ,R                         ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 19,X, 2,  97.00,    168.1700,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,R                   ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 19,X,CC,  23.00,    169.9200,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,F                  ,                 ,R                     ,C                        ,                       ,                   ,F                    ,F                       ,R                    ,C                      ,                        ,                          ,                     ,R                   ,R                    ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 20,X, 1,   5.00,    175.2500,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,F                  ,                 ,                      ,                         ,                       ,                   ,                     ,T                       ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,T                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 20,X, 7,  49.00,    184.6900,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,R                  ,                 ,                      ,                         ,                       ,                   ,                     ,T                       ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,T                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 21,X,CC,   9.00,    188.2900,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,T                 ,                     ,R                  ,                 ,R                     ,                         ,                       ,                   ,R                    ,F                       ,                     ,F                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,R                        ,T                     ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12a             ,CN12b         ,116, 719,A, 22,X, 4,  53.00,    199.2300,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,F                 ,                     ,F                  ,                 ,F                     ,C                        ,                       ,                   ,R                    ,F                       ,                     ,                       ,                        ,                          ,                     ,                    ,T                    ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,T                        ,                      ,T                   ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 22,X,CC,  36.00,    203.3000,Gartner  ,Nannofossils                                 ,               ,                  ,T                              ,R                 ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,R                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,T                     ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 24,X, 1,  70.00,    213.9000,Gartner  ,Nannofossils                                 ,               ,                  ,T                              ,T                 ,                     ,T                  ,                 ,T                     ,                         ,                       ,                   ,                     ,T                       ,                     ,R                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,R                        ,T                     ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 25,X, 1,  49.00,    223.1900,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,T                       ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 26,X,CC,  28.00,    233.3500,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,T                    ,T                       ,                     ,T                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 27,X,CC,  37.00,    244.9600,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,R                  ,                 ,                      ,                         ,                       ,T                  ,                     ,T                       ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 28,X, 6, 121.00,    259.9100,Gartner  ,Nannofossils                                 ,               ,                  ,F                              ,F                 ,                     ,F                  ,                 ,F                     ,C                        ,                       ,R                  ,F                    ,C                       ,                     ,A                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,T               ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 28,X, 6, 127.00,    259.9700,Gartner  ,Nannofossils                                 ,               ,                  ,F                              ,F                 ,                     ,C                  ,                 ,R                     ,                         ,                       ,A                  ,                     ,A                       ,                     ,C                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,T                      ,                    ,                   ,T               ,T                      ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 28,X,CC,  52.00,    261.3000,Gartner  ,Nannofossils                                 ,               ,                  ,T                              ,F                 ,                     ,T                  ,                 ,T                     ,F                        ,                       ,T                  ,T                    ,F                       ,                     ,C                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 29,X, 2,  99.00,    263.1900,Gartner  ,Nannofossils                                 ,               ,                  ,C                              ,C                 ,                     ,C                  ,                 ,F                     ,F                        ,                       ,F                  ,R                    ,C                       ,T                    ,C                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,T                   ,                   ,R               ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 29,X,CC,  39.00,    264.9100,Gartner  ,Nannofossils                                 ,               ,                  ,F                              ,F                 ,T                    ,T                  ,                 ,T                     ,C                        ,                       ,                   ,                     ,T                       ,R                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN10              ,CN11          ,116, 719,A, 30,X, 4, 106.00,    275.7600,Gartner  ,Nannofossils                                 ,               ,                  ,C                              ,C                 ,R                    ,C                  ,                 ,F                     ,C                        ,                       ,F                  ,F                    ,C                       ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,R                   ,R                  ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 30,X,CC,  37.00,    280.1100,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,T                  ,                 ,                      ,T                        ,                       ,                   ,                     ,T                       ,                     ,                       ,R                       ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 31,X, 3, 113.00,    283.8300,Gartner  ,Nannofossils                                 ,               ,                  ,A                              ,C                 ,                     ,R                  ,                 ,                      ,C                        ,F                      ,F                  ,R                    ,F                       ,R                    ,C                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,F                        ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 31,X, 3, 120.00,    283.9000,Gartner  ,Nannofossils                                 ,               ,                  ,F                              ,A                 ,R                    ,                   ,                 ,R                     ,A                        ,F                      ,R                  ,F                    ,                        ,T                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,R                      ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 32,X, 3,  66.00,    292.8600,Gartner  ,Nannofossils                                 ,               ,                  ,F                              ,                  ,                     ,F                  ,                 ,T                     ,                         ,F                      ,F                  ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,T                   ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 32,X,CC,  23.00,    293.1100,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,R                 ,                     ,R                  ,                 ,T                     ,R                        ,F                      ,R                  ,                     ,                        ,                     ,R                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 33,X,CC,   8.00,    300.9800,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,T                 ,                     ,T                  ,                 ,                      ,T                        ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 34,X, 7,  24.00,    317.4400,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,R                  ,                 ,                      ,                         ,F                      ,R                  ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 35,X, 4,  38.00,    322.5800,Gartner  ,Nannofossils                                 ,               ,                  ,R                              ,C                 ,                     ,T                  ,                 ,                      ,F                        ,F                      ,                   ,T                    ,                        ,T                    ,F                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 35,X,CC,  31.00,    322.9400,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,T                 ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 36,X, 5, 111.00,    334.3100,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,T                    ,T                  ,                 ,                      ,                         ,R                      ,R                  ,                     ,T                       ,                     ,T                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 37,X, 3, 132.00,    341.0200,Gartner  ,Nannofossils                                 ,               ,                  ,T                              ,F                 ,                     ,T                  ,                 ,R                     ,                         ,F                      ,                   ,                     ,                        ,                     ,F                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 37,X,CC,  36.00,    345.4000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,C                 ,                     ,F                  ,                 ,T                     ,A                        ,C                      ,F                  ,T                    ,                        ,T                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 38,X, 5,  21.00,    352.4100,Gartner  ,Nannofossils                                 ,               ,                  ,F                              ,A                 ,                     ,R                  ,                 ,R                     ,A                        ,C                      ,F                  ,F                    ,                        ,R                    ,A                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 38,X, 5,  78.00,    352.9800,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,F                 ,T                    ,F                  ,                 ,T                     ,F                        ,C                      ,R                  ,                     ,                        ,                     ,F                      ,                        ,                          ,                     ,                    ,                     ,                     ,R                    ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 40,X, 1,   7.00,    365.2700,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,R                 ,                     ,                   ,                 ,C                     ,R                        ,R                      ,                   ,                     ,                        ,                     ,R                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,116, 719,A, 40,X,CC,  34.00,    365.8100,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,T                      ,                   ,                     ,T                       ,                     ,R                      ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
