Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides suteri,Globorotalia opima nana,Globorotalia mayeri/siakensis,Globoquadrina venezuelana,Globoquadrina tripartita,Globoquadrina sellii,Globoquadrina binaiensis,Globigerina euapertura,Globigerina ciperoensis,Globigerina angulisuturalis,Dentoglobigerina globularis,Dentoglobigerina galavisi,Catapsydrax dissimilis,Globorotalia pseudokugleri,Globorotalia kugleri,Globigerinoides ruber s.l.,Clavatorella bermudezi,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globigerinoides primordius,Globigerinita glutinata,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira globosa,Globigerinoides altiaperturus,Globigerinatella insueta,Catapsydrax stainforthi,Globigerinoides bisphericus,Globorotalia praescitula,Sphaeroidinellopsis disjuncta,Globigerinoides diminutus,Globorotalia peripheroronda,Globorotaloides variabilis,Praeorbulina sicana,Praeorbulina glomerosa curva,Globorotalia peripheroacuta,Orbulina suturalis,Globorotalia scitula,Globorotalia praefohsi,Globorotalia fohsi fohsi,Globorotalia miozea,Orbulina universa,Globorotalia fohsi robusta,Globorotalia fohsi lobata,Globorotalia menardii s.l.,Sphaeroidinellopsis seminulina,Globoturborotalita nepenthes,Globigerinoides obliquus obliquus,Globorotaloides hexagona,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Neogloboquadrina humerosa,Candeina nitida,Globigerinoides conglobatus,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia juanai,Globorotalia tumida tumida,Sphaeroidinella dehiscens,Globorotalia margaritae,Globorotalia tumida flexuosa,Beella digitata,Globorotalia crassaformis,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globoquadrina conglomerata,Globigerinoides elongatus,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,115, 709,C,  9,H, 3,  60.00,     76.8000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,+?                  ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+                           ,+                                ,+                       ,+                           ,+                   ,                          ,                         ,+?                       ,+                                ,+                        ,               ,+                          ,+?                   ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. ostracodes rare. radiolarians common. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C,  9,H, 4,  60.00,     78.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,+?                                ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,+                                ,                        ,+                           ,+                   ,+                         ,                         ,+?                       ,+                                ,+?                       ,               ,+                          ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians common. sponge spicules common. fish remains rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C,  9,H,CC,   0.00,     82.5600,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+?                          ,+                                 ,+?                                ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+                           ,+                                ,+                       ,+                           ,+                   ,                          ,                         ,+?                       ,+                                ,+?                       ,+              ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. radiolarians rare. sponge spicules rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 10,H, 2,  60.00,     85.0000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,+                                ,+?                      ,+                           ,+                   ,+                         ,                         ,                         ,+                                ,                         ,+              ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians common. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 10,H, 6,  60.00,     91.0000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+                           ,+                                ,+                       ,+                           ,+                   ,+                         ,+                        ,                         ,+                                ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. radiolarians few. sponge spicules common. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 10,H,CC,  10.00,     92.4500,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,                            ,+                                ,+                       ,+                           ,+                   ,                          ,                         ,                         ,+                                ,+?                       ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. radiolarians rare. sponge spicules few. foraminifers embedded common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 11,H, 2,  60.00,     94.6000,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+                           ,+                                ,+                       ,+                           ,+                   ,+                         ,                         ,+?                       ,+                                ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. radiolarians rare. sponge spicules rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 11,H,CC,  11.00,     99.7300,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+                           ,+                                ,                        ,+                           ,+                   ,+                         ,                         ,+?                       ,+                                ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 12,H, 1, 120.00,    103.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+                           ,+                                ,+                       ,+                           ,+                   ,+                         ,                         ,+?                       ,+                                ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians rare. sponge spicules rare. fish remains rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 12,H, 2, 120.00,    104.9000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+                                ,                        ,+                           ,+                   ,+                         ,                         ,+?                       ,+                                ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 12,H, 3, 120.00,    106.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+                                ,                        ,+                           ,+                   ,+                         ,                         ,+?                       ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. radiolarians rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,115, 709,C, 12,H, 4, 120.00,    107.9000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+?                       ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+                                ,                        ,+                           ,+                   ,+                         ,                         ,+?                       ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,115, 709,C, 12,H, 5, 120.00,    109.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+?                       ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+                                ,                        ,+                           ,+                   ,+                         ,+                        ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,115, 709,C, 12,H, 6, 120.00,    110.9000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,                  ,+?                  ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,                                 ,                        ,+                           ,+                   ,+                         ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,115, 709,C, 12,H,CC,   7.00,    111.8800,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,+                      ,+                           ,+                                 ,+?                                ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,                                 ,                        ,+                           ,+                   ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,              ,115, 709,C, 13,H, 1, 120.00,    113.0000,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+?                        ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+?                                ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+?                               ,+?                      ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. radiolarians few. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N14               ,              ,115, 709,C, 13,H, 2, 120.00,    114.5000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+                                ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. sponge spicules common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N14               ,              ,115, 709,C, 13,H, 3, 120.00,    116.0000,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,                      ,                       ,+?                           ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,+                         ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,+                           ,+?                               ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. radiolarians rare. sponge spicules few. fish remains rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,115, 709,C, 13,H, 4, 120.00,    117.5000,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,                      ,                       ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+?                                ,+?                                ,                             ,                        ,                       ,                           ,                        ,+                            ,                         ,                           ,+                         ,                   ,                            ,                           ,                  ,+?                  ,                      ,                        ,                   ,+                ,                          ,                         ,+                         ,+                             ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians rare. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
