Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Theocotylissa ficus,Theocotyle venezuelensis,Theocotyle conica,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis sinuosa,Podocyrtis dorus,Phormocyrtis striata striata,Lophocyrtis biaurita,Lithocyclia ocellus,Lithochytris vespertilio,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Sethochytris bablylonis,Podocyrtis fasciolata,Lychnocanoma bellum,Podocyrtis mitra,Podocyrtis chalara,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Tristylospyris triceros,Podocyrtis goetheana,Lophocyrtis jacchia,Lithocyclia crux,Lithocyclia aristotelis,Dictyoprora pirum,Cryptoprora ornata,Carpocanistrum azyx,Calocyclas turris,Calocyclas bandyca,Lithocyclia angusta,Artophormis gracilis,Theocyrtis tuberosa,Artophormis barbadensis,Theocorys spongoconus,Comment
  SR,                 ,                 ,P. goetheana      ,              ,115, 709,C, 33,X, 4,  70.00,    310.3000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,R                    ,R                  ,                        ,                 ,-                       ,-                   ,                  ,                ,R                           ,-                   ,VR                 ,-                       ,                  ,C                       ,C                      ,C                 ,F                      ,                     ,R                  ,-               ,R                 ,-                        ,-                  ,R                      ,F                   ,-                  ,-               ,F                      ,VR               ,-                 ,-                  ,-                ,-                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RP15              ,              ,115, 709,C, 33,X,CC,  30.00,    313.4300,Johnson  ,Radiolarians                                 ,C              ,M                 ,F                      ,C                    ,R                  ,                        ,                 ,F                       ,-                   ,                  ,                ,R                           ,-                   ,F                  ,R                       ,                  ,C                       ,C                      ,C                 ,F                      ,                     ,R                  ,-               ,F                 ,-                        ,-                  ,-                      ,-                   ,-                  ,-               ,-                      ,-                ,-                 ,-                  ,-                ,-                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RP15              ,              ,115, 709,C, 34,X, 2,  70.00,    317.0000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,R                  ,                        ,                 ,F                       ,-                   ,                  ,                ,R                           ,-                   ,R                  ,R                       ,                  ,C                       ,C                      ,C                 ,R                      ,                     ,F                  ,R               ,C                 ,-                        ,-                  ,-                      ,-                   ,-                  ,-               ,-                      ,-                ,-                 ,-                  ,-                ,-                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 34,X, 4,  70.00,    320.0000,Johnson  ,Radiolarians                                 ,F              ,M                 ,F                      ,C                    ,R                  ,                        ,                 ,F                       ,R                   ,                  ,                ,R                           ,-                   ,R                  ,C                       ,                  ,F                       ,F                      ,C                 ,F                      ,-                    ,R                  ,F               ,R                 ,-                        ,-                  ,-                      ,-                   ,-                  ,-               ,-                      ,-                ,-                 ,-                  ,-                ,-                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 34,X, 6,  70.00,    323.0000,Johnson  ,Radiolarians                                 ,C              ,M                 ,F                      ,C                    ,F                  ,                        ,                 ,R                       ,C                   ,                  ,                ,R                           ,-                   ,R                  ,F                       ,                  ,F                       ,C                      ,F                 ,C                      ,-                    ,R                  ,C               ,R                 ,-                        ,-                  ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 34,X,CC,   0.00,    323.9000,Johnson  ,Radiolarians                                 ,C              ,M                 ,F                      ,C                    ,F                  ,                        ,                 ,F                       ,C                   ,                  ,                ,R                           ,-                   ,R                  ,F                       ,-                 ,F                       ,C                      ,C                 ,F                      ,-                    ,R                  ,C               ,-                 ,-                        ,-                  ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 35,X, 2,  70.00,    326.6000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                      ,C                    ,R                  ,                        ,                 ,F                       ,F                   ,                  ,                ,R                           ,-                   ,R                  ,R                       ,-                 ,C                       ,F                      ,C                 ,F                      ,-                    ,R                  ,R               ,-                 ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 35,X, 4,  70.00,    329.6000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,F                  ,                        ,                 ,R                       ,F                   ,-                 ,                ,R                           ,R                   ,R                  ,R                       ,-                 ,C                       ,C                      ,F                 ,F                      ,C                    ,R                  ,F               ,-                 ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 35,X, 6,  75.00,    332.6500,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,F                  ,                        ,                 ,R                       ,C                   ,-                 ,                ,R                           ,R                   ,R                  ,R                       ,-                 ,C                       ,C                      ,C                 ,F                      ,C                    ,R                  ,F               ,-                 ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
