Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus oddgurneri,Trisolenia megalactis megalactis,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Gondwanaria japonica kiaeri,Eucyrtidium saccoi,Eucyrtidium biconicum,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella eldholmi,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris jubata,Corythospyris jjubata sverdrupi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris vogti,Clathrospyris sandellae,Ceratocyrtis manumi,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Actinomma plasticum,Actinomma mirabile,Actinomma livae,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 13,H, 2, 104.00,    112.3400,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,R                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,SP                   ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,T                  ,T                 ,-              ,-                   ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 13,H, 3, 104.00,    113.8400,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,-                  ,-                    ,T                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,SP                ,-                    ,-                        ,-                      ,T                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,SP                   ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,SP                 ,R                 ,-              ,SP                  ,C                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. kladaros       ,              ,104, 643,A, 13,H, 4, 104.00,    115.3400,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,R                 ,-                    ,-                        ,-                      ,R                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,A                    ,-                     ,-                  ,R                      ,-                  ,-                     ,-                          ,-                     ,-                  ,SP                ,-              ,A                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. kladaros       ,              ,104, 643,A, 13,H, 5, 104.00,    116.8400,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,SP                ,-                    ,-                        ,-                      ,VA                    ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,R                 ,-              ,A                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. kladaros       ,              ,104, 643,A, 13,H, 6, 104.00,    118.3400,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,-                    ,-                        ,-                      ,R                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,C                    ,-                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,T                  ,SP                ,-              ,VA                  ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. kladaros       ,              ,104, 643,A, 13,H,CC,  27.00,    119.5900,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,T                 ,-                    ,-                        ,-                      ,T                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,R                    ,SP                    ,-                  ,A                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 14,H, 1, 109.00,    120.3900,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,R                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,C                      ,-                  ,T                     ,-                          ,-                     ,-                  ,T                 ,-              ,-                   ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 14,H, 2, 109.00,    121.8900,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,R                                 ,-                    ,-                   ,-                              ,T                    ,-                     ,-                  ,A                      ,-                  ,SP                    ,-                          ,-                     ,-                  ,R                 ,-              ,R                   ,                              ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 14,H, 3, 109.00,    123.3900,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,SP                ,-                    ,-                        ,-                      ,-                     ,-                     ,R                                 ,-                    ,-                   ,-                              ,SP                   ,C                     ,-                  ,SP                     ,-                  ,T                     ,-                          ,-                     ,-                  ,T                 ,-              ,SP                  ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 14,H, 4, 109.00,    124.8900,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,T                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,SP                ,T                    ,-                        ,-                      ,-                     ,T                     ,C                                 ,-                    ,-                   ,-                              ,T                    ,SP                    ,-                  ,C                      ,-                  ,T                     ,-                          ,-                     ,-                  ,-                 ,-              ,SP                  ,SP                            ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 14,H, 5, 109.00,    126.3900,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,SP                ,T                    ,-                        ,T                      ,-                     ,-                     ,A                                 ,-                    ,-                   ,-                              ,C                    ,C                     ,-                  ,SP                     ,-                  ,R                     ,-                          ,-                     ,-                  ,SP                ,-              ,SP                  ,                              ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 14,H,CC,  48.00,    128.4000,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,SP                ,T                    ,-                        ,-                      ,-                     ,-                     ,C                                 ,-                    ,-                   ,-                              ,A                    ,-                     ,-                  ,SP                     ,-                  ,SP                    ,-                          ,-                     ,-                  ,T                 ,-              ,R                   ,SP                            ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 15,H, 1, 105.00,    129.8500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,T                                 ,-                    ,-                   ,-                              ,SP                   ,-                     ,-                  ,R                      ,-                  ,C                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 15,H, 2, 105.00,    131.3500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,R                                 ,-                    ,-                   ,-                              ,C                    ,-                     ,-                  ,SP                     ,-                  ,R                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 15,H, 3, 105.00,    132.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,SP                ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,T                   ,-                              ,SP                   ,C                     ,-                  ,R                      ,-                  ,C                     ,-                          ,-                     ,-                  ,-                 ,-              ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. broeggeri      ,              ,104, 643,A, 15,H, 4,  21.00,    133.5100,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,SP                                ,-                    ,-                   ,-                              ,-                    ,C                     ,-                  ,T                      ,-                  ,T                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,                              ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 15,H, 5, 105.00,    135.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,T                               ,-                   ,-                       ,-                ,-                      ,T                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,T                   ,-                              ,SP                   ,SP                    ,-                  ,-                      ,T                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 15,H, 6, 105.00,    137.3500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,T                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,SP                ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,R                      ,SP                 ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 15,H,CC,  39.00,    138.1900,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,SP                                ,-                    ,-                   ,-                              ,SP                   ,T                     ,-                  ,SP                     ,T                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H, 1, 105.00,    139.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,T                                 ,-                    ,-                   ,-                              ,T                    ,-                     ,-                  ,R                      ,SP                 ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H, 2, 105.00,    140.8500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,T                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,C                                 ,-                    ,-                   ,-                              ,T                    ,T                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,T              ,C                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H, 3, 105.00,    142.3500,Goll     ,Radiolarians                                 ,F              ,G                 ,T                      ,T                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,SP                                ,-                    ,-                   ,-                              ,T                    ,-                     ,-                  ,T                      ,SP                 ,-                     ,-                          ,-                     ,-                  ,-                 ,               ,C                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H, 4, 105.00,    143.8500,Goll     ,Radiolarians                                 ,F              ,G                 ,T                      ,T                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,T                    ,T                     ,-                  ,-                      ,SP                 ,-                     ,-                          ,-                     ,-                  ,-                 ,SP             ,C                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H, 5, 105.00,    145.3500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,R                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,T                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,C                                 ,-                    ,-                   ,-                              ,T                    ,-                     ,-                  ,                       ,T                  ,-                     ,-                          ,-                     ,-                  ,-                 ,A              ,C                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H, 6, 105.00,    146.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,T                               ,-                   ,-                       ,-                ,-                      ,T                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,R                                 ,-                    ,-                   ,-                              ,T                    ,-                     ,-                  ,SP                     ,R                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,                    ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 16,H,CC,  26.00,    148.1500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,T                     ,-                  ,T                      ,SP                 ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 17,X, 1,  23.00,    148.0300,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,SP                                ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,C                  ,-                     ,-                          ,-                     ,-                  ,-                 ,A              ,D                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. manumi         ,              ,104, 643,A, 17,X, 1,  64.00,    148.4400,Goll     ,Radiolarians                                 ,R              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,R                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,T                      ,T                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 18,X, 1, 105.00,    158.3500,Goll     ,Radiolarians                                 ,R              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,R                 ,R                    ,-                        ,-                      ,-                     ,-                     ,T                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,T                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,SP                  ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 18,X, 2, 105.00,    159.8500,Goll     ,Radiolarians                                 ,F              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,R                    ,-                        ,-                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,SP                  ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 18,X,CC,  27.00,    160.8900,Goll     ,Radiolarians                                 ,F              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,                                  ,-                    ,-                   ,-                              ,D                    ,-                     ,-                  ,T                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X, 1, 105.00,    167.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,T                     ,-                          ,R                 ,R                    ,-                        ,-                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,-                    ,SP                    ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X, 2, 105.00,    169.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,T                      ,T                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,SP                ,R                    ,-                        ,T                      ,-                     ,-                     ,C                                 ,-                    ,-                   ,T                              ,-                    ,SP                    ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X, 3, 105.00,    170.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,T                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,R                 ,R                    ,-                        ,-                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X, 4, 105.00,    172.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,R                      ,-                ,A                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,C                 ,R                    ,-                        ,-                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,T                              ,T                    ,SP                    ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,SP                  ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X, 5, 105.00,    173.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,F                     ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
