Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Cyclicargolithus floridanus,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus leptoporus,Amaurolithus delicatus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra bisecta,Pontosphaera spp.,Helicosphaera reticulata,Discoaster saipanensis,Discoaster barbadiensis,Cribrocentrum reticulatum,Coccolithus formosus,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus grandis,Braarudosphaera spp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Helicosphaera compacta,Chiasmolithus solitus,Zygrhablithus bijugatus,Discoaster tanii,Campylosphaera dela,Discoaster deflandrei,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Crenalithus doronicoides,Ceratolithus rugosus,Ceratolithus cristatus,Calcidiscus macintyrei,Pseudoemiliania lacunosa,Rhabdosphaera clavigera,Helicosphaera carteri,Pontosphaera japonica,Helicosphaera sellii,Umbilicosphaera sibogae,Scyphosphaera spp.,Scapholithus fossilis,Cyclicargolithus abisectus,Gephyrocapsids (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 674,A, 13,X, 4,  80.00,    115.9000,Clark    ,Nannofossils                                 ,F              ,P                 ,                   ,                           ,                          ,                  ,                               ,F                    ,C                  ,                       ,C                       ,C                  ,                     ,                      ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,R                     ,R                 ,F                      ,F                       ,                    ,R                     ,F                     ,F                       ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,110, 674,A, 14,X, 1,  13.00,    120.2300,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                           ,                          ,C                 ,C                              ,F                    ,C                  ,                       ,A                       ,C                  ,F                    ,A                     ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,F                     ,F                 ,C                      ,A                       ,R                   ,F                     ,C                     ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 28,X, 3,   4.00,    256.1400,Clark    ,Nannofossils                                 ,C              ,P                 ,F                  ,F                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,F                    ,                      ,                      ,F                      ,F                        ,                        ,                 ,R                       ,F                     ,F                      ,                         ,C                   ,F                      ,F                  ,F                    ,R                   ,F                         ,F                        ,R                     ,F                    ,F                      ,                ,                   ,R                    ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 28,X,CC,  35.00,    257.7600,Clark    ,Nannofossils                                 ,F              ,P                 ,R                  ,F                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,F                    ,                      ,                      ,R                      ,R                        ,                        ,R                ,                        ,R                     ,                       ,                         ,F                   ,R                      ,R                  ,R                    ,                    ,F                         ,                         ,R                     ,R                    ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 29,X, 1,  74.00,    263.3400,Clark    ,Nannofossils                                 ,F              ,P                 ,                   ,F                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,F                    ,                      ,                      ,                       ,                         ,                        ,                 ,                        ,F                     ,F                      ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 29,X, 2, 136.00,    265.4600,Clark    ,Nannofossils                                 ,A              ,M                 ,F                  ,A                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,F                    ,                      ,                      ,R                      ,C                        ,R                       ,F                ,                        ,C                     ,                       ,F                        ,C                   ,C                      ,R                  ,F                    ,                    ,F                         ,F                        ,R                     ,F                    ,F                      ,R               ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 29,X,CC,  36.00,    267.1200,Clark    ,Nannofossils                                 ,A              ,M                 ,F                  ,A                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,C                    ,                      ,                      ,C                      ,C                        ,F                       ,                 ,F                       ,C                     ,F                      ,R                        ,C                   ,C                      ,                   ,F                    ,                    ,F                         ,F                        ,F                     ,C                    ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 30,X, 1,  85.00,    272.9500,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,A                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,A                    ,                      ,                      ,C                      ,C                        ,F                       ,C                ,F                       ,C                     ,C                      ,                         ,A                   ,C                      ,R                  ,F                    ,R                   ,F                         ,C                        ,F                     ,R                    ,F                      ,F               ,R                  ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 30,X,CC,  35.00,    278.4300,Clark    ,Nannofossils                                 ,C              ,P                 ,F                  ,A                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,C                    ,                      ,                      ,F                      ,C                        ,F                       ,F                ,F                       ,F                     ,                       ,F                        ,C                   ,F                      ,F                  ,F                    ,                    ,F                         ,F                        ,F                     ,F                    ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,110, 674,A, 31,X, 2, 107.00,    284.1700,Clark    ,Nannofossils                                 ,C              ,P                 ,F                  ,C                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,C                    ,                      ,                      ,F                      ,F                        ,F                       ,F                ,R                       ,R                     ,R                      ,F                        ,F                   ,F                      ,R                  ,R                    ,R                   ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,CN9d          ,110, 674,A, 33,X, 2,  50.00,    302.6000,Clark    ,Nannofossils                                 ,F              ,P                 ,F                  ,F                          ,F                         ,F                 ,F                              ,F                    ,F                  ,F                      ,F                       ,F                  ,F                    ,F                     ,R                     ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,CN9d          ,110, 674,A, 33,X, 3,  68.00,    304.2800,Clark    ,Nannofossils                                 ,F              ,P                 ,R                  ,F                          ,                          ,                  ,                               ,                     ,                   ,                       ,                        ,                   ,                     ,                      ,                      ,                       ,                         ,                        ,                 ,                        ,                      ,                       ,                         ,                    ,                       ,                   ,                     ,                    ,                          ,                         ,                      ,                     ,                       ,                ,                   ,                     ,                      ,                  ,                       ,                        ,                    ,                      ,                      ,                        ,                       ,                     ,                     ,                    ,                       ,                  ,                     ,                          ,                      ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 4. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
