Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tympanomma binoctonum	Stichocorys sp.	Liriospyris parkerae	Eucyrtidium teuscheri group	Eucyrtidium cienkowskii	Didymocyrtis mammifera	Didymocyrtis laticonus	Cyrtocapsella tetrapera	Cyrtocapsella cornuta	Calocycletta virginis	Calocycletta robusta	Acrosphaera trepanata	Stichocorys wolffii	Dictyophimus splendens	Botryostrobus miralestensis	Anthocyrtidium ehrenbergi	Stylosphaera angelina	Phormostichoartus fistula	Didymocyrtis bassanii	Dendrospyris stabilis	Stichocorys delmontensis	Calocycletta costata	Stichocorys radicula	Siphostichartus corona	Circodiscus ellipticus	Botryostrobus auritus/australis	Lamprocyrtis daniellae	Collosphaera polygona	Calocycletta caepa	Stylatractus universus	Spongodiscus osculosus	Prunopyle hayesi	Eucyrtidium punctatum	Didymocyrtis antepenultima	Diartus petterssoni	Siphocampe modeloensis	Acrosphaera murrayana	Larcospira moschkovskii	Lamprocyclas hannai	Cyrtocapsella elongata	Botryostrobus bramlettei tumidulus	Botryostrobus bramlettei bramlettei	Acrosphaera cyrtodon	Tholospyris capoi	Stichocorys peregrina	Siphocampe crustula	Pseudocubus warreni	Phorticium clevei	Phormostichoartus pitomorphus	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Eucyrtidium teuscheri orthoporus	Eucyrtidium infundibulum	Eucyrtidium calvertense	Didymocyrtis penultima	Anthocyrtidium ophirense	Anthocyrtidium nosicaae	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium	Lamprocyclas maritalis	Eucyrtidium teuscheri teuscheri	Diartus hughesi	Anthocyrtidium zanguebaricum	Theocorythium vetulum	Pterocanium korotnevi	Eucyrtidium indiensis	Stichopilium bicorne	Prunopyle antarctica	Cycladophora davisiana	Acrosphaera pseudarktios	Siphocampe caryoforma	Didymocyrtis tetrathalamus	Lamprocyrtis nigriniae	Acrosphaera sp.	Eucyrtidium dufresni	Pterocorys minythorax	Anthocyrtidium angulare	Octopyle stenozona	Pterocorys hertwigii	Eucyrtidium anomalum	Dictyophimus infabricatus	Collosphaera orthoconus	Rhizosphaera antarctica	Plectacantha cremastoplegma	Pterocanium grandiporus	Collosphaera tuberosa	Spongaster tetras	Amphirhopalum virchowi	Comment
  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 31	X	CC	  15.00	    279.5300	De Wever 	Radiolarians                                 	F              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	                     	                    	P                    	P                  	P                     	P                          	P                        	P                    	P                        	                     	P                    	P                       	                    	P                   	P                     	P                     	P                              	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 32	X	CC	  15.00	    288.3400	De Wever 	Radiolarians                                 	F              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	                     	                    	                     	P                  	P                     	                           	                         	                     	P                        	                     	                     	P                       	                    	P                   	P                     	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 33	X	CC	  19.00	    305.5500	De Wever 	Radiolarians                                 	F              	M                 	P                    	P              	                    	P                          	P                      	                      	P                     	P                      	                     	                     	                    	P                    	                   	                      	                           	                         	P                    	P                        	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 34	X	CC	  17.00	    312.2100	De Wever 	Radiolarians                                 	F              	M                 	                     	               	                    	                           	                       	                      	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	P                    	                         	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 35	X	CC	  27.00	    319.9500	De Wever 	Radiolarians                                 	F              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	                     	P                   	P                    	                   	P                     	                           	                         	P                    	P                        	                     	                     	                        	                    	                    	P                     	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 36	X	CC	  31.00	    331.7300	De Wever 	Radiolarians                                 	F              	M                 	                     	               	                    	                           	P                      	                      	                      	                       	                     	                     	                    	P                    	P                  	P                     	                           	                         	                     	                         	                     	                     	P                       	                    	P                   	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 37	X	CC	  24.00	    340.8500	De Wever 	Radiolarians                                 	R              	M                 	P                    	P              	                    	                           	P                      	                      	P                     	                       	                     	                     	                    	                     	                   	                      	                           	                         	P                    	P                        	P                    	                     	P                       	P                   	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 38	X	CC	  16.00	    347.3600	De Wever 	Radiolarians                                 	R              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	                     	                    	P                    	P                  	P                     	                           	                         	P                    	P                        	P                    	P                    	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	112	 683	A	 39	X	CC	  22.00	    360.7300	De Wever 	Radiolarians                                 	R              	M                 	                     	P              	                    	                           	P                      	                      	P                     	P                      	                     	                     	P                   	                     	                   	P                     	                           	P                        	                     	                         	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. alata (RN5)    	              	112	 683	A	 40	X	CC	  27.00	    373.4100	De Wever 	Radiolarians                                 	F              	G                 	P                    	               	P                   	                           	P                      	?                     	P                     	P                      	                     	                     	P                   	                     	                   	                      	P                          	P                        	                     	                         	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. alata (RN5)    	              	112	 683	A	 42	X	CC	  13.00	    382.0900	De Wever 	Radiolarians                                 	R              	M                 	                     	P              	                    	                           	P                      	P                     	                      	                       	                     	                     	                    	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. alata (RN5)    	              	112	 683	A	 43	X	CC	  22.00	    394.6800	De Wever 	Radiolarians                                 	R              	G                 	                     	P              	                    	                           	P                      	P                     	P                     	                       	                     	                     	P                   	                     	P                  	P                     	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

  SR	Middle Miocene   	                 	D. alata (RN5)    	              	112	 683	A	 44	X	CC	   7.00	    409.1000	De Wever 	Radiolarians                                 	R              	M                 	P                    	P              	P                   	P                          	P                      	P                     	P                     	P                      	P                    	P                    	P                   	P                    	                   	                      	                           	                         	                     	                         	                     	                     	                        	                    	                    	                      	                      	                               	                      	                     	                  	                      	                      	                	                     	                          	                   	                      	                     	                       	                   	                      	                                  	                                   	                    	                 	                     	                   	                   	                 	                             	                           	                        	                                	                        	                       	                      	                        	                       	                       	                     	                        	                      	                               	               	                            	                     	                     	                     	                    	                    	                      	                        	                     	                          	                      	               	                    	                     	                       	                  	                    	                    	                         	                       	                       	                           	                       	                     	                 	                      	from ODP Leg 112 SR Chapter 12 Table AppxB p.198-201

