Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra bisecta,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Sphenolithus ciperoensis,Pyrocyclus orangensis,Coronocyclus nitescens,Helicosphaera euphratis,Bicolumnus ovatus,Helicosphaera recta,Chiasmolithus altus,Zygrhablithus bijugatus,Syracosphaera sp.,Bramletteius serraculoides,Triquetrorhabdulus carinatus,Pontosphaera sp.,Helicosphaera sp.,Helicosphaera perch-nielseniae,Helicosphaera intermedia,Reticulofenestra spp. small,Discoaster druggii,Discoaster sp.,Reticulofenestra pseudoumbilica,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus conicus,Helicosphaera obliqua,Calcidiscus macintyrei,Sphenolithus dissimilis,Sphenolithus belemnos,Umbilicosphaera sibogae,Discoaster adamanteus,Calcidiscus leptoporus,Pedinocyclus larvalis,Discoaster sp. cf. D. deflandrei (with web),Discoaster variabilis,Discoaster exilis,Helicosphaera carteri,Comment
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 30,R,CC,  13.00,    872.8800,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,R                      ,                      ,                         ,R                       ,R                    ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 31,R,CC,  11.00,    883.1200,Firth    ,Nannofossils                                 ,A              ,M                 ,R                        ,F                      ,R                     ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,R                       ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 32,R, 1,  13.00,    883.8300,Firth    ,Nannofossils                                 ,F              ,M                 ,                         ,R                      ,R                     ,                         ,R                       ,R                    ,F                          ,R                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 32,R,CC,  27.00,    890.1300,Firth    ,Nannofossils                                 ,F              ,M                 ,                         ,                       ,                      ,                         ,R                       ,                     ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 33,R, 3,  88.00,    897.0300,Firth    ,Nannofossils                                 ,C              ,P                 ,                         ,F                      ,R                     ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 33,R,CC,  12.00,    903.1100,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,R                       ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 34,R, 3,  89.00,    906.8100,Firth    ,Nannofossils                                 ,A              ,M                 ,                         ,F                      ,R                     ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 34,R, 6,  44.00,    909.9300,Firth    ,Nannofossils                                 ,A              ,M                 ,R                        ,F                      ,R                     ,                         ,F                       ,F                    ,C                          ,F                    ,R                       ,R                       ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 35,R, 3, 130.00,    916.7800,Firth    ,Nannofossils                                 ,A              ,G                 ,R                        ,C                      ,F                     ,                         ,C                       ,C                    ,A                          ,C                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,R                  ,                       ,                 ,R                         ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 35,R,CC,   0.00,    921.9100,Firth    ,Nannofossils                                 ,A              ,G                 ,F                        ,R                      ,                      ,                         ,C                       ,F                    ,C                          ,F                    ,                        ,R                       ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 36,R, 2, 113.00,    924.8300,Firth    ,Nannofossils                                 ,C              ,P                 ,R                        ,R                      ,                      ,                         ,F                       ,F                    ,C                          ,R                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 36,R,CC,   0.00,    930.3600,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,R                      ,R                     ,                         ,F                       ,                     ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 37,R,CC,  22.00,    941.8600,Firth    ,Nannofossils                                 ,A              ,M                 ,F                        ,F                      ,R                     ,                         ,C                       ,F                    ,A                          ,F                    ,R                       ,R                       ,                     ,                      ,                       ,                 ,                   ,                   ,R                      ,R                ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 38,R,CC,   0.00,    949.0100,Firth    ,Nannofossils                                 ,F              ,M                 ,R                        ,R                      ,                      ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,                        ,                     ,R                     ,                       ,                 ,                   ,                   ,R                      ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 39,R,CC,   0.00,    951.9500,Firth    ,Nannofossils                                 ,F              ,P                 ,R                        ,R                      ,                      ,                         ,R                       ,                     ,F                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 41,R,CC,  12.00,    980.1500,Firth    ,Nannofossils                                 ,C              ,M                 ,F                        ,R                      ,                      ,                         ,F                       ,F                    ,C                          ,R                    ,R                       ,                        ,                     ,                      ,                       ,                 ,                   ,R                  ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 42,R,CC,   8.00,    987.3900,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,                       ,                      ,                         ,R                       ,R                    ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,R                  ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 43,R,CC,   0.00,    998.2900,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,R                      ,                      ,                         ,R                       ,R                    ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 44,R,CC,  25.00,   1009.3100,Firth    ,Nannofossils                                 ,C              ,M                 ,F                        ,F                      ,F                     ,                         ,F                       ,R                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,R                ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 45,R, 1, 102.00,   1010.1200,Firth    ,Nannofossils                                 ,F              ,P                 ,R                        ,R                      ,R                     ,                         ,R                       ,R                    ,F                          ,                     ,R                       ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 46,R,CC,  64.00,   1029.1700,Firth    ,Nannofossils                                 ,F              ,M                 ,R                        ,R                      ,                      ,                         ,R                       ,R                    ,R                          ,R                    ,                        ,                        ,R                    ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 47,R,CC,   0.00,   1034.6000,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,                        ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 48,R,CC,   0.00,   1046.1600,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,R                       ,                     ,                           ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 49,R,CC,   0.00,   1051.3800,Firth    ,Nannofossils                                 ,C              ,M                 ,R                        ,F                      ,R                     ,                         ,F                       ,F                    ,C                          ,F                    ,R                       ,                        ,                     ,R                     ,R                      ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 50,R,CC,   6.00,   1065.8900,Firth    ,Nannofossils                                 ,C              ,P                 ,R                        ,F                      ,R                     ,                         ,F                       ,F                    ,F                          ,F                    ,R                       ,                        ,R                    ,R                     ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 52,R,CC,  12.00,   1082.4700,Firth    ,Nannofossils                                 ,F              ,P                 ,                         ,R                      ,R                     ,                         ,F                       ,R                    ,F                          ,R                    ,                        ,R                       ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 53,R,CC,  12.00,   1091.7100,Firth    ,Nannofossils                                 ,F              ,M                 ,R                        ,R                      ,R                     ,                         ,F                       ,R                    ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,CP19b             ,              ,126, 793,B, 54,R, 5, 128.00,   1101.5900,Firth    ,Nannofossils                                 ,C              ,M                 ,R                        ,F                      ,R                     ,                         ,F                       ,R                    ,C                          ,F                    ,                        ,R                       ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 57,R, 3,  82.00,   1128.5200,Firth    ,Nannofossils                                 ,C              ,G                 ,F                        ,F                      ,F                     ,                         ,F                       ,F                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 58,R,CC,  11.00,   1143.7600,Firth    ,Nannofossils                                 ,R              ,P                 ,R                        ,R                      ,                      ,                         ,R                       ,R                    ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 59,R,CC,  15.00,   1153.4100,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,                        ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 60,R,CC,   0.00,   1162.7800,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,                        ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 61,R,CC,   0.00,   1167.0601,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,                        ,R                    ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 64,R,CC,  15.00,   1201.7000,Firth    ,Nannofossils                                 ,R              ,M                 ,                         ,                       ,                      ,                         ,R                       ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 67,R,CC,  39.00,   1230.6500,Firth    ,Nannofossils                                 ,R              ,P                 ,R                        ,R                      ,                      ,                         ,R                       ,                     ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 68,R,CC,   5.00,   1239.1700,Firth    ,Nannofossils                                 ,R              ,P                 ,                         ,                       ,                      ,                         ,                        ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 70,R,CC,  23.00,   1259.6700,Firth    ,Nannofossils                                 ,C              ,M                 ,R                        ,F                      ,                      ,                         ,F                       ,R                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 72,R, 2, 149.00,   1271.6899,Firth    ,Nannofossils                                 ,F              ,P                 ,F                        ,R                      ,                      ,                         ,F                       ,R                    ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
