Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Pterocorys minythorax,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  5,H, 2,  10.00,     39.0000,Moore    ,Radiolarians                                 ,R              ,P                 ,F                    ,R                     ,C                    ,R                ,-                     ,R                        ,-                         ,-                  ,                      ,R                        ,-                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  5,H, 2,  40.00,     39.3000,Moore    ,Radiolarians                                 ,R              ,P                 ,F                    ,R                     ,C                    ,R                ,-                     ,-                        ,-                         ,-                  ,                      ,-                        ,-                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,B,  5,H, 2, 110.00,     40.0000,Moore    ,Radiolarians                                 ,C              ,M                 ,R                    ,R                     ,C                    ,R                ,R                     ,R                        ,-                         ,R                  ,                      ,-                        ,R                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P doliolum(RN10M95,              ,138, 852,B,  5,H, 3, 110.00,     41.5000,Moore    ,Radiolarians                                 ,C              ,M                 ,R                    ,R                     ,C                    ,R                ,R                     ,R                        ,R                         ,R                  ,                      ,R                        ,R                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P doliolum(RN10M95,              ,138, 852,B,  5,H, 4,  10.00,     42.0000,Moore    ,Radiolarians                                 ,R              ,P                 ,R                    ,R                     ,C                    ,R                ,R                     ,R                        ,R                         ,R                  ,-                     ,R                        ,-                      ,R                    ,                        ,                           ,                      ,                       ,                                   ,                     ,                      ,                     ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
