Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis grunowii,Sceptroneis sp.,Pyxilla (all generic taxa),Hemiaulus sp. 3,Hemiaulus crenulatus,Hemiaulus caracteristicus,Stictodiscus sp.,Stephanopyxis cf. superba,Stephanopyxis tunis var. cylindrus,Pseudotriceratium chenevieri,Stephanopyxis cf. marginata,Pseudostictodiscus picus,Navicula udintsevii,Kisseleviella carina,Asteromphalus oligocenicus,Sceptroneis pesplanus,Pterotheca danica,Coscinodiscus spiralis,Rutilaria sp.,Melosira architecturalis,Nitzschia kerguelenis,Thalassiosira hydra,Coscinodiscus denarius,Sceptroneis tenue,Denticulopsis hustedtii,Thalassiosira torokina,Thalassiosira burckliana,Nitzschia porteri,Nitzschia marina/reinholdii,Nitzschia denticuloides,Nitzschia cylindrus,Actinocyclus ingens,Rouxia californica,Nitzschia cf. praeinterfrigidaria,Cosmiodiscus intersectus,Actinocyclus fryxellae,Thalassiosira praeconvexa,Thalassiosira inura,Eucampia antarctica,Actinocyclus ingens var. ovalis,Denticulopsis punctata var. hustedtii,Denticulopsis dimorpha,Nitzschia praeinterfrigidaria,Thalassiosira lentiginosa,Thalassiosira gravida,Nitzschia ritscherii,Nitzschia curta,Nitzschia barronii,Actinocyclus actinochilus,Porosira glacialis,Diatoms (unspecified pennate taxa),Diatoms (unspecified centric taxa),Chaetoceros spp. (resting spores),Comment
  SR,                 ,                 ,                  ,              ,119, 739,C, 33,R, 4,  80.00,    256.0000,Baldauf  ,Diatoms                                      ,F              ,M                 ,R                     ,               ,F                         ,               ,                    ,                         ,R               ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,R                         ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 34,R,CC,   7.00,    267.3800,Baldauf  ,Diatoms                                      ,C              ,M                 ,F                     ,               ,F                         ,               ,                    ,                         ,                ,                         ,F                                 ,R                           ,R                          ,R                       ,R                  ,R                   ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 35,R, 2,  80.00,    272.3000,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 35,R, 4,  32.00,    274.8200,Baldauf  ,Diatoms                                      ,F              ,P                 ,R                     ,               ,R                         ,               ,                    ,                         ,                ,                         ,                                  ,R                           ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 35,R,CC,  16.00,    275.4100,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,R                         ,               ,                    ,R                        ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 36,R,CC,  16.00,    287.2700,Baldauf  ,Diatoms                                      ,C              ,P                 ,R                     ,R              ,R                         ,               ,                    ,R                        ,                ,                         ,R                                 ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 37,R, 1,  60.00,    289.9000,Baldauf  ,Diatoms                                      ,R              ,P                 ,R                     ,               ,                          ,               ,                    ,                         ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 37,R,CC,   0.00,    290.3000,Baldauf  ,Diatoms                                      ,F              ,P                 ,F                     ,               ,R                         ,               ,                    ,R                        ,R               ,R                        ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 739,C, 38,R, 1,  26.00,    299.1600,Baldauf  ,Diatoms                                      ,F              ,M                 ,F                     ,R              ,R                         ,R              ,R                   ,R                        ,                ,                         ,                                  ,                            ,                           ,                        ,                   ,                    ,                          ,                     ,                 ,                      ,             ,                        ,                     ,                   ,                      ,                 ,                       ,                      ,                        ,                 ,                           ,                       ,                   ,                   ,                  ,                                 ,                        ,                      ,                         ,                   ,                   ,                               ,                                     ,                      ,                             ,                         ,                     ,                    ,               ,                  ,                         ,                  ,                                  ,                                  ,                                 ,from 119 SR Chapter 29 Table 11 pages 586 - 587.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
