Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus quinquangellus	Distephanus pseudofibula	Dictyocha spp.	Bachmannocena  diodon	Bachmannocena  borderlandensis	Comment
  SR	                 	                 	                  	              	114	 704	A	 22	X	 3	  81.00	    201.0100	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 22	X	 4	 139.00	    203.0900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	R                       	S             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 22	X	 5	  81.00	    204.0100	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	-             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 23	X	 1	  80.00	    207.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	S             	R                    	R                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 23	X	 2	  80.00	    209.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	S             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 23	X	 3	  80.00	    210.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	-                       	S             	-                    	R                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

  SR	                 	                 	                  	              	114	 704	A	 23	X	 5	  80.00	    213.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	-                         	VR                      	C             	-                    	-                             	from ODP Leg 114 SR Chapter 41 Table 3 p.760-763

