Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinelloides multispinus,Heterohelix globulosa,Hedbergella aff. monmouthensis,Hedbergella sp.,Heterohelix planata,Subbotina varianta,Subbotina sp.,Chiloguembelina sp.,Acarinina mckannai,Subbotina triloculinoides,Igorina pusilla,Acarinina esnaensis,Acarinina sp.,Globanomalina pseudomenardii,Globanomalina chapmani,Subbotina velascoensis,Subbotina triangularis,Subbotina quadrata,Morozovella tadjikistanensis,Igorina convexa,Igorina albeari,Acarinina acarinata,Acarinina soldadoensis,Planorotalites australiformis,Chiloguembelina wilcoxensis,Acarinina primitiva,Subbotina patagonica,Morozovella subbotinae,Morozovella gracilis,Acarinina wilcoxensis,Acarinina pseudotopilensis,Subbotina inaequispira,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Igorina broedermanni,Acarinina pentacamerata,Acarinina angulosa,Morozovella aragonensis,Acarinina bullbrooki,Subbotina frontosa,Pseudohastigerina micra,Globigerinatheka senni,Subbotina linaperta,Subbotina angiporoides,Morozovella spinulosa,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina spinuloinflata,Acarinina collactea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 23,R,CC,  25.00,    369.2500,Berggren ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,+            ,+                  ,+                 ,+                        ,               ,                   ,+            ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 24,R,CC,  15.00,    379.8000,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,+            ,+                  ,                  ,+                        ,+              ,+                  ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P3                ,P4            ,120, 748,C, 26,R,CC,  22.00,    397.7200,Berggren ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,                              ,               ,                   ,+                 ,+            ,+                  ,+                 ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,Zone P3 uncertain; from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP18              ,              ,120, 748,C, 27,R, 1,  90.00,    407.9000,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,50.0%                         ,6.0%                 ,44.0%                         ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP18              ,              ,120, 748,C, 28,R, 1,  76.00,    417.2600,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,                              ,               ,+                  ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
