Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus/rioensis,Sphenolithus spp.,Reticulofenestrid taxa,Reticulofenestra pseudoumbilicus,Discoaster in class,Discoaster brouweri,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster exilis,Discoaster calcaris,Discoaster moorei,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Discoaster hamatus/bellus,Discoaster neohamatus,Minylitha convallis,Discoaster triradiatus,Discoaster loeblichii,Discoaster adamanteus,Discoaster intercalaris,Helicosphaera carteri,Discoaster surculus,Discoaster quinqueramus,Amaurolithus primus,Discoaster asymmetricus,Amaurolithus delicatus,Discoaster pentaradiatus,Amaurolithus tricorniculatus,Triquetrorhabdulus extensus,Discoaster prepentaradiatus,Amaurolithus amplificus,Rhabdosphaera spp.,Reticulofenestra spp.,Ceratolithus acutus,Geminilithella rotula,Ceratolithus rugosus,Coccolithus radiatus,Discoaster tristellifer,Ceratolithus cristatus/telesmus,Syracosphaera spp.,Discoaster pansus,Pontosphaera sp.,Helicosphaera sellii,Discoaster tamalis,Pseudoemiliania lacunosa,Discoaster decorus,Gephyrocapsa spp. small (<4 microns),Umbilicosphaera spp.,Thoracosphaera spp.,Gephyrocapsa oceanica,Helicosphaera wallichii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aB            ,              ,138, 848,C,  4,H, 7,  20.00,     33.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                      ,                                ,                   ,C                  ,R                    ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,R                      ,C                    ,C                  ,                       ,                   ,R                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,A                   ,R                   ,                       ,C                              ,C                 ,                 ,                ,R                   ,R                 ,C                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aB            ,              ,138, 848,C,  4,H, 7,  50.00,     34.0000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,                 ,                      ,T                               ,                   ,A                  ,                     ,                        ,A                     ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,F                      ,F                    ,F                  ,                       ,                   ,R                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,C                   ,C                   ,                       ,C                              ,C                 ,                 ,                ,F                   ,R                 ,F                       ,T                 ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aA            ,              ,138, 848,C,  5,H, 1,  42.00,     34.4200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                      ,                                ,                   ,C                  ,                     ,                        ,C                     ,A                     ,F                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,A                    ,                   ,                       ,                   ,F                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,R                   ,R                   ,                       ,A                              ,                  ,                 ,                ,C                   ,R                 ,R                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12aA            ,              ,138, 848,C,  5,H, 1,  95.00,     34.9500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,R                ,                      ,                                ,                   ,F                  ,                     ,                        ,F                     ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,T                  ,                       ,                   ,T                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,C                    ,                   ,                     ,R                   ,F                   ,                       ,C                              ,                  ,                 ,                ,R                   ,                  ,R                       ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN11b             ,              ,138, 848,C,  5,H, 1, 120.00,     35.2000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,                 ,                      ,F                               ,                   ,C                  ,                     ,                        ,C                     ,A                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,                   ,                       ,                   ,R                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,R                   ,R                   ,                       ,F                              ,C                 ,                 ,                ,F                   ,T                 ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN11b             ,              ,138, 848,C,  5,H, 2,  50.00,     36.0000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,T                ,                      ,C                               ,                   ,A                  ,                     ,                        ,F                     ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,R                    ,R                  ,                       ,                   ,T                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,R                   ,F                   ,                       ,C                              ,R                 ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 2, 120.00,     36.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                      ,A                               ,                   ,C                  ,R                    ,                        ,F                     ,C                     ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,T                     ,                     ,                     ,T                      ,                     ,                   ,A                      ,                   ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,                     ,                   ,R                    ,F                   ,                    ,F                      ,                               ,                  ,                 ,A               ,R                   ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 2, 127.00,     36.7700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,A                ,                      ,A                               ,                   ,A                  ,                     ,                        ,F                     ,A                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,T                     ,                     ,                     ,R                      ,F                    ,F                  ,                       ,                   ,                       ,                      ,C                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,A                   ,F                   ,C                      ,F                              ,F                 ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 3,  62.00,     37.6200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,A                ,                      ,A                               ,                   ,F                  ,                     ,                        ,F                     ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,R                      ,F                    ,C                  ,                       ,R                  ,                       ,                      ,F                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,R                   ,C                   ,C                      ,R                              ,F                 ,T                ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 3, 120.00,     38.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,C                ,                      ,C                               ,                   ,D                  ,                     ,                        ,F                     ,A                     ,F                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,R                     ,                     ,                     ,                       ,R                    ,C                  ,                       ,R                  ,R                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,F                   ,F                   ,F                      ,R                              ,F                 ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 4,  40.00,     38.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,A                ,                      ,C                               ,                   ,A                  ,                     ,                        ,R                     ,A                     ,A                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,C                  ,                       ,R                  ,                       ,                      ,R                       ,R                           ,                           ,                           ,                       ,                  ,A                    ,                   ,R                    ,C                   ,F                   ,                       ,F                              ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 4, 120.00,     39.7000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,C                ,                      ,F                               ,                   ,F                  ,                     ,                        ,R                     ,A                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,R                      ,C                    ,R                  ,                       ,F                  ,T                      ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,R                   ,R                   ,A                      ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 5,  40.00,     40.4000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,R                ,                      ,A                               ,                   ,A                  ,                     ,                        ,F                     ,A                     ,A                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,R                      ,C                    ,C                  ,                       ,R                  ,T                      ,                      ,F                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,R                    ,R                   ,R                   ,R                      ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 5, 120.00,     41.2000,Raffi    ,Nannofossils                                 ,C              ,M-G               ,                                   ,                 ,                      ,                                ,                   ,F                  ,                     ,                        ,                      ,C                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,                     ,                   ,                       ,                   ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,R                    ,                    ,                    ,R                      ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 6,  40.00,     41.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                      ,C                               ,                   ,A                  ,                     ,                        ,R                     ,A                     ,A                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,A                  ,                       ,R                  ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,C                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 6, 120.00,     42.7000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,R                ,                      ,F                               ,                   ,C                  ,                     ,                        ,R                     ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,R                    ,                   ,                       ,R                  ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,R                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  5,H, 7,  13.00,     43.1300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,R                ,                      ,F                               ,                   ,C                  ,                     ,                        ,                      ,C                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,R                    ,C                  ,                       ,R                  ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,F                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  6,H, 1,  75.00,     44.2500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,R                ,                      ,C                               ,                   ,F                  ,C                    ,                        ,R                     ,A                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,R                    ,F                  ,                       ,R                  ,                       ,                      ,F                       ,                            ,                           ,                           ,                       ,                  ,A                    ,                   ,                     ,F                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  6,H, 2,  35.00,     45.3500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,R                ,                      ,R                               ,                   ,C                  ,C                    ,                        ,R                     ,A                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,F                      ,R                    ,A                  ,                       ,R                  ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,R                  ,                     ,F                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  6,H, 2,  75.00,     45.7500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,F                ,                      ,R                               ,                   ,A                  ,F                    ,                        ,                      ,A                     ,F                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,F                      ,                     ,A                  ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,R                  ,                     ,R                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  6,H, 3,  35.00,     46.8500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,F                ,                      ,R                               ,                   ,A                  ,R                    ,                        ,                      ,A                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,F                      ,R                    ,A                  ,                       ,R                  ,                       ,                      ,C                       ,                            ,                           ,                           ,                       ,                  ,A                    ,R                  ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  6,H, 3,  75.00,     47.2500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,C                ,                      ,F                               ,                   ,                   ,C                    ,                        ,                      ,A                     ,C                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,A                  ,                       ,R                  ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,R                  ,                     ,R                   ,R                   ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10c             ,              ,138, 848,C,  6,H, 4,  35.00,     48.3500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,R                ,                      ,R                               ,                   ,F                  ,C                    ,                        ,                      ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,R                    ,C                  ,                       ,R                  ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,                  ,A                    ,C                  ,F                    ,R                   ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10b             ,              ,138, 848,C,  6,H, 4,  75.00,     48.7500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,R                ,                      ,C                               ,                   ,C                  ,F                    ,                        ,                      ,A                     ,A                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,                     ,C                  ,                       ,R                  ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,                  ,A                    ,F                  ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10b             ,              ,138, 848,C,  6,H, 5,  35.00,     49.8500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,T                                  ,F                ,                      ,F                               ,                   ,A                  ,R                    ,                        ,R                     ,A                     ,F                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,F                  ,                       ,                   ,                       ,                      ,                        ,                            ,                           ,                           ,                       ,C                 ,A                    ,C                  ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN10a             ,              ,138, 848,C,  6,H, 5,  75.00,     50.2500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,F                                  ,C                ,                      ,F                               ,                   ,C                  ,F                    ,                        ,                      ,A                     ,R                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,F                    ,R                  ,                       ,R                  ,                       ,                      ,R                       ,                            ,                           ,                           ,                       ,C                 ,A                    ,T                  ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 17 pp 270-273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN9bC             ,              ,138, 848,C,  7,H, 1,  25.00,     53.2500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,A                ,A                     ,C                               ,F                  ,F                  ,F                    ,                        ,R                     ,                      ,A                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,T                      ,C                    ,F                  ,F                      ,F                  ,                       ,F                     ,                        ,                            ,                           ,                           ,                       ,                  ,                     ,                   ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 18 pp 274-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN9bC             ,              ,138, 848,C,  7,H, 1, 100.00,     54.0000,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,A                ,A                     ,R                               ,C                  ,C                  ,                     ,                        ,R                     ,                      ,F                    ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,T                    ,T                    ,F                      ,C                    ,R                  ,F                      ,C                  ,                       ,C                     ,F                       ,                            ,                           ,                           ,                       ,                  ,                     ,                   ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 18 pp 274-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN9bC             ,              ,138, 848,C,  7,H, 2,  25.00,     54.7500,Raffi    ,Nannofossils                                 ,A              ,M-G               ,                                   ,A                ,A                     ,R                               ,                   ,C                  ,                     ,                        ,                      ,                      ,                     ,                 ,                   ,                 ,                 ,                  ,                   ,                         ,                     ,                   ,                      ,                     ,                     ,                       ,C                    ,R                  ,R                      ,R                  ,                       ,R                     ,                        ,                            ,                           ,                           ,                       ,                  ,                     ,                   ,                     ,                    ,                    ,                       ,                               ,                  ,                 ,                ,                    ,                  ,                        ,                  ,                                    ,                    ,                   ,                     ,                       ,from ODP Leg 138 SR Chapter 12 Table 18 pp 274-277
