Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Miliammina echigoensis,Dentalina frobisherensis,Planularia asanoi,Dentalina setanaensis,Pandaglandulina sp. A,Lagena gracilis,Lagena distoma,Pyrgo spp.,Lagena laevis,Nodosariidae (taxa),Lagena pliocenica,Pyrgo depressa,Lagena nebulosa,Lagena elongata,Parafrondicularia sp. A,Frondicularia sp. A,Dentalina spp.,Nodosaria sp. A ,Lagena amphora,Pyrgo murrhina,Karreriella baccata japonica,Triloculina tricarinata,Miliolid spp.,Dentalina ittai ,Dentalina communis,Silicosigmoilina abyssalica,Lagena sesquistriata,Amphicoryina sp. A,Triloculina spp.,Quinqueloculina sp. B,Lagena gracillima,Sigmoilopsis schlumbergeri,Quinqueloculina sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 12,H, 3,  38.00,    106.4500,Kato     ,Benthic Foraminifers                         ,               ,P                 ,2                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,4             ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 12,H, 4,  19.00,    107.7600,Kato     ,Benthic Foraminifers                         ,               ,P                 ,2                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 13,H, 1,  65.00,    114.0500,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,                        ,                 ,                     ,                     ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,T                  ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 13,H, 4,  42.00,    118.3200,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,2                  ,                 ,              ,               ,               ,T                      ,1                  ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 13,H, 5,  38.00,    119.7800,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,T                ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 1,  38.00,    123.4800,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,T                  ,                 ,              ,T              ,T              ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 2,  42.00,    123.9300,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,                     ,               ,1             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 3,  41.00,    125.4200,Kato     ,Benthic Foraminifers                         ,               ,P                 ,2                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,T             ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 5,  40.00,    128.4100,Kato     ,Benthic Foraminifers                         ,               ,P                 ,3                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 6,  38.00,    129.8900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,T                       ,                 ,T                    ,                     ,               ,              ,          ,             ,2                  ,T                ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 7,  37.00,    131.3800,Kato     ,Benthic Foraminifers                         ,               ,P                 ,4                     ,                        ,                 ,                     ,T                    ,               ,              ,          ,T            ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 14,H, 8,  31.00,    132.8200,Kato     ,Benthic Foraminifers                         ,               ,P                 ,3                     ,T                       ,                 ,T                    ,3                    ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H, 1,  49.00,    133.2900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,                 ,                     ,T                    ,               ,              ,T         ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H, 2,  49.00,    134.6900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,T                     ,                        ,                 ,                     ,1                    ,               ,T             ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H, 3,  49.00,    136.1900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,T                     ,                        ,                 ,                     ,T                    ,T              ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H, 6,  49.00,    140.6900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                      ,                        ,T                ,T                    ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H, 7,  49.00,    142.1900,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                      ,T                       ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 15,H, 8,  49.00,    143.6900,Kato     ,Benthic Foraminifers                         ,               ,P                 ,2                     ,                        ,                 ,                     ,                     ,               ,              ,          ,             ,                   ,                 ,              ,               ,               ,                       ,                   ,              ,                ,              ,              ,                            ,                       ,             ,                ,                  ,                           ,                    ,                  ,                ,                     ,                 ,                          ,                     ,from ODP Leg 127&128 SR Chapter 22 Table 1 p 368-369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
