Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Hedbergella delrioensis	Planomalina buxtorfi	Hedbergella simplex	Hedbergella costellata	Globigerinelloides bentonensis	Thalmanninella reicheli	Praeglobotruncana spp.	Thalmanninella brotzeni	Rotalipora montsalvensis thomei	Praeglobotruncana stephani	Hedbergella spp.	Whiteinella archaeocretacea	Whiteinella aprica	Praeglobotruncana oraviensis oraviensis	Dicarinella imbricata	Dicarinella hagni	Praeglobotruncana gibba	Marginotruncana marianosi	Marginotruncana pseudolinneiana	Marginotruncana coronata	Hedbergella hoelzli	Hedbergella aubertae	Falsotruncana maslakovae	Marginotruncana renzi	Marginotruncana tarfayaensis	Marginotruncana augusticarinata	Heterohelix globulosa	Globigerinelloides asper	Praeglobotruncana semsalensis	Heterohelix spp.	Marginotruncana sinuosa	Heterohelix sphenoides	Globotruncana ventricosa	Schackoina spp.	Rosita fornicata	Hedbergella flandrini	Globotruncanita elevata	Globotruncana cf. ventricosa	Marginotruncana marginata	Dicarinella concavata	Pseudotextularia nuttalli	Globotruncana mariei	Globotruncana linneiana	Globotruncana arca	Contusotruncana fornicata	Dicarinella asymetrica	Laeviheterohelix turgida	Laeviheterohelix pulchra	Marginotruncana undulata	Rugoglobigerina pilula	Globotruncana sp. cf. G. arca	Globotruncanella minuta	Globigerinelloides spp.	Globotruncana sp. cf. G. rosetta	Contusotruncana fornicata manaurensis	Globotruncana bulloides	Rugoglobigerina rugosa	Globotruncanita stuartiformis	Schackoina multispinata	Heterohelix rajagopalani	Globotruncana rosetta	Rugoglobigerina milamensis	Globotruncana cf. falsostuarti	Rugotruncana subcircumnodifer	Planoglobulina riograndensis	Gublerina acuta	Globotruncanella havanensis	Pseudotextularia elegans	Gublerina cuvillieri	Globotruncana falsostuarti	Abathomphalus mayaroensis	Rugoglobigerina spp.	Pseudotextularia intermedia	Racemiguembelina fructicosa	Globotruncanita spp.	Globotruncana spp.	Contusotruncana walfischensis	Globotruncana dupeublei	Planoglobulina acervulinoides	Globotruncanita stuarti	Globotruncanita angulata	Contusotruncana contusa	Racemiguembelina cf. fructicosa	Planoglobulina multicamerata	Comment
  SR	Campanian        	                 	G. arca           	              	122	 762	C	 60	X	 2	  40.00	    717.9000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	                	                       	                      	C                       	               	                	                     	+                      	                            	                         	                     	                         	                    	R                      	A                 	                         	                      	                        	                        	                        	                      	                             	R                      	R                      	+                               	+                                    	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 61	X	 1	  65.00	    726.1500	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	C                       	               	                	                     	+                      	                            	                         	                     	                         	                    	A                      	+                 	                         	                      	                        	                        	                        	                      	                             	R                      	R                      	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 61	X	 2	  60.00	    727.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	                        	                             	A               	                       	                      	R                       	               	                	                     	                       	                            	                         	                     	                         	                    	C                      	R                 	                         	                      	                        	                        	                        	                      	                             	R                      	C                      	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 62	X	 1	  58.00	    735.5800	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	A               	                       	                      	                        	               	                	                     	+                      	                            	                         	                     	R                        	                    	C                      	                  	                         	                      	                        	                        	                        	R                     	+                            	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 62	X	 3	  60.00	    738.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	A                    	R                       	                             	A               	                       	                      	C                       	               	                	                     	                       	                            	                         	                     	+                        	                    	C                      	                  	                         	                      	                        	                        	                        	+                     	R                            	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Campanian        	                 	G. arca           	              	122	 762	C	 63	X	 1	  60.00	    745.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	R                       	                   	                    	                        	                     	                            	                               	A                    	R                       	                             	A               	R                      	                      	C                       	               	                	                     	                       	                            	                         	                     	                         	                    	C                      	                  	R                        	                      	                        	                        	+                       	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Santonian        	                 	D. asymetrica(Wndr)	              	122	 762	C	 63	X	 2	  60.00	    746.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	C                              	C                       	                   	                    	                        	                     	                            	                               	A                    	A                       	                             	                	R                      	                      	+                       	               	                	+                    	                       	                            	+                        	                     	R                        	                    	R                      	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Santonian        	                 	D. asymetrica(Wndr)	              	122	 762	C	 64	X	 1	  59.00	    754.5900	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	C                              	C                       	                   	                    	                        	                     	+                           	                               	A                    	A                       	                             	                	                       	                      	R                       	               	                	R                    	R                      	                            	                         	                     	+                        	                    	C                      	                  	                         	                      	                        	                        	R                       	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Santonian        	                 	D. asymetrica(Wndr)	              	122	 762	C	 64	X	 2	  59.00	    756.0900	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	R                       	                   	                    	                        	                     	                            	                               	A                    	R                       	                             	                	                       	                      	R                       	               	                	                     	                       	                            	                         	                     	+                        	                    	C                      	                  	                         	+                     	+                       	R                       	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Santonian        	                 	D. asymetrica(Wndr)	              	122	 762	C	 66	X	 1	  60.00	    765.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	R                       	                   	+                   	                        	                     	+                           	R                              	A                    	C                       	                             	                	                       	R                     	R                       	               	                	R                    	                       	                            	                         	+                    	                         	                    	A                      	                  	                         	+                     	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Santonian        	                 	Margin. spp.      	              	122	 762	C	 66	X	 2	  60.00	    767.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	+               	                           	                  	                                       	                     	                 	                       	                         	C                              	                        	                   	                    	                        	                     	                            	                               	A                    	R                       	                             	                	                       	C                     	R                       	               	                	                     	                       	                            	                         	                     	+                        	C                   	C                      	C                 	+                        	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	uncertain identity of G. arca(13116) & G. mariei(13161); from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Santonian        	                 	Margin. spp.      	              	122	 762	C	 68	X	 1	  60.00	    775.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	A                              	A                       	                   	R                   	                        	                     	                            	C                              	A                    	R                       	                             	                	                       	C                     	                        	               	                	R                    	R                      	                            	R                        	+                    	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Santonian        	Margin. spp.      	              	122	 762	C	 69	X	 2	  60.00	    782.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	C                          	                  	                                       	                     	                 	                       	                         	C                              	A                       	                   	R                   	                        	                     	C                           	                               	A                    	                        	                             	C               	                       	                      	                        	+              	+               	R                    	A                      	+                           	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	uncertain identity of R. fornicata; from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Santonian        	Margin. spp.      	              	122	 762	C	 70	X	 1	  64.00	    785.6400	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	R                          	                  	                                       	R                    	                 	                       	                         	C                              	C                       	                   	R                   	                        	                     	C                           	                               	A                    	+                       	                             	                	A                      	R                     	+                       	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Turonian         	F. maslakovae     	              	122	 762	C	 71	X	 1	  86.00	    790.8600	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	R                          	                  	                                       	R                    	                 	                       	                         	C                              	C                       	                   	                    	+                       	                     	                            	A                              	A                    	                        	+                            	A               	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Turonian         	F. maslakovae     	              	122	 762	C	 71	X	 2	  86.00	    792.3600	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	C                          	                  	                                       	                     	                 	                       	                         	R                              	                        	                   	R                   	+                       	                     	                            	C                              	C                    	                        	+                            	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Turonian         	F. maslakovae     	              	122	 762	C	 72	X	 1	  66.00	    795.6600	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	C                          	                  	                                       	R                    	                 	                       	                         	C                              	R                       	R                  	R                   	R                       	                     	R                           	C                              	C                    	R                       	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Turonian         	F. maslakovae     	              	122	 762	C	 72	X	 2	  66.00	    797.1600	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	C                          	                  	                                       	+                    	                 	                       	                         	C                              	A                       	+                  	                    	+                       	R                    	C                           	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Turonian         	F. maslakovae     	              	122	 762	C	 73	X	 1	  60.00	    800.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	+                          	                  	                                       	R                    	                 	                       	                         	C                              	C                       	+                  	C                   	                        	R                    	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Coniacian        	Turonian         	F. maslakovae     	              	122	 762	C	 73	X	 2	  60.00	    801.6000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	+                          	                  	                                       	+                    	                 	                       	                         	A                              	C                       	R                  	C                   	R                       	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	                 	                 	H. helvetica      	              	122	 762	C	 74	X	 3	  27.00	    807.7700	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	C                         	                	C                          	R                 	R                                      	C                    	C                	R                      	R                        	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	uncertain zone assignment; from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	                 	                 	                  	              	122	 762	C	 75	X	 1	  71.00	    810.2100	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	                       	                      	                       	                               	C                         	                	C                          	C                 	R                                      	C                    	C                	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	                 	                 	                  	              	122	 762	C	 76	X	 1	  61.00	    815.1100	Wonders  	Planktonic Foraminifers                      	               	                  	R                     	                       	                    	                   	                      	                              	                       	                      	                       	                               	                          	R               	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Cenomanian       	                 	Rotalipora spp.   	              	122	 762	C	 76	X	 2	  60.00	    816.6000	Wonders  	Planktonic Foraminifers                      	               	                  	+                     	                       	                    	                   	                      	                              	C                      	                      	+                      	R                              	C                         	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Cenomanian       	                 	Rotalipora spp.   	              	122	 762	C	 77	X	 1	  60.00	    820.1000	Wonders  	Planktonic Foraminifers                      	               	                  	                      	                       	                    	                   	                      	                              	C                      	+                     	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Albian           	                 	P. buxtorfi       	              	122	 762	C	 77	X	 4	  60.00	    824.6000	Wonders  	Planktonic Foraminifers                      	               	                  	A                     	                       	R                   	R                  	C                     	R                             	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

  SR	Albian           	                 	H. plan.(Wonders) 	              	122	 762	C	 78	X	 1	  61.00	    829.6100	Wonders  	Planktonic Foraminifers                      	               	                  	A                     	A                      	                    	                   	                      	                              	                       	                      	                       	                               	                          	                	                           	                  	                                       	                     	                 	                       	                         	                               	                        	                   	                    	                        	                     	                            	                               	                     	                        	                             	                	                       	                      	                        	               	                	                     	                       	                            	                         	                     	                         	                    	                       	                  	                         	                      	                        	                        	                        	                      	                             	                       	                       	                                	                                     	                       	                      	                             	                       	                        	                     	                          	                              	                             	                            	               	                           	                        	                    	                          	                         	                    	                           	                           	                    	                  	                             	                       	                             	                       	                        	                       	                               	                            	from ODP Leg 122 SR Chapter 35 Figure 3 back pocket

