Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sigali	Blefuscuiana daminiae	Praehedbergella ruka contritus	Hedbergella kuznetsovae	Globigerinelloides ferreolensis	Blefuscuiana rudis sensu stricto	Blefuscuiana hispaniae	Praehedbergella tuschepsensis grigelisi	Praehedbergella tatianae	Leupoldina cabri	Guembelitriella graysonensis	Globigerinelloides barri	Globigerinelloides algerianus	Blefuscuiana aptiana orientalis	Hedbergella infracretacea	Blefuscuiana excelsa cumulus	Blefuscuiana convexa	Praehedbergella tuschepsensis perforare	Hedbergella trocoidea	Hedbergella bizonae	Globigerinelloides aptiense	Blefuscuiana infracretacea occidentalis	Blefuscuiana albiana	Hedbergella delrioensis	Hedbergella gorbachikae	Hedbergella rischi	Hedbergella planispira	Favusella hiltermanni	Rotalipora appenninica	Whiteinella baltica	Hedbergella loetterlei	Globigerinelloides bentonensis	Archaeoglobigerina blowi	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncana linneiana	Contusotruncana fornicata	Marginotruncana undulata	Marginotruncana sinuosa	Marginotruncana pseudolinneiana	Globotruncana lapparenti	Pseudotextularia brownei	Pseudoguembelina costulata	Laeviheterohelix pulchra	Heterohelix globulosa	Globigerinelloides messinae	Globigerinelloides alvarezi	Globotruncana ventricosa	Globotruncana arca	Contusotruncana plummerae	Pseudotextularia elegans	Pseudoguembelina excolata	Globotruncanella havanensis	Rugoglobigerina pennyi	Globotruncanita stuarti	Globotruncanita conica	Contusotruncana contusa	Rugoglobigerina rugosa	Rugotruncana subpennyi	Rugoglobigerina hexacamerata	Laeviheterohelix glabrans	Rugotruncana subcircumnodifer	Pseudoguembelina palpebra	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Globotruncana aegyptiaca	Gansserina gansseri	Rugoglobigerina macrocephala	Globotruncanella citae	Woodringina hornerstownensis	Ventilabrella multicamerata	Abathomphalus intermedius	Praemurica pseudoinconstans	Parasubbotina pseudobulloides	Globoconusa daubjergensis	Globanomalina archeocompressa	Eoglobigerina eobulloides	Subbotina velascoensis	Subbotina triloculinoides	Subbotina cancellata	Parasubbotina varianta	Morozovella angulata	Acarinina nitida	Igorina albeari	Morozovella velascoensis	Morozovella conicotruncata	Globanomalina pseudomenardii	Morozovella occlusa	Acarinina subsphaerica	Morozovella pasionensis	Morozovella aequa	Globanomalina chapmani	Globanomalina australiformis	Morozovella subbotinae	Morozovella marginodentata	Morozovella edgari	Acarinina soldadoensis	Acarinina quetra	Subbotina eocaena	Pseudohastigerina micra	Planorotalites pseudoscitulus	Planorotalites palmerae	Igorina broedermanni	Acarinina primitiva	Acarinina bullbrooki	Morozovella aragonensis	Globigerinatheka senni	Truncorotaloides rohri	Morozovella spinulosa	Hantkenina bolivariana	Acarinina spinuloinflata	Acarinina pentacamerata	Turborotalia pomeroli	Turborotalia cerroazulensis	Subbotina praeturritilina	Subbotina frontosa	Globigerinatheka mexicana	Globigerinatheka subconglobata	Globigerina corpulenta	Chiloguembelina cubensis	Acarinina matthewsae	Turborotalia possagnoensis	Morozovella lehneri	Globigerinatheka kugleri	Subbotina hagni	Subbotina cryptomphala	Hantkenina alabamensis	Globigerinatheka index	Globigerinatheka beckmanni	Turborotalia increbescens	Turborotalia cunialensis	Turborotalia ampliapertura	Globoquadrina tripartita	Globigerina praebulloides	Turborotalia pseudoampliapertura	Globigerina officinalis	Globigerina euapertura	Catapsydrax dissimilis	Hantkenina primitiva	Globigerina ouachitaensis	Globigerina yeguaensis	Globigerina venezuelana	Globigerina tapuriensis	Globigerina pseudovenezuelana	Pseudohastigerina naguewichiensis	Globigerina cryptomphala	Globigerina sellii	Subbotina gortanii	Subbotina angiporoides	Paragloborotalia opima nana	Paragloborotalia opima opima	Globigerina ciperoensis	Globigerina angulisuturalis	Globoquadrina praedehiscens	Zeaglobigerina woodi	Sphaeroidinellopsis disjuncta	Globoquadrina dehiscens	Globoquadrina binaiensis	Globigerinoides trilobus	Globigerinoides immaturus	Globigerina angustiumbilicata	Fohsella peripheroronda	Fohsella birnageae	Dentoglobigerina altispira	Neogloboquadrina continuosa	Praeorbulina sicana	Globigerinoides sacculifer	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides bisphericus	Jenkinsella mayeri	Fohsella fohsi fohsi	Orbulina suturalis	Zeaglobigerina druryi	Fohsella lobata	Fohsella robusta	Globorotalia praemenardii	Comment

  IR	                 	                 	                  	              	192	1183	A	 22	R	 4	  84.00	    824.3400	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	A                       	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	R                        	                                	                       	F                     	                      	                    	                         	                      	R                      	                       	                             	                                 	                        	                  	                  	R                     	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	Undiff. middle Rupelian - P19/20

  IR	                 	                 	                  	              	192	1183	A	 22	R	CC	   1.00	    827.8500	Sikora   	Planktonic Foraminifers                      	A              	M                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	A                       	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	R                         	P                       	F                        	                                	R                      	A                     	                      	                    	                         	                      	F                      	                       	                             	                                 	                        	                  	                  	R                     	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P19 - 30.3-32.0Ma - early Oligocene - thin-section #6

  IR	                 	                 	                  	              	192	1183	A	 22	R	CC	  23.00	    828.0700	Sikora   	Planktonic Foraminifers                      	A              	M                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	A                       	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	R                       	F                        	                                	R                      	A                     	                      	                    	                         	                      	F                      	                       	                             	                                 	                        	P                 	                  	R                     	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P19 - see 22-cc, 1-4cm

  IR	                 	                 	                  	              	192	1183	A	 23	R	 6	  68.00	    836.7800	Sikora   	Planktonic Foraminifers                      	A              	M                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	R                	R                      	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	D                       	                    	                          	                   	                        	               	                      	                      	                      	                          	P                        	                        	A                         	R                       	F                        	R                               	R                      	A                     	                      	                    	                         	                      	F                      	                       	                             	P                                	                        	                  	R                 	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P18 - 32.0-33.8 Ma - thin section #7

  IR	                 	                 	                  	              	192	1183	A	 23	R	CC	  17.00	    837.0200	Sikora   	Planktonic Foraminifers                      	A              	G                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	R                	P                      	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	F                       	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	F                         	R                       	F                        	F                               	A                      	A                     	R                     	                    	                         	R                     	F                      	                       	R                            	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P18 - 32.0-33.8 Ma

  IR	                 	                 	                  	              	192	1183	A	 24	R	 1	  59.00	    838.7900	Sikora   	Planktonic Foraminifers                      	A              	VG                	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	R                	R                      	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	D                       	                    	                          	                   	                        	               	                      	                      	                      	                          	P                        	                        	F                         	P                       	R                        	R                               	                       	D                     	                      	                    	                         	                      	                       	                       	F                            	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P18 - 32-33.8Ma - earliest Oligocene - thin-section #8

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	   0.00	    839.7000	Sikora   	Planktonic Foraminifers                      	A              	M                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	F                	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	R                       	                    	                          	                   	                        	               	                      	                      	                      	                          	R                        	                        	F                         	                        	                         	F                               	R                      	A                     	F                     	                    	                         	A                     	F                      	R                      	F                            	                                 	                        	P                 	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P18 - 32-33.8Ma - earliest Oligocene

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	  25.00	    839.9500	Sikora   	Planktonic Foraminifers                      	A              	G                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	F                	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	R                       	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	R                         	                        	                         	R                               	F                      	A                     	F                     	                    	                         	A                     	F                      	R                      	F                            	F                                	R                       	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P18 - 32-33.8Ma - earliest Oligocene - Eocene by nannos

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	  75.00	    840.4500	Sikora   	Planktonic Foraminifers                      	A              	G                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	F                	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	R                        	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	F                      	A                     	F                     	                    	                         	A                     	F                      	                       	A                            	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P18 - 32-33.8Ma - earliest Oligocene - Eocene by nannos

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	 114.00	    840.8400	Sikora   	Planktonic Foraminifers                      	A              	G                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	R                	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	P                        	                        	                          	                        	                         	                                	R                      	F                     	R                     	R                   	                         	F                     	R                      	P                      	A                            	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	       
