Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella roberti,Ticinella raynaudi,Ticinella primula,Clavihedbergella subcretacea,Globigerinelloides bentonensis,Clavihedbergella moremani,Ticinella madecassiana,Clavihedbergella simplex,Hedbergella planispira,Biticinella breggiensis,Heterohelix moremani,Costellagerina libyca,Hedbergella delrioensis,Guembelitria cenomana,Whiteinella baltica,Rotalipora brotzeni,Globigerinelloides caseyi,Schackoina cenomana,Rotalipora gandolfii,Whiteinella archaeocretacea,Heterohelix reussi,Heterohelix globulosa,Whiteinella inornata,Whiteinella brittonensis,Marginotruncana pseudolinneiana,Rugoglobigerina rugosa,Globigerinelloides prairiehillensis,Gansserina gansseri,Subbotina velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina nitida,Subbotina triangularis,Morozovella velascoensis,Igorina albeari,Subbotina triloculinoides,Morozovella subbotinae,Acarinina coalingensis,Subbotina patagonica,Morozovella allisonensis,Acarinina esnaensis,Acarinina sibaiyaensis,Acarinina wilcoxensis,Morozovella acutispira,Igorina broedermanni,Pseudohastigerina wilcoxensis,Morozovella marginodentata,Morozovella gracilis,Chiloguembelina wilcoxensis,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella formosa,Globigerina lozanoi,Chiloguembelina midwayensis,Comment
  IR,                 ,                 ,                  ,              ,207,1258,C, 27,R,CC,  19.00,    451.7400,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                 ,                  ,P                ,                            ,P                             ,                         ,                      ,                        ,P                     ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 28,R,CC,  20.00,    454.3800,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,P                ,                  ,P                ,                            ,P                             ,                         ,P                     ,P                       ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 29,R,CC,  14.00,    460.8400,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                 ,                  ,P                ,P                           ,P                             ,                         ,P                     ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 30,R,CC,  26.00,    465.7100,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,P                ,P                           ,                              ,                         ,P                     ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 31,R, 3,  53.00,    469.9300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,P                ,P                 ,P                ,P                           ,P                             ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 31,R,CC,   7.00,    470.0200,forams   ,Planktonic Foraminifers                      ,               ,                  ,+                ,+                 ,+                ,+                           ,+                             ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 32,R,CC,  12.00,    473.5000,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,P                ,P                 ,P                ,P                           ,P                             ,P                        ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 33,R,CC,  17.00,    479.9300,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,P                ,                  ,P                ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 34,R,CC,   0.00,    484.8800,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,P                ,P                 ,P                ,P                           ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
