file,path,empty_rows_columns,remove_identical_rows,remove_identical_columns,add_expedition_section_cols,rename_label_id,add_sample_name
353_macroscopic_U1448B.csv,Lithology_CSV/353_macroscopic_U1448B.csv,False,False,False,True,False,False
346_description_U1422D.csv,Lithology_CSV/346_description_U1422D.csv,False,False,False,True,False,False
353_macroscopic_U1444A.csv,Lithology_CSV/353_macroscopic_U1444A.csv,False,False,False,True,False,False
329_sediment_U1365A.csv,Lithology_CSV/329_sediment_U1365A.csv,True,False,False,False,False,False
344_sediment_U1414A.csv,Lithology_CSV/344_sediment_U1414A.csv,False,False,False,False,True,False
356-U1462A_macroscopic (1).csv,Lithology_CSV/356-U1462A_macroscopic (1).csv,False,False,False,True,False,False
327_sediment_U1363D.csv,Lithology_CSV/327_sediment_U1363D.csv,True,False,False,False,True,False
329_sediment_U1369B.csv,Lithology_CSV/329_sediment_U1369B.csv,True,False,False,False,False,False
330_sediment_U1373A.csv,Lithology_CSV/330_sediment_U1373A.csv,False,False,False,False,True,False
329_sediment_U1368F.csv,Lithology_CSV/329_sediment_U1368F.csv,True,False,False,False,False,False
354_macroscopic_U1452B.csv,Lithology_CSV/354_macroscopic_U1452B.csv,False,False,False,True,False,False
342_sediment_U1403A.csv,Lithology_CSV/342_sediment_U1403A.csv,True,False,False,False,True,False
362_macro_U1480H.csv,Lithology_CSV/362_macro_U1480H.csv,False,False,False,True,False,False
359-U1465A_macroscopic.csv,Lithology_CSV/359-U1465A_macroscopic.csv,False,False,False,True,False,False
369_U1513A_macroscopic_mgt_SH.csv,Lithology_CSV/369_U1513A_macroscopic_mgt_SH.csv,False,False,False,True,False,False
369_U1515A_macroscopic-tmq_SH.csv,Lithology_CSV/369_U1515A_macroscopic-tmq_SH.csv,False,False,False,True,False,False
X363-U1487B-macroscopic.csv,Lithology_CSV/X363-U1487B-macroscopic.csv,False,False,False,True,False,False
354_macroscopic_U1452C.csv,Lithology_CSV/354_macroscopic_U1452C.csv,False,False,False,True,False,False
329_sediment_U1369C.csv,Lithology_CSV/329_sediment_U1369C.csv,True,False,False,False,False,False
356-U1463D_macroscopic.csv,Lithology_CSV/356-U1463D_macroscopic.csv,False,False,False,True,False,False
371_macroscopic_U1509A.csv,Lithology_CSV/371_macroscopic_U1509A.csv,False,False,False,True,False,False
368_macroscopic_U1501A.csv,Lithology_CSV/368_macroscopic_U1501A.csv,False,False,False,True,False,False
353_macroscopic_U1448C.csv,Lithology_CSV/353_macroscopic_U1448C.csv,False,False,False,True,False,False
346_description_U1422E.csv,Lithology_CSV/346_description_U1422E.csv,False,False,False,True,False,False
346_description_U1423A.csv,Lithology_CSV/346_description_U1423A.csv,False,False,False,True,False,False
329_sediment_U1371H.csv,Lithology_CSV/329_sediment_U1371H.csv,True,False,False,False,False,False
320 Core Description_U1334C.csv,Lithology_CSV/320 Core Description_U1334C.csv,True,False,False,False,True,False
375_U1520D_macroscopic.csv,Lithology_CSV/375_U1520D_macroscopic.csv,False,False,False,True,False,False
X363-U1489C-macroscopic.csv,Lithology_CSV/X363-U1489C-macroscopic.csv,False,False,False,True,False,False
356-U1459C_macroscopic.csv,Lithology_CSV/356-U1459C_macroscopic.csv,False,False,False,True,False,False
340_sediment_U1399B.csv,Lithology_CSV/340_sediment_U1399B.csv,True,False,False,False,True,False
352_U1440B_macroscopic.csv,Lithology_CSV/352_U1440B_macroscopic.csv,False,False,False,True,False,False
340_sediment_U1395A.csv,Lithology_CSV/340_sediment_U1395A.csv,False,False,False,False,True,False
353_macroscopic_U1448A.csv,Lithology_CSV/353_macroscopic_U1448A.csv,False,False,False,True,False,False
320 Core Description_U1334A.csv,Lithology_CSV/320 Core Description_U1334A.csv,True,False,False,False,True,False
346_description_U1423C.csv,Lithology_CSV/346_description_U1423C.csv,False,False,False,True,False,False
353_macroscopic_U1444B.csv,Lithology_CSV/353_macroscopic_U1444B.csv,False,False,False,True,False,False
329_sediment_U1365B.csv,Lithology_CSV/329_sediment_U1365B.csv,True,False,False,False,False,False
368_macroscopic_U1501C.csv,Lithology_CSV/368_macroscopic_U1501C.csv,False,True,False,True,False,False
327_sediment_U1363G.csv,Lithology_CSV/327_sediment_U1363G.csv,False,False,False,False,True,False
329_sediment_U1368E.csv,Lithology_CSV/329_sediment_U1368E.csv,True,False,False,False,False,False
354_macroscopic_U1452A.csv,Lithology_CSV/354_macroscopic_U1452A.csv,False,False,False,True,False,False
324 sediment description_U1349A.csv,Lithology_CSV/324 sediment description_U1349A.csv,True,False,False,False,True,False
342_sediment_U1403B.csv,Lithology_CSV/342_sediment_U1403B.csv,True,False,False,False,True,False
351_macroscopic_U1438E.csv,Lithology_CSV/351_macroscopic_U1438E.csv,False,False,False,False,False,False
351_macroscopic_U1438D.csv,Lithology_CSV/351_macroscopic_U1438D.csv,False,False,False,False,False,False
X363-U1482C-macroscopic.csv,Lithology_CSV/X363-U1482C-macroscopic.csv,False,False,False,True,False,False
329_sediment_U1368D.csv,Lithology_CSV/329_sediment_U1368D.csv,True,False,False,False,False,False
327_sediment_U1363F.csv,Lithology_CSV/327_sediment_U1363F.csv,True,False,False,False,True,False
U1456B_macroscopic_20160421.csv,Lithology_CSV/U1456B_macroscopic_20160421.csv,False,False,False,True,False,False
329_sediment_U1365C.csv,Lithology_CSV/329_sediment_U1365C.csv,True,False,False,False,False,False
368_macroscopic_U1501B.csv,Lithology_CSV/368_macroscopic_U1501B.csv,False,False,False,True,False,False
374_U1522A_macroscopic.csv,Lithology_CSV/374_U1522A_macroscopic.csv,False,False,False,True,False,False
346_description_U1423B.csv,Lithology_CSV/346_description_U1423B.csv,False,False,False,True,False,False
359-U1471A_macroscopic.csv,Lithology_CSV/359-U1471A_macroscopic.csv,False,False,False,True,False,False
X363-U1486D-macroscopic.csv,Lithology_CSV/X363-U1486D-macroscopic.csv,False,False,False,True,False,False
356-U1462B_macroscopic.csv,Lithology_CSV/356-U1462B_macroscopic.csv,False,False,False,True,False,False
366_macroscopic_U1491A.csv,Lithology_CSV/366_macroscopic_U1491A.csv,False,False,False,True,False,False
352_U1442A_macroscopic.csv,Lithology_CSV/352_U1442A_macroscopic.csv,False,False,False,True,False,False
346_description_U1422B.csv,Lithology_CSV/346_description_U1422B.csv,False,False,False,True,False,False
X363-U1486C-macroscopic.csv,Lithology_CSV/X363-U1486C-macroscopic.csv,False,False,False,True,False,False
353_macroscopic_U1445C.csv,Lithology_CSV/353_macroscopic_U1445C.csv,False,False,False,True,False,False
