Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia kugleri,Globorotalia cerroazulensis pomeroli,Globigerinoides primordius,Neogloboquadrina continuosa,Globorotalia mayeri,Globorotalia fohsi peripheroronda,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina dehiscens,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides cf. altiapertura,Globigerinita glutinata,Globigerina angustiumbilicata,Catapsydrax dissimilis,Praeorbulina sicanus,Globigerinoides subquadratus,Globigerinoides immaturus,Catapsydrax unicavus,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Globigerina praebulloides,Globigerina decoraperta,Sphaeroidinellopsis disjuncta,Praeorbulina cf. sicanus,Globorotalia praescitula,Globorotalia bella,Globorotalia acrostoma,Globoquadrina tripartita,Globigerinoides obliquus,Globigerinella obesa,Praeorbulina transitoria,Praeorbulina glomerosa,Globorotalia archeomenardii,Orbulina suturalis,Globorotalia fohsi peripheroacuta,Globigerina druryi,Orbulina universa,Globigerina bulloides,Globorotalia praemenardii,Orbulina bilobata,Globorotalia fohsi fohsi,Globorotalia fohsi cf. lobata,Sphaeroidinellopsis subdehiscens,Globorotalia cf. scitula,Globigerinoides cf. mitra,Clavatorella bermudezi,Globorotalia fohsi lobata,Globorotalia scitula,Sphaeroidinellopsis seminulina,Globorotalia fohsi robusta,Globorotalia margaritae evoluta,Globorotalia inflata,Globorotalia exilis,Globoquadrina altispira globosa,Globigerina falconensis,Globorotalia aff. conoidea,Neogloboquadrina acostaensis,Globorotalia truncatulinoides,Globorotalia plesiotumida,Globorotalia limbata,Globorotalia cf. Gr. plesiotumida,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina nepenthes,Globorotalia menardii,Globigerinoides ruber,Globigerina woodi,Globorotalia merotumida,Globorotalia cf. paralenguaensis,Globigerinoides cf. conglobatus,Neogloboquadrina humerosa,Globorotalia paralenguaensis,Globorotalia juanai,Globorotalia cibaoensis,Globigerinoides cf. bollii,Globorotalia cf. Gr. multicamerata,Neogloboquadrina pseudopachyderma,Globigerinoides siegliei,Neogloboquadrina blowi,Hastigerina pelagica,Candeina nitida,Globigerinoides bulloideus,Sphaeroidinellopsis paenedehiscens,Globorotalia miocenica,Globorotalia margaritae margaritae,Globorotalia cf. Gr. juanai,Globoquadrina cf. baroemoenensis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia multicamerata,Globorotalia flexuosa,Globorotalia cf. Gr. miocenica,Neogloboquadrina pseudopima,Globorotalia crassaformis oceanica,Globorotalia crassaformis crassaformis,Globorotalia aff. bermudezi,Globigerina rubescens,Globigerinoides trilobus fistulosus,Globigerinoides trilobus cf. fistulosus,Globorotalia pertenuis,Globorotalia crassaformis ronda,Globigerina incisa,Globorotalia crassaformis viola,Neogloboquadrina cf. acostaensis,Globorotalia planispira,Globorotalia tosaensis,Globorotalia crassaformis cf. hessi,Globorotalia ungulata,Globorotalia tumida,Globigerina calida calida,Globorotalia crassaformis hessi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 627,B,  5,H,CC,  13.00,     44.3400,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,R                                ,F                       ,R                            ,                                ,R                      ,                             ,                      ,                    ,                            ,R                        ,                    ,                            ,F                         ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,R                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,R                             ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,R                           ,                             ,R                        ,                    ,                                 ,F                       ,F                          ,                             ,F                    ,                     ,F                    ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,R                                 ,                      ,R                                 ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 627,B,  6,H,CC,  13.00,     53.6300,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,R                                ,F                       ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,R                        ,                    ,                            ,F                         ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,R                       ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,R                    ,                         ,R                ,                        ,r                            ,                                ,                        ,                         ,                      ,                         ,R                   ,R                             ,                          ,R                              ,                    ,                   ,                               ,                       ,                          ,R                           ,                             ,F                        ,F                   ,                                 ,C                       ,F                          ,R                            ,                     ,R                    ,                     ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,T                       ,                      ,                    ,R              ,                          ,F                                 ,                      ,T                                 ,R                          ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 627,B,  7,H, 2,  25.00,     55.5500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,F                                ,R                       ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,C                        ,                    ,T                           ,R                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,F                       ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,R                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,R                   ,T                             ,                          ,                               ,                    ,                   ,                               ,R                      ,                          ,R                           ,D                            ,                         ,                    ,                                 ,F                       ,F                          ,R                            ,R                    ,                     ,F                    ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,F                                 ,                                 ,R                       ,                      ,                    ,T              ,                          ,                                  ,                      ,                                  ,                           ,                                ,R                        ,D                           ,D                         ,T                         ,D                    ,R                             ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 627,B,  7,H,CC,  16.00,     63.2600,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,T                        ,                           ,T                      ,R                                ,R                       ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,                          ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,F                       ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,R                    ,                         ,R                ,                        ,                             ,R                               ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,R                              ,                    ,                   ,R                              ,                       ,T                         ,R                           ,D                            ,F                        ,R                   ,                                 ,F                       ,R                          ,                             ,                     ,                     ,                     ,                 ,                       ,                                ,R                              ,                         ,                            ,R                  ,R                      ,                          ,T                                 ,                                 ,R                       ,                      ,                    ,               ,                          ,R                                 ,D                     ,R                                 ,R                          ,R                               ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  8,H, 1,  25.00,     63.5500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,R                          ,                   ,                                 ,                         ,                           ,R                      ,F                                ,                        ,F                            ,                                ,                       ,                             ,                      ,                    ,                            ,F                        ,                    ,R                           ,A                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,F                       ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,F                ,                        ,                             ,R                               ,                        ,                         ,                      ,                         ,R                   ,R                             ,                          ,                               ,                    ,                   ,F                              ,                       ,                          ,F                           ,                             ,R                        ,R                   ,                                 ,R                       ,                           ,R                            ,F                    ,                     ,                     ,                 ,R                      ,T                               ,                               ,R                        ,                            ,R                  ,R                      ,                          ,                                  ,T                                ,                        ,                      ,R                   ,R              ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  8,H, 2,  25.00,     65.0500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,C                                ,                        ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,                         ,                    ,                            ,C                         ,R                        ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,C                       ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,A                ,F                    ,                         ,F                ,                        ,                             ,                                ,R                       ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,                   ,                               ,R                      ,                          ,F                           ,                             ,                         ,R                   ,                                 ,                        ,R                          ,F                            ,R                    ,F                    ,                     ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,R                                 ,                                 ,                        ,                      ,                    ,T              ,F                         ,R                                 ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  8,H, 3,  25.00,     66.5500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,R                          ,                   ,                                 ,                         ,                           ,T                      ,F                                ,                        ,                             ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,R                    ,                         ,R                ,                        ,                             ,R                               ,                        ,                         ,                      ,                         ,R                   ,                              ,                          ,                               ,                    ,                   ,R                              ,T                      ,R                         ,R                           ,                             ,                         ,                    ,T                                ,F                       ,T                          ,F                            ,R                    ,                     ,                     ,                 ,                       ,                                ,R                              ,T                        ,                            ,                   ,                       ,                          ,F                                 ,                                 ,                        ,                      ,                    ,               ,R                         ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  8,H, 4,  25.00,     68.0500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,R                          ,                   ,                                 ,T                        ,                           ,                       ,F                                ,F                       ,                             ,                                ,                       ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,T                      ,                             ,                        ,                        ,                  ,                      ,                        ,F                       ,F                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,R                    ,                         ,F                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,R                   ,R                             ,                          ,                               ,                    ,                   ,R                              ,                       ,                          ,R                           ,                             ,                         ,                    ,R                                ,R                       ,                           ,F                            ,R                    ,                     ,                     ,                 ,                       ,                                ,R                              ,                         ,                            ,                   ,R                      ,                          ,F                                 ,                                 ,R                       ,                      ,                    ,               ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  8,H, 6,  25.00,     71.0500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,F                                ,C                       ,                             ,                                ,                       ,                             ,                      ,                    ,                            ,C                        ,                    ,                            ,F                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,F                       ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,R                             ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,T                           ,                             ,R                        ,                    ,                                 ,                        ,                           ,F                            ,T                    ,                     ,                     ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,R                      ,                          ,F                                 ,                                 ,T                       ,                      ,                    ,T              ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  8,H,CC,   9.00,     72.0300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,R                          ,                   ,                                 ,                         ,                           ,                       ,R                                ,                        ,                             ,                                ,                       ,                             ,                      ,                    ,                            ,                         ,                    ,                            ,                          ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,R                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,F                           ,                             ,                         ,                    ,                                 ,                        ,                           ,                             ,F                    ,F                    ,                     ,                 ,                       ,                                ,                               ,R                        ,                            ,F                  ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  9,H, 2,  25.00,     74.6500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,F                                ,F                       ,                             ,                                ,                       ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,F                ,                        ,                             ,R                               ,                        ,                         ,                      ,                         ,                    ,R                             ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,R                           ,                             ,                         ,R                   ,                                 ,R                       ,R                          ,R                            ,R                    ,                     ,R                    ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,                                  ,                                 ,F                       ,R                     ,R                   ,R              ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  9,H, 3,  25.00,     76.1500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,R                        ,                           ,T                      ,R                                ,F                       ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,                         ,                    ,                            ,R                         ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,F                       ,F                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,T                    ,                         ,F                ,                        ,                             ,F                               ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,T                              ,                    ,                   ,                               ,                       ,                          ,R                           ,                             ,                         ,                    ,R                                ,F                       ,                           ,R                            ,F                    ,                     ,R                    ,                 ,                       ,                                ,                               ,                         ,T                           ,R                  ,                       ,                          ,                                  ,R                                ,T                       ,                      ,                    ,               ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  9,H, 4,  25.00,     77.6500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,F                      ,                                 ,                        ,F                            ,                                ,                       ,                             ,                      ,                    ,                            ,                         ,                    ,                            ,                          ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,T                       ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,A                ,                     ,                         ,F                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,                            ,                             ,                         ,                    ,T                                ,                        ,                           ,F                            ,F                    ,F                    ,                     ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,T                                 ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. humerosa       ,              ,101, 627,B,  9,H, 6,  25.00,     80.6500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,R                      ,R                                ,                        ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,R                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,R                       ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,A                ,                     ,                         ,F                ,                        ,                             ,R                               ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,T                           ,                             ,F                        ,F                   ,                                 ,                        ,                           ,                             ,F                    ,                     ,                     ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,                      ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
