Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira leptopus,Thalassiosira antiqua,Thalassionema nitzschioides,Rouxia californica,Rhizosolenia styliformis,Neodenticula kamtschatica,Delphineis spp.,Coscinodiscus spp. (large forms),Coscinodiscus marginatus,Chaetoceros spp. (resting spores),Actinoptychus senarius,Paralia sulcata,Nitzschia reinholdii,Nitzschia praereinholdii,Nitzschia aff. rolandii,Denticulopsis hustedtii,Thalassiosira aff. antiqua,Stephanopyxis dimorpha,Pseudoeunotia doliolus,Nitzschia fossilis,Neodenticula seminae,Freshwater diatoms,Simonseniella barboi,Actinocyclus ingens,Thalassiosira oestrupii,Neodenticula seminae-koizumii (undiffer.),Actinocyclus curvatulus,Thalassiosira spp.,Stephanopyxis spp.,Neodenticula koizumii,Hemidiscus cuneiformis,Azpeitia nodulifera,Proboscia alata,Thalassiosira aff. oestrupii,Thalassiosira aff. nativa,Nitzschia marina,Neodenticula aff. kamschatica,Crucidenticula sp.,Thalassiosira aff. jacksonii,Thalassiosira convexa var. aspinosa,Thalassiosira nativa,Thalassiosira minutissima,Thalassionema schraderi,Synedra jouseana,Rouxia fusiformis,Nitzschia cylindrica,Denticulopsis spp.,Denticulopsis dimorpha,Thalassiosira miocenica,Thalassiosira yabei,Thalassiosira grunowii,Simonseniella praebarboi,Rhizosolenia miocenica,Denticulopsis praedimorpha,Thalassiosira temperei,Lithodesmium californicum,Denticulopsis katayamae,Thalassiosira brunii,Lithodesmium cornigerum,Thalassiosira multipora,Simonseniella curvirostris,Thalassiosira jouseae,Comment
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D, 11,X, 2,  46.00,    111.4600,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,                     ,C                          ,                  ,R                       ,                         ,               ,F                               ,                        ,A                                ,                      ,               ,R                   ,                        ,                       ,                       ,                          ,R                     ,                      ,                  ,F                   ,R                 ,R                   ,                   ,                       ,F                                        ,                       ,                  ,                  ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,F                 ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D, 12,X, 2,  91.00,    121.4100,Fourtanier,Diatoms                                      ,C              ,MP                ,R                        ,                      ,R                    ,F                          ,                  ,R                       ,                         ,               ,                                ,R                       ,A                                ,                      ,               ,                    ,                        ,                       ,                       ,                          ,F                     ,                      ,R                 ,R                   ,R                 ,                    ,R                  ,                       ,R                                        ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D, 12,X, 3,  81.00,    122.8100,Fourtanier,Diatoms                                      ,F              ,P                 ,R                        ,                      ,R                    ,F                          ,                  ,                        ,                         ,               ,                                ,R                       ,F                                ,R                     ,R              ,                    ,                        ,                       ,                       ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,                   ,                       ,R                                        ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D, 13,X,CC,  13.00,    128.6300,Fourtanier,Diatoms                                      ,A              ,M                 ,R                        ,R                     ,F                    ,C                          ,R                 ,F                       ,R                        ,F              ,                                ,F                       ,F                                ,                      ,               ,R                   ,                        ,R                      ,                       ,                          ,                      ,                      ,R                 ,                    ,F                 ,                    ,                   ,R                      ,                                         ,                       ,R                 ,R                 ,                     ,R                     ,R                  ,               ,R                           ,R                        ,R               ,R                            ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D, 14,X, 1,  76.00,    138.7600,Fourtanier,Diatoms                                      ,F              ,M                 ,R                        ,                      ,F                    ,F                          ,                  ,R                       ,                         ,R              ,F                               ,R                       ,C                                ,                      ,R              ,                    ,                        ,                       ,                       ,                          ,R                     ,                      ,                  ,                    ,R                 ,R                   ,                   ,                       ,                                         ,                       ,                  ,R                 ,R                    ,                      ,                   ,R              ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D, 15,X, 1,  80.00,    148.3000,Fourtanier,Diatoms                                      ,F-C            ,MP                ,R                        ,                      ,                     ,C                          ,                  ,                        ,                         ,               ,R                               ,                        ,C                                ,                      ,               ,                    ,                        ,                       ,                       ,                          ,R                     ,                      ,                  ,                    ,R                 ,R                   ,                   ,                       ,R                                        ,                       ,R                 ,R                 ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D, 15,X, 2,  37.00,    149.3700,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                      ,                     ,A                          ,                  ,R                       ,                         ,               ,                                ,F                       ,A                                ,R                     ,               ,                    ,                        ,                       ,                       ,                          ,R                     ,                      ,R                 ,                    ,F                 ,F                   ,                   ,R                      ,R                                        ,R                      ,R                 ,R                 ,R                    ,R                     ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D, 15,X, 3,  77.00,    151.2700,Fourtanier,Diatoms                                      ,C              ,M                 ,F                        ,                      ,R                    ,A                          ,                  ,                        ,R                        ,               ,R                               ,R                       ,A                                ,                      ,               ,                    ,                        ,                       ,                       ,                          ,F                     ,                      ,                  ,R                   ,R                 ,                    ,                   ,R                      ,R                                        ,R                      ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,146, 892,D, 16,X, 1,  37.00,    157.3700,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,                     ,C                          ,                  ,                        ,                         ,R              ,F                               ,R                       ,C                                ,                      ,               ,R                   ,                        ,                       ,R                      ,                          ,R                     ,R                     ,R                 ,F                   ,                  ,                    ,R                  ,R                      ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,146, 892,D, 16,X, 2,  31.00,    158.3400,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,                     ,A                          ,                  ,R                       ,                         ,F              ,F                               ,                        ,A                                ,                      ,               ,R                   ,                        ,                       ,R                      ,                          ,F                     ,R                     ,R                 ,F                   ,R                 ,R                   ,R                  ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,146, 892,D, 16,X, 3,  35.00,    159.8600,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,                     ,C                          ,                  ,                        ,                         ,F              ,F                               ,                        ,A                                ,                      ,               ,                    ,                        ,                       ,                       ,R                         ,R                     ,R                     ,R                 ,F                   ,R                 ,                    ,                   ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D, 16,X, 4, 106.00,    162.0700,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,F                    ,A                          ,F                 ,R                       ,                         ,               ,                                ,F                       ,A                                ,R                     ,R              ,R                   ,R                       ,R                      ,R                      ,                          ,                      ,                      ,                  ,                    ,                  ,                    ,                   ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D, 16,X, 5,  53.00,    163.0400,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,R                     ,F                    ,A                          ,R                 ,R                       ,R                        ,F              ,F                               ,F                       ,A                                ,F                     ,               ,                    ,                        ,                       ,                       ,                          ,                      ,                      ,                  ,                    ,                  ,                    ,                   ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
