Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina angiporoides,Paragloborotalia nana,Globorotaloides suteri,Globigerinatheka index,Globigerina officinalis,Tenuitellinata insolita,Subbotina brevis,Catapsydrax dissimilis,Tenuitella gemma,Dentoglobigerina globularis,Chiloguembelina cubensis,Catapsydrax unicavus,Turborotalia euapertura,Paragloborotalia semivera,Paragloborotalia continuosa,Globoturborotalita woodi,Globoquadrina dehiscens,Globigerina praebulloides,Globigerina bulloides,Dentoglobigerina baroemoenensis,Globoturborotalita connecta,Globoturborotalita brazieri,Globigerinoides immaturus,Globigerinita glutinata,Globigerina ciperoensis,Globorotalia praescitula,Globorotalia incognita,Globorotalia zealandica,Globorotalia miozea,Globorotalia conoidea,Globigerinoides trilobus,Globigerinella obesa,Sphaeroidinellopsis paenedehiscens,Praeorbulina sicana,Globigerinita uvula,Praeorbulina curva,Orbulina suturalis,Praeorbulina transitoria,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia panda,Globigerinoides diminutus,Paragloborotalia mayeri,Globorotalia scitula,Globigerinella pseudobesa,Paragloborotalia nympha,Globoturborotalita druryi,Globigerinoides obliquus,Orbulina universa,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globigerina quinqueloba,Globoturborotalita apertura,Globorotalia pliozea,Globigerina falconensis,Neogloboquadrina pachyderma (sinistral),Globorotalia inflata,Globorotalia explicationis,Globorotalia conomiozea,Globigerinella aequilateralis,Tenuitellinata angustiumbilicata,Globorotalia sphericomiozea,Globorotalia crassula,Globigerinoides kennetti,Globorotalia crassaformis,Globorotalia crassaconica,Globorotalia puncticulata,Globorotalia hirsuta,Globigerinoides elongatus,Globorotalia margaritae,Globorotalia ungulata,Comment
  IR,                 ,                 ,                  ,SN6           ,189,1168,A, 26,X,CC,  26.00,    243.5300,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,+                  ,                     ,+                       ,                    ,                                  ,                   ,                   ,                  ,+                 ,+                       ,+                          ,+                     ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,chalky sediments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,A, 27,X,CC,  39.00,    253.2800,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,+                  ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,+                 ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,A, 28,X,CC,  44.00,    260.2900,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,                     ,+                              ,                           ,                           ,+                        ,                       ,                       ,+                       ,                      ,                       ,+                  ,                     ,+                       ,                    ,                                  ,                   ,+                  ,+                 ,+                 ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,chalky sediments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN4           ,189,1168,A, 29,X,CC,  32.00,    272.3400,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,+                     ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,+                    ,+                              ,                           ,                           ,+                        ,                       ,                       ,+                       ,                      ,+                      ,+                  ,                     ,+                       ,                    ,+                                 ,+                  ,+                  ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN4           ,189,1168,A, 30,X,CC,   6.00,    281.4800,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,+                    ,+                              ,                           ,+                          ,                         ,+                      ,                       ,+                       ,                      ,+                      ,+                  ,+                    ,+                       ,+                   ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN3           ,189,1168,A, 31,X,CC,  30.00,    291.5900,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,+                        ,                           ,+                       ,                       ,+                        ,+                    ,+                              ,+                          ,+                          ,                         ,                       ,                       ,+                       ,+                     ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN3           ,189,1168,A, 32,X,CC,   0.00,    300.5800,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,+                    ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,+                        ,                           ,+                       ,+                      ,+                        ,+                    ,+                              ,                           ,                           ,+                        ,+                      ,+                      ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN3           ,189,1168,A, 33,X,CC,  32.00,    309.9700,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,+                    ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,+                        ,                           ,+                       ,+                      ,+                        ,                     ,                               ,+                          ,+                          ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,fragmentation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN2           ,189,1168,A, 34,X,CC,   0.00,    319.4500,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,fragmented shells
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN2           ,189,1168,A, 35,X,CC,  39.00,    328.8200,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,+                        ,                           ,+                       ,+                      ,+                        ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,shells heavily fragmented
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN2           ,189,1168,A, 36,X,CC,  35.00,    339.0200,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,+                    ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,+                      ,+                        ,                           ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN2           ,189,1168,A, 37,X,CC,  29.00,    348.5900,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,+                      ,+                        ,+                          ,+                       ,+                      ,+                        ,+                    ,+                              ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN1           ,189,1168,A, 42,X,CC,  32.00,    396.6100,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 43,X,CC,  34.00,    406.0100,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 44,X,CC,  32.00,    415.4700,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 45,X,CC,  37.00,    425.5000,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 46,X,CC,  37.00,    435.1000,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 47,X,CC,  38.00,    444.2200,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 48,X,CC,  35.00,    454.1900,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 49,X,CC,  41.00,    463.6900,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 50,X,CC,  43.00,    472.7000,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 51,X,CC,  35.00,    483.1600,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 52,X,CC,  33.00,    492.0600,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 53,X,CC,  34.00,    501.4600,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 54,X,CC,  30.00,    511.7400,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 55,X,CC,  31.00,    521.1500,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 56,X,CC,  31.00,    529.5500,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP14b         ,189,1168,A, 57,X,CC,  28.00,    540.5100,forams   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,+                     ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
